"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.HQ.A5NE.01A",0.00125632244203094,0.568778412614109,0.418496355368436,0.010550240655222,0,0,0.000918668920201688
"TCGA.FD.A5BT.01A",0.000729973933987372,0.272564144643497,0.516188998445058,0.208842529659229,0.000858939862616693,0,0.000815413455612178
"TCGA.DK.A3IQ.01A",0,0.123711506772043,0.863416337998404,0.0128721552295535,0,0,0
"TCGA.ZF.AA4X.01A",0,0.730914970624548,0.14007688022652,0.044980019857798,0.0840281292911342,0,0
"TCGA.GD.A3OQ.01A",0,0.645145899044436,0.352327669406277,0.00252643154928617,0,0,0
"TCGA.ZF.AA51.01A",0.00326873494448759,0.49711355304677,0.328643535216196,0.107101773842371,0.0629677489859062,0,0.000904653964268197
"TCGA.FD.A3SS.01A",0,0.428378827066566,0.501157824390203,0.0703996944742056,6.36540690254621e-05,0,0
"TCGA.DK.AA71.01A",0.00131489740678106,0.39088707876086,0.392521805126505,0.0514899629685619,0.163786255737292,0,0
"TCGA.4Z.AA83.01A",0,0.643589414132082,0.288249205539907,0.0543007263571253,0.013860653970886,0,0
"TCGA.ZF.A9R4.01A",0.0531754236341517,0.70668673506185,0.0268834750107014,0.00502225878214913,0.205640317684656,0.00259178982649143,0
"TCGA.BT.A20P.01A",0,0.510147643131526,0.254238527416645,0.14604417991247,0.0895696495393592,0,0
"TCGA.HQ.A2OE.01A",0.00206832201313347,0.567891645552766,0.285532426278905,0.0660433887569427,0.0781449689676813,0.000319248430572049,0
"TCGA.R3.A69X.01A",0,0.332894755016147,0.541745190203319,0.125360054780533,0,0,0
"TCGA.BT.A3PH.01A",0,0.388522097770971,0.499601837274169,0.0460691642186341,0.0658069007362257,0,0
"TCGA.UY.A9PA.01A",0,0.974085308626997,0.0123340421321687,0.0135806492408339,0,0,0
"TCGA.BL.A13J.01B",0.00416250706810862,0.508895042653293,0.484047154042234,0.00252831761107585,0,0.000366978625288441,0
"TCGA.CF.A3MI.01A",0.00253978090333567,0.594696164620742,0.183611029197477,0.0113559217331775,0.205975748898811,0,0.00182135464645664
"TCGA.XF.AAMW.01A",0.00260699804742007,0.730230519673812,0.244207694642277,0.0228608363081929,0,0,9.39513282975694e-05
"TCGA.H4.A2HQ.01A",0.00283964269762925,0.727443012623874,0.236531514492726,0.00867966906347912,0.0237904618577486,0.000715699264543001,0
"TCGA.HQ.A5ND.01A",0,0.619711300833044,0.323020087319471,0.0357775587689564,0.0202841525901199,0.00120690048840795,0
