"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.BC.A10Z.01A",0,0.353510157204174,0.47248928653152,0.154740716225707,0.019259840038599,0,0
"TCGA.DD.AAEK.01A",0,0.38163306204663,0.186839610561281,0.431527327392089,0,0,0
"TCGA.G3.A3CK.01A",0,0.47120955323649,0.17237877073732,0.356345568760247,6.61072659436054e-05,0,0
"TCGA.DD.A1EJ.01A",0,0.254691995758945,0.215614545486139,0.357307833201426,0.172385625553489,0,0
"TCGA.DD.AACU.01A",0,0.351406971107513,0.225762798531079,0.389604017181274,0.0332262131801344,0,0
"TCGA.ZS.A9CE.01A",0,0.329053975813002,0.148694660537872,0.469303761360682,0.0529476022884433,0,0
"TCGA.2Y.A9H2.01A",0.0015405857467801,0.631183847452421,0.314195249483674,0.0432314124365191,0.00983708928978233,0,1.18155908231752e-05
"TCGA.CC.5261.01A",0,0.524240690908618,0.373218874951571,0.102540434139811,0,0,0
"TCGA.DD.AADP.01A",0,0.379771514282891,0.371997077912663,0.126760089117244,0.121471318687202,0,0
"TCGA.2Y.A9H4.01A",0,0.326735508892918,0.220219743219733,0.428040034788004,0.0250047130993451,0,0
"TCGA.DD.A1EA.01A",0,0.677048862588152,0.0310925048473299,0.291858632564519,0,0,0
"TCGA.CC.A3MC.01A",0,0.375479049306963,0.309902758595667,0.31349072749578,0.00112746460159133,0,0
"TCGA.FV.A2QR.01A",0,0.38518261108724,0.378897035624082,0.235920353288678,0,0,0
"TCGA.EP.A26S.01A",0,0.418064434485152,0.325903566260957,0.149652257735984,0.106379741517906,0,0
"TCGA.K7.AAU7.01A",0.00059310364447561,0.329631914899408,0.481340932384586,0.184967922400537,0.00346612667099303,0,0
"TCGA.G3.A25T.01A",0.000740289854426291,0.399689631579537,0.395234710083304,0.0661853065395733,0.13815006194316,0,0
"TCGA.DD.AADB.01A",0,0.256830503807296,0.0856470096677963,0.601044400420757,0.0564780861041513,0,0
"TCGA.UB.A7MA.01A",0,0.325959311237752,0.475770555424893,0.0469316331855182,0.151338500151837,0,0
"TCGA.DD.AAD0.01A",0,0.352870546204163,0.316453402529143,0.311636085127368,0.0190399661393254,0,0
"TCGA.BC.4072.01B",0,0.61158439554871,0.316171592693201,0.0673145106761984,0,0.00492950108188981,0
"TCGA.DD.AACD.01A",0,0.464365851495039,0.15750816012173,0.297489596852235,0.0806363915309958,0,0
"TCGA.DD.A3A5.01A",0,0.305796272693431,0.414744526259139,0.243352110905801,0.036107090141629,0,0
"TCGA.ZP.A9D1.01A",0,0.484010990795234,0.311231054444915,0.203654221517934,0.0011037332419174,0,0
"TCGA.ZP.A9D0.01A",0,0.308471385785522,0.510790438312761,0.164620310579431,0.0161178653222862,0,0
"TCGA.CC.A7IK.01A",0,0.4649413734627,0.157146975640958,0.249851412768269,0.128060238128073,0,0
"TCGA.WQ.AB4B.01A",0,0.247691041478753,0.226565070060537,0.479286586322871,0.0464573021378389,0,0
"TCGA.FV.A4ZQ.01A",0,0.294949373912733,0.064470639202399,0.546327535273818,0.0942524516110501,0,0
"TCGA.G3.A25S.01A",0,0.15697280421627,0.0823731886002245,0.619668258617578,0.140924910601621,0,6.08379643062664e-05
"TCGA.NI.A4U2.01A",0,0.559965038856041,0.338711336845495,0.101323624298464,0,0,0
"TCGA.RC.A7SK.01A",0,0.347252757690167,0.288488127258261,0.33259905760113,0.0316600574504412,0,0
"TCGA.DD.AADS.01A",0,0.185353030212502,0.0467978842884813,0.62617115418474,0.141677931314277,0,0
"TCGA.DD.A73F.01A",0,0.470276314267389,0.110834718685665,0.418888967046947,0,0,0
