"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.V1.A9OF.01A",0,0.115798013078701,0.0947487623834189,0,0.789124799633597,0,0.00032842490428288
"TCGA.ZG.A8QX.01A",0,0.0877414270948192,0.581132711151054,0,0.330926333793141,0,0.000199527960985477
"TCGA.YL.A8SC.01A",0,0.201027725229328,0.184411416935903,0,0.614560857834769,0,0
"TCGA.HC.7817.01B",0,0.162534118974088,0.725787859084948,0.00883656054003145,0.102841461400932,0,0
"TCGA.KC.A7F6.01A",0,0.243448469560363,0.35542723583523,0,0.400413069201343,0,0.000711225403064008
"TCGA.KK.A7B4.01A",0,0.165849886959502,0.35864524937996,0.0011662173900631,0.474338646270474,0,0
"TCGA.G9.6366.01A",0,0.168961407560344,0.360604605083423,0,0.470433987356233,0,0
"TCGA.KK.A59X.01A",0,0.146235447543314,0.420236980350041,0.00723015113126848,0.426297420975377,0,0
"TCGA.HC.A6AN.01A",0,0.0940734402802111,0.311426463538713,0.0206191726771737,0.573880923503902,0,0
"TCGA.G9.6498.01A",0,0.191242759483631,0.572453528055291,0.0164845158898406,0.216880536218339,0,0.00293866035289846
"TCGA.J4.AATZ.01A",0,0.189911613966811,0.279413922868064,0,0.530674463165125,0,0
"TCGA.EJ.7317.01A",0,0.127809302575782,0.402690160452313,0,0.469500536971905,0,0
"TCGA.SU.A7E7.01A",0,0.318095550411057,0.448935854828809,0,0.232687088095024,0,0.000281506665109425
"TCGA.XJ.A83F.01A",0,0.119343239013504,0.308094595939805,0,0.572514470267718,0,4.76947789725117e-05
"TCGA.2A.AAYO.01A",0,0.172683236609442,0.433241351152701,0.0221027240352339,0.371972688202623,0,0
"TCGA.EJ.A46B.01A",0,0.160904400050149,0.475672186626815,0,0.363164026895808,0,0.000259386427228664
"TCGA.QU.A6IN.01A",0,0.0489812465087386,0.057977286917096,0.003698815636175,0.88934265093799,0,0
"TCGA.KK.A59Z.01A",0,0.196262594619039,0.52074923075245,0.0082411095567683,0.274472319816627,0,0.000274745255115073
"TCGA.XK.AAJT.01A",0,0.198839095753067,0.556001474983079,0.00847597705634105,0.235985050279193,0,0.000698401928318714
"TCGA.EJ.7125.01A",0,0.202168593698626,0.456122488436262,0.00148203193744236,0.339796074317927,0,0.000430811609743151
"TCGA.J9.A52C.01A",0,0.224190580582323,0.675097160073911,0.00814278604280967,0.0919424370787201,0,0.00062703622223618
"TCGA.YL.A8HL.01A",0,0.260442523603702,0.294382375449267,0,0.445175100947031,0,0
"TCGA.ZG.A9LZ.01A",0,0.194226705339255,0.331735142374677,0,0.474038152286068,0,0
"TCGA.J9.A8CP.01A",0,0.262348817247876,0.360663187322088,0,0.374299218217878,0,0.00268877721215717
"TCGA.FC.A6HD.01A",0,0.0139878555942862,0.0401048094641844,0,0.945907334941529,0,0
"TCGA.G9.6351.01A",0,0.151799061168258,0.449086309843022,0,0.398919297049271,0,0.000195331939448754
"TCGA.EJ.5532.01A",0,0.180654275975064,0.426857468454871,0,0.392488255570066,0,0
"TCGA.EJ.5525.01A",0.00357491390123999,0.271731378340097,0.374622464465425,0,0.350071243293238,0,0
"TCGA.ZG.A9L9.01A",0,0.122040336973893,0.671663898409135,0.0308602467279164,0.175435517889056,0,0
"TCGA.EJ.A65F.01A",0,0.291659437632548,0.352278120404376,0,0.354543208121163,0,0.00151923384191276
"TCGA.2A.A8VX.01A",0,0.0413117624696128,0.245936424190727,0,0.71275181333966,0,0
"TCGA.KK.A8I4.01A",0,0.328070989803972,0.578375484952955,4.68895437987438e-05,0.0925738696933219,0,0.000932766005952613
"TCGA.KK.A8IA.01A",0,0.169465304149257,0.269390103094806,0,0.561144592755937,0,0
"TCGA.Y6.A9XI.01A",0,0.107925088611459,0.119850257538116,0,0.772224653850425,0,0
"TCGA.VN.A88I.01A",0,0.151098633871373,0.81543121390022,0,0.031222572971235,0,0.00224757925717187
"TCGA.M7.A71Z.01A",0,0.0485570965138392,0.095337220758326,0,0.856105682727835,0,0
"TCGA.EJ.A46E.01A",0,0.262439918825903,0.697341009278825,0,0.0402190718952721,0,0
"TCGA.CH.5788.01A",0,0.146126623176112,0.128507550387254,0,0.725365826436634,0,0
"TCGA.KK.A7AU.01A",0,0.150722090717109,0.0701263722567109,0,0.77915153702618,0,0
"TCGA.EJ.5531.01A",0,0.173806672461576,0.568761139115282,0,0.256447605035818,0,0.000984583387323565
"TCGA.VN.A88K.01A",0,0.202345358178776,0.220821946125746,0,0.576832695695478,0,0
"TCGA.VN.A88M.01A",0,0.116670417077113,0.199875624895422,0,0.683453958027465,0,0
"TCGA.EJ.5506.01A",0,0.264837656192901,0.503360311397369,0,0.231802032409731,0,0
"TCGA.XK.AAJU.01A",0,0.2446097095828,0.456649130768025,0,0.297509743873223,0,0.00123141577595228
"TCGA.YL.A8SI.01A",0,0.173487018673468,0.510281036065311,0,0.315934063838979,0,0.000297881422242791
"TCGA.G9.6499.01A",0,0.149774156215558,0.384436931347984,0,0.465788912436458,0,0
"TCGA.QU.A6IL.01A",0,0.0541737524467071,0.190836115480423,0.0214119387351493,0.73357819333772,0,0
"TCGA.J4.A67Q.01A",0,0.0792696101967836,0.549985896332564,0.00649255737839676,0.360667053605418,0,0.00358488248683827
"TCGA.G9.6361.01A",0,0.154980420770929,0.496836744247306,0,0.348182834981765,0,0
"TCGA.VN.A88L.01A",0,0.179198269234486,0.537410405219364,0,0.28339132554615,0,0
"TCGA.KK.A8I9.01A",0,0.39102174656904,0.3604755406755,0,0.248280929461762,0,0.000221783293697917
"TCGA.V1.A9ZG.01A",0,0.247891498895949,0.286904678366709,0.00233324678622269,0.462870575951119,0,0
"TCGA.V1.A9OX.01A",0,0.13932874328104,0.239462450159292,0,0.6200526324135,0,0.00115617414616804
"TCGA.G9.6373.01A",0,0.113296815042553,0.399652991291186,0,0.486682377073983,0,0.000367816592277476
"TCGA.VP.A878.01A",0,0.284836003222323,0.338376790846152,0,0.376035662027226,0,0.000751543904298822
"TCGA.YL.A8SB.01A",0,0.177097010204532,0.518231183620031,0,0.304368400244145,0,0.000303405931291575
"TCGA.EJ.A7NN.01A",0,0.385938825924162,0.382070605638176,0.000909500671595838,0.230213132636436,0,0.000867935129630041
"TCGA.HC.7212.01A",0,0.2847079086539,0.296478655968353,0,0.418585948375106,0,0.000227487002641648
"TCGA.V1.A9O5.01A",0,0.403682369078971,0.353381649455592,0.0349096721598264,0.208026309305611,0,0
"TCGA.HC.A8D0.01A",0,0.147581294551418,0.47867063111994,0,0.373058979232073,0,0.000689095096568355
"TCGA.2A.A8VT.01A",0,0.415879644786759,0.295688305766111,0,0.28843204944713,0,0
"TCGA.ZG.A9LB.01A",0,0.0953855995529094,0.396310114163187,0.0222412141545241,0.483773312421479,0,0.00228975970789976
"TCGA.HC.7079.01A",0,0.544530156465109,0.401208851945414,0.0534890658240764,0,0,0.000771925765400672
"TCGA.HC.A6AP.01A",0,0.130017249772272,0.301250189720466,0.0109564046170399,0.557444242179512,0,0.000331913710710083
"TCGA.KC.A4BR.01A",0,0.174333305371883,0.691334704816673,0,0.13374870938374,0,0.000583280427704482
"TCGA.V1.A9OA.01A",0,0.131994700292914,0.609903313483794,0,0.258008918111107,0,9.30681121848856e-05
"TCGA.EJ.A46H.01A",0,0.294582278537325,0.704421365716294,0,0,0,0.000996355746381133
"TCGA.EJ.5507.01A",0.000383441803767358,0.373609387919037,0.349786871986781,0,0.274357756576546,0.00186254171386836,0
"TCGA.KK.A8ID.01A",0,0.1775620315703,0.125556214203322,0.000271334118292072,0.696610420108087,0,0
"TCGA.XK.AAJR.01A",0,0.212036369358979,0.460649607080517,0,0.327314023560505,0,0
"TCGA.HC.7750.01A",0,0.125152469598453,0.597761072910395,0,0.27653126550276,0,0.00055519198839251
"TCGA.G9.6347.01A",0,0.0533270866087003,0.706657038589743,0.0187084322306658,0.221307442570891,0,0
"TCGA.EJ.5522.01A",0,0.311105166916122,0.453130185786578,0,0.235764647297299,0,0
"TCGA.HC.A631.01A",0,0.16322999471539,0.345978784265525,0.00286573595378223,0.487925485065302,0,0
"TCGA.CH.5763.01A",0,0.223771319575759,0.6696136642729,0,0.106125254592545,0,0.0004897615587959
"TCGA.EJ.7794.01A",0,0.270728638616895,0.475336858947574,0,0.253883347924781,0,5.11545107495399e-05
"TCGA.V1.A9Z8.01A",0,0.18949113645159,0.514991926281829,0.0001465089535504,0.295303162466547,0,6.72658464833529e-05
"TCGA.EJ.7788.01A",0,0.25474107159128,0.458130726993962,0,0.287128201414758,0,0
"TCGA.XQ.A8TA.01A",0.0258799702651179,0.177642948955671,0.277855848501485,0.011349728797042,0.507271503480684,0,0
"TCGA.HC.A6AO.01A",0,0.0545949968839892,0.130815295941565,0.0166676592650554,0.797713332141672,0,0.000208715767718675
"TCGA.FC.A5OB.01A",0,0.145822657341481,0.120017829542298,0,0.734159513116221,0,0
"TCGA.CH.5764.01A",0,0.219214185055258,0.420130989770042,0,0.36063425289454,0,2.05722801590304e-05
"TCGA.CH.5789.01A",0,0.254377798640655,0.235179419337789,0.000241364317392793,0.510201417704163,0,0
"TCGA.FC.A66V.01A",0,0.106824213379923,0.431127365631647,0,0.462048420988431,0,0
"TCGA.EJ.7330.01A",0,0.273609158699047,0.543205115038503,0,0.182397829991653,0,0.000787896270797449
"TCGA.HC.8258.01B",0,0.44605145970467,0.55394854029533,0,0,0,0
"TCGA.YL.A8SL.01B",0,0.238400622777762,0.2167872306526,0,0.544812146569638,0,0
"TCGA.XK.AAIW.01A",0.00404352231822317,0.195026706183711,0.13786866488442,0,0.663061106613646,0,0
"TCGA.G9.6385.01A",0,0.138759994345562,0.540850881488429,0,0.320173355574577,0,0.000215768591432488
"TCGA.HC.A76X.01A",0,0.118941955755645,0.26502144029957,0,0.616036603944785,0,0
"TCGA.EJ.A46I.01A",0,0.154624436057702,0.532189816163684,0,0.312855998233339,0,0.000329749545275368
"TCGA.EJ.7797.01A",0,0.210035737633178,0.418933109011586,0,0.370659638034467,0,0.000371515320769663
"TCGA.HC.7230.01A",0,0.19988205018983,0.279992171212403,0,0.520125778597766,0,0
"TCGA.XJ.A9DQ.01A",0,0.171331701529588,0.476000831936282,0,0.352354008090555,0,0.000313458443574975
"TCGA.J9.A52B.01A",0,0.137894846886899,0.549296393404285,0,0.31265878429165,0,0.000149975417165784
"TCGA.EJ.5511.01A",0,0.177516261096143,0.142058627510068,0,0.680425111393789,0,0
