"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.A5.A0R8.01A",0,0.627451031655175,0.19725640139866,0.142460825582279,0.032824040984445,0,7.70037944139413e-06
"TCGA.A5.A0G3.01A",0,0.295238084208809,0.609298396890377,0.0148669645452396,0.0805965543555747,0,0
"TCGA.AP.A054.01A",0.00345614766396057,0.298145594805196,0.643503497095225,0,0.054894760435618,0,0
"TCGA.A5.A0GX.01A",0.000685224349896434,0.384510097755002,0.507820554340109,0.00996067060432421,0.0959363064216996,0,0.00108714652896927
"TCGA.DI.A2QY.01A",0,0.56032885293197,0.287488924695259,0.0354375077937516,0.116733842620861,0,1.08719581585759e-05
"TCGA.EY.A1GC.01A",0,0.517438513666911,0.249068362645803,0.128478632230059,0.105014491457227,0,0
"TCGA.A5.A0GI.01A",0.00497656300492104,0.508188350068965,0.295608269559918,0.00551271261622163,0.185714104749975,0,0
"TCGA.D1.A17S.01A",0.0785095972685982,0.626024362293383,0.102045850103372,0.00993756102624257,0.183482629308404,0,0
"TCGA.EY.A5W2.01A",0.00305067209364008,0.326363477744949,0.326465087546179,0.0417088565086655,0.302362433740225,0,4.94723663421402e-05
"TCGA.D1.A1NU.01A",0,0.627850133430038,0.269207361121346,0.0428828725051004,0.0600596329435151,0,0
"TCGA.BG.A18A.01A",0.00271732339887366,0.429037032978812,0.545169010833494,0.00379927054454914,0.0192660676509238,0,1.12945933479295e-05
"TCGA.AX.A06B.01A",0,0.440590952915858,0.502186920215127,0.0572221268690155,0,0,0
"TCGA.E6.A2P9.01A",0.00487363082824239,0.592867995449787,0.1916751012102,0.0068578824351131,0.203696943209222,0,2.84468674354562e-05
"TCGA.PG.A917.01A",0.0634804540168657,0.622138791243046,0.167840073489391,0.035301219992325,0.111239461258372,0,0
"TCGA.AX.A3FS.01A",0.00828538190835735,0.301140795367159,0.622931060112298,0.003618091506961,0.0612734141317158,0.00275125697350881,0
"TCGA.A5.A2K4.01A",0.00366283811042012,0.574214282087313,0.417522434637284,0.00443902562808219,0.000120534480543034,0,4.08850563577778e-05
"TCGA.D1.A1O0.01A",0,0.654372950765744,0.269029316978909,0.0288439615534565,0.0477537707018905,0,0
"TCGA.B5.A0JS.01A",0.000463733588978999,0.652299266319751,0.239210630081601,0.0256254648461794,0.08240090516349,0,0
"TCGA.AX.A1CE.01A",0,0.317455023981282,0.577494205465547,0.0903202824024393,0.0147304881507311,0,0
"TCGA.D1.A17F.01A",0.00116098321987924,0.724326004900605,0.0653199396229028,0.0929723788666437,0.116220693389969,0,0
"TCGA.EO.A3AV.01A",0.00377811560240798,0.72410545310294,0.159555068595636,0.0834417326880794,0.029119630010937,0,0
"TCGA.D1.A17B.01A",0.000763694914478244,0.611537499594036,0.285917599172765,0.101503418760825,0.00010735628717929,0,0.000170431270716411
"TCGA.E6.A8L9.01A",0.00339483565545637,0.626571572234427,0.287078366439538,0.0215918288062371,0.0613633968643413,0,0
"TCGA.EY.A547.01A",0.00161634823824707,0.314350728218613,0.152424948523051,0.0284368312324817,0.503171143787607,0,0
"TCGA.AJ.A3OJ.01A",0.00326046784653465,0.514927105090604,0.338104036466578,0.0402039661796618,0.10316952426805,0,0.000334900148570436
"TCGA.BS.A0TJ.01A",0,0.397458567524592,0.591683697697615,0.0108577347777927,0,0,0
"TCGA.BG.A0VV.01A",0.00497984341274082,0.609619955027008,0.241438552357747,0.0212287403164426,0.122732908886062,0,0
"TCGA.D1.A16V.01A",0.00337102034491766,0.640451602274177,0.226423050118023,0.0604938050921772,0.0692605221707051,0,0
"TCGA.EO.A22R.01A",0.00129708500676497,0.412797167520755,0.449212039704941,0.136208863088695,0.000484844678844246,0,0
"TCGA.BG.A0MH.01A",0,0.498235028713108,0.443535927773471,0.0558590638627448,0.00236997965067668,0,0
