"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.4T.AA8H.01A",0.0567678668022316,0.0148632067255071,0.170754017876851,0.406300015195204,0.245032903038992,0,0.106281990361214
"TCGA.AA.A00Q.01A",0.0863082846889028,0.0633503996904542,0.259630011307705,0.235737645336241,0.302524792116222,0,0.0524488668604747
"TCGA.AZ.4614.01A",0.0341322479487786,0.293485152668792,0.190281045401051,0.0687543780556313,0.399360390091307,0,0.0139867858344394
"TCGA.A6.2675.01A",0.153231835439487,0.152725729313516,0.420407979149261,0.0278375756101297,0.0011398411766345,0.0934233456457757,0.151233693665197
"TCGA.AA.A00U.01A",0.111344667530897,0.123893956900745,0.281142590464902,0.164573849589792,0.246585358289287,0,0.0724595772243772
"TCGA.A6.6781.01A",0.12650728161463,0.283839780999103,0.584690862249373,0,0,0.0048146000992107,0.000147475037682436
"TCGA.CM.6169.01A",0.0933609846485171,0.280577063747218,0.317096606665486,0,0.159155085662841,0.0209223874826639,0.128887871793273
"TCGA.AA.3516.01A",0.160957092115254,0.381148046482311,0.239060915377099,0.0223016650379978,0,0,0.196532280987338
"TCGA.AA.3552.01A",0.0861461641947064,0.265734518044446,0.266008981908422,0.165414877972647,0.0595410673329968,0,0.157154390546782
"TCGA.D5.6931.01A",0.107649767492829,0.371348048197121,0.382998787014974,0,0,0,0.138003397295076
"TCGA.SS.A7HO.01A",0,0.245481228445695,0.191520401226007,0.168529001121941,0.353911661610665,0.0051676548585113,0.0353900527371806
"TCGA.AZ.6605.01A",0.0779783536102749,0.139219309638946,0.44672442821949,0.0885844968760146,0.00367569620379517,0.0426298479056763,0.201187867545803
"TCGA.CA.6717.01A",0.129142632045343,0.301747940227516,0.364135964567221,0.0467734421954675,0.000790156004715401,0,0.157409864959738
"TCGA.NH.A8F7.01A",0.0155560828583171,0.119968546727703,0.135572590397945,0.266281094988366,0.307549720877204,0.0478079050654602,0.107264059085004
"TCGA.AD.6965.01A",0.0274239403599541,0.457115486507641,0.349076854811848,0,0.142817370411023,0,0.0235663479095343
"TCGA.AA.A02H.01A",0.0158473202577909,0.098535517937155,0.236589233697845,0.193231583749665,0.43612650206677,0,0.0196698422907741
"TCGA.AA.A022.01A",0.106927079136184,0.215141185402868,0.15784848856551,0.163112986536361,0.2309622468518,0,0.126008013507277
