"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.CV.5442.01A",0.0972824783891605,0.420298169214188,0.260719266935779,0,0.221700085460872,0,0
"TCGA.CR.7392.01A",0.311811478768945,0.0382831227527647,0.632748474178138,0,0,0.0171569243001518,0
"TCGA.UF.A71A.01A",0.0887027711096122,0.27463869944114,0.636658529449248,0,0,0,0
"TCGA.CN.A642.01A",0.0408047320417878,0.610976508525936,0.20835632604192,0,0.139862433390356,0,0
"TCGA.CV.A45U.01A",0.124989724633989,0.0810392351729632,0.497159965805678,0.000318737214781997,0,0.0943081899297424,0.202184147242845
"TCGA.CN.6012.01A",0.174276453167086,0.157000028743601,0.392835475471203,0.137655364340306,0,0.0741721711327482,0.0640605071450565
"TCGA.CV.A45W.01A",0.128823979942097,0.219962253613315,0.256702398335905,0.156768923280144,0,0,0.237742444828539
"TCGA.CV.A6K0.01B",0.248261363680436,0.150164524101876,0.46005255905295,0,0,0.0118529337235363,0.129668619441202
"TCGA.QK.A6VB.01A",0.0521473479190075,0.296133659456952,0.554649743517276,0,0,0,0.0970692491067647
"TCGA.CV.6959.01A",0.185357409123621,0.235030270487191,0.57461311617953,0,0,0.000935609348887391,0.00406359486076988
"TCGA.HD.7832.01A",0.259232151652109,0.188169085368279,0.432765098246942,0,0.0026062332519603,0,0.11722743148071
"TCGA.CV.7255.01A",0.186231737639225,0.100306147662196,0.708610013016236,0,0,0.00234753329335891,0.00250456838898438
"TCGA.CR.5243.01A",0.111351853384245,0.0677838784238017,0.503210566097856,0.010995019542669,0,0.238378250394247,0.068280432157181
"TCGA.P3.A6T5.01A",0.131773964127132,0.232211573336144,0.493347657158687,0,0.00594632904384722,0,0.13672047633419
"TCGA.CV.6952.01A",0.23696448830175,0.123485254845735,0.616951218259108,0,0,0.00227437571754755,0.0203246628758594
"TCGA.D6.A6ES.01A",0.06451683145708,0.710451248757181,0.150750536489445,0,0.0742813832962937,0,0
"TCGA.CN.5366.01A",0.234879155441947,0.0509340962114402,0.699019750320597,0,0,0,0.0151669980260162
"TCGA.CQ.6223.01A",0.215959909988604,0.23539351882356,0.459435301158112,0,0.000206126287829629,0.00258720984363001,0.0864179338982647
"TCGA.F7.7848.01A",0.17527902111406,0.115465829073959,0.465225161553639,0.113836742880032,0,0.067635117344385,0.0625581280339255
"TCGA.CV.A6JM.01A",0.111616209802653,0.565762443686648,0.2334109945674,0,0.0892103519432993,0,0
"TCGA.CN.5359.01A",0.345000628598399,0.0857365376562613,0.569262833745339,0,0,0,0
"TCGA.P3.A5QA.01A",0.222368133282551,0,0.623514595403577,0.154117271313872,0,0,0
"TCGA.CN.4734.01A",0.258201586591679,0.224782714967792,0.516662634639173,0,0,0,0.000353063801356213
"TCGA.CV.6441.01A",0.000737101131297279,0.181136030048533,0.221060496609549,0.042718655220864,0.435349389583354,0,0.118998327406403
"TCGA.CV.A6JY.01A",0.105957538351008,0.357801217114141,0.404950758469925,0,0.131290486064925,0,0
"TCGA.D6.6825.01A",0.252443861271243,0.239830379732809,0.479781266836057,0,0,0.00371129709080495,0.0242331950690861
"TCGA.CR.5247.01A",0.057464010061709,0.0291048126633634,0.905126629637186,0,0,0,0.00830454763774154
"TCGA.CV.7410.01A",0.254079651193073,0.34558203182761,0.322383043165908,0,0,0,0.0779552738134089
"TCGA.CV.7091.01A",0.260515497294406,0.0691899180597825,0.549136380496538,0,0.00296363727597339,0,0.1181945668733
"TCGA.BA.5153.01A",0.240193504976628,0.298254642081808,0.396690144725326,0,0,0.0648617082162376,0
"TCGA.CV.7428.01A",0.121565956572343,0.375832485330849,0.41052876200629,3.50457239113671e-05,0,0.00492415408031434,0.0871135962862923
"TCGA.CX.7086.01A",0.253934719865264,0.2917897020281,0.422646273882582,0,0.00120931342094452,0,0.0304199908031092
"TCGA.CN.5364.01A",0.116472994478404,0.287514072740201,0.501487226269312,0,0.00126033408300396,0,0.0932653724290794
"TCGA.BA.A6DB.01A",0.070252723076318,0.506328054799288,0.320281988615268,0,0.0653090413589443,0,0.0378281921501818
"TCGA.CQ.5325.01A",0.229631466710951,0.373778910526278,0.391818311435279,0,0,0.000369961640122671,0.00440134968736922
"TCGA.CN.4731.01A",0.17489392984236,0.230232367256553,0.509835104663874,0,0,0,0.0850385982372123
"TCGA.CV.7427.01A",0.321523154070394,0.474244470228219,0.202412884902658,0,0,0,0.00181949079872881
"TCGA.CR.6467.01A",0.107398937654531,0.186729704571817,0.269305464052199,0.00969443528283663,0.00195733994562587,0.237989449652303,0.186924668840687
"TCGA.CV.7183.01A",0.122809238964946,0.250657611733467,0.626533149301587,0,0,0,0
"TCGA.CV.A6JN.01A",0.144986225127601,0.512556571967784,0.29399451755931,0,0.048462685345305,0,0
"TCGA.D6.A6EN.01A",0.104926338847476,0.591996727037471,0.133807738938144,0,0.168328882423403,0,0.000940312753505753
"TCGA.CQ.A4C7.01A",0.219462458517087,0.0799233736221739,0.684688052934671,0,0,0,0.0159261149260679
"TCGA.CV.5435.01A",0.0374231053563189,0.201939916848535,0.71814264123089,0,0,0,0.0424943365642562
"TCGA.CR.7370.01A",0.140468497496259,0.187291483564133,0.585100336354824,0.000678625540537286,0,0.0413835911396227,0.045077465904625
"TCGA.CN.4722.01A",0.0922528800744978,0.0946958519015,0.39487712091898,0.11127758456901,0.202635962311716,0,0.104260600224297
"TCGA.F7.8489.01A",0.200227986572981,0.254057582638533,0.540124517620438,0,0,0,0.0055899131680479
