"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.BQ.7044.01A",0.237164931720362,0,0.173497951124334,0.555188133290705,0,0,0.0341489838645986
"TCGA.SX.A7SR.01A",0.242074837325996,0,0.270995576922173,0.364927276501589,0,0.122002309250242,0
"TCGA.MH.A854.01A",0.236901937524364,0.18643889647327,0.41219216048603,0,0.0829493991198588,0,0.0815176063964776
"TCGA.B3.8121.01A",0.441586798967758,0.0649626868998976,0.385278720057804,0,0,0.107155880411953,0.00101591366258678
"TCGA.2Z.A9JJ.01A",0.213454609609769,0.210232139884444,0.571432986408652,0,0,0.0030212635555707,0.00185900054156361
"TCGA.B1.7332.01A",0.363803865557282,0.0502847065213686,0.369373527742739,0.216537900178611,0,0,0
"TCGA.WN.A9G9.01A",0.219618008020257,0.101397676560449,0.0286258386750768,0.118324971820769,0.00133498178489575,0.306048092530527,0.224650430608026
"TCGA.A4.8310.01A",0.255365235059597,0.103118145954929,0.42866774006581,0.19612813933883,0,0,0.016720739580833
"TCGA.2Z.A9JT.01A",0.11702447379978,0.0718276264547295,0.0651905061281742,0.215237170109119,0.530720223508197,0,0
"TCGA.5P.A9K2.01A",0.0799732601398303,0,0.0535028058148947,0.726809493467409,0.139714440577866,0,0
"TCGA.4A.A93W.01A",0.116075738058944,0.228324627046602,0.301572568357513,0.261504983042754,0,0.0200769749976019,0.0724451084965849
"TCGA.DW.7837.01A",0.189997233020797,0.0756041278263176,0.345010129178648,0.303529767609928,0,0.0858587423643089,0
"TCGA.A4.A5DU.01A",0.0726844569802283,0.0703932449211895,0.193311672767714,0.506213841085447,0,0.155502218590927,0.00189456565449427
"TCGA.2Z.A9JI.01A",0.163032282055354,0.26334849519546,0.290858322816831,0.0290336805670117,0.048385159377017,0.0940979820415021,0.111244077946825
"TCGA.BQ.7050.01A",0.131414665722255,0.0458370456131122,0.220264472257986,0.359750953004707,0,0.21726385927539,0.0254690041265501
"TCGA.BQ.5894.01A",0.274913201773967,0.299549766240016,0.421067076719694,0,0,0,0.00446995526632319
"TCGA.BQ.5879.01A",0.241666571032473,0.126581874144445,0.628455170085829,0,0,0,0.0032963847372541
"TCGA.AL.3472.01A",0.0660671886984179,0.035220066568324,0.129537133658019,0.47157938697255,0.152217488042261,0.145378736060429,0
"TCGA.MH.A560.01A",0.0715441396825958,0.0880134620972111,0.13608872198528,0.45376696571586,0.091262860858879,0,0.159323849660174
"TCGA.BQ.5891.01A",0.183582216089658,0.325294571838796,0.491123212071546,0,0,0,0
"TCGA.B9.A5W7.01A",0.162486024486765,0.365648398900362,0.396069385228937,0,0,0,0.0757961913839354
"TCGA.UZ.A9PR.01A",0.190558503093255,0.195364346673587,0.423826222147456,0.0596781139786862,0,0.130572814107015,0
"TCGA.B9.A69E.01A",0.2483940213677,0.158768902124204,0.201636829249545,0.247984469879102,0,0.0608411400834616,0.0823746372959871
"TCGA.B3.4104.01A",0,0.0520731917787992,0.20139316926275,0.227064910142478,0.461467850991909,0.0570753083557118,0.000925569468351881
"TCGA.SX.A71R.01A",0.0575642403163444,0.00183653625244541,0.14231874811897,0.565022957857198,0,0.233257517455042,0
"TCGA.MH.A55Z.01A",0.141213443100722,0.111280767482464,0.266345020360508,0.373218361724364,0,0.0928107865287093,0.0151316208032334
"TCGA.UZ.A9PO.01A",0.232004703166884,0.0740723442885851,0.216418951991864,0.472587415737568,0,0,0.00491658481509869
