"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.BC.A10Z.01A",0.0188432229560785,0,0.273442585234502,0.70771419180942,0,0,0
"TCGA.DD.AAEK.01A",0.141429738297656,0.0833101453584422,0.262733324543943,0.224203835414347,0,0.213353809580132,0.0749691468054791
"TCGA.G3.A3CK.01A",0.1348315570408,0.119777751165324,0.297378682857045,0.216277993565958,0,0.119881831612295,0.111852183758578
"TCGA.DD.A1EJ.01A",0.0862700885409852,0.326318474409204,0.255217236423532,0.167133613862205,0.165060586764075,0,0
"TCGA.DD.AACU.01A",0.204009854112404,0.25195351699825,0.419921747643408,0,0.0296965428312062,0.0145235035848562,0.0798948348298751
"TCGA.ZS.A9CE.01A",0.014545023266455,0.0920680695804078,0.375276772527007,0.121494772073893,0,0.210300330836299,0.186315031715938
"TCGA.2Y.A9H2.01A",0.145798331810394,0.0245402165045126,0.233748795082207,0.508713779774205,0,0.0871988768286814,0
"TCGA.CC.5261.01A",0.0511843255172704,0.439692045638621,0.508022932113874,0,0,0,0.00110069673023442
"TCGA.DD.AADP.01A",0.0160446213180285,0.194524212214633,0.435828260010789,0.0716117108843039,0.274681251175337,0.00730994439690856,0
"TCGA.2Y.A9H4.01A",0.0760949255180102,0.171006653217379,0.255337217247188,0.384400820961582,0,0.0777433787151431,0.0354170043406977
"TCGA.DD.A1EA.01A",0.212915412052192,0,0.253107916589888,0.296902423558718,0,0.237074247799202,0
"TCGA.CC.A3MC.01A",0.275497580940845,0,0.367927086963361,0.356575332095795,0,0,0
"TCGA.FV.A2QR.01A",0.193611296487877,7.01153305482924e-05,0.593540997193183,0.052264514145016,0,0.157309911709263,0.00320316513411301
"TCGA.EP.A26S.01A",0.000278290387330939,0.042559819776218,0.17544395470666,0.403841539859943,0.127964811463727,0.249911583806121,0
"TCGA.K7.AAU7.01A",0.109165482825004,0.0410783036269213,0.441085469388427,0.408670744159648,0,0,0
"TCGA.G3.A25T.01A",0.0686836607934088,0.146615881264833,0.287422895076408,0.145569541832145,0.351708021033206,0,0
"TCGA.DD.AADB.01A",0.214919294698552,0.186218865951905,0.254502690398913,0.171513150505512,0,0.0565420922033811,0.116303906241738
"TCGA.UB.A7MA.01A",0.0698428239731043,0.391481951847493,0.300476979021329,0,0.238198245158074,0,0
"TCGA.DD.AAD0.01A",0.113836736838625,0.0123715933374353,0.35847507785717,0.402234121655739,0,0.11308247031103,0
"TCGA.BC.4072.01B",0.20165810920979,0.0976578104868696,0.318177430106653,0.170817220866719,0,0.167956593898676,0.0437328354312914
"TCGA.DD.AACD.01A",0.0706823419765197,0.279262961071137,0.197126459442479,0.0338384097912751,0.41908982771859,0,0
"TCGA.DD.A3A5.01A",0.000558193800585069,0.231200570316938,0.382440963564038,0.261976033655773,0,0,0.123824238662666
"TCGA.ZP.A9D1.01A",0.139710116997617,0,0.399638816941453,0.180091979774078,0,0.226503885863088,0.0540552004237639
"TCGA.ZP.A9D0.01A",0.0037034126751661,0.065388634618122,0.388654692054692,0.379898292824128,0,0.134990479413546,0.027364488414346
"TCGA.CC.A7IK.01A",0.0459152310679849,0.192867520108579,0.221545449805358,0.223242846105308,0.21252751721693,0.000958638186634428,0.102942797509206
"TCGA.WQ.AB4B.01A",0.10278865076639,0.0809835548519337,0.262731359899645,0.164212198655998,0.352200383927659,0.0023508220455158,0.0347330298528595
"TCGA.FV.A4ZQ.01A",0.170116607458533,0.542182762477719,0.129367182792646,0,0.00309710740465233,0,0.155236339866449
"TCGA.G3.A25S.01A",0.0788123657270198,0.245806916308047,0.196410070637202,0.216911621206762,0.260950213565495,0.00110881255547373,0
"TCGA.NI.A4U2.01A",0.0167316306738641,0.0688705611909061,0.211513479516861,0.489611778468083,0,0.131600150883594,0.0816723992666918
"TCGA.RC.A7SK.01A",0.0514387313311727,0.115558176769774,0.406577410046753,0.209564258327242,0,0.142828174575348,0.0740332489497112
"TCGA.DD.AADS.01A",0.164603915592222,0.215467860810058,0.240652556837307,0.0236018707285785,0.355673796031835,0,0
"TCGA.DD.A73F.01A",0.228279728750263,0.0180479860749471,0.224703920057211,0.245168675668578,0,0.198924231674546,0.0848754577744547
"TCGA.DD.A11C.01A",0.0761735040556294,0.13571547039392,0.347481161186026,0.429565015037511,0,0.011064849326913,0
"TCGA.FV.A23B.01A",0.0446862034375321,0.136069842755654,0.318001116835365,0.252618834360673,0,0.248624002610775,0
"TCGA.DD.AADD.01A",0.0437096878743673,0.179703766438629,0.24405684750085,0.300065608842983,0,0.0861436080765904,0.146320481266582
"TCGA.DD.AACO.01A",0.117910991641976,0.20139111850598,0.238543277206155,0.0676854823480797,0.374469130297809,0,0
"TCGA.RC.A6M3.01A",0.0287183823315425,0.0766781172594825,0.121942663099888,0.372348332462626,0.400312504846461,0,0
"TCGA.DD.AAED.01A",0.00281564859307961,0.0247652887129101,0.103341946057436,0.297731630214558,0.571345486422016,0,0
"TCGA.BC.A10X.01A",0.0969139656733084,0.0161840140809861,0.487518484659931,0.322194004562941,0,0.0771895310228337,0
"TCGA.DD.AAVP.01A",0.0577644962034999,0.298245493091073,0.175648265449193,0.27258644457287,0.111687817683216,0,0.0840674830001487
"TCGA.MI.A75C.01A",0.113888347357101,0.157703659741682,0.110328787379435,0.275786726643461,0.33153311821427,0,0.0107593606640505
"TCGA.DD.A39W.01A",0.0441564480504363,0.176268095003278,0.238369754894416,0.319630918561663,0.0602784208354325,0.158887033226569,0.00240932942820549
"TCGA.DD.A4NA.01A",0.223910967652296,0.00152975925957694,0.619680180738616,0.108369132880177,0,0.0453268976850083,0.00118306178432644
"TCGA.DD.AAVY.01A",0.0667335803222708,0.0409486542210278,0.384344517238189,0.208367160035312,0.00598151328096594,0.142463358417668,0.151161216484567
"TCGA.DD.A1EC.01A",0.182924905557724,0.06014753642788,0.172410279285533,0.245273420257088,0,0.251587187091465,0.0876566713803104
"TCGA.5C.AAPD.01A",0.339782511927969,0.210671772312341,0.292663863919815,0.0581330511904119,0,0,0.0987488006494631
"TCGA.BC.4073.01B",0.158323606519296,0.465152260678389,0.371529177477845,0,0,0.000912631473519996,0.00408232385095067
"TCGA.WQ.A9G7.01A",0.130063363796778,0.135968693801408,0.153417225722442,0.477643779133144,0.102906937546227,0,0
"TCGA.CC.A7II.01A",0,0.553799914551613,0.131972355677468,0,0.314227729770919,0,0
"TCGA.CC.A8HS.01A",0.0235785015722852,0.173454846758409,0.254976897919533,0.319370212296137,0,0.200485506086588,0.0281340353670466
"TCGA.DD.AAEA.01A",0.146546846183957,0.0879110843454729,0.141433229916372,0.503191808102287,0,0.0293455057852196,0.0915715256666905
"TCGA.DD.A4ND.01A",0.169626156678636,0,0.42564761992473,0.223915689050739,0,0.17858422384217,0.00222631050372463
"TCGA.ZP.A9D2.01A",0.282374728239759,0.0496813725285675,0.665282941830363,0,0,0,0.00266095740131141
"TCGA.DD.AADI.01A",0.000784021581023697,0.34152502870812,0.216491992452232,0,0.441198957258625,0,0
"TCGA.2Y.A9GX.01A",0.211546109992719,0.00901164126965559,0.358494622588327,0.122396754349756,0,0.258073931306168,0.0404769404933738
"TCGA.DD.AACY.01A",0.01119243755496,0.0761661207847779,0.328222247324116,0.172738792520348,0.265218094951824,0.0105407982420251,0.135921508621949
"TCGA.DD.A73D.01A",0,0.0438861624408453,0.128349019913319,0.420504949010549,0.355434939162472,0.0518249294728152,0
"TCGA.DD.AAE9.01A",0.155508557273506,0.178918676392315,0.21547157488404,0.401742332366212,0,0.000114166840219422,0.0482446922437075
"TCGA.ED.A7XO.01A",0.0863770168988095,0.195185232281301,0.355424880707336,0.203436325653801,0.000969364684589265,0.000303176939234493,0.158304002834929
"TCGA.DD.AADM.01A",0.210648878975265,0.315894326699367,0.262968407008729,0.000890140930722091,0.20486856238944,0,0.00472968399647681
"TCGA.FV.A3R3.01A",0.132831812421902,0.0141724680080172,0.316752660734337,0.536243058835744,0,0,0
"TCGA.DD.AACL.01A",0.471901211841839,0.233876022325321,0.139633658203213,0.10639145994602,0,0,0.0481976476836068
"TCGA.DD.A4NJ.01A",0.118724059531009,0.0494679702852973,0.301469694540053,0.310069830695128,0,0.220268444948513,0
"TCGA.DD.AADU.01A",0.0883155920957327,0.104741263926223,0.144733852461199,0.598527038805921,0.0614892595365924,0,0.00219299317433137
"TCGA.CC.A7IF.01A",0.000445992430619725,0.0738424535423262,0.162420536281588,0.736202534606703,0,0.0270884831387622,0
"TCGA.CC.A5UE.01A",0.272636723078387,0.278210125643926,0.334889470025793,0.0225811593272332,0.00403739607353233,0,0.087645125851128
"TCGA.DD.AAVW.01A",0.143182539694252,0.0681096911024092,0.43032041657338,0.309533495106074,0,0.0488538575238854,0
"TCGA.CC.A9FW.01A",0.0745737335546993,0.155031326192878,0.322303655945542,0.111962254133122,0.179132125199954,0.0177779417547636,0.139218963219041
"TCGA.DD.A4NQ.01A",0.320215585650031,0,0.293978289817388,0.385806124532581,0,0,0
"TCGA.DD.A3A7.01A",0.094868491408773,0.151395346496952,0.121892896550339,0.248969592480985,0.382873673062951,0,0
"TCGA.EP.A2KA.01A",0.048389207395883,0.387054704485026,0.151073058667506,0,0.413483029451584,0,0
"TCGA.ED.A7PZ.01A",0.047225121349139,0.195053346382236,0.167719741735678,0.342609626110221,0.155684791304083,0,0.0917073731186424
"TCGA.G3.A25U.01A",0,0.0467112424054152,0.265052722977226,0.259837018062395,0.20167642093624,0.226722595618724,0
"TCGA.RC.A7SH.01A",0.0978886310325657,0.0148609970902454,0.143633764663889,0.495846811390172,0.0647927527248533,0.0674562088615524,0.115520834236723
"TCGA.G3.AAV1.01A",0.0476331028419846,0.0896517062426395,0.219636368881882,0.468341202397343,0.101204765270471,0.068283589569547,0.00524926479613274
"TCGA.2Y.A9GZ.01A",0.000720971330961395,0.0488390112818059,0.276454148045328,0.402773529722681,0,0.271212339619224,0
"TCGA.DD.AA3A.01A",0.0216390580279042,0.191599820470891,0.338190390379133,0.117646936170559,0.178865269077088,0,0.152058525874424
"TCGA.2Y.A9HA.01A",0.162839345501501,0.15452390168166,0.327315319130847,0.315492823929103,0,0.0398286097568904,0
"TCGA.DD.AADK.01A",0.15186522815438,0.0881182796877093,0.350278202304573,0.408416312929496,0,8.68902167231023e-05,0.00123508670711926
"TCGA.G3.A5SI.01A",0.0129356979381914,0.0345575922590739,0.47059781980131,0.415502316315178,0,0.000249115907877406,0.0661574577783685
"TCGA.DD.A4NI.01A",0.0551182561557517,0.0492559135320334,0.218362004432671,0.436128298870792,0,0.223993318462996,0.0171422085457557
"TCGA.DD.A73A.01A",0.0684894558481427,0.0454031975580924,0.202639946988349,0.574554422606072,0,0.0850491272782039,0.0238638497211402
