"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.55.8508.01A",0.176827006278487,0.193935219229114,0.289932602020205,0.18118506472537,0.000160159712536703,0.103510470296216,0.0544494777380716
"TCGA.67.3771.01A",0.207289192677858,0.638731893430999,0.153978913891143,0,0,0,0
"TCGA.55.A4DG.01A",0.100560963985116,0.0688562951965813,0.207903619580273,0.161985059345044,0,0.457523930687155,0.00317013120583023
"TCGA.91.7771.01A",0.18042292532689,0.380957440791153,0.300051675980595,0,0,0.0440789644346607,0.0944889934667009
"TCGA.91.6849.01A",0.340523009052894,0.173781660452593,0.319479574449652,0.159581615321207,0,0.00663414072365415,0
"TCGA.64.5781.01A",0.124025406673044,0.505143889516419,0.33093652186415,0,0.0398941819463866,0,0
"TCGA.44.6146.01B",0.0363598127104869,0.136157364675446,0.790169569610509,0,0,0.0373132530035587,0
"TCGA.97.7552.01A",0.2118879641496,0.357990271214171,0.345428328093095,0,0,0.037606310239973,0.0470871263031605
"TCGA.80.5608.01A",0.159280276418995,0.290684985935162,0.405611049061897,0.0369883905269894,0.000743609366234482,0.0146044585301733,0.0920872301605485
"TCGA.91.6829.01A",0.248833570049228,0,0.751166429950772,0,0,0,0
"TCGA.49.AARE.01A",0.268481615921104,0.0637609903774541,0.263235590335644,0.383266771396671,0,0,0.0212550319691272
"TCGA.97.A4M1.01A",0.210488431134096,0.364365157428869,0.183887257759587,0.139610949305126,0,0.0874030906707007,0.0142451137016229
"TCGA.83.5908.01A",0.31952236674603,0.195265261942068,0.405925287601449,0,0,0.00494168505584308,0.0743453986546097
"TCGA.97.8179.01A",0.311352236256139,0.0675153216668534,0.38864927313071,0.219281180138139,0,0.0132019888081586,0
"TCGA.64.1680.01A",0.0169670952935997,0.81039937653536,0.115663501468771,0,0.0569700267022697,0,0
"TCGA.73.4670.01A",0.0710972723911003,0.41935927745494,0.39763867681357,0,0.11190477334039,0,0
"TCGA.44.3396.01A",0.439222891106262,0.113212927715057,0.445003047662983,0,0,0.0016072071527809,0.000953926362917142
"TCGA.80.5611.01A",0.473969382151738,0.290287070006002,0.235488949086954,0,0,0,0.000254598755306482
"TCGA.53.7624.01A",0.172588431494691,0.252590803695031,0.46274439180108,0,0,0.0049667331523865,0.107109639856811
"TCGA.91.6835.01A",0.328334955185279,0.404551531033309,0.267113513781412,0,0,0,0
"TCGA.L9.A50W.01A",0.186149990400697,0.316965399709445,0.331181198222959,0.0862784494440518,0,0.0773752384786894,0.00204972374415675
"TCGA.86.7713.01A",0.103878424186918,0.429911498273767,0.437458652990964,0,0.000981359233948653,0.000504583109803178,0.0272654822045989
"TCGA.50.5044.01A",0.345854575586888,0.101120889485974,0.415034205829789,0,0,0,0.137990329097349
"TCGA.97.7941.01A",0.131835557000949,0.221357734354741,0.306476685065904,0.103159486757358,0.0265492146946087,0.0973831647525867,0.113238157373853
"TCGA.86.7714.01A",0.186761071095955,0.332805822394529,0.330538860427951,0.0245131684578113,0.00420940872724049,0.101667366216067,0.0195043026804465
"TCGA.62.8402.01A",0.150586573660344,0.299948816738517,0.223693644807098,0,0,0.124044997596439,0.201725967197603
"TCGA.78.7162.01A",0.11383349953655,0.418430640556553,0.435466235759367,0,0,0.0185462883564142,0.0137233357911159
"TCGA.49.AAR0.01A",0.274560468825917,0.260357955475166,0.238820532472179,0.130139227475125,0,0,0.0961218157516129
