"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.24.1104.01A",0.0845526818011076,0.142166199213219,0.17461819114577,0.426406741959647,0.152821618895815,0,0.0194345669844407
"TCGA.25.1320.01A",0.210700454137807,0.0321924027820017,0.564384421281612,0.192722721798579,0,0,0
"TCGA.24.1850.01A",0.17039139069254,0.384740897526916,0.428401557838815,0.00454247882081065,0,0,0.0119236751209183
"TCGA.61.2101.01A",0.0348445690276849,0.258734295494191,0.390454720430804,0.13380719348407,0.18215922156325,0,0
"TCGA.23.1111.01A",0.0142113627504645,0.18129260928509,0.25862312776934,0.060246813777357,0.485626086417749,0,0
"TCGA.25.2396.01A",0.0159531276698145,0.230560374714726,0.181042019918409,0.190332301223175,0.382112176473875,0,0
"TCGA.30.1714.01A",0,0.122010734468565,0.0308339309909555,0.209798644853414,0.637356689687065,0,0
"TCGA.04.1347.01A",0,0.111662006981663,0.102534129168891,0.252242810334369,0.533561053515077,0,0
"TCGA.59.2351.01A",0.0592696868157408,0.305856637204649,0.245664355427204,0.136236560773829,0.249015104322831,0,0.00395765545574611
"TCGA.09.1659.01B",0.00478186768483155,0.527535474243085,0.110261713387611,0,0.357420944684473,0,0
"TCGA.24.1431.01A",0,0.268597243571112,0.069946242758617,0.0966305969832046,0.564825916687066,0,0
"TCGA.31.1951.01A",0.178854183237862,0.097647661386904,0.50731382494498,0.115035214786134,0.00231595858388935,0.097543654372773,0.00128950268745786
"TCGA.29.1769.01A",0.0822485903354235,0.224609355840554,0.233553642101344,0.103115908070777,0.356282971047415,0,0.000189532604486792
"TCGA.13.0916.01A",0.168748170778344,0.376968616247722,0.245950259512563,0.14334801041067,0,0,0.0649849430507012
"TCGA.61.1721.01A",0.0105856338580794,0.197274792293596,0.195710432691177,0,0.596429141157148,0,0
"TCGA.20.1687.01A",0.0600003342746957,0.391318773891424,0.123645510284133,0.218538480897637,0.206496900652111,0,0
"TCGA.29.2414.01A",0,0.25858735208511,0.272334189079454,0.175503288661384,0.293575170174052,0,0
"TCGA.13.1411.01A",0.277582301729677,0.114657678563136,0.38066504274538,0.226719254982731,0,0,0.000375721979074995
"TCGA.24.1928.01A",0.0976035536622089,0.0892852703267991,0.54118909320244,0.257287306967946,0,0.0146347758406056,0
"TCGA.31.1959.01A",0.307675925068813,0.118100647051375,0.569288762488612,0.000107445873756598,0,0.00456644154813689,0.000260777969306258
"TCGA.57.1586.01A",0.0120410745873766,0.213432499931779,0.134563632915276,0.41172509272927,0.207681900410022,0,0.0205557994262768
"TCGA.09.2044.01B",0.134533966777679,0.501254835659349,0.244080008590233,0,0.0891568815576269,0,0.0309743074151116
"TCGA.13.1506.01A",0.0676752480215915,0.461492573853449,0.277938369207863,0,0.192893808917096,0,0
