"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.V1.A9OF.01A",0,0.23279112876759,0.160914937886897,0.138205123796298,0.462384711553578,0.000908295820773708,0.00479580217486234
"TCGA.ZG.A8QX.01A",0.00307015951484255,0.140901154911318,0.204032773072284,0.223698480693682,0.357902848706273,0.0426680045691129,0.0277265785324874
"TCGA.YL.A8SC.01A",0.0121461448235405,0.318231500734322,0.238666438105811,9.50306915747141e-05,0.0799594165423318,0.130261494201537,0.220639974900883
"TCGA.HC.7817.01B",0.068276484987902,0.388262586165301,0.422165658890668,0,0.0004172624051097,0.0285894673425033,0.0922885402085163
"TCGA.KC.A7F6.01A",0,0.190159714193543,0.183209011122372,0.129978924471116,0.496652350212968,0,0
"TCGA.KK.A7B4.01A",0,0.225059620983444,0.233776151290324,0.146515489952385,0.196357874568357,0.055316498899543,0.142974364305948
"TCGA.G9.6366.01A",0.000232895574257519,0.119165160164684,0.357938495332389,0.129403829295737,0,0.144459472987666,0.248800146645266
"TCGA.KK.A59X.01A",0.0562458784391835,0.250970495629704,0.412256753265256,0.141831729298272,0,0,0.138695143367584
"TCGA.HC.A6AN.01A",0.00144134008722387,0.421737012877442,0.155325319507742,0.00076640793772851,0.420729919589864,0,0
"TCGA.G9.6498.01A",0.0167214831015077,0.0599672376965642,0.116012210837046,0.385241448475472,0.422057619889409,0,0
"TCGA.J4.AATZ.01A",0.000468997814568595,0.157060134805424,0.280147096780271,0.0879219086897548,0.153189985046214,0.196320976219863,0.124890900643904
"TCGA.EJ.7317.01A",0,0.103367459049792,0.213465857905391,0.321065607083595,0.318769710261091,0.0180668127497674,0.0252645529503625
"TCGA.SU.A7E7.01A",0.007701065871715,0.207523837626351,0.248571500814021,0.12100793147429,0.0534028312286057,0.210389648058636,0.151403184926381
"TCGA.XJ.A83F.01A",0,0.0969523516836265,0.0947172068478262,0.174159301272008,0.63417114019654,0,0
"TCGA.2A.AAYO.01A",0.000778611760701498,0.199597460205875,0.160235993570368,0.24307978990271,0.219521403180502,0.0553043160343597,0.121482425345484
"TCGA.EJ.A46B.01A",0,0.124721941259989,0.28931965985742,0.202586267803012,0.133104791747696,0.187956631639004,0.0623107076928788
"TCGA.QU.A6IN.01A",0,0.385911005960905,0.0471833206541363,0,0.566905673384959,0,0
"TCGA.KK.A59Z.01A",0.0111715860040842,0.0929008456655379,0.122038954534549,0.482259563452582,0.283799386848329,0,0.00782966349491782
"TCGA.XK.AAJT.01A",0.00010901098722261,0.121732218358615,0.146661111746569,0.350196640065301,0.291521020551269,0.0664248125856934,0.0233551857053295
"TCGA.EJ.7125.01A",0.0093209326850411,0.191020804417557,0.287119440310202,0.200237424581728,0.13717243021249,0.0788136272016372,0.0963153405913445
"TCGA.J9.A52C.01A",0.0820814646538602,0.167729585763334,0.322511954079021,0.21636148900821,0.0997822693842053,0.0449849542582448,0.0665482828531246
"TCGA.YL.A8HL.01A",0.000516200475014825,0.219354609179146,0.354066068490214,0.096600169765083,0,0.249857132773949,0.0796058193165923
"TCGA.ZG.A9LZ.01A",0.000853204181690445,0.23475516549781,0.133635261144146,0.0677920379568319,0.509288782807017,0.000438615307401197,0.0532369331051042
"TCGA.J9.A8CP.01A",0.000233844034894407,0.272016856701426,0.264609503073517,0.151691609076484,0.251468431716006,0.00117355418211315,0.0588062012155593
"TCGA.FC.A6HD.01A",0,0.584496658330984,0.0555578463857497,0,0.359945495283266,0,0
"TCGA.G9.6351.01A",0.00023201400182028,0.195280549339458,0.265756041851079,0.156855216992603,0.188813805611996,0.0863067486689952,0.106755623534049
"TCGA.EJ.5532.01A",0,0.301792977130252,0.326213950910096,0.0740596757249604,0.035826603574215,0.169421246603083,0.0926855460573941
"TCGA.EJ.5525.01A",0,0.580007224332552,0.205273582864454,0,0.214719192802993,0,0
"TCGA.ZG.A9L9.01A",0.0396764244734293,0.143896533012037,0.244234987846176,0.173771181225945,0.38126919186426,0,0.0171516815781525
"TCGA.EJ.A65F.01A",0,0.225491273327633,0.213888589372854,0.10816577990359,0.198434663841069,0.119988153193033,0.134031540361819
"TCGA.2A.A8VX.01A",0,0.0722145617742363,0.0770678512053963,0.199616383636922,0.651101203383446,0,0
"TCGA.KK.A8I4.01A",0.0220722013206597,0.209656231508646,0.282396311766615,0.0922452236645453,0.0144505239671944,0.243547282260939,0.135632225511401
"TCGA.KK.A8IA.01A",0,0.179192001305737,0.163176879338404,0.159551490486893,0.465196550068735,0,0.0328830788002316
"TCGA.Y6.A9XI.01A",0,0.305097934295738,0.157111433931152,0.0668937797475474,0.371424727033544,0.0524692265728703,0.0470028984191481
"TCGA.VN.A88I.01A",0.0503939899094595,0.240173202864126,0.402700503382106,0,0.235737392848761,0.0082176050529471,0.0627773059425998
"TCGA.M7.A71Z.01A",0,0.138483761163319,0.0465171426976087,0.183153464812717,0.631845631326356,0,0
"TCGA.EJ.A46E.01A",0.00818338312166834,0.166827759710566,0.298996153354982,0.14228756485655,0.141866333988468,0.217471096228927,0.0243677087388387
"TCGA.CH.5788.01A",0,0.200452089126694,0.149283742010176,0.177586164054194,0.415942412294363,0,0.0567355925145727
"TCGA.KK.A7AU.01A",0,0.492487262283173,0.132360738925893,0,0.375151998790934,0,0
"TCGA.EJ.5531.01A",0.0372193625556708,0.396545062415576,0.366140593021479,0,0.106464233613852,0.0288364985160439,0.0647942498773783
"TCGA.VN.A88K.01A",0,0.466739001158722,0.227153160895404,0,0.306107837945874,0,0
"TCGA.VN.A88M.01A",0,0.0729355316584676,0.0498197883141934,0.295446021388661,0.581798658638678,0,0
"TCGA.EJ.5506.01A",0,0.106050404324862,0.235076057700908,0.102871025501894,0.0387067879475939,0.439840694233599,0.0774550302911436
"TCGA.XK.AAJU.01A",7.72421747165548e-05,0.213552558229869,0.225960757580164,0.126137063137102,0.319573688600684,0.0842539676198631,0.0304447226576019
"TCGA.YL.A8SI.01A",0.0071392916171661,0.173533724822218,0.226290227930753,0.172998200065093,0.362718886769693,0,0.0573196687950765
"TCGA.G9.6499.01A",0.000541416234221401,0.170782551546303,0.22167117155526,0.177301897170302,0.406123854130083,0,0.0235791093638305
"TCGA.QU.A6IL.01A",0,0.277705138674816,0.0524635747553978,0.136226420996441,0.533604865573345,0,0
"TCGA.J4.A67Q.01A",0.0149235581393753,0.277037397646153,0.17163534942643,0,0.536403694788042,0,0
"TCGA.G9.6361.01A",0.00795046685022218,0.171969903154878,0.224205717355979,0.126282022234819,0.469591890404102,0,0
"TCGA.VN.A88L.01A",0,0.18302417490648,0.259594662517243,0.150127693599933,0.389207738677469,0.00101957651415219,0.0170261537847227
"TCGA.KK.A8I9.01A",0.0298923370467944,0.265053466468406,0.299783243884499,0.0320232440513456,0.373247708548954,0,0
"TCGA.V1.A9ZG.01A",0.00453079665326247,0.225874834759601,0.30779163641779,0.14179001192725,0.268065829791215,0.00157086903400148,0.0503760214168805
"TCGA.V1.A9OX.01A",0,0.136383252380076,0.116451994643961,0.346105496775168,0.375475226514541,0.0164595757851552,0.00912445390109821
"TCGA.G9.6373.01A",0,0.13521475447392,0.125929606206472,0.140748748670151,0.598106890649458,0,0
