"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.A5.A0R8.01A",0.168379223302695,0.128031267405326,0.146871958997059,0.372253375641913,0.173286159296846,0,0.011178015356161
"TCGA.A5.A0G3.01A",0.12597008929887,0.367834439637574,0.283784391020196,0,0.211349482851554,0,0.0110615971918053
"TCGA.AP.A054.01A",0.041873498522038,0.356795361832648,0.350300451312568,0,0.0162823814997202,0,0.234748306833026
"TCGA.A5.A0GX.01A",0.108415978831264,0.343654793598163,0.24460251747669,0.161309724319496,0.140118623166072,9.3797175892946e-05,0.00180456543242194
"TCGA.DI.A2QY.01A",0.00161383306846603,0.146952203526032,0.160037709369575,0.461168011014112,0.230228243021814,0,0
"TCGA.EY.A1GC.01A",0.1068979057152,0.69783829803588,0.14509278942002,0,0.0039778742136236,0,0.0461931326152763
"TCGA.A5.A0GI.01A",0.0531664320513715,0.162312678782572,0.193319042620728,0.226649763510814,0.364552083034514,0,0
"TCGA.D1.A17S.01A",0,0.0627861785942464,0.0266455298938834,0.470635411701663,0.426834696562602,0.0130981832476051,0
"TCGA.EY.A5W2.01A",0.0481443338879255,0.440187278562441,0.192249443727423,0,0.31941894382221,0,0
"TCGA.D1.A1NU.01A",0.109514365275144,0.262907901846388,0.332979456987315,0.0992809390243042,0.0365868286915488,0,0.158730508175301
"TCGA.BG.A18A.01A",0.131026318953869,0.188767022560407,0.382316988265171,0.24594308446423,0.0224348450749847,0.0013498978952758,0.028161842786063
"TCGA.AX.A06B.01A",0.141719593191153,0.164052149479925,0.323602268964446,0.365170279787518,0,0,0.00545570857695768
"TCGA.E6.A2P9.01A",0.0493608575277504,0.428803717711052,0.207333682773641,0,0.314501741987557,0,0
"TCGA.PG.A917.01A",0.0129249712098298,0.717026478387085,0.0925882747867623,0,0.177460275616323,0,0
"TCGA.AX.A3FS.01A",0.0339942817358249,0.46624603521021,0.277120769383282,0,0.127657769135099,0,0.0949811445355838
"TCGA.A5.A2K4.01A",0.173926028674349,0.121987235648023,0.590399846455824,0,0,0.0524266540072379,0.0612602352145669
"TCGA.D1.A1O0.01A",0.0869097311520046,0.18873830738324,0.198905604009823,0.271551947474347,0.100987537446571,0.0381009689423383,0.114805903591676
"TCGA.B5.A0JS.01A",0.0598032486824677,0.314473761582737,0.33110553080049,0.162183196439157,0.124543350864545,0.00124225739051117,0.00664865424009287
"TCGA.AX.A1CE.01A",0.0856327484320441,0.0309846109111061,0.413992610637414,0.469390030019436,0,0,0
"TCGA.D1.A17F.01A",0.0827689444742364,0.0754663486286859,0.0663168552710393,0.449812154111321,0.325635697514717,0,0
"TCGA.EO.A3AV.01A",0.171901231428451,0.527138532675832,0.300960235895717,0,0,0,0
"TCGA.D1.A17B.01A",0.491917338210968,0.0601200303143019,0.340471289216416,0.106653049292955,0,0.000838292965358489,0
"TCGA.E6.A8L9.01A",0.0338546410189496,0.226977332388851,0.268075494946324,0.074574304524963,0.19741952392279,0.114359672022614,0.0847390311755076
"TCGA.EY.A547.01A",0.00639674749409313,0.719813961821411,0.112678658876873,0,0.161110631807623,0,0
