"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.BQ.7044.01A",0,0.0111432969937132,0,0.783670526154682,0.134529314093841,0,0,0,0,0.070656862757764
"TCGA.SX.A7SR.01A",0,0.0396041766117436,0,0.594820936984846,0.188029757019664,0,0,0,0,0.177545129383747
"TCGA.MH.A854.01A",0,0.00942329153237333,0,0.802100927700519,0.0854479314271259,0,0,0,0,0.103027849339982
"TCGA.B3.8121.01A",0,0.158914632102643,0,0.356255266005399,0.209405775241881,0,0,0,0,0.275424326650077
"TCGA.2Z.A9JJ.01A",0,0.0314078564064437,0,0.532831873476502,0.185590870545432,0,0,0,0.000450835289542521,0.249718564282079
"TCGA.B1.7332.01A",0,0.068062718085327,0,0.593525372758009,0.165204468483192,0,0,0,0,0.173207440673471
"TCGA.WN.A9G9.01A",0.193553681789046,0.31369918033428,0.00266210131551143,0.271108668908182,0.0997252789854395,0,0,0,0,0.119251088667541
"TCGA.A4.8310.01A",0,0.0206132486031684,0,0.698958020710418,0.144472155757605,0,0,0,0,0.135956574928808
"TCGA.2Z.A9JT.01A",0,0.162753290378404,0,0.750605250674977,0.0319470145509011,0,0,0,0,0.054694444395718
"TCGA.5P.A9K2.01A",0,0,0,0.779636736945187,0.0901403114223887,0,0,0,0,0.130222951632424
"TCGA.4A.A93W.01A",0,0.0107199036335158,0,0.612153079612662,0.173330637564837,0,0,0,0,0.203796379188984
"TCGA.DW.7837.01A",0,0.072063440252058,0,0.593591862502131,0.185003254068648,0,0,0,0,0.149341443177163
"TCGA.A4.A5DU.01A",0,0.00245841755699091,0,0.718875598552872,0.143409770160088,0,0,0,0,0.135256213730049
"TCGA.2Z.A9JI.01A",0,0.0945915566682189,0,0.642042236947651,0.11274856318071,0,0,0,0,0.15061764320342
"TCGA.BQ.7050.01A",0,0.0271725789397603,0,0.644578559948149,0.157603781426457,0,0,0,0,0.170645079685634
"TCGA.BQ.5894.01A",0,0.0738315285087349,0,0.439229236800648,0.220071869971682,0,0,0.00172594931668578,0,0.265141415402249
"TCGA.BQ.5879.01A",0,0.0135198974763743,0,0.51995849603993,0.250570217526418,0,0,0,0,0.215951388957278
"TCGA.AL.3472.01A",0,0,0,0.641047887894971,0.165535850887479,0,0,0,0,0.19341626121755
"TCGA.MH.A560.01A",0,0.0380804532814039,0,0.8269740324356,0.0784317030477606,0,0,0,0,0.0565138112352352
"TCGA.BQ.5891.01A",0,0,0,0.723561081572649,0.149151050736989,0,0,0,0,0.127287867690362
"TCGA.B9.A5W7.01A",0,0.0307179208224971,0,0.692310637330512,0.151267556480847,0,0,0,0,0.125703885366144
"TCGA.UZ.A9PR.01A",0,0.0074191433917172,0,0.588409769554663,0.230146556293752,0,0,0,0,0.174024530759868
"TCGA.B9.A69E.01A",0,0.181200406960439,0,0.441460276671492,0.202343302928031,0,0,0,0,0.174996013440038
"TCGA.B3.4104.01A",0,0,0,0.394720541721948,0.238331976321071,0,0.129820987474776,0,0,0.237126494482205
"TCGA.SX.A71R.01A",0,0,0,0.697146229375258,0.168959595547273,0,0,0,0,0.133894175077469
"TCGA.MH.A55Z.01A",0,0.0237025563431403,0,0.729623878999639,0.131558526094509,0,0,0,0,0.115115038562711
"TCGA.UZ.A9PO.01A",0,0.0985159541206094,0,0.656348537190735,0.133270287958349,0,0,0,0,0.111865220730307
"TCGA.G7.7501.01A",0,0.0531809859180154,0,0.638343178584591,0.136794849519755,0,0,0,0,0.171680985977638
"TCGA.DW.7836.01A",0,0,0,0.581069438494479,0.214668375675591,0,0,0,0,0.20426218582993
"TCGA.HE.A5NI.01A",0,0.0297166472489109,0,0.720700634249212,0.150140996003446,0,0,0,0,0.0994417224984308
"TCGA.G7.A8LE.01A",0,0,0,0.405823386961992,0.29081077935403,0,0,0,0,0.303365833683978
"TCGA.Y8.A895.01A",0,0,0,0.638558454951527,0.190518188023191,0,0,0,0,0.170923357025282
"TCGA.UZ.A9PQ.01A",0,0,0,0.611768251985508,0.192211133727458,0,0,0,0,0.196020614287034
