Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
BT1160,0.0107186860216351,0,0.00563058529451739,0,0,0,0,0.499527989814166,0,0.484122738869681,0.01,0.0936231245005736,1.01207003003106
BT1187,0.0108139729964553,0.0427560601903761,0.000990723995652388,0.901050087851913,0,5.06236501571056e-05,0.028805661004325,0.0153706266711055,0.00016224364001581,0,0,0.788888161092046,0.622149446189781
BT749,0,0,0.269309823347969,0,0,0,0,0.730690176652031,0,0,0.0600000000000001,0.0506371365059448,1.02925252619611
BT771,0.00413881420799655,0,0.670757186355596,0.114634760978354,0,0,0,0.0357655396322803,0,0.174703698825773,0,0.309897764286781,0.951080846322506
BT786,0,0,0.559162040256136,0.00530035962001559,0,0,0,0.347612511961998,0,0.0879250881618505,0.0600000000000001,0.0489960444796044,1.02720596867473
BT830,0,0,0.828717767580748,0,0.000243315833887131,0,0,0.0195163583131029,0,0.151522558272262,0,0.260889237853426,0.972795942879534
BT85,0.158929312133715,0,0.262338399238819,0,0.0113989581707227,0.116507468630911,0.00844667959505704,0.229201949802787,0.0311798692522835,0.181997363175705,0.1,0.0372999760496209,1.01771605831852
BT920,0,0,0.351613819894899,0.190736829459781,0,0,0,0.213103041236526,0,0.244546309408794,0,0.191767673585635,0.98620640245232
MGH100,0,0,0.33245331680128,0,0,0,0,0.111705795018086,0,0.555840888180634,0,0.147107013069851,1.00153386870486
MGH101,0,0.00895718093488157,0.225019007153734,0.478542002131537,0,0,0,0.149887395628219,0,0.137594414151628,0,0.334602675107361,0.945814828025993
MGH102,0.000401055243362822,0.0361325912361513,0,0.613290446098347,0,0,0,0.350175907422139,0,0,0,0.59157800160036,0.809383935703681
MGH104,0,0,0.36765542072224,0,0,0,0,0.0742627969180575,0,0.558081782359702,0,0.152093439685193,1.00153974041722
MGH105,0,0.0271960060163997,0.155839709459684,0.692640500623973,0,0,0,0.124323783899944,0,0,0,0.469676549846563,0.886280682648698
MGH106,0.475116922665851,0.24663020871069,0.15241140063047,0.0819828764565999,0,0,0,0.0268021310222746,0,0.0170564605141143,0,0.414289100607989,0.915152096941038
MGH110,0.198923344621294,0,0,0,0,0,0,0.468319264270015,0,0.332757391108692,0.01,0.0893629923819744,1.01063772111068
MGH113,0,0.0159289450228184,0.0275065171118307,0.758792156153851,0,0,0,0.1977723817115,0,0,0,0.380100899023754,0.950931195284175
MGH115,0.112944783460106,0,0.358984451065036,0.208966401520144,0,0,0,0.0805813836487832,0,0.238522980305931,0,0.238826545920715,0.972486732430879
MGH121,0,0,0.362016575337022,0,0,0,0,0.107336641706091,0,0.530646782956887,0,0.133190594668608,1.00577709278709
MGH122,0,0.0275929681247082,0.074883662912648,0.674959459474289,0,0,0,0.222563909488355,0,0,0,0.59176546543801,0.807432612528821
MGH124,0,0,0.0126985706327406,0.609786636007941,0,0,0,0.374819981708681,0,0.00269481165063783,0,0.318834078313758,0.968420967803257
MGH125,0.0809753468888696,0,0.00052269045441699,0.655531636384935,0,0,0,0.262970326271778,0,0,0,0.336593228900663,0.963607017977165
MGH128,0.000346559111426809,0,0.521087343999311,0,0,0,0,0.200269191150918,0,0.278296905738344,0,0.183611158541788,0.988927000026806
MGH129,0,0,0.601734192892219,0,0,0,0,0.0620499955184541,0,0.336215811589327,0,0.196365005215289,0.989453787734145
MGH136,0,0,0.473981592779143,0,0,0,0,0.414791603696958,0,0.111226803523899,0,0.0976221202544401,1.0107393177833
MGH143,0,0,0.467366940567619,0,0,0,0,0.0652282518859052,0,0.467404807546476,0,0.119542450007298,1.01225646272813
MGH151,0,0,0.664662853095541,0,0,0.00161312128862308,0,0.121603598204495,0,0.212120427411341,0,0.14752385858958,1.00535927308404
MGH152,0,0,0.443639094716518,0,0,0,0,0.159062214706281,0,0.397298690577201,0,0.116754405996492,1.0085763542219
MGH66,0,0,0.668108808671543,0,0,0,0,0.0432768468881462,0,0.288614344440311,0,0.311138614381461,0.950808902209713
