Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
BT1160,0.0198646120568627,0,0.0157288181971749,0.964406569745962,0,0,0,0,0,0,0,0,0,0,0.41936020904467,0.952839339581319
BT1187,0,0,0.0183522013962087,0,0.409706303082649,0,0,0.0036268966576265,0.492487811800594,0.0482519945043805,0.0275747925585412,0,0,0,0.800001680919716,0.619947754915534
BT749,0.0180011352000688,0.000351512165741926,0.0158706162860119,0.965753176905602,2.35594425750482e-05,0,0,0,0,0,0,0,0,0,0.518570319817921,0.876167656200305
BT771,0.0347560505195664,0,0,0.859589026840794,0,0.000121859819072796,0,0.0298447888373576,0.0568809096556582,0,0.0188073643275507,0,0,0,0.5528709841577,0.838113972735366
BT786,0,0,0.00978349274179219,0.972329769407314,0.00277785226080792,0,0,0,0.0151088855900856,0,0,0,0,0,0.529356114814097,0.868369966624742
BT830,0.0338908312615014,0,0.00361639007629572,0.857227916929102,0,0,0.00473619231458023,0.0964416358006231,0.00408703361789756,0,0,0,0,0,0.449655677009148,0.91782589471682
BT85,0.0237108611504524,0.00101884495606942,0.0245938397266432,0.950676454166835,0,0,0,0,0,0,0,0,0,0,0.40568451443945,0.959864914450001
BT920,0.021784754335489,0.00251589155831427,0.00538707645335538,0.838060854881594,0,0,0,0.0133684355966975,0.103789343108642,0,0.0146869833884939,0.000406660677413657,0,0,0.479777476105951,0.889506481432617
MGH100,0.0117353986944967,0,0.000530534694818707,0.983562545582088,0,0.00267731948143977,0,0,0,0,0.00149420154715714,0,0,0,0.606281095745273,0.80381109582355
MGH101,0.0216278370341363,0.00129476912163273,0,0.592560737638252,0,0,0,0,0.347042912006736,0,0.037154364120187,0.000319380079055825,0,0,0.595929178078926,0.806579631280542
MGH102,0.0250854645896911,0,0,0.324822243270477,0,0,0,0,0.614320804797023,0,0.0210641098410764,0.0147073775017329,0,0,0.5878884505724,0.810273884568161
MGH104,0,0,0.0167635638436886,0.976974581178548,0.00195389787246762,0,0.000553107908781438,0,0.00106962256406391,2.62469253342405e-05,0.00265897970711585,0,0,0,0.6266585712167,0.784666222302897
MGH105,0.00101275348564848,0.00294373419702521,0,0.436225538041408,0.062551944310565,0.0036392263342622,0,0,0.415962427572795,0,0.0776643760582966,0,0,0,0.671027558340812,0.759791998296396
MGH106,0.0349867934735885,0.0311129341101902,0.261099950382756,0.549949007702696,0,0.022173268362214,0.00535249915838117,0.00415624384444577,0.0528174286870237,0,0.0041670775143214,0.0341847967643829,0,0,0.625602797589823,0.795716621447554
MGH110,0.0105658669601574,0.00101404184056971,0.0261771889950851,0.9203730575508,0.00862796239075422,0,0,0,0.00380399002054957,0,0.0209921935180559,0.00844569872402776,0,0,0.445493865486039,0.924688081879216
MGH113,0.0212017034400336,0.00504905187547228,0,0.739050179599658,0.0203020210901846,0.0032784973214797,0,0,0.167058125380225,0.000184957717180943,0.0413355794994737,0.00253988407629284,0,0,0.649679921869243,0.764741159106963
MGH115,0.0250193785937838,0.00460832007370814,0.0102203620551751,0.847586202107988,0,0,0.0110460370460408,0,0.0890294214449173,0,0.00595686471182502,0.00653341396656231,0,0,0.554349524226797,0.835778917173458
MGH121,0.000150023695529185,0,0.00772526700245939,0.988125411069357,0.0001763735920649,0,0,0,0,0,0.00382292464058901,0,0,0,0.577943302335977,0.829420658965616
MGH122,0.0146978477863399,0,0,0.499430286761517,0.0670082029868188,0.00287108199503273,0,0,0.297153186378282,0,0.11883939409201,0,0,0,0.4591840718363,0.889355545313991
MGH124,0.00611493383879255,0.00340344186513577,0.0122143478556878,0.704511977379261,0.00274091503600208,0,0,0,0.230234810194231,0,0.0390424644080625,0.00173710942282768,0,0,0.426600174750425,0.913768137847103
MGH125,0.00133797528611452,0,0.0359136021539497,0.723318693136916,0,0,0,0,0.233670307549028,0,0.00575942187399103,0,0,0,0.507933801133391,0.863400017128161
MGH128,0.0652158357655022,0,0.00799239206537071,0.919537197865594,0,0,0.00328496947126489,0,0.00396960483226831,0,0,0,0,0,0.355270267037907,0.989244344373022
MGH129,0.00607667031485892,0,0,0.98616147647627,0.00119457284877178,0,0,0,0.00486755815899128,0,0.00169972220110778,0,0,0,0.651134012821629,0.762628554921567
MGH136,0.0169890178752902,0,0.00524353815930678,0.973606224398535,0,0,0,0,0.00159316866817727,0,0.00256805089869069,0,0,0,0.502842422000302,0.890192844603317
MGH143,0.0113845501411641,0.0010319724841724,0.00772776692274611,0.96925015399867,0.000868827816006371,0,0.0012597869362992,0.000861758079866404,0.00701685302579532,0,0,0.00059833059527997,0,0,0.54900256522566,0.851716533457704
MGH151,0.00909007098016312,0,0.00540249453201779,0.981902098068538,0.00294774915773844,0,0,0,0,0,0.000657587261542366,0,0,0,0.386335101961843,0.981305188933109
MGH152,0.0183789823645399,0,0.000595188247775316,0.97648354413834,0,0,0,0,0.00454228524934487,0,0,0,0,0,0.354842924911824,1.00288920424178
MGH66,0.00397579267079575,0,0.0145246819612034,0.972635199407553,0.00248024357063574,0,0.00017618324303103,0,0.00401351423018695,0,0.00219438491659374,0,0,0,0.619430219153808,0.790864305838578
