"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"BT1160",1.04123546016812e-06,0.0460802904112265,0.0133225748257693,0.00219017534936752,0.00138277147776891,1.71029853945343e-05,4.75452665765364e-09,0.937006038960486
"BT1187",1.71275164509752e-06,0.588504306106725,0.00272312937152932,0.00226774386409931,0.358041316191206,0.0484615360636141,2.27546818910435e-07,2.81043617470503e-08
"BT749",2.4053919508006e-09,0.0315736454864692,0.0059572221287688,0.0021871853891963,0.000876435727884198,3.5145458741684e-06,1.47713573714995e-05,0.959387222959044
"BT771",1.70670702419727e-08,0.144215124322925,0.0219546108530026,0.00540863462147887,0.0103317055057853,2.42404929872986e-05,6.31559444807752e-09,0.818065660821156
"BT786",1.18217259790615e-08,0.0689587097072573,0.0103365715438891,0.00210799150045679,0.00406499437697527,5.83436299173167e-06,2.17923987243451e-08,0.914525864894305
"BT830",8.92688024496228e-08,0.0574170045036858,0.0249865320966312,0.0317759318371877,0.00190713042072361,6.61143951384399e-05,2.70135334687905e-06,0.883844496124484
"BT85",2.31008572165319e-08,0.0294177415776895,0.00719648788753289,0.000986075098500801,0.000949061827497391,6.06543884459872e-06,0.000192276048567857,0.96125226902051
"BT920",2.26234304771227e-07,0.167898935972927,0.0297745294127475,0.0133695266352859,0.0156994313678807,2.03790358451879e-05,5.44621197602349e-07,0.773236426719811
"MGH100",1.23605753030849e-09,0.0440253306750314,0.00774214175026029,0.0056202368555682,0.00134850584566121,0.000193893127727594,1.85878881566879e-05,0.941051302621537
"MGH101",5.9535062601549e-08,0.58509893858227,0.0658296161981095,0.00707550689297435,0.0758503248663357,0.000108882920848307,9.38977267574843e-08,0.266036577106673
"MGH102",2.05826743281856e-08,0.38444506811729,0.0324619425548863,0.00410167362147853,0.147611782425165,3.31087438131201e-05,2.94355089202521e-08,0.431346374519184
"MGH104",4.47000696055474e-10,0.0517480347222949,0.00989848937677401,0.00131829955732768,0.0015419249728081,3.63667390007551e-07,3.55315094660963e-07,0.93549253194131
"MGH105",3.51338230850312e-08,0.377695397919336,0.0416628008087992,0.00489058372204145,0.142033989044179,8.4051149229548e-05,9.74840997743633e-06,0.433623393812614
"MGH106",7.53561650498884e-08,0.0869466776264748,0.0126096149919636,0.00191869316643687,0.0113242052720082,2.00151649115441e-09,0.240084539071961,0.647116192513474
"MGH110",1.07772070520053e-08,0.0509737773515153,0.00767045470194183,0.000954571705421756,0.00131211463467426,3.84092914249352e-06,0.0195586582101864,0.919526571689911
"MGH113",1.94315874116212e-08,0.154100416733716,0.0194331311565668,0.00213823017675252,0.0530915488167165,0.000101698447169573,0.00271480132126775,0.768420153916223
"MGH115",3.71262769105687e-07,0.0744837161906811,0.017895633850513,0.00203850176089143,0.0123402644729832,1.82698026961455e-06,7.13899857875534e-09,0.893239678342894
"MGH121",1.01433428041413e-09,0.0480967830284002,0.00985286289666542,0.00693557834465529,0.00141696606890268,6.41246938604615e-06,9.60524956117685e-06,0.933681790928095
"MGH122",4.19497637640663e-07,0.0892328351859415,0.0119122896565202,0.0022369227287469,0.0876638054122611,5.5640010094192e-09,3.76272260955032e-10,0.808953721578619
"MGH124",1.72120727172036e-08,0.0947741207837287,0.0101462954213244,0.00113619249778221,0.0429622067239284,4.13052063056639e-05,3.09796961875808e-09,0.850939859056888
"MGH125",7.45054926851187e-08,0.0863298349423851,0.0107308229262824,0.00223965758197019,0.0371310792196566,4.77745075070077e-07,0.00327295974682749,0.860295093332311
"MGH128",2.1344441167859e-09,0.0481892636429769,0.0103393619009261,0.00244726962108477,0.0018991035586312,5.44799331103882e-07,5.69038075059745e-05,0.9370675505351
"MGH129",6.62653885344524e-09,0.0569923700506134,0.0111009159238775,0.00348473929253971,0.00177732268791583,1.27093686160294e-06,1.8154817497967e-05,0.926625219664155
"MGH136",3.8632563986534e-10,0.0195375931064575,0.00602905638743709,0.00124874579925765,0.000581172411389624,8.65142174522058e-06,0.000513416937231784,0.972081363550156
"MGH143",1.03388056944714e-09,0.0463763640237102,0.00965935739103074,0.00709933624678918,0.00139394075566486,4.42992190951138e-06,2.22478928474178e-05,0.935444322734167
"MGH151",1.19537223236608e-09,0.0359184347853888,0.0117778645815558,0.00206999626172201,0.00107112087134791,2.20640367059078e-08,1.29391782837093e-05,0.949149621062293
"MGH152",1.5575345139798e-08,0.059827920135211,0.0173274823870181,0.00237835301021992,0.00177927095855451,4.67769727938393e-06,2.11086101845753e-08,0.918682259127762
"MGH66",1.3635109050052e-09,0.0492793585852448,0.00810727228229425,0.015696053194268,0.00157439896519307,4.70589886853161e-06,8.5579367092316e-09,0.925338201152684
