sample_id,cancer_type,reference_dataset,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,Cancer Cells,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes
TCGA-CV-5442-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.009,0,0,0.95,0.006,0.015,0,0,0,0,0,0.014,0.006
TCGA-CR-7392-01A,HNSC,simu_bulk_2ds_ref,0.045,0.008,0.045,0.001,0.021,0,0.458,0.027,0.098,0.175,0.037,0.043,0.004,0,0.022,0.014
TCGA-UF-A71A-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.003,0.001,0.001,0,0.773,0.007,0.045,0.11,0.024,0.026,0.003,0,0.004,0
TCGA-CN-A642-01A,HNSC,simu_bulk_2ds_ref,0,0,0.006,0.04,0.001,0,0.811,0.02,0.044,0.036,0.003,0.034,0.001,0,0.004,0
TCGA-CV-A45U-01A,HNSC,simu_bulk_2ds_ref,0.003,0,0.019,0.01,0.014,0,0.869,0.008,0.021,0.03,0,0.005,0.003,0,0.015,0.001
TCGA-CN-6012-01A,HNSC,simu_bulk_2ds_ref,0.033,0.009,0.021,0.002,0.009,0,0.721,0.019,0.057,0.048,0.003,0.04,0.002,0,0.035,0.001
TCGA-CV-A45W-01A,HNSC,simu_bulk_2ds_ref,0.096,0.006,0.024,0.001,0.022,0,0.627,0.014,0.05,0.054,0.019,0.074,0.004,0.001,0.008,0.002
TCGA-CV-A6K0-01B,HNSC,simu_bulk_2ds_ref,0.001,0,0.048,0,0.017,0.001,0.563,0.071,0.084,0.133,0.031,0.023,0.004,0,0.023,0.001
TCGA-QK-A6VB-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.003,0,0,0,0.89,0.003,0.033,0.039,0.006,0.004,0.003,0,0.018,0
TCGA-CV-6959-01A,HNSC,simu_bulk_2ds_ref,0.008,0.004,0.015,0.004,0.001,0,0.686,0.02,0.111,0.046,0.036,0.03,0.003,0,0.017,0.017
TCGA-HD-7832-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.014,0.021,0,0,0.877,0,0.039,0.011,0,0.02,0.001,0,0.016,0
TCGA-CV-7255-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.008,0,0,0,0.87,0.003,0.04,0.041,0.022,0.001,0.003,0,0.009,0.002
TCGA-CR-5243-01A,HNSC,simu_bulk_2ds_ref,0.032,0.001,0.044,0.014,0.022,0,0.663,0.022,0.066,0.102,0.007,0.005,0.004,0,0.018,0.002
TCGA-P3-A6T5-01A,HNSC,simu_bulk_2ds_ref,0.001,0,0.02,0.007,0.001,0,0.827,0.012,0.037,0.064,0.001,0.004,0.002,0,0.02,0.004
TCGA-CV-6952-01A,HNSC,simu_bulk_2ds_ref,0.005,0.002,0.025,0.012,0.007,0.001,0.787,0.015,0.063,0.023,0.027,0.005,0.002,0,0.021,0.006
TCGA-D6-A6ES-01A,HNSC,simu_bulk_2ds_ref,0,0,0.006,0,0,0,0.946,0.004,0.023,0,0,0.007,0.001,0,0.01,0.002
TCGA-CN-5366-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0.012,0.017,0.008,0,0.718,0.002,0.081,0.099,0.021,0.03,0.001,0,0.008,0
TCGA-CQ-6223-01A,HNSC,simu_bulk_2ds_ref,0.004,0,0.011,0.006,0.023,0,0.848,0.01,0.033,0,0.001,0.018,0.003,0,0.034,0.009
TCGA-F7-7848-01A,HNSC,simu_bulk_2ds_ref,0.019,0.002,0.025,0,0.011,0,0.706,0.022,0.093,0.06,0.006,0.008,0.002,0,0.023,0.022
TCGA-CV-A6JM-01A,HNSC,simu_bulk_2ds_ref,0.006,0,0.008,0,0.004,0,0.918,0.002,0.031,0,0.003,0.026,0,0,0,0.001
TCGA-CN-5359-01A,HNSC,simu_bulk_2ds_ref,0.005,0.002,0.037,0.003,0.026,0.004,0.518,0.023,0.067,0.176,0.017,0.072,0.004,0,0.037,0.009
TCGA-P3-A5QA-01A,HNSC,simu_bulk_2ds_ref,0.004,0,0.011,0.002,0,0.001,0.725,0.007,0.04,0.185,0.019,0.003,0.001,0,0.002,0
TCGA-CN-4734-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0.026,0.041,0.005,0,0.732,0.024,0.061,0.045,0.016,0.014,0.003,0,0.019,0.009
TCGA-CV-6441-01A,HNSC,simu_bulk_2ds_ref,0,0,0.002,0.002,0,0,0.902,0.012,0.021,0.031,0.01,0.006,0,0,0.013,0
TCGA-CV-A6JY-01A,HNSC,simu_bulk_2ds_ref,0.007,0,0.007,0.002,0.001,0.003,0.864,0.007,0.065,0,0.009,0.002,0.006,0,0.024,0.004
