Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-C5-A7UI-01A,0.0311760265681529,0.558840862212306,0.0740805994407142,0.031923061841118,0.176311114257663,0.127668335680046,0,0.01,0.0783173872365657,1.04081021831132
TCGA-C5-A902-01A,0,0.824422928001011,0.0260827644556042,0,0.0108481757044131,0.136809007609828,0.00183712422914386,0,0.137784543386327,1.02528212838106
TCGA-DS-A1OB-01A,0.00276375032519148,0.727608059349882,0.0139763103660997,0.028481813713496,0.227170066245331,0,0,0,0.125235625263759,1.02279570415707
TCGA-Q1-A6DW-01A,0,0.823859385047964,0.0440494439289616,0.0510467148164875,0.0568659373445542,0.0241785188620324,0,0.03,0.0475113907265426,1.05360928384936
TCGA-EK-A2R7-01A,0.0130750071807057,0.833789380261256,0.0352151880265388,0.0308297054054576,0.062460973212796,0.024629745913246,0,0,0.390331117942341,0.920461959470864
TCGA-C5-A7X8-01A,0.0146690250764647,0.401037863826732,0.16800740335793,0.389821964865676,0.0151891478343572,0.0112745950388396,0,0,0.621609170174544,0.783821869065415
TCGA-Q1-A5R3-01A,0,0.877204718009775,0,0.0376157213266308,0.0392613334254666,0.0459182272381275,0,0,0.145910349414002,1.01948236793617
TCGA-C5-A7X5-01A,0,0.881943297288883,0.0334108757688462,0.0770338847140582,0.00761194222821294,0,0,0,0.106388933515361,1.0380023605449
TCGA-ZJ-A8QR-01A,0,0.818270402874059,0.0874122396387631,0.00516483661378582,0.057203635860416,0,0.0319488850129756,0.01,0.0905263939674193,1.04031732382783
TCGA-HM-A3JK-01A,0,0.331351440327824,0.0376947004572172,0.557903831091879,0.070914800706514,0.00213522741656593,0,0,0.38606910502213,0.960051635099002
TCGA-EA-A556-01A,0,0.725817705861227,0.00790037333788379,0.266281920800889,0,0,0,0,0.555468426306084,0.83930327469201
TCGA-VS-A9V4-01A,0.0114028441933841,0.938043039584048,0.00452972015448375,0.00467122239253354,0.0413531736755509,0,0,0,0.400852709066766,0.915991178075604
TCGA-IR-A3L7-01A,0,0.898276952369043,0,0.101723047630957,0,0,0,0,0.138075087705578,1.02691853829393
TCGA-EK-A2RL-01A,0,0.979905307357711,0.00144080358949232,0.0151271802600134,0,0,0.00352670879278358,0,0.399371898848937,0.916993063101101
TCGA-VS-A94X-01A,0,0.909104623567771,0.0166894363402407,0.0102474545479984,0.0434517801145592,0.0205067054294309,0,0.01,0.0797298176017232,1.04742741719943
