Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-4T-AA8H-01A,0,1,0,0,0,0,0,0,0.411886793550397,0.91130199140319
TCGA-AA-A00Q-01A,0,0.820713529472817,0.0804755025563837,0.0784617418074485,0.0203492261633505,0,0,0,0.386958171833778,0.922004822977926
TCGA-AZ-4614-01A,0,0.94117452824561,0.0398248357128239,0,0.00459086584719288,0,0.0144097701943731,0,0.192546076119383,1.00639854546999
TCGA-A6-2675-01A,0,0.464390743485073,0.0409427912325725,0.351405739753382,0.143260725528973,0,0,0,0.539951373749292,0.843744482916456
TCGA-AA-A00U-01A,0,0.894669969743973,0.0675888473672594,0.0198109712737824,0.0174275655768085,0.000502646038176735,0,0,0.428392250734472,0.903555017729598
TCGA-A6-6781-01A,0,0.206090740396435,0.0569068653332052,0.550616295693366,0.186386098576994,0,0,0,0.656791271667184,0.754236048676868
TCGA-CM-6169-01A,0,0.38455111705698,0.227020233880288,0.227220329528441,0.157889342693969,0.00331897684032187,0,0,0.455820927677699,0.893117492391573
TCGA-AA-3516-01A,0,0.766675825728882,0.0345300165954698,0.0497324379362688,0.127116761284787,0.0219449584545929,0,0,0.371392003321224,0.928238043280402
TCGA-AA-3552-01A,0.0102481877537181,0.76170988963397,0.101287844943691,0.0232750449815355,0.0928929409994139,0.0105860916876713,0,0,0.42954427065181,0.903916845255738
TCGA-D5-6931-01A,0.00252343288174221,0.674131851895492,0.047456658787955,0.169011599410292,0.106131778415995,0.000744678608523288,0,0,0.401707951023831,0.9156578278991
TCGA-SS-A7HO-01A,0.024011093873351,0.910523308670092,0.0654655974565571,0,0,0,0,0,0.333068503748657,0.94610601276838
TCGA-AZ-6605-01A,0,0.281814612739912,0.159618515863827,0.455758085433748,0.102808785962513,0,0,0,0.665821265332936,0.746807660799499
TCGA-CA-6717-01A,0,0.513148177121002,0.125652686375652,0.250685600837447,0.107069201793832,0.0034443338720668,0,0,0.521289985748994,0.855572181401696
TCGA-NH-A8F7-01A,0.00469016618180355,0.973415477897059,0.0032834046647902,0.0186109512563469,0,0,0,0,0.322564268531124,0.951872943794491
TCGA-AD-6965-01A,0,0.849547357778316,0.0548325498875145,0.0952150206511071,0,0.000405071683062227,0,0,0.418170010657073,0.908200338380202
TCGA-AA-A02H-01A,0,0.783986690671293,0.0638585905872794,0.12669131217414,0.0254634065672875,0,0,0,0.420980465395466,0.907051188194055
TCGA-AA-A022-01A,0,0.612081780788525,0.0167017672277441,0.135531567129571,0.108854568697197,0.126830316156963,0,0,0.339607910325206,0.941081576250329
TCGA-AA-3680-01A,0.0034736662135347,0.877338088570495,0.0604571081102644,0.032321106340493,0.0256828625302574,0.000727168234955841,0,0,0.385283679778779,0.92272197486176
TCGA-A6-6650-01A,0.00962298587488075,0.932935621689682,0.0574413924354371,0,0,0,0,0,0.422343625917906,0.906206831699357
TCGA-G4-6311-01A,0,0.57882480527799,0.0379286127222201,0.25702564991325,0.12622093208654,0,0,0,0.502530309692473,0.86837060751942
TCGA-A6-2677-01B,0.0220264703981991,0.586428670515549,0.138027706105176,0.23942823625967,0.0140889167214059,0,0,0,0.326094157226472,0.956432645133137
TCGA-AA-3815-01A,0,0.695770041675038,0.0199710626671589,0.0536847886550234,0.168220612847395,0.0623534941553844,0,0,0.394115278569951,0.919378365952127
TCGA-CK-4951-01A,0,0.555203591586641,0.06496733625716,0.212120777806963,0.167708294349236,0,0,0,0.436030821430897,0.900302888059049
TCGA-CK-6748-01A,0,0.446394938809935,0.0909363498996066,0.376356292197833,0.086312419092625,0,0,0,0.522998033323791,0.852283356204714
TCGA-CA-5255-01A,0.00746295682436851,0.961174977110739,0.00653786495911839,0.0135268696460482,0.0112973314597262,0,0,0,0.306287706268546,0.958550303355742
TCGA-CK-4952-01A,0,0.869858257293493,0.0417936930056219,0,0.088348049700885,0,0,0,0.344982918930082,0.939682913356761
TCGA-AZ-4315-01A,0,0.812064095133207,0.0218957712661154,0.0659181841059153,0.0930840438569592,0.00703790563780323,0,0,0.386826857398616,0.92193851882792
TCGA-AA-3869-01A,0,0.697680334597906,0.0821853739532978,0.0466340405062206,0.163973635277774,0.00952661566480249,0,0,0.378487249435333,0.925425418050527
TCGA-G4-6626-01A,0,0.963423294877005,0.0280977629188253,0.0084789422041699,0,0,0,0,0.447924298988922,0.894176544481085
TCGA-DM-A1D7-01A,0.00584396320775113,0.875841962058249,0.0680237035767548,0.0230037499541104,0.0246459450957956,0.0026406761073394,0,0,0.426932743660581,0.904345753341005
