Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,NK,T Cells,P-value,Correlation,RMSE
TCGA-TQ-A7RO-01A,0.0981274715733232,0.612245746141934,0.289626782284743,0,0,0,0,0.01,0.114797956525777,1.06898720074947
TCGA-CS-6670-01A,0.101491321989735,0.683243977219046,0.215264700791218,0,0,0,0,0.01,0.0986555605011431,1.05521561203443
TCGA-QH-A6X5-01A,0.0961179931905455,0.559366346087668,0.335072721614719,0,0.00944293910706661,0,0,0,0.133007842225786,1.07589544699098
TCGA-HW-7493-01A,0,0.436382056478862,0.176763803159535,0.0401743925378551,0.346679747823748,0,0,0.01,0.118546853402244,1.04293928072792
TCGA-CS-6667-01A,0.0332672817515507,0.501223131651689,0.349927354584894,0,0.115582232011866,0,0,0,0.188646885093543,1.04931559795759
TCGA-DU-6406-01A,0,0.506719545983162,0.4101402037307,0.0169597449196724,0.0661805053664657,0,0,0,0.222315098108487,1.05815145327759
TCGA-DU-A7TA-01A,0.0543361366290662,0.398393099325896,0.218591508825903,0,0.328679255219135,0,0,0,0.212084031364443,1.00760486694758
TCGA-QH-A6X4-01A,0.0880348524017199,0.745170806234345,0.166794341363935,0,0,0,0,0.01,0.0874010991224257,1.0510270844756
TCGA-TQ-A7RR-01A,0.0514549759381009,0.463699915398476,0.235718272256617,0,0.249126836406807,0,0,0,0.178310216450942,1.02195802647526
TCGA-HT-8104-01A,0,0.513197334198503,0.412024298907489,0,0.074778366894008,0,0,0,0.213571109515235,1.06223610596716
TCGA-HT-A74K-01A,0.00572879847579774,0.394199594396397,0.515251905512589,0,0.0848197016152163,0,0,0,0.240155358126354,1.0971274263795
TCGA-DB-A64X-01A,0.0293743031396213,0.691321540220387,0.202121791536432,0,0.07718236510356,0,0,0,0.150387130967235,1.02817177310679
TCGA-HT-8107-01A,0.0579788857973942,0.751229909926983,0.190791204275623,0,0,0,0,0.01,0.105955602652066,1.04886892536137
TCGA-FG-A710-01A,0.0289451217555294,0.399249525799549,0.247300063743288,0,0.324505288701633,0,0,0,0.183957343115837,1.0262515122855
TCGA-QH-A6CX-01A,0.00407609402348145,0.419210998539761,0.33096171440706,0.0273357600035293,0.218415433026169,0,0,0,0.206486781781738,1.03639321692121
TCGA-CS-6666-01A,0.00487929124910936,0.456628404241785,0.446346305496078,0,0.0921459990130277,0,0,0,0.282274230139084,1.03422508175282
TCGA-TM-A7CA-01A,0.0754708483105464,0.669427851344806,0.194222501840026,0,0.0608787985046216,0,0,0,0.159564174546595,1.02218476197447
TCGA-HW-7486-01A,0.0962151672707392,0.556260481834357,0.192742632077738,0,0.154781718817165,0,0,0.01,0.0960054164123076,1.04500832515652
TCGA-QH-A6X8-01A,0.0542955693076718,0.677536563791148,0.178430743714483,0,0.0897371231866968,0,0,0.01,0.117390953308585,1.03610403747639
