Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-OR-A5LO-01A,0,0,0.360592156553433,0,0,0,0,0.0525007265150531,0,0.586907116931514,0,0.122393195992913,1.00956947957428
TCGA-P6-A5OG-01A,0.0188439365231219,0.0102764046466503,0.357159736926764,0.123298090551848,0.00101566202555485,0,0,0,0,0.489406169326061,0,0.424091921512181,0.915315370740648
TCGA-OR-A5J6-01A,0,0.053531307747558,0.0507581359567557,0.538676057815924,0.000537359067199113,0,0,0,0.000127669323318536,0.356369470089245,0,0.121245502130783,1.01662359340465
TCGA-OR-A5LT-01A,0,0,0.31253598129718,0.16136572359541,0,0,0,0.0460356637039776,0,0.480062631403433,0,0.224770162962286,0.976009078612477
TCGA-OR-A5JY-01A,0,0,0.0958461076570375,0.148778830184655,0,0,0,0.0471467344856805,0,0.708228327672627,0,0.152241771922369,1.00055993504687
TCGA-OR-A5JV-01A,0,0.0825515769901105,0.178936733205983,0.370572427102371,0,0,0,0.158803737825747,0,0.209135524875788,0,0.181516730660575,0.987245962420522
TCGA-OR-A5JT-01A,0,0,0.32570269450227,0.0819590823544613,0,0,0,0.0101440555817867,0,0.582194167561482,0,0.147079876648303,1.00143055148499
TCGA-OR-A5KX-01A,0,0,0.0615927039354565,0.134317335297017,0,0,0,0.0197431424955192,0,0.784346818272007,0.02,0.0467222820766576,1.03745468326791
TCGA-OR-A5K3-01A,0,0,0.16418789885561,0.226796375125104,0,0,0,0.0960823447368464,0,0.51293338128244,0,0.12625294787315,1.00331803138108
TCGA-OR-A5JZ-01A,0,0.0308217569634861,0.256725620220623,0.150164120385958,0,0,0,0,0,0.562288502429933,0,0.13510982791747,1.00299966627743
TCGA-OR-A5LC-01A,0,0,0.347241527163668,0.118030655958164,0,0,0,0.00483083459960673,0,0.529896982278561,0,0.306498798011454,0.951773647061551
TCGA-OR-A5LH-01A,0,6.77801797602687e-05,0.206782267233843,0.252079340249282,0,0.0182344648318334,0,0,0,0.522836147505281,0,0.0905708885347647,1.01616025345029
TCGA-OR-A5LM-01A,0,0,0.101145807850845,0.224831349304625,0,0.0123054282314622,0,0,0,0.661717414613068,0,0.169968492005452,0.995311522281897
TCGA-OR-A5J5-01A,0,0,0.17150715189867,0.141037441706842,0,0,0,0.00344969300467334,0,0.684005713389815,0,0.121215509012181,1.01064265188614
TCGA-P6-A5OF-01A,0,0,0.364700959309173,0.0795316101138723,0,0.00427110841290699,0,0.0189883268635499,0,0.532507995300498,0,0.280394330406537,0.959944597150614
TCGA-OR-A5LD-01A,0,0,0.256402248692199,0,0,0,0,0,0,0.743597751307801,0.02,0.0471698517895268,1.0391151139695
TCGA-OR-A5L3-01A,0,0,0.223152260910065,0.20049198486361,4.06358345516124e-05,0,0,0,0,0.576315118391774,0,0.106056146168329,1.01277801538412
TCGA-OR-A5LK-01A,0.0308626335167588,0.0107002701955102,0.083842565210417,0.376269004065589,0.0425479439117943,0,0.0367655874403129,0,0,0.419011995659618,0.36,0.00699139844554672,1.04466162114911
TCGA-OR-A5LG-01A,0,0.0225279465604204,0.309215233429836,0.245062220033695,0.000174434037321856,0.0122422976759578,0,0,0.00118603520978224,0.409591833052987,0,0.191810744038419,0.9854492924508
TCGA-OR-A5KO-01A,0,0,0.321876097542865,0,0,0,0,0.0497490675432349,0,0.6283748349139,0,0.195891474665826,0.987221151225152
TCGA-OR-A5JJ-01A,0,0,0.351795188001672,0.0609254890808749,0.0124907008548353,0,0,0.0135740611103699,0,0.561214560952248,0,0.24243118845587,0.971928959715833
TCGA-OR-A5JL-01A,0,0,0.0475344486678074,0.282438681407748,0.018625942277741,0,0,0,0,0.651400927646703,0,0.129760736886339,1.00886615388743
TCGA-OR-A5KV-01A,0.00771518636554317,0,0.264466612636001,0.00859430224014996,2.22520670031299e-05,0,0,0.0214909932611094,0,0.697710653430193,0,0.111665199768353,1.01527947254956
TCGA-OR-A5JE-01A,0.000951849457464068,0,0.276696435808018,0.192535072193552,1.41081160504162e-05,0,0.000358931809175652,0.00561599145677714,0,0.523827611158962,0,0.161678075364212,0.995421229164349
TCGA-PK-A5HB-01A,0,0,0.237964171607026,0.0165222304190908,0,0,0,0.0245804954831898,0,0.720933102490693,0,0.262396986057358,0.966723706977461
TCGA-OR-A5JM-01A,0.00155840646218623,0,0.23163517619271,0.00469473103092681,0,1.15532965711203e-05,0,0.0274234482881757,0,0.73467668472943,0,0.179914201013215,0.994247713722403
TCGA-OR-A5JD-01A,0,0.0231972006915659,0.216895226204177,0.307808434765119,0,0,0,0.00295597522989341,0,0.449143163109244,0,0.132356359660443,1.0036657018412
TCGA-OR-A5LN-01A,0,0.02871003832581,0.129887956127324,0.140985490975029,0,0,0,0,0,0.700416514571837,0,0.135846762918415,1.00580730886963
TCGA-OR-A5K6-01A,0,0,0.147205456426796,0.258757890244135,0,0,0,0.0116322166191182,0,0.582404436709951,0,0.118223029347384,1.00961557034814
TCGA-OR-A5JR-01A,0,0,0.206958287330957,0.174691267912799,0,0,0,0.0935079485978793,0,0.524842496158365,0,0.109959875457192,1.00758329154989
TCGA-OR-A5L6-01A,0,0,0.205680749314223,0.108297809823561,0,0,0,0,0,0.686021440862216,0,0.122258147762322,1.01073481047334
TCGA-OR-A5JI-01A,0,0,0.447655630057152,0.11016217512538,0,0,0,0,0,0.442182194817468,0,0.186688486506907,0.988988922612999
