Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-55-8508-01A,0,0.00149333569992893,0.370872329680217,0.184552225043296,0.196445928355505,0.0464748378975349,0,0,0,0.200161343323518,0,0.273193353896357,0.972820296726172
TCGA-67-3771-01A,0.0341286619024621,0,0.377504377246376,0.376948392189218,0.104546398519049,0.000160811074642638,0,0,0,0.106711359068253,0,0.370297505672171,0.929393952466757
TCGA-55-A4DG-01A,0.00756794565193941,0.0566541288341281,0.334263905396892,0.31418682314168,0.0912671356472691,0,0.0032231971034111,0,0,0.19283686422468,0,0.358070834974024,0.934905331855555
TCGA-91-7771-01A,0.0104703631260332,0.0625418138020747,0.409375239731353,0.332880570499905,0.0144867096462803,0,0,0.00665831915709637,0,0.163586984037257,0,0.464316775428473,0.903533902934815
TCGA-91-6849-01A,0.00728898481773399,0.0166854363616149,0.410478293450574,0.274889114807225,0.120809853929323,0.014901623833002,0,0,0,0.154946692800527,0,0.38869825923188,0.922663495369733
TCGA-64-5781-01A,0.138859513829636,0,0.495787464814558,0.0570566653162427,0.0533268701250469,0.170305493895127,0.00118632658175178,0.00803003716991581,0,0.0754476282677221,0,0.287740207932371,0.957582481058927
TCGA-44-6146-01B,0,0.133713137413851,0.494869779753546,0.0603260137367267,0.00196177502493998,0,0,0.0325760675067603,0,0.276553226564177,0,0.18967386783869,0.985149641433266
TCGA-97-7552-01A,0.120390242778262,0.0852336609043496,0.2697469871847,0.261544470991949,0.0316346108100551,0.00500599679298274,0.00237650365856299,0.0193441900385834,0,0.204723336840555,0,0.320545093863729,0.949465933904033
TCGA-80-5608-01A,0.0242551205399806,0,0.36300138613646,0.245016221779968,0.0408375958198824,0.0206159511650726,0,0.00307449728868921,0,0.303199227269947,0,0.338471392674008,0.942696935809963
TCGA-91-6829-01A,0,0,0.727353014032162,0.100478342783983,0.00746114990921134,0,0.00768453081839843,0,0,0.157022962456245,0,0.345854117615441,0.938210406680167
TCGA-49-AARE-01A,0.0300921592227167,0.012636112712109,0.519796134732102,0.113496596149024,0.0379285812342614,0.0311166232577318,0,0.013858602808799,0,0.241075189883256,0,0.190462227812812,0.986238978532238
TCGA-97-A4M1-01A,0,0.0148130100832204,0.195784386003995,0.355100198476863,0.000416065619091691,0,0.00809830983804517,0,0,0.425788029978785,0,0.53636712167916,0.877011954691295
TCGA-83-5908-01A,0.143930844285963,0.0434940389631251,0.288632273644802,0.319547816647514,0.00141165940055505,0.08848210685457,0,0,0,0.114501260203472,0,0.319623059068418,0.948966467779832
TCGA-97-8179-01A,0,0,0.393605319601259,0.238947640793089,0,0.0240702998997619,0,0,0,0.343376739705891,0,0.3401551078986,0.941772308785487
TCGA-64-1680-01A,0,0,0.310248505931163,0.278470536093814,0.0413346906378819,0.0476805622776085,0.00707712745959563,0,0,0.315188577599937,0,0.161459132357094,0.993956944395177
TCGA-73-4670-01A,0,0.0240497120814643,0.412747017043462,0.152207968719968,0.0180381729730775,0.259785427919332,2.42934747096693e-05,0,0,0.133147407787986,0,0.238460303584739,0.973471457735701
TCGA-44-3396-01A,0.0201549981488759,0.031462845248315,0.433828287793883,0.304292285053478,0.0525243930441562,0.0153721639731526,0.00294336328018038,0.0113248020731712,0,0.128096861384788,0,0.446057413320517,0.908329679154523
TCGA-80-5611-01A,0.015725922801812,0,0.153186861782557,0.570597665236329,0.00505032268695539,0.181373701333632,0,0.0129941433113065,0,0.0610713828474076,0,0.396240091745959,0.919005863901922
TCGA-53-7624-01A,0,0.0979957662433951,0.390794851215302,0.186894120191987,0.0442287632517527,0.146684401849298,0,0.0387761829091819,0,0.0946259143390829,0,0.14812445734555,0.995746171236179
TCGA-91-6835-01A,0.00873277191647971,0.153887090894821,0.329895960522744,0.375998917737399,0.000913244845695819,0,0.00175218993617691,0,0,0.128819824146683,0,0.462008277034172,0.904983844577456
TCGA-L9-A50W-01A,0,0.032410002390594,0.191957077507581,0.281782147243991,0.017973922469929,0,0.0144186915055909,0,0,0.461458158882315,0,0.367964331659607,0.93341324091411
TCGA-86-7713-01A,0,0.0365373528106583,0.24350327998183,0.213663481117538,0.050112463803815,0.0524070055486008,0,0,0,0.403776416737558,0,0.204772042031205,0.981178286375401
TCGA-50-5044-01A,0.000419939127527729,0,0.342304940092792,0.175148336797216,0.0241054337723463,0.18590840487595,0.000843687339701048,0,0,0.271269257994467,0,0.378537276764769,0.930258697674968
TCGA-97-7941-01A,0.00340718094818342,0.00461982603345649,0.3585112005944,0.2965385109919,0.000760212204501417,0.0147454363054955,0.00432826238778836,0.00571960424712703,0,0.311369766287148,0,0.377801966836483,0.930327781055324
TCGA-86-7714-01A,0,0.0150543095200745,0.368675795290727,0.381948274879984,0.000984032276917531,0,0.00153425476472215,0.0151159859088284,0,0.216687347358747,0,0.271691883806946,0.962618215268429
TCGA-62-8402-01A,0.0313061633584844,0.0733829627306731,0.111213559914994,0.389815698607021,0.0240634242712333,0.0779684865180174,0,0.109272086309546,0,0.18297761829003,0,0.301443020522755,0.953747591394002
TCGA-78-7162-01A,0.0220426275830071,0.0314465857584606,0.261678504922319,0.221398761727333,0.0209334104270847,0,0.00399958928718651,0,0,0.43850052029461,0,0.145274149158313,0.997761299795324
TCGA-49-AAR0-01A,0.00336560152662561,0.0594689422025814,0.28911298315858,0.364562015588994,0.0121355534864016,0.0331037823940133,0.00153256001797074,0,0,0.236718561624833,0,0.264920512149751,0.964277288411626
TCGA-35-4122-01A,0.0623343001051143,0,0.237236506394787,0.541210553227192,0.0336897210189685,0.0045882942162967,0.00104494033379469,0.0044667501103475,5.99659857772739e-05,0.115368968607723,0,0.43014557920735,0.907672043202352
TCGA-55-7726-01A,0,0.0103214884974333,0.342372547396347,0.102603486714878,0.00630652595063652,0.491733283369439,0.000687909236462628,0,0,0.0459747588348041,0,0.311067011311239,0.956918503424893
TCGA-62-A46Y-01A,0,0.0399612500354785,0.177754855712973,0.529375517504389,0.00671258194205052,0.00853397764151063,0,0,0,0.237661817163598,0,0.291726472269303,0.957117411072175
