Mixture,T cells CD8,T cells CD4,Fibroblast,Macrophage,B cell,Malignant,Mast,Dendritic,Myocyte,Endothelial,P-value,Correlation,RMSE
TCGA-V1-A9OF-01A,0,0.00582705265115629,0.583681053357396,0.0578841194364169,0,0.0576331774579819,0,0,0,0.294974597097049,0.05,0.0516012618688287,1.03135826349043
TCGA-ZG-A8QX-01A,0,0.0106354505438277,0.242552388786129,0,4.56272316642587e-05,0,0.00040407421629371,0.000741996059818085,0.723816392459109,0.0218040707031587,0,0.58204677874671,0.821530481618573
TCGA-YL-A8SC-01A,0,0,0.662388162898532,0.0783153713064855,0.0204521971630518,0.0453754862805104,0.00118316422077162,0,0,0.192285618130649,0,0.217884560078837,0.981166298855675
TCGA-HC-7817-01B,0,0.00751610787207388,0.853372200134294,0.0338254443363457,0.0223608031589306,0.00301276335730382,8.39751479929205e-05,0,0,0.079828705993059,0,0.449196823876549,0.896786082683604
TCGA-KC-A7F6-01A,0,0,0.774513087070343,0,0.00912342425546388,0.0361648237173011,0.00149205385780372,0,0,0.178706611099088,0,0.289302917976089,0.959266825495098
TCGA-KK-A7B4-01A,0,0,0.740931162237549,0.00843979786607483,0.0714751136792929,0.033041623754913,0,0,0,0.14611230246217,0,0.238454029169431,0.978223791512991
TCGA-G9-6366-01A,0.00145259624113895,0,0.687660829614583,0,0.0122509299318724,0.0272606245685332,0,0.00718253428679873,0,0.264192485357073,0,0.134930739826499,1.01081781904542
TCGA-KK-A59X-01A,0,0,0.810328986964986,0.0160152619745892,0.00733642371062439,0.0136434821630436,0,0,0,0.152675845186757,0,0.243457807500526,0.977022453586923
TCGA-HC-A6AN-01A,0,0,0.744250634312037,0.0230946897994246,0.000970340573959477,0.0935108535071409,0,0.00107409486393015,0,0.137099386943508,0,0.19277197584354,0.9926196217461
TCGA-G9-6498-01A,0.0150844231242028,0.0355664814698023,0.717641013140987,0,0.0152083973480119,0.0160244122513565,0.00710472456013446,0,0,0.193370548105505,0,0.375567934299582,0.927646385090673
TCGA-J4-AATZ-01A,0,0,0.635227833868169,0,0,0.156118091508317,0,0.0149102468113199,0,0.193743827812194,0,0.137763778058119,1.00829556221407
TCGA-EJ-7317-01A,0,0,0.739810061542138,0.00175659578829109,0,0.0563489888790041,0.000680433558096032,0.0121389357440835,0,0.189264984488387,0,0.159974246420981,1.00395942374452
TCGA-SU-A7E7-01A,0.00176466214493818,0,0.689406425659172,0.0227448705911281,0.00349249727627428,0.0728256192801836,0.000589082171303021,0.00971453721183518,0,0.199462305665166,0,0.310386693817346,0.950676036932445
TCGA-XJ-A83F-01A,0,0,0.776253156223432,0.0160127447829615,0,0.00446388486711545,0,0,0,0.203270214126492,0,0.273973419605256,0.965177221987071
TCGA-2A-AAYO-01A,0,0.0551847908283611,0.792090119719512,0.0398671184317455,0.00288710622255107,0,0.0118834106212674,0,0,0.0980874541765625,0,0.309301485094737,0.95162221480522
TCGA-EJ-A46B-01A,0,0,0.773357116759535,0.0197823875356176,0,0.04970727215825,0,0,0,0.157153223546597,0,0.266978898695525,0.967257706409065
TCGA-QU-A6IN-01A,0,0,0.80041283997513,0,0.00100858111616494,0.110635522107171,0,0,0,0.0879430568015341,0,0.177609016307533,1.00081939040781
TCGA-KK-A59Z-01A,0.00088994620029943,0,0.753421470687957,0.0298307986840703,0.011903316597041,0.0458780096391561,0.00220608787736533,0.00316292064744418,0,0.152707449666666,0,0.405073675557015,0.916247605745668
TCGA-XK-AAJT-01A,0,0,0.77952597820884,0.0172982062411044,0.0174989141788051,0.0381467576539929,0.00241997535331082,0.00445040640624585,0,0.140659761957701,0,0.387692685294719,0.922401171880337
TCGA-EJ-7125-01A,0.00472452424034847,0,0.758242653158565,0.016379395762238,0,0,0.00846775293319323,0.0182199845332468,0,0.193965689372409,0,0.151681735487374,1.00766919261545
TCGA-J9-A52C-01A,0.0108421993377053,0.0048363032876026,0.781674033584211,0.0302287618044546,0.000416015194944511,0.00818622730189086,0.00380935431122568,0.00343412120777905,0,0.156572983970187,0,0.47218296413529,0.889588031569475
TCGA-YL-A8HL-01A,0,0,0.664214754704241,0,0,0.0252629087041724,0,0.00434454287418,0,0.306177793717407,0,0.0981800314664298,1.02280192258993
TCGA-ZG-A9LZ-01A,0.00846740968686862,0,0.772252336690229,0.0105733714290995,0.0153614900521083,0.0631620981166632,0.000839502008767045,0.0287463483830199,0,0.100597443633245,0,0.206153301528209,0.988063211443791
TCGA-J9-A8CP-01A,0,0,0.606167189288545,0,0.00182142928954068,0.00297389661045438,0.0717790133699956,0,0,0.317258471441464,0,0.233520291853939,0.979315498074351
TCGA-FC-A6HD-01A,0,0.00794011834259909,0.641636176787874,0.000974604434356192,0.0356821422013812,0.128100538984246,0.018284810700494,0,0,0.167381608549049,0.05,0.0544479761772243,1.03434534549209
TCGA-G9-6351-01A,0,0,0.763374150584073,0,0.0351519026660033,0.0590952433398669,0,0.00967704478747026,0,0.132701658622586,0,0.245768828577304,0.974678001214448
TCGA-EJ-5532-01A,0.00365179359199841,0,0.791692362620386,0.00881970278524322,0.000243204612728972,0,0,0,0,0.195592936389644,0,0.146793958111508,1.01197888162501
TCGA-EJ-5525-01A,0,0.00401189501220547,0.783105204337542,0.0141837428140398,0.00445043403009122,0,0,0,0,0.194248723806122,0,0.236662112587872,0.978975983330771
TCGA-ZG-A9L9-01A,0,0.0120017420166085,0.852240316584865,0.0281570888843482,0,0,0.00122302985664506,0,0,0.106377822657534,0,0.403740203659947,0.9153249238053
TCGA-EJ-A65F-01A,0,0.00412556607713663,0.617481128519488,0.0447676193222802,0.0197310692301151,0,0.00572767243846664,0.00366971899324026,0,0.304497225419273,0,0.232896552663193,0.976267603172481
TCGA-2A-A8VX-01A,0,0,0.889147861712654,0,7.21695990606585e-05,0,0,0,0,0.110779968688285,0,0.176265822350121,1.00629976225761
TCGA-KK-A8I4-01A,0.00475466050089414,0.027571746282842,0.789422935575327,0.014680731942699,0.0067845803184294,0.00590259481146562,0.00346062300609135,0,0,0.147422127562251,0,0.321481067413309,0.947298982733636
TCGA-KK-A8IA-01A,0,0,0.797134749243969,0,0.0101579011590187,0.0464107912186789,0,0.0102469646820758,0,0.136049593696257,0,0.168456710291088,1.00334753856645
TCGA-Y6-A9XI-01A,0,0.00706217908900475,0.624150494963997,0.0126487297640128,0.00262514326052858,0.0315390297757888,0,0,0,0.321974423146668,0,0.107271342969173,1.01756034385024
TCGA-VN-A88I-01A,0.000733080727591666,0.00493962166382376,0.833080020769055,0.002143325709293,0,0.0150724226777304,0.00568434074475902,0,0.0328266629556183,0.105520524752129,0,0.506106565074668,0.873795328810199
TCGA-M7-A71Z-01A,0,0,0.670325293518881,0,0,0.0888328970961627,0,0.01432420188797,0,0.226517607496987,0,0.0974372443606371,1.02174427076602
TCGA-EJ-A46E-01A,0,0.00891347262910284,0.711605356963514,0,0.000842685341997915,0.205227013901434,0.000716420089556372,0,0,0.0726950510743949,0,0.415222491694239,0.9117392825786
TCGA-CH-5788-01A,0,0,0.720272260357262,0.0846354206780544,0,0,0,0.0149426544347557,0,0.180149664529928,0.01,0.0870115798594188,1.02660196521145
TCGA-KK-A7AU-01A,0,0,0.559214682114445,0,0,0.0587216010373988,0,0,0,0.382063716848156,0.03,0.0721299874952501,1.02718860041473
TCGA-EJ-5531-01A,0,0,0.764686647380401,0.0387982060974807,0.0426249351405943,0.0582577899786791,0.00533888432461644,0,0,0.0902935370782282,0,0.343809260069084,0.938921064847185
TCGA-VN-A88K-01A,0,0,0.691410730938641,0,0,0,0.00269595547499112,0,0,0.305893313586368,0,0.346514875725443,0.937924484903368
TCGA-VN-A88M-01A,0,0,0.61974737179353,0,0.0656299429022132,0.0812645991033544,0.00713705032333197,0,0,0.22622103587757,0,0.15834376844558,1.00196443321344
TCGA-EJ-5506-01A,0,0,0.88545474149578,0.0323613158543893,0.00444661200776954,0.028515068807489,0,0,0,0.0492222618345721,0,0.238097014757493,0.981220394761352
TCGA-XK-AAJU-01A,0,0,0.765476571905497,0.00225728987473631,0.0144601132265166,0.0725703410574061,0.00230759919404049,0,0,0.142928084741803,0,0.344524129308634,0.938664100000702
TCGA-YL-A8SI-01A,0,0,0.808910392653312,0.0272339846447454,0,0.0354305680818165,0.00210367186990431,0.00353225133723032,0.00992937535618862,0.112859756056803,0,0.37019872773707,0.928915815773422
TCGA-G9-6499-01A,0.00528676572991832,0,0.741866978547729,0.0131326487236174,0.0223147107111932,0.0873251856802387,0,0,0,0.130073710607304,0,0.214696051224342,0.984789276472352
TCGA-QU-A6IL-01A,0.00430199232172152,0,0.678103145755516,0.025611864918378,0,0.128961609783575,0.00115698623245009,0.00208876113856179,0,0.159775639849798,0,0.180609955968782,0.994736126860145
TCGA-J4-A67Q-01A,0,0.00357638173502584,0.798814665972993,0.0144549619845806,0.000370616864014248,0.0923878138357353,0.00874625052991938,0.000801752823530772,0.0101463372110025,0.0707012190431987,0,0.330028376535497,0.94417875961421
TCGA-G9-6361-01A,0.000427224521135864,0,0.893395020641749,0,7.3090963203693e-05,0,0,0,0,0.106104663873911,0,0.439387483079159,0.899707866065977
TCGA-VN-A88L-01A,0.0005087891715678,0.00201000456526208,0.845491322568306,0,0.000130965703265077,0.00144460712592834,0.00109524118691359,0,0,0.149319069678758,0,0.357668567169691,0.933876418717447
TCGA-KK-A8I9-01A,0,0.0020909720891984,0.578570625006726,0.0130263720852795,0.000158102778644043,0.0920020670304276,0.00464886110490463,0.00421154444809085,0,0.305291455456729,0,0.435107683216726,0.90845225599372
TCGA-V1-A9ZG-01A,0.000387622959084126,0,0.607898190323638,0.0282428483260117,0.0022716493367719,0.034514063340102,0.00549734926339267,0.00429326959175942,0,0.31689500685924,0,0.356502281078015,0.934931361231888
TCGA-V1-A9OX-01A,0.00430246205779308,0.00101724857581125,0.697243329083597,0.0168104975023515,0.0252834216221928,0.0651156572748658,0.000391880505559185,0.000968753987524203,0,0.188866749390305,0,0.240395106144571,0.974834438128825
TCGA-G9-6373-01A,0.000681534742317636,0.0142982449778232,0.834231500987385,0.00699820733388493,0.00879045286361622,0.00283591059710087,0.000716030887885036,0,0,0.131448117609987,0,0.399964489926589,0.916986752556142
TCGA-VP-A878-01A,0,0,0.68490995971637,0.0191078043953392,0.0115343004042162,0.0394676495943506,0.00269991800193806,0,0,0.242280367887786,0,0.343476670518622,0.93910673962485
TCGA-YL-A8SB-01A,0,0,0.830125924312061,0.0250777764771856,0.00729669516396365,0.0252824411931511,0.00162137252771296,0,0,0.110595790325925,0,0.39407431765149,0.919431118665667
TCGA-EJ-A7NN-01A,0,0,0.561806780738123,0.0408718056197973,0.0633162362268751,0.0444567152835106,0.00790923538932274,0,0,0.281639226742372,0,0.337132744638992,0.941571224907311
TCGA-HC-7212-01A,0,0.0133011667008287,0.636822280967065,0.018186327840109,0,0,0,0,0,0.331690224491998,0,0.15281511392961,1.00383301012035
TCGA-V1-A9O5-01A,0.006188127025186,0.0365327222462325,0.679218576581531,0.0578841089702,0.000897087034245034,0.0390041525802454,0,0.032422747414608,0,0.147852478147752,0,0.354644276280013,0.935747128638424
TCGA-HC-A8D0-01A,0.000844632488696724,0,0.827359212435797,0.0205040741221699,0.0160428016161195,0.0202539856658728,0.00091866933071185,0.00372404286186344,0,0.110352581478769,0,0.476885547434042,0.886113025238031
TCGA-2A-A8VT-01A,0,0,0.695663603711489,0.0292307137788019,0.000338007739957463,0.0322954410631277,0,0.0115540500714964,0,0.230918183635127,0,0.219792886436635,0.981978624225252
TCGA-ZG-A9LB-01A,0.00775399013541633,0.0110389266598076,0.740038170894459,0.0218504044435762,0.016615173273653,0.10706882989791,0.00472389253006018,0.00984017528132587,0,0.0810704368837915,0,0.353685787035476,0.935386473291162
TCGA-HC-7079-01A,0.0319732695678464,0.171688800302962,0.515958268139099,0.137036489755279,0.0405283865447904,0.0186458788161157,0.00011441426300355,0.0257598081060825,0,0.0582946845048217,0,0.507623856143589,0.89431368360688
