Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-BC-A10Z-01A,0.148523354287456,0,0,0.0838756901100565,0,0.0434231375474835,0.3903579070302,0.0285559077788234,0.274235357552983,0,0.031028645692997,0,0,0.02,0.10020681363309,1.08085444814021
TCGA-DD-AAEK-01A,0.0424916304788023,0.0817270959123643,0.0915806508091557,0,0.150858808814819,0,0.120979831255853,0.280273254707619,0.224677097221624,0,0.00741163079976212,0,0,0.03,0.078341627331035,1.0662638408653
TCGA-G3-A3CK-01A,0.158686803960261,0.0626146675651923,0,0,0,0,0.216335561482579,0.123158861776749,0.416068392387871,0,0.0231357128273482,0,0,0.03,0.0672422377157435,1.07497015393839
TCGA-DD-A1EJ-01A,0.196335812141153,0.0581295926434672,0,0,0.0204749311361745,0.000594297561553481,0.0330237117759881,0.150231008844264,0.509563243020021,0,0.0316474028773787,0,0,0.03,0.0606648362661848,1.07419288403263
TCGA-DD-AACU-01A,0.0714464522771987,0.00144430181521257,0,0,0,0,0.115171486434007,0.359335035838556,0.387399510292005,0,0.0652032133430216,0,0,0.03,0.0921458814804233,1.10967633387068
TCGA-ZS-A9CE-01A,0.275495510258536,0,0,0,0,0.00496296862369761,0.33199427817449,0.125027250302203,0.23518387597773,0,0.0273361166633438,0,0,0.04,0.0510228782827102,1.1060783880427
TCGA-2Y-A9H2-01A,0.0816080659637913,0.012291237431891,0,0,0.182891030809547,0,0.0970037226146163,0.299637043121847,0.23297042635188,0,0.0935984737064276,0,0,0.01,0.126737776507829,1.06241079422415
TCGA-CC-5261-01A,0.0583416039088514,0.0538493888928218,0.0145752571724326,0,0.0724978686422907,0.00831815174369935,0.0295404257766497,0.573204257211519,0.114233500785095,0,0.0754395458666401,0,0,0,0.200824223082108,1.10283511571099
TCGA-DD-AADP-01A,0.169632490658669,0.0558727892936778,0.0133271369440725,0,0.00112043097567657,0,0.165479737700154,0.325313409325539,0.231379986286494,0,0.0378740188157174,0,0,0.04,0.0549379618527959,1.10763377666959
TCGA-2Y-A9H4-01A,0.132298763080027,0.0405242243377105,0.0301621014525785,0,0.0707260321211652,0,0.188031412443785,0.190203682913928,0.324714687003118,0,0.0233390966476874,0,0,0.02,0.0947601236398907,1.05973825762501
