Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-24-1104-01A,0.105351731135934,0.0206024624644504,0.0176593212540972,0.00733143720748151,0.129243250019037,0,0.0603955108944157,0.190397547210531,0.433118559418412,0.000170807675826955,0.0357293727198143,0,0,0,0.235552331860563,1.00353053057565
TCGA-25-1320-01A,0.0194909014395983,0.00126299059688007,0,0,0.0243279651225625,0.0338790863973892,0.0346656633437617,0.559949451546784,0.326423941553024,0,0,0,0,0,0.298132075162825,1.03422179753466
TCGA-24-1850-01A,0.0608326560260967,0.0631631855301619,0,0.00298562198674738,0.116243029789536,0,0.0193925021506519,0.459803070514777,0.271942587472949,0,0.0056373465290799,0,0,0,0.343713919110448,0.971914610910618
TCGA-61-2101-01A,0.149737082788393,0,0,0.0615487302057132,0.0589561292006461,0.00291730627439465,0.037354230023163,0.476486902839191,0.209735798278875,0,0.00326382038962406,0,0,0,0.349860957203205,0.971378087127224
TCGA-23-1111-01A,0.0930273329058304,0,0,0.18871277594312,0,0.0135362894607265,0.23221911182664,0.322125986095053,0.138493293049354,0,0.0118852107192749,0,0,0.01,0.161387300976539,1.06634709954201
TCGA-25-2396-01A,0.129719438156504,0.0822208252541738,0.0330273348995469,0.00164597725250513,0.175873912880697,0,0.039970672720328,0.219587124692969,0.317954714143276,0,0,0,0,0,0.258803325083779,0.984345928576843
TCGA-30-1714-01A,0.226106440667728,0,0,0.191337156673056,0.16518513526417,0,0.0290395691140327,0.159354405182954,0.176757127537472,0,0.0522201655605869,0,0,0,0.22817074031817,0.990497619419744
TCGA-04-1347-01A,0.0749991756513118,0,0,0.412784197392533,0.0322530447527464,0.0140792177007076,0,0.356852885234865,0.105956538873725,0,0.00307494039411026,0,0,0.01,0.147853876281203,1.06396831832961
TCGA-59-2351-01A,0.167322208945077,0.029729645535003,0.00474043281652545,0,0.169438531521748,0,0.0376830683606257,0.238432239997326,0.337429256042588,0,0.0152246167811051,0,0,0,0.36104690440047,0.939279171588753
TCGA-09-1659-01B,0.116204400903649,0.00663555339692998,0,0.00950308461709283,0.296234714990501,0,0.0752074577588611,0.192183635544599,0.250902703527732,0,0.0531284492606341,0,0,0,0.335200855730149,0.953748878451713
TCGA-24-1431-01A,0.0866241328073133,0.0684461480927973,0,0.00553376141727936,0.161689895176891,0,0.0295732555990954,0.114769475247991,0.533363331658633,0,0,0,0,0.01,0.124064257573387,1.06138280117425
TCGA-31-1951-01A,0.0200674770140492,0.0293260469046283,0,0,0.097830340088411,0.0261222098985101,0.0413224726427055,0.419294491678381,0.359915878055059,0,0.00612108371825528,0,0,0,0.346694828729691,0.968095027323315
TCGA-29-1769-01A,0.148917187950389,0.00742524027747949,0,0.0381880323698739,0.0199623658744568,0,0.0313127798979997,0.357117286363514,0.334425607721108,0,0.0626514995451795,0,0,0,0.283351798210262,0.992314940360916
TCGA-13-0916-01A,0.0756703355920141,0,0.00725629737631743,0.139676082728811,0.3545545157425,0,0.119862248754331,0.138315169025711,0.155592964758705,0,0.00907238602161005,0,0,0,0.265123162171287,0.980989579870453
TCGA-61-1721-01A,0.00533827030670975,0,0,0,0,1.12262272695201e-05,0.134630190065197,0.59263266202446,0.25638126202016,0.0110063893562039,0,0,0,0,0.542559689909551,0.868926219778211
TCGA-20-1687-01A,0.0402085008736495,0,0,0.0142244279322703,0.303071986406468,0.0158910115991985,0.074292439844723,0.216338212257034,0.327199557125919,0.000720124808427971,0.00805373915230997,0,0,0,0.415496196804911,0.914136426230167
TCGA-29-2414-01A,0.0523174094773868,0,0,0.103817108330613,0.0513056487383534,0,0.0407962630521099,0.576915557649387,0.17484801275215,0,0,0,0,0,0.372147481844121,0.985805891939691
TCGA-13-1411-01A,0.00394352567059887,0.0141631304203051,0.0184227688982208,0,0.108365424420037,0,0.000796489075903828,0.384358573726845,0.45280573284245,0,0.0171443549456395,0,0,0,0.449786609818451,0.903851572293426
TCGA-24-1928-01A,0.0332811043449093,0.0344288651064626,0,0,0.0165568888793604,0.0222944608291926,0.0536177895979924,0.498658418792489,0.328775491641879,0,0.0123869808077148,0,0,0,0.442140529498466,0.919787629647673
TCGA-31-1959-01A,0.00996045474518675,0.0299562432972966,0,0,0.07338155547898,0.0120466646055092,0.013275546753691,0.501971964988223,0.338613459871928,0,0.0207941102591854,0,0,0,0.497585981580016,0.880446501464009
TCGA-57-1586-01A,0.137029427345031,0,0,0.154541345365964,0.138848307253553,0.00784439574363105,0.0716029306337788,0.0687857537220703,0.398616616021313,0,0.0227312239146596,0,0,0.01,0.19478838276186,1.00928596855084
TCGA-09-2044-01B,0.0821463201183137,0,0,0.0492602161234641,0.055272168675665,0,0.0940338668972583,0.133757850134078,0.525191746214726,0,0.0603378318364949,0,0,0,0.266080793446728,0.993554133355767
