Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-V1-A9OF-01A,0.279850916097109,0,0,0.205435041737416,0.0366447197500289,0.04739002868662,0.176418411697396,0.113058609799483,0.132998447676044,0.0018785118513757,0.00632531270452673,0,0,0.01,0.0760111867305263,1.05214820510276
TCGA-ZG-A8QX-01A,0.168208299985215,0,0,0.20248785388231,0.042499964518467,0.0335541774411035,0.0667629892822098,0.389069555409547,0.0957851756310151,0,0.00163198385013223,0,0,0,0.227692556167031,1.02493918667613
TCGA-YL-A8SC-01A,0.0651938975977735,0.0372980144590805,0.0127766137166267,0,0.160303129038876,0,0.0602499087839259,0.492001984133788,0.17217645226993,0,0,0,0,0,0.161895275644851,1.08761575507777
TCGA-HC-7817-01B,0.120565124913568,0,0,0.0140535939260475,0.0740495095127324,0.0174266046021506,0.144501866799697,0.440717374557977,0.161375860962337,0.00692173497603805,0.0203883297494518,0,0,0,0.324209638703775,0.989890213734726
TCGA-KC-A7F6-01A,0.197682859675462,0,0,0.0447496547158146,0.0701504568030908,0.0187520551447675,0.231736605421505,0.312798625400312,0.123844523356651,0,0.00028521948239753,0,0,0,0.232269038840571,1.02400574815433
TCGA-KK-A7B4-01A,0.10388135948598,0.00825902365623274,0.0534987676199588,0,0.139812335297959,0,0.0288950162271585,0.560876762793694,0.104776734919018,0,0,0,0,0,0.1958634363787,1.09181538573304
TCGA-G9-6366-01A,0.378300409587196,0,0,0.12237654346163,0,0.0150225126992998,0.136127051410041,0.277969575910919,0.0680182618867535,0,0.00218564504416105,0,0,0,0.124451450648165,1.06707844406179
TCGA-KK-A59X-01A,0.156621276088394,0,0,0.106229559296025,0.0685750097076969,0,0.0521391162918209,0.520077194850231,0.0963578437658316,0,0,0,0,0,0.186097032569366,1.08981244234877
TCGA-HC-A6AN-01A,0.221779009276358,0,0,0.117150643173853,0.0632830189829421,0.0194443979898053,0.0586649734402156,0.352378132684665,0.154334366438288,0,0.0129654580138732,0,0,0,0.174932388945299,1.03936595668756
TCGA-G9-6498-01A,0.12788647846608,0.0249084362583671,0,0.0336178805762429,0.0871272006623859,0.0367077065594724,0.144771035603176,0.447851113051863,0.0669650891526481,0.0280677498939705,0.00209730977579529,0,0,0,0.347798213445843,0.974731920121188
TCGA-J4-AATZ-01A,0.24519617320165,0,0,0.139605972902596,0.044282977666731,0.0531125949894599,0.145191103951318,0.282564736738285,0.0861775207432733,0,0.00386891980668681,0,0,0,0.119203817364464,1.05922005748443
TCGA-EJ-7317-01A,0.26728420741566,0,0,0.115940590607324,0,0.0251159211345274,0.161324382028901,0.339343645736482,0.0853081312832442,0.00356968860861924,0.00211343318524355,0,0,0,0.147763341322143,1.06807484671802
TCGA-SU-A7E7-01A,0.0993118930213824,0,0,0.094894004162813,0.0544410311575185,0.102302627685208,0.165729274690935,0.338309573284258,0.132562890128399,0,0.0124487058694863,0,0,0,0.205834952420412,1.03024950255925
TCGA-XJ-A83F-01A,0.279134435353697,0,0,0.0935185948991396,0,0.03635875747698,0.121068006448732,0.337179320676967,0.11612932228943,0,0.0166115628550539,0,0,0,0.261641616054357,1.00177578548323
TCGA-2A-AAYO-01A,0.188144314371847,0,0,0.0420447946935877,0.0935771523095495,0.0261861534611725,0.0911459272812154,0.336905286344272,0.158062107767946,0.0400767712899614,0.0238574924804494,0,0,0,0.23650533826439,1.00644267636075
TCGA-EJ-A46B-01A,0.173343239451204,0,0,0.227726957486481,0,0.0241807537265906,0.126227641047928,0.356369912054307,0.092151496233489,0,0,0,0,0,0.197980537244589,1.04255544379609
TCGA-QU-A6IN-01A,0.473509116560545,0,0,0.15288809026565,0.000997464552764841,0.0224500950306998,0.0587289833942045,0.172542143976592,0.0866904728479377,0,0.0321936333716064,0,0,0,0.119329627334654,1.05184768342614
TCGA-KK-A59Z-01A,0.0730317431592521,0,0,0.0121387066601385,0.0751101783379996,0.0192458534468226,0.131062595328505,0.521540925219373,0.166085826831738,0,0.00178417101617142,0,0,0,0.360285832557121,0.988445543333534
TCGA-XK-AAJT-01A,0.055676501028748,0,0.0178701623435325,0.0405367329973997,0.107869789306875,0,0.152077202793121,0.499583228193556,0.124700172596442,0.00168621074032613,0,0,0,0,0.357059107529171,0.986420143686656
TCGA-EJ-7125-01A,0.0992212869578092,0,0,0.185141093068629,0.0235968871205481,0.0393477164374878,0.132780308518404,0.37397916133747,0.12246571301864,0.0234678335410118,0,0,0,0,0.13207208588349,1.07850185052336
TCGA-J9-A52C-01A,0.0475524613529033,0,0,0,0.0659265914799809,0.0278879931685347,0.0854998814403976,0.593509379619635,0.15656192893653,0.0114815197417882,0.0115802442602303,0,0,0,0.454907547816927,0.935244682483933
TCGA-YL-A8HL-01A,0.205456135221961,0,0,0.0935400659027847,0,0.0415179619475641,0.205672912081064,0.380812714846221,0.0730002100004058,0,0,0,0,0,0.140213800461932,1.09270204812219
TCGA-ZG-A9LZ-01A,0.141204683822112,0,0,0.0753836719528176,0.126347423568621,0.0202600851202989,0.12600175606341,0.35143706989815,0.146858679032498,0,0.0125066305420924,0,0,0,0.254175717002093,1.00326820275186
