Mixture,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Double-neg-like T,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,Monocytes,NK,Neutrophils,P-value,Correlation,RMSE
TCGA-AG-3896-01A,0.132540926457633,0.0705247367861704,0.00822232377534552,0,0.131258801142142,0,0.0882663434755056,0.334603201927364,0.18453361883449,0,0.0500500476013496,0,0,0,0.270358169973911,0.988867374753718
TCGA-DC-4745-01A,0.076063912891377,0.0271929375733427,0,0,0.223800510521305,0,0.0754162441769257,0.466510771121952,0.0835037167429307,0,0.0475119069721665,0,0,0,0.22447010006943,1.04606613547929
TCGA-AH-6903-01A,0.23466950848461,0,0,0.0629517173983626,0.203170547872757,0,0.209901706916996,0.155822400779862,0.0646103508244635,0,0.0688737677229483,0,0,0.01,0.122837258112882,1.04188639004352
TCGA-AG-3599-01A,0.118217363390868,0.13615287518431,0,0,0.25011463154696,0,0.0791299337523036,0.225222958548833,0.123156219479103,0.000595598290380902,0.0674104198072415,0,0,0.01,0.119796931000122,1.03234413291413
TCGA-AG-3581-01A,0.11578406716302,0.0959516314911061,0,0,0.173483185231617,0,0.122342884910689,0.291180059648151,0.121355351933506,0,0.0799028196219106,0,0,0,0.218281733080866,1.01007052394458
TCGA-AG-3881-01A,0.0638278923253581,0.0304508115537468,0,0,0.00591991290268399,0,0.0242605074691691,0.570898317145718,0.131775796322615,0,0.172866762280709,0,0,0,0.398496447580712,0.986949482693927
TCGA-CL-5917-01A,0.0982964610769395,0,0,0,0.158624840917948,0,0.0980331800048514,0.532239990709395,0.0271082885401218,0,0.0856972387507441,0,0,0,0.291467844917248,1.03878882603158
TCGA-AG-3902-01A,0.0794907812675228,0.0689528392981647,0.0224566527889477,0,0.372457839776599,0,0.100639821200393,0.124866196490168,0.184289319956307,0,0.0468465492218989,0,0,0,0.189969481193969,0.996225796845377
TCGA-CI-6624-01C,0.123424111085115,0.0630616066872997,0.0324628887071488,0,0.14279768862639,0,0.0941943599172741,0.397992315636451,0.118220358050077,0.000446239229877778,0.0274004320603662,0,0,0,0.261825455371326,1.00476667998831
TCGA-AF-2692-01A,0.128451622956735,0.0418028130955599,0,0,0.155944720466592,0,0.109345179790485,0.445469221427703,0.0125714778023715,0,0.101770981771947,0.00464398268860621,0,0,0.260052099566466,1.03076179538232
TCGA-DC-6683-01A,0.128698555590227,0,0,0,0.226327862181766,0.00634031616430469,0.0961092903537155,0.340610291834624,0.179323376404651,0,0.022590307470712,0,0,0,0.200640083117309,1.02398460868767
TCGA-DC-6682-01A,0.146424955789758,0,0,0.0716299778983083,0.266388788330537,0,0.147812405385268,0.294737947794106,0.031983868871408,0,0.0410220559306148,0,0,0,0.176341519612135,1.03018824487566
TCGA-F5-6702-01A,0.00228581111015516,0,0,0,0.0795351741754972,0.0243258486837551,0.0178643522210372,0.688644319198541,0.179571394865758,0,0.00777309974525586,0,0,0,0.561946065172504,0.866039429106916
TCGA-AF-4110-01A,0.171463684639023,0.0491535438200037,0.0179335371767381,0,0.0898344518035988,0,0.0830086550756234,0.383102510132656,0.0998825109112383,0,0.105621106441119,0,0,0,0.384046151948866,0.940150753500585
TCGA-F5-6861-01A,0.0514530507274916,0.0450974175544562,0,0,0.110840310730848,0,0.0844449723590654,0.581878992573666,0.107403827125904,0,0.0188814289285689,0,0,0,0.205042028354141,1.10727809822408
TCGA-G5-6235-01A,0.285210034300818,0,0,0,0.409055918292083,0,0.210164543115857,0.0548391340469026,0.00153012800323938,0,0.0392002422410999,0,0,0.01,0.116736094148486,1.03135322628665
TCGA-AG-3999-01A,0.0667245063656788,0,0,0,0.188729015397647,0.00600153579916568,0.0933041786079498,0.433063304920097,0.11267535073687,0.0121941050872611,0.08730800308533,0,0,0,0.189234081060113,1.06454047935397
TCGA-AG-A02N-01A,0.137186959029465,0.0772529966911094,0.0128398683943784,0,0.39249388006461,0,0.176375085761969,0.100357751912209,0.0705452641422085,0.00884329758483115,0.0241048964192193,0,0,0.01,0.122993699597108,1.01886794623916
TCGA-AF-6136-01A,0.14813031898159,0.00692540379570545,0,0,0.186928773945842,0,0.202918312618616,0.294553040709749,0.128600609975619,0,0.0319435399728783,0,0,0.01,0.12148781683499,1.06749899781972
TCGA-AG-3580-01A,0.132590868874483,0.127931672120089,0.00801590727388412,0,0.161043405628198,0,0.0461695854954505,0.249310825434622,0.0576186601820152,0.000360738221677594,0.215641817530002,0.00131651923957946,0,0,0.222761835835075,1.02542574893846
TCGA-DY-A1H8-01A,0.106030722529267,0.171183907984427,0,0.00325153677685319,0.272563165157282,0,0.234878246654065,0.0468636564723726,0.0653967232840073,0,0.0910656491181953,0.00876639202353093,0,0.03,0.0698487418099556,1.05031421394473
TCGA-AG-A032-01A,0.142053412016204,0.0456777300237885,0,0,0.155573676384074,0,0.188819983148363,0.320272922866095,0.107410580700053,0,0.0401916948614216,0,0,0.01,0.143647689237194,1.06071387877616
TCGA-EI-6512-01A,0.107452842177591,0.0320411206552373,0.00332725727685464,0,0.242843050557569,0,0.163604593418704,0.290370982037264,0.0836079628674368,0,0.0767521910093428,0,0,0,0.146752642410165,1.04946050873847
TCGA-AG-3575-01A,0.0456221690735759,0.0263666441053136,0,0,0.133318643058866,0.029859163908261,0.0160426180320393,0.436375708804293,0.14409337935122,0,0.168321673666431,0,0,0,0.398966515628563,0.946837606894594
TCGA-AF-6672-01A,0.187854636293909,0.0163970838666977,0,0,0.218100293287735,0,0.196928331250686,0.294106224467536,0.0334418301780893,0,0.0531716006553469,0,0,0.01,0.135148127148917,1.06074698416826
TCGA-EI-6514-01A,0.0533782984526536,0,0,0,0.188986602596563,0.00437281106007055,0.154087843829841,0.465851754404634,0.112106076599704,0,0.0212166130565336,0,0,0,0.245802921711413,1.04609676055589
TCGA-AH-6644-01A,0.0235711706176297,0,0,0,0.176071369840305,0.024874839640874,0.0504910225411025,0.615319682249339,0.082470139342322,0,0.0272017757684273,0,0,0,0.417309704022917,0.966433405242022
