Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-C8-A278-01A,0.192062492205826,0.134216917684663,0.0668323309632001,0.286869689746971,0.00435449549983496,0.315664073899504,0,0,0.405737808028081,0.91749001661594
TCGA-A7-A425-01A,0.0789817281371603,0.13251146306821,0.12484161881383,0.441886965335874,0.00355936159893092,0.218218863045995,0,0,0.438619174267033,0.903336532164144
TCGA-E2-A15H-01A,0.139743905744621,0.25699007203198,0.104797243184221,0.432412355892089,0.00254514898987834,0.0635112741572107,0,0,0.315481471308826,0.968193583232637
TCGA-A8-A06N-01A,0.299614063158783,0.379338894282025,0.215718755389761,0,0,0.105328287169431,0,0,0.136047726586956,1.0345916073378
TCGA-E2-A570-01A,0.0452442964466188,0.268495642302438,0.0560015738683334,0.596932728452085,0.00851296866005397,0.0248127902704705,0,0,0.411829848612551,0.935036959256052
TCGA-BH-A1FL-01A,0.0775741948385858,0.177599363279576,0.170673050139319,0.521658655297372,0.0187651818577711,0.0337295545873753,0,0,0.508148718375283,0.863266671976179
TCGA-E2-A56Z-01A,0.152095725090551,0.207155652132908,0.189801009765415,0.346402460704043,0.00109088575049254,0.10345426655659,0,0,0.252908493764962,0.989671702692933
TCGA-E9-A1RI-01A,0.0346924773899314,0.123596604644073,0.0505093822984345,0.68523910300314,0.00395507829054412,0.102007354373877,0,0,0.393963402930597,0.960923088592485
TCGA-BH-A0DP-01A,0.058925751048239,0.119996094783347,0.0759878093614839,0.582927383112199,0.00248949169253656,0.159673470002195,0,0,0.5746837006242,0.819177906619335
TCGA-AR-A0U3-01A,0.182265128739787,0.161710503246293,0.157272005731526,0.379346880777621,0.000129362216915206,0.119276119287857,0,0,0.538171044441893,0.845357616334206
TCGA-BH-A18L-01A,0.0757114051437908,0.290488864166399,0.383447439635328,0.0696628822208516,1.50536924857535e-05,0.180674355141145,0,0,0.10306872061688,1.04848780259833
TCGA-A7-A3J1-01A,0.0832459595960777,0.0802434286490583,0.174676248764404,0.43473062037966,0.00764515151127476,0.191203754273493,0.0282548368260326,0,0.406245166081951,0.920715198767595
TCGA-AC-A6IW-01A,0.080126406815868,0.0228001034549057,0.13965379880056,0.108544513946728,0,0.572718123152391,0.0761570538295472,0,0.54768853451412,0.839035603575219
TCGA-AC-A3YI-01A,0.00611981454256129,0.165276073361816,0.0920566924154934,0.660707834858517,0.00683059323643314,0.0690089915851792,0,0,0.543390035224612,0.848219538275115
TCGA-D8-A1XG-01A,0.115881778529718,0.158155438318787,0.12446206132818,0.528863845761133,0,0.0726368760621833,0,0,0.274571175923613,1.00359008143895
TCGA-A8-A082-01A,0.171928231015785,0.0875578500861181,0.219302952557895,0.305726454886131,0.000285141249872382,0.215199370204199,0,0,0.186130603539807,1.02049907260368
