Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-94-7943-01A,0.0372046724119152,0.753039954047179,0.0347890085594855,0.0924095484591534,0,0.0825568165222664,0,0,0.303028915683907,1.01719014988743
TCGA-68-8251-01A,0.150031677363232,0.168404967529066,0.057440676914027,0.405271390634274,0.0120970691105343,0.190894639605998,0.0158595788428682,0,0.362046376848692,0.941089552801932
TCGA-33-A5GW-01A,0,0.932751474527335,0.048762771419116,0.0145171286532541,0.00396862540029469,0,0,0.03,0.120493319674317,1.1971770412022
TCGA-85-8070-01A,0.221740927913319,0.515749325325069,0.189565090881553,0.0481264425490243,0,0.0248182133310352,0,0.04,0.0687517741814598,1.08477103873653
TCGA-85-8479-01A,0.160688720535785,0.300615773849913,0.381529622421056,0.123515754321932,0.00647996586823327,0.0271701630030806,0,0.04,0.0825997132576012,1.05138512498287
TCGA-22-5482-01A,0.0844885548164361,0.379929311028162,0.129003774396288,0.335194314193542,0,0.0713840455655721,0,0.04,0.101113662041207,1.07172102259575
TCGA-21-1077-01A,0.157745567590488,0.516301196977627,0.0433950480427377,0.161518833713466,0.00277146553443985,0.118267888141242,0,0,0.246233059305674,1.00481488826024
TCGA-43-6773-01A,0.273632402853322,0.167226761676526,0.116186373653056,0.299093144466542,0.00612368872588986,0.137737628624664,0,0,0.432046053644151,0.90170242436365
TCGA-34-8455-01A,0.0232392797500145,0.590091901153494,0.0954077896958012,0.223497342785909,0.00680596092522926,0.0609577256895515,0,0,0.252934870877543,1.01757543621407
TCGA-85-7950-01A,0.162337715963356,0.112616412801204,0.121836788485962,0.38180325884014,0.00454878331059879,0.0826271560992702,0.134229884499469,0,0.404664964460299,0.91519416319471
TCGA-60-2715-01A,0.0388156298226423,0.428636848488439,0.0878744805846569,0.243321423181172,0.00125828146379456,0.200093336459295,0,0,0.534370237874501,0.845637823616384
TCGA-85-A5B5-01A,0.187703105224358,0.187627852681289,0.235125961342588,0.228444015779795,0.000123958843291326,0.160975106128679,0,0.03,0.137354960883677,1.03011778602062
TCGA-33-4583-01A,0.0924882809537751,0.699868750203589,0.0963866658687967,0.035638383473145,0.00421874537644759,0.071399174124247,0,0.03,0.135361592112927,1.102268144914
TCGA-60-2725-01A,0.0724651338194521,0.376043681967782,0.0577351000392429,0.175911069634071,0.00172148048657251,0.31612353405288,0,0,0.499611194121292,0.866254554112664
TCGA-85-8072-01A,0.0477490527489604,0.618572966087814,0.0504555772302557,0.105595621811263,0,0.177626782121707,0,0,0.33518015627771,0.974068125623242
TCGA-22-4601-01A,0.0616393425516946,0.725954423357913,0.0699598320327784,0.0729491119053511,0.000812771109389801,0.0686845190428725,0,0,0.308567299380702,1.00636332186005
TCGA-66-2781-01A,0.162199773926838,0.371848812250164,0.0864646080919568,0.328219767191851,0.00878082391381387,0.0424862146253764,0,0.01,0.242033038805035,0.999638327691658
TCGA-22-0940-01A,0.0264684866890067,0.555038680469098,0.0279999389784368,0.169510537132418,0.000613558084550781,0.193565342897192,0.0268034557492966,0,0.375301358619212,0.943472698951386
