Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Mast Cells,Myeloid cells,T Cells,P-value,Correlation,RMSE
TCGA-EL-A3D0-01A,0.0331004900877062,0.134740362984348,0.472800658222031,0.23191891201627,0,0.127439576689645,0,0,0.241221676039734,0.99444377511268
TCGA-J8-A4HY-01A,0.160387357792717,0.157100716468925,0.43633069815675,0.023074438838281,0,0.223106788743327,0,0,0.396191855296784,0.918404350377298
TCGA-L6-A4ET-01A,0.100162722114828,0.342222620227767,0.451753524599,0.0255185217632338,0,0.0803426112951715,0,0,0.179173733499234,1.01734322005615
TCGA-DE-A4MC-01A,0.09000924416666,0.647175522649222,0.189129781058009,0.0239246679498137,0,0.0181002694722474,0.0316605147040474,0,0.15999579892891,1.07233714337615
TCGA-ET-A25K-01A,0.0515798310786528,0.142792984891178,0.593045408016678,0.0900631246517206,0,0.122518651361771,0,0,0.252777689980315,0.984886357631513
TCGA-DJ-A3UU-01A,0.0594292548098635,0.264740908392111,0.22877720887188,0.24711099361803,0,0.199941634308115,0,0,0.2122700591736,1.00784099971697
TCGA-EM-A1YA-01A,0.105253460791233,0,0.773877564639584,0.0510036269281433,0,0.069865347641039,0,0,0.265081757278126,0.986193700076777
TCGA-CE-A483-01A,0.0941146148333546,0.315050929359339,0.43599198368117,0.00961867947860563,0,0.14522379264753,0,0,0.198698223646627,1.00840926742133
TCGA-DJ-A3VD-01A,0.254519886450071,0.236612644392695,0.179793757443087,0.200266228867027,0,0.124699073482593,0.00410840936452783,0,0.39101681863892,0.920329152426272
TCGA-BJ-A28S-01A,0.153717562418106,0.157243092745866,0.647377271326357,0.00676197911537023,0,0.034900094394301,0,0,0.206391848262683,1.00211000862164
TCGA-FY-A3R9-01A,0.230413403061489,0.0994923891604331,0.643259742337144,0.0219076037727648,0,0.00492686166816921,0,0,0.172031901511186,1.01472228371623
TCGA-FY-A3R8-01A,0.110207013737729,0.414386060237953,0.172306457507836,0.122220106699331,0,0.180880361817151,0,0,0.246517106500585,0.994666639146711
TCGA-DJ-A3V2-01A,0.15620953643685,0.155888058976508,0.211707535888713,0.0537219519577617,0,0.422472916740167,0,0,0.486850427598751,0.873790679845974
TCGA-ET-A25L-01A,0.0253634613850359,0.426196928151805,0.164835860713285,0.194322834824353,0.00028752928856097,0.18899338563696,0,0,0.245445621380197,1.00095269226891
TCGA-EL-A3D1-01A,0.0658226730872133,0.493602752182929,0.25215101407705,0.061299472129699,0.000182034856259384,0.126942053666849,0,0,0.246418270387957,1.00183763846151
TCGA-FY-A3I4-01A,0.0146571850996999,0.238617009724342,0.352689972053407,0.259784807222222,0,0.134251025900329,0,0,0.377066522385032,0.93023692253974
TCGA-DJ-A3UV-01A,0.057897297352283,0.169318651075226,0.454602522828136,0.200052400532191,0,0.118129128212164,0,0,0.379952969060957,0.926953207324686
TCGA-BJ-A28T-01A,0.238173975858189,0.0455184886467998,0.27352143399885,0.175469342648353,0,0.174667326021025,0.0926494328267828,0,0.615774016412684,0.818688296385774
TCGA-EM-A3FQ-01A,0.0554927999211424,0.643639127167739,0.0968110317016482,0.066164103182533,0,0.137892938026937,0,0,0.356788684682365,0.962701439888251
TCGA-J8-A4HW-01A,0.0623727816017287,0.305515950024947,0.50786423944396,0.0422741176597918,0,0.0819729112695724,0,0,0.243896771879054,0.98909923501662
TCGA-MK-A4N6-01A,0.0533796426288255,0.520474045396947,0.207338247504116,0.0926239913947037,0,0.126184073075408,0,0,0.158774158896758,1.04980005997762
TCGA-DJ-A3V8-01A,0.0829552699134086,0.443342021533984,0.276265858906571,0.124438620779095,0,0.0729982288669423,0,0,0.249671212812664,0.994005463291383
TCGA-DJ-A1QI-01A,0.12310311044185,0.225685189759253,0.335313680166925,0.122862861320025,0,0.193035158311947,0,0,0.209872017259171,1.00025150958726
TCGA-EL-A3H8-01A,0.0751183682494412,0.375104030373002,0.347634961010543,0.093101964295282,0,0.109040676071731,0,0,0.158058371378977,1.0294814314114
TCGA-EM-A3O3-01A,0.0662479410885823,0.771240316856295,0,0.0438591570940118,0.00191457106942052,0.11673801389169,0,0,0.208907700808943,1.08328511451559
TCGA-IM-A3U3-01A,0.0958347753898852,0.41840220889449,0.14945018413119,0.167528608002947,0,0.168784223581488,0,0,0.301449455227486,0.969273471969417
TCGA-BJ-A191-01A,0.254351813944456,0.123850594118685,0.486003825302302,0.00245425207289855,0,0.133339514561659,0,0,0.115542186678504,1.03224264798088
TCGA-E8-A3X7-01A,0.0433656845207299,0.439869279516357,0.195819038990831,0.211017695857074,0,0.109928301115008,0,0,0.266384185865892,0.989790779605733
TCGA-FY-A3YR-01A,0.0926104462634402,0.408148825077038,0.265702766255889,0.229848103903286,0,0.00368985850034742,0,0,0.24559600277018,0.997671919321272
TCGA-KS-A41I-01A,0.119169089205634,0.0978956069473155,0.511218496999158,0.045565926229673,0,0.22615088061822,0,0,0.543898415605667,0.846029637155696
TCGA-EL-A3CS-01A,0.160732353719317,0.359565924651315,0.364735500938895,0.109805230522556,0,0.00516099016791582,0,0,0.259072257093507,0.981867822997539
TCGA-EL-A3GU-01A,0.0423916218247736,0.480257122246983,0.188759361813681,0.288591894114562,0,0,0,0,0.266219549901301,1.00033121212038
TCGA-EM-A1CU-01A,0.0251874114753017,0.514667671807951,0.299638723859915,0.015933636306819,0,0.144572556550013,0,0,0.197302553060389,1.03196886848401
TCGA-H2-A26U-01A,0.0877716575866684,0.372688179326896,0.149438112629709,0.178216644606649,0,0.211885405850078,0,0,0.355787177728367,0.941549397762143
TCGA-DJ-A2PT-01A,0.00926909395671801,0.565428416202139,0.0832649949052002,0.116325481340365,0,0.212620887403543,0.0130911261920355,0,0.310761961538688,0.982386595358364
TCGA-DJ-A3V6-01A,0.0555891141220438,0.420184415704977,0.297992820026775,0.144865929727654,0,0.0813677204185499,0,0,0.246779683665997,0.994759270980458
TCGA-DJ-A2Q7-01A,0.143076739579927,0.0842414628796569,0.459654857277064,0.110215449579116,0,0.202811490684237,0,0,0.288903725844131,0.967112536127671
TCGA-ET-A3BV-01A,0.0359576713173629,0.449155728727801,0.0734618629583751,0.386361086547779,0.0124587429758022,0.0426049074728794,0,0,0.292972517435054,0.990180578791324
TCGA-EL-A3ZL-01A,0.0791324540316562,0.179377988925164,0.500657427862653,0.135571525346,0,0.105260603834527,0,0,0.374084503997058,0.928793436198995
TCGA-CE-A13K-01A,0.0447437154358421,0.10672478317094,0.623562379749617,0.068034944898218,0,0.156934176745383,0,0,0.308100347718186,0.961155670849148
TCGA-DJ-A3UQ-01A,0.0358879378163853,0.431565604740636,0.144122101693911,0.339122702065919,0.00032599621931248,0.0489756574638366,0,0,0.258194553479871,1.00285960408188
TCGA-BJ-A45H-01A,0.0492421993914979,0.385748013133422,0.295780121381873,0.115284116607484,0,0.153945549485722,0,0,0.253622820906788,0.989322343745511
TCGA-L6-A4EU-01A,0.0326330791988033,0.718527010210906,0.0917079081654653,0.113151953147942,0,0.0439800492768836,0,0,0.260261034770679,1.03543443391168
TCGA-DJ-A3VM-01A,0.116071016451225,0.161376397663631,0.63506791899178,0.0313809290334929,0,0.05610373785987,0,0,0.272795503352528,0.974197777064991
TCGA-H2-A3RH-01A,0.102244464528466,0.120115551266735,0.523530239777472,0.0671428420177586,0,0.186966902409568,0,0,0.281067766732723,0.970745397082003
TCGA-EL-A3ZR-01A,0.209103691069745,0.0545460919163645,0.723397194221968,0.0089809815015564,0,0.00397204129036576,0,0,0.136951372730811,1.035206448192
TCGA-BJ-A291-01A,0.0611748223136273,0,0.93184793282904,0.00192201590843757,0,0.00505522894889555,0,0,0.229455257697474,1.01475162432599
TCGA-MK-A4N9-01A,0.0939784325155556,0.337661421961125,0.383988621819611,0.0809002168716613,0,0.103471306832047,0,0,0.188602529704368,1.01245225663786
TCGA-EL-A3MZ-01A,0.0597930055155988,0.477100767257067,0.238683332941656,0.180112929229325,0,0.0443099650563537,0,0,0.227997390013229,1.01095253378328
TCGA-EM-A2CP-01A,0.308978750122397,0,0.344955967050433,0.00982008753417393,0,0.308637107583369,0.0276080877096278,0,0.69851339535616,0.754491242409777
TCGA-DJ-A2PZ-01A,0.0878498346892968,0.408416722728959,0.217577284592332,0.20317195966621,0,0.0829841983232023,0,0,0.273674395913558,0.981661872008708
TCGA-EL-A3ZG-01A,0.180338964679149,0.094662642512278,0.618095094820114,0.0346393633944005,0,0.0722639345940584,0,0,0.246683034285598,0.983710925259119
TCGA-FE-A3PC-01A,0.0767677041117247,0.387881333649252,0.332431225755498,0.0306956991122059,0,0.17222403737132,0,0,0.360629114842913,0.938044445740341
TCGA-BJ-A0YZ-01A,0.0429030014519931,0.0700945902416972,0.770706307866094,0.0669226975206986,0,0.0493734029195175,0,0,0.26709131880365,0.985513040338441
TCGA-DJ-A13M-01A,0.17974974601837,0.216195897430567,0.540786201864324,0.00952828453871796,0,0.0537398701480218,0,0,0.201694012749911,1.00084707618767
TCGA-EM-A3OA-01A,0.261634768732943,0,0.733343823283898,0.00154255962026627,0,0.0034788483628931,0,0,0.200574351724666,1.00912234502248
TCGA-J8-A3YE-01A,0.278311028392613,0.160905395331989,0.505023457102308,0.0472524578168391,0,0.00850766135625095,0,0,0.255534748901719,0.975890499166048
TCGA-BJ-A0Z9-01A,0.0716128283670283,0.618668779287066,0.139652929564488,0.00654135984602806,0,0.163524102935389,0,0,0.143803676798602,1.08131970511541
TCGA-EL-A3CW-01A,0.361474221755249,0.0902134180233512,0.356954631736654,0.10650374526823,0,0.0848539832165158,0,0,0.419317133112344,0.908779799189973
TCGA-FY-A3R6-01A,0.200160220312574,0.141856606957496,0.337495667509369,0.127448416927141,0,0.193039088293421,0,0,0.494162566822982,0.873404737884732
TCGA-H2-A2K9-01A,0.218726386412638,0.0429507811501629,0.697242724367758,0,0,0.0410801080694412,0,0,0.163272308899181,1.02206651077305
TCGA-DJ-A2PO-01A,0.0991332446429757,0.165856490234187,0.300203311211048,0.0651689786023921,0,0.369637975309398,0,0,0.389040761102375,0.926148612044304
TCGA-FY-A40N-01A,0.176184519999368,0.133233588675095,0.371617967426796,0.0525582689918617,0,0.266405654906879,0,0,0.273194617179237,0.975041439404682
TCGA-EM-A1YD-01A,0.0763711167736585,0,0.723324951583047,0.176678868066879,0,0.023625063576416,0,0,0.295849612489207,0.976030008055661
TCGA-DE-A69J-01A,0.0624390670445568,0.568566055971031,0.225111300156967,0.0413027041061321,0,0.102580872721314,0,0,0.180671449227667,1.04683724801938
TCGA-EL-A3MX-01A,0.151281936834403,0.496226916612166,0.176468548000356,0.0579087651062353,0,0.118113833446839,0,0,0.177873270901417,1.03356288830335
