Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-BP-4766-01A,0,0,0.533076234843921,0.176714214605479,0.2902095505506,0,0,0,0.454107382854692,0.926252084091879
TCGA-A3-3352-01A,0.0319060560386376,0,0.61919805718823,0.174197333699091,0.174698553074041,0,0,0,0.580847743975279,0.822025372206372
TCGA-G6-A8L7-01A,0,0,0.196362353212381,0.511162975611284,0.167199048284852,0,0.125275622891483,0,0.208841766896591,1.08833047723707
TCGA-A3-A6NN-01A,0,0,0.653095136703165,0.18768611768014,0.159218745616695,0,0,0,0.576552069810084,0.828996462136641
TCGA-T7-A92I-01A,0.0748403160678437,0,0.259308418112585,0.166650008649876,0.497598539657716,0.00160271751197982,0,0,0.269303526053699,1.0814508242477
TCGA-B0-5713-01A,0,0,0.728133760536487,0.187444314689766,0.0697633299203334,0.00176308834552525,0.0128955065078881,0,0.541896681248792,0.862302050400455
TCGA-CZ-4860-01A,0.0167060114879784,0,0.110588136343512,0.353834933588167,0.518870918580343,0,0,0,0.415623776171482,0.98696707609656
TCGA-A3-3351-01A,0,0,0.443712473742026,0.172163710419584,0.299167394852723,0,0.0849564209856668,0,0.579382635119329,0.819620914663223
TCGA-B8-4148-01A,0,0,0.532391441054178,0.155932625000944,0.223698731893258,0,0.0879772020516199,0,0.589897527076828,0.810286171283768
TCGA-BP-4345-01A,0.0405104260498766,0,0.314454336678416,0.468748425590473,0.176286811681235,0,0,0,0.598722226543498,0.809942098610449
TCGA-BP-5010-01A,0.011615767448444,0,0.345321652065434,0.513719146774102,0.12934343371202,0,0,0,0.604281766699098,0.810917387858082
TCGA-BP-4325-01A,0,0,0.540890091337443,0.122134574434623,0.336975334227934,0,0,0,0.521047842557375,0.876209675924101
TCGA-B0-5102-01A,0,0,0.518251831783276,0.189404526488501,0.292343641728223,0,0,0,0.291081139148058,1.04294382695543
TCGA-BP-5185-01A,0,0,0.380910519508584,0.436922421213914,0.181133868339606,0.00103319093789528,0,0,0.497101824233407,0.898820067300743
TCGA-CZ-5986-01A,0.0336798331719703,0,0.61292773075914,0.204882191117693,0.148510244951196,0,0,0,0.400122063602723,0.963060625699833
TCGA-CW-5590-01A,0.0104043792651405,0,0.589494420453249,0.27880996856665,0.113634259695575,0,0.00765697201938574,0,0.556951864111793,0.845899013917306
TCGA-CJ-4904-01A,0.0191110386012683,0,0.665795589974447,0.198297666007816,0.112701617130315,0.00409408828615379,0,0,0.598804618864646,0.809247130954357
TCGA-BP-4987-01A,0,0,0.695398339061989,0.21077928463666,0.0938223763013504,0,0,0,0.533034274338971,0.869834101319355
TCGA-B0-4849-01A,0,0,0.554763148065701,0.302373961760323,0.140162848957862,0.00270004121611468,0,0,0.584532523977091,0.822886042773848
TCGA-BP-4329-01A,0,0,0.505151296134463,0.308922155209112,0.184285097994829,0.00164145066159596,0,0,0.591722068224953,0.815386000699784
TCGA-A3-3328-01A,0.0707006496620406,0.11667923285878,0.666200335875149,0,0.14641978160403,0,0,0,0.268987920667616,1.03031992205572
TCGA-CJ-5672-01A,0,0,0.334810846280586,0.200675202753714,0.421515572372083,0,0.0429983785936164,0,0.640562008849556,0.772832111428753
TCGA-B0-5104-01A,0,0,0.590234991905068,0.238512210104649,0.171252797990283,0,0,0,0.42999824445661,0.945771090645902
TCGA-CW-6097-01A,0.06098400445946,0,0.326072632731212,0.329721222734482,0.243411612527568,0,0.0398105275472788,0,0.567933070300114,0.828197057531071
TCGA-B0-4700-01A,0.0311738902306261,0,0.300590299353123,0.348450279720641,0.244781872756788,0,0.0750036579388212,0,0.590424479459982,0.810064559662445
TCGA-B0-5095-01A,0,0,0.38357617230209,0.541495877707248,0.0656692887400629,0,0.00925866125059957,0,0.546635066012004,0.870291339643605
TCGA-B0-4810-01A,0,0,0.375698072942279,0.362582890217257,0.236411211487422,0.0022017955568413,0.0231060297962007,0,0.640522623447755,0.770665920761476
TCGA-CJ-4901-01A,0.000589434022979105,0,0.370572120563343,0.144288395669612,0.338235132757778,0,0.146314916986288,0,0.622983715431517,0.782938177868441
TCGA-CJ-4643-01A,0,0,0.635375962639729,0.222859477641217,0.141764559719054,0,0,0,0.595964110766279,0.812646786405616
TCGA-B8-A54H-01A,0.00736225415148174,0,0.67737494845347,0.220100340993567,0.0951624564014816,0,0,0,0.545249364365739,0.85829840205213
TCGA-AK-3429-01A,0,0,0.519942285866459,0.142149514648941,0.241486340840303,0.00517240384954921,0.0912494547947481,0,0.607928309594202,0.795450945613807
TCGA-B0-4834-01A,0,0,0.75375230147034,0.24624769852966,0,0,0,0,0.315075291922981,1.0561610283538
TCGA-B0-4843-01A,0.0271035232391153,0,0.41746018231481,0.465526964120146,0.0898438670945795,6.5463231349994e-05,0,0,0.625917872987464,0.78914254457623
