Mixture,B Cells,Cancer Cells,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,T Cells,P-value,Correlation,RMSE
TCGA-BQ-7044-01A,0,0.233484249787831,0.410508735378889,0.0665417531652701,0.28946526166801,0,0,0,0.115992358556169,1.12578362144825
TCGA-SX-A7SR-01A,0,0.0169095954824394,0.148199869903952,0.0972744388093462,0.654107101458542,0.0835089943457201,0,0,0.265693604359927,1.14242792766973
TCGA-MH-A854-01A,0,0.0440352314199074,0.319712325333308,0.183889651244586,0.442286351576215,0.0100764404259838,0,0,0.243137740974625,1.08494144947474
TCGA-B3-8121-01A,0,0,0.189321509552002,0.134841980679403,0.675836509768595,0,0,0,0.385754375533158,1.06083011391424
TCGA-2Z-A9JJ-01A,0,0,0.476685710110827,0.280428907387953,0.204953085147254,0.00905038256251273,0.0288819147914527,0,0.235038338468133,1.07079334623873
TCGA-B1-7332-01A,0,0.0207345207037555,0.254672216176811,0.0678329106796533,0.65676035243978,0,0,0,0.29473597270632,1.1271267369798
TCGA-WN-A9G9-01A,0.0108844233974953,0,0.0663323394555325,0.0119110818314564,0.760172321843987,0,0.150699833471528,0,0.759512783000455,0.687906337658605
TCGA-A4-8310-01A,0,0.183754451148069,0.286503180926764,0.0805876303884407,0.449154737536726,0,0,0,0.207739838945356,1.10288281644624
TCGA-2Z-A9JT-01A,0,0,0.12683177641076,0.0603741895176508,0.812794034071589,0,0,0,0.564303163546675,0.952580451821615
TCGA-5P-A9K2-01A,0,0.0768457311384298,0.117969334872925,0.122309998633878,0.653319684636781,0.0295552507179862,0,0,0.237618891037621,1.16068281894524
TCGA-4A-A93W-01A,0,0.101423319151634,0.195627788879384,0.385771397056583,0.3171774949124,0,0,0,0.256037375316026,1.05746619802789
TCGA-DW-7837-01A,0,0,0.340965049675846,0.0981408625547916,0.545652163855046,0.0152419239143159,0,0,0.332091061718543,1.05667767870249
TCGA-A4-A5DU-01A,0,0.197817914138413,0.165844036007179,0.161065227634416,0.475272822219991,0,0,0,0.248855817896229,1.0822248423988
TCGA-2Z-A9JI-01A,0.0405548492385417,0,0.120577111560071,0.115689513917432,0.723178525283955,0,0,0,0.533972236318287,0.942235435679139
TCGA-BQ-7050-01A,0,0.15799099442511,0.197524880379323,0.173533379088176,0.470950746107391,0,0,0,0.313983287992729,1.03577873049648
TCGA-BQ-5894-01A,0,0,0.318392375560657,0.383959957818634,0.287755211853285,0.00989245476742339,0,0,0.302321252677438,1.0384495239985
TCGA-BQ-5879-01A,0,0,0.621150399960411,0.152752584553086,0.160970621233445,0.0651263942530575,0,0,0.110348364215537,1.14423202722748
TCGA-AL-3472-01A,0,0.0756211723104308,0.291853212246312,0.311704740876341,0.298430733367753,0.0223901411991627,0,0,0.293026291583204,1.02701736393443
TCGA-MH-A560-01A,0,0.1331564960673,0.301481505517656,0.0886238915685777,0.476738106846466,0,0,0,0.238251690666096,1.09157778116252
TCGA-BQ-5891-01A,0,0.118621035834317,0.386710112837913,0.134399619210758,0.360269232117012,0,0,0,0.240147613708438,1.06408979213315
TCGA-B9-A5W7-01A,0,0.109342041790307,0.195561181591696,0.0690421007764148,0.602112931566078,0.0239417442755047,0,0,0.269591720332956,1.11422748995867
TCGA-UZ-A9PR-01A,0,0.0494502930866314,0.27558405660937,0.165755144865957,0.509210505438041,0,0,0,0.248967675412013,1.09965427966205
TCGA-B9-A69E-01A,0,0,0.186707306604926,0.171361837505668,0.641930855889405,0,0,0,0.615991539629817,0.831336642107837
TCGA-B3-4104-01A,0.0196920462683959,0.17199216528595,0.401213787893706,0.364652355848459,0.0424496447034886,0,0,0,0.243160192522201,1.06001253134355
TCGA-SX-A71R-01A,0,0.0905364744302625,0.455522000428356,0.0590832113019018,0.376120465112796,0.0187378487266846,0,0,0.265945009730036,1.05312608890536
TCGA-MH-A55Z-01A,0,0.0705842962552154,0.266504733541611,0.10899913959784,0.553911830605333,0,0,0,0.257907934495696,1.10677771941907
TCGA-UZ-A9PO-01A,0,0.015914078115246,0.165996862126735,0.0276469912309119,0.790442068527107,0,0,0,0.396931636081673,1.10809448534521
TCGA-G7-7501-01A,0,0.0448987828985028,0.297445284971086,0.15662240506777,0.501033527062641,0,0,0,0.387809556055402,0.996524376001216
TCGA-DW-7836-01A,0.00526890994577486,0,0.433301289087432,0.488417684458848,0.0694449309302059,0.00356718557773969,0,0,0.223500257471442,1.11653244146981
TCGA-HE-A5NI-01A,0,0,0.255747782159228,0.0612755288201354,0.591356073162493,0.0916206158581431,0,0,0.389320764172789,1.02160575715023
TCGA-G7-A8LE-01A,0.0223826405926017,0,0.344186454138691,0.491476218118895,0.127020256318816,0.0149344308309962,0,0,0.240460960346252,1.08871294247454
TCGA-Y8-A895-01A,0,0.214517546632186,0.263294593942915,0.101224654086134,0.404406019741131,0.0165571855976344,0,0,0.23684061005736,1.07149468093366
TCGA-UZ-A9PQ-01A,0,0.0744122594251306,0.419695875546337,0.398485614016182,0.10740625101235,0,0,0,0.231537726383784,1.08016700986928
TCGA-BQ-5884-01A,0.0180394534252929,0,0.134726836484827,0.0823094593629726,0.764924250726908,0,0,0,0.401641940755122,1.08914178997115
TCGA-BQ-5893-01A,0.0226164148438355,0,0.616740879535824,0.246669238265078,0.104332264412256,0.00964120294300622,0,0,0.196112169342601,1.10641903117429
TCGA-UZ-A9PV-01A,0,0.128410619549404,0.588819204901999,0.17606397945731,0.106706196091287,0,0,0,0.179067845263624,1.09495730414056
TCGA-B9-4113-01A,0,0,0.174359225928007,0.074507542539879,0.712329340116147,0.0388038914159669,0,0,0.313246501332091,1.13688689601718
TCGA-B3-3926-01A,0,0,0.406251759053778,0.178656386763517,0.307178743529875,0.00871568372034836,0.0991974269324813,0,0.242324082603058,1.05355691477688
TCGA-2Z-A9J3-01A,0,0.157794623390272,0.621502186956744,0.120936998603274,0.0976735233144686,0.00209266773524087,0,0,0.157225889563332,1.10538716876403
TCGA-Y8-A8RZ-01A,0,0.0803677789411182,0.193490331766045,0.0550607219945725,0.671081167298264,0,0,0,0.203294040871065,1.19916675757194
TCGA-AT-A5NU-01A,0,0.138280016451418,0.41600539986919,0.333612135747301,0.112102447932092,0,0,0,0.213374865859818,1.07586132436764
TCGA-G7-6792-01A,0.0136623747105499,0,0.46006754424725,0.0758591764700781,0.423171108220236,0.0272397963518859,0,0,0.186919308484999,1.12400801247286
TCGA-5P-A9KC-01A,0,0,0.18707297118625,0.0413567499891942,0.771570278824556,0,0,0,0.23488710100878,1.23768765097182
TCGA-Y8-A8S0-01A,0,0.0640858214473376,0.397303545020858,0.235397827878674,0.301033871135928,0.00217893451720262,0,0,0.263056900925043,1.04900133053781
TCGA-B1-A655-01A,0,0,0.184038439736339,0.0378985182980991,0.778063041965562,0,0,0,0.254659893058769,1.22554877981305
TCGA-J7-8537-01A,0,0,0.20999567650405,0.0918696374793946,0.698134686016555,0,0,0,0.405061321349845,1.05471999163812
TCGA-KV-A6GD-01A,0.0250360482029675,0,0.0894283925808234,0.195125360055894,0.690410199160315,0,0,0,0.655081648053783,0.800689467166256
TCGA-G7-A4TM-01A,0,0,0.289505619849814,0.217446634040992,0.417884432589561,0.0751633135196327,0,0,0.321716055320754,1.02493655307824
TCGA-G7-6790-01A,0,0.0688354407616251,0.208336638145864,0.15137830627885,0.57144961481366,0,0,0,0.223851010070523,1.13690689667864
TCGA-A4-8515-01A,0,0.194457143589427,0.414666243809442,0.103530553479062,0.287346059122069,0,0,0,0.221476612997371,1.06238068097576
TCGA-BQ-7049-01A,0.060475592211987,0,0.324447523080615,0.417227495241573,0.186259828148924,0.0115895613169006,0,0,0.198180398567005,1.09557243666529
TCGA-SX-A7SL-01A,0,0,0.686728944159057,0.174537121060021,0.107362724688105,0.0179087051239643,0.0134625049688535,0,0.308604174198347,1.03179338882271
TCGA-A4-7734-01A,0.0342299571662651,0,0.499527280760211,0.247390262060848,0.218852500012676,0,0,0,0.268070945762708,1.05018908478775
TCGA-BQ-7053-01A,0.00563868233044956,0.0216198830113151,0.234351254383073,0.271204657158398,0.467185523116765,0,0,0,0.262085067567222,1.08345868148657
TCGA-G7-6797-01A,0,0.210562635566025,0.497937823042032,0.114306645305081,0.159636617783436,0.0175562783034256,0,0,0.20014239075249,1.06789774124542
TCGA-IZ-8196-01A,0,0.100296962854485,0.427464889887033,0.416807999422166,0.0541844484436289,0.00124569939268721,0,0,0.1118609254485,1.16045627494286
TCGA-P4-A5EB-01A,0,0.241682690771349,0.188352656603192,0.0649704597312049,0.504994192894254,0,0,0,0.199313931057098,1.13026256286835
TCGA-BQ-7058-01A,0,0.122277439096452,0.299336289897535,0.21823634956434,0.360149921441673,0,0,0,0.308983428943258,1.0189210205533
TCGA-B9-A8YI-01A,0,0.22758271173298,0.231464985391832,0.0327918310234543,0.508160471851734,0,0,0,0.262546587744033,1.08818917243112
TCGA-HE-7128-01A,0.0241921196260888,0,0.0719601916391686,0.018097826170513,0.88574986256423,0,0,0,0.630521125626641,0.91620510891609
TCGA-4A-A93Y-01A,0.0328605302302616,0,0.128735741406154,0.204635780790018,0.633767947573567,0,0,0,0.726475622320048,0.70257632783849
TCGA-HE-A5NF-01A,0,0,0.0803986517107621,0.045821539507363,0.873779808781875,0,0,0,0.465879012364625,1.08927690277737
TCGA-B1-A654-01A,0,0,0.293283030981086,0.28435274601402,0.401477843352646,0.0208863796522485,0,0,0.320299252148031,1.03099397108463
TCGA-DW-7834-01A,0,0,0.162948655650559,0.223180226676951,0.600677324352066,0.013193793320424,0,0,0.433663216406424,0.990638214096968
TCGA-A4-8516-01A,0,0.100521225708946,0.192888373456632,0.0484999688592821,0.658090431975139,0,0,0,0.345560857778769,1.08152525752821
TCGA-P4-A5E7-01A,0.0222821008576961,0,0.296300427958248,0.216356972475827,0.439826033089669,0.0252344656185606,0,0,0.179254482659614,1.1285740114786
TCGA-IA-A83T-01A,0.00598089901634971,0,0.067809505307777,0.0326261692673613,0.893583426408512,0,0,0,0.677703970250254,0.859896931267106
TCGA-G7-A8LC-01A,0,0.0831841418430161,0.43367242409677,0.215781659562784,0.159650474633911,0.00418360460679837,0.103527695256721,0,0.39844354081576,0.939506093177766
TCGA-P4-AAVO-01A,0,0.0724037654262431,0.443627773370938,0.124961373032335,0.359007088170483,0,0,0,0.153302298249632,1.12436066927692
TCGA-A4-8311-01A,0,0.0448599952065253,0.548749072508356,0.192972450638653,0.203775747311697,0.00964273433476829,0,0,0.23855339360903,1.06439525499057
TCGA-Y8-A8RY-01A,0,0,0.148209666578689,0.0570606728542067,0.735692151580868,0.0590375089862358,0,0,0.481794042264345,0.99826246075809
TCGA-A4-A57E-01A,0,0,0.321500996934923,0.1562742633007,0.522224739764376,0,0,0,0.267557308382688,1.09829422764614
