Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-C8-A278-01A,0.0198370211477669,0.0370778122088921,0.380298929561133,0.0191426168551891,0.27932366215476,0.263052507453484,0.0012674506187752,0,0.431538734171899,0.93509820285216
TCGA-A7-A425-01A,0,0.0205714226419975,0.438432310434003,0.0275779890737144,0.324856565212692,0.183384007141165,0.00517770549642788,0,0.364279913582337,0.993686461000134
TCGA-E2-A15H-01A,0,0.0274893867608446,0.554815246096544,0.00774318020872907,0.283874393961244,0.126077792972638,0,0,0.445253610578409,0.938135535811638
TCGA-A8-A06N-01A,0,0.0142748634308094,0.790860962253297,0.00472925731016534,0.0172234877270765,0.171266632264716,0.00164479701393581,0,0.214846523419929,1.12594607406667
TCGA-E2-A570-01A,0,0.0209611918849493,0.325311680911392,0.00966244136726299,0.499108991631146,0.14495569420525,0,0,0.555022445188709,0.879952474716495
TCGA-BH-A1FL-01A,0,0.0277205884773284,0.56940812869281,0.00923083119667178,0.264638424103776,0.128914453091395,8.75744380188622e-05,0,0.334822619302754,1.01710898897359
TCGA-E2-A56Z-01A,0.0184799909839271,0.0241346081208129,0.457577952761677,0.00847610841634341,0.37337852252603,0.111879541325446,0.00607327586576362,0,0.195024582963449,1.12355919633176
TCGA-E9-A1RI-01A,0,0.0264570973124602,0.344201352254489,0.00664169735353137,0.404925710286154,0.216546871758922,0.00122727103444353,0,0.495384544041692,0.91007921856217
TCGA-BH-A0DP-01A,0,0.0299837192932881,0.355735939644467,0.0160377290989231,0.376812211861663,0.220378979308009,0.00105142079364923,0,0.452449706555803,0.937472515334918
TCGA-AR-A0U3-01A,0,0.0267018272163793,0.549408257411907,0.0215984233062936,0.307359815362269,0.0949055853074348,2.60913957159651e-05,0,0.151455795663465,1.1457301820889
TCGA-BH-A18L-01A,9.15282824934111e-05,0.0106712022820483,0.728506326298872,0.026663308696188,0.128105845101328,0.102461484601186,0.00350030473788421,0,0.178745385048866,1.13414251704263
TCGA-A7-A3J1-01A,0.0656389604433001,0.0582539720161341,0.364848211818903,0.0382053316675914,0.295020683455674,0.178032840598397,0,0,0.280112561578982,1.02328275648059
TCGA-AC-A6IW-01A,0.0478876844097168,0.0630787042065084,0.383414529846778,0.0555754001271997,0.104646140352407,0.34539754105739,0,0,0.301075646779725,1.00442772982146
TCGA-AC-A3YI-01A,0,0.0196448818632685,0.3752576236281,0,0.445906207527502,0.156424803179551,0.00276648380157871,0,0.533215405543812,0.888159505229131
TCGA-D8-A1XG-01A,0,0.0131806644551056,0.435998121539582,0.00499018023363054,0.401802336561405,0.142689306536257,0.00133939067401956,0,0.293441709703277,1.070217953545
TCGA-A8-A082-01A,0,0.0142673466954745,0.518229198677381,0.0161671562544564,0.19522347431478,0.253781126676658,0.00233169738124989,0,0.285507616469819,1.0378770164492
TCGA-OL-A5RU-01A,0.0893174369844014,0.0562072358845428,0.447875334995997,0.0370536052686607,0.268905502325496,0.099518625183453,0.00112225935744874,0,0.195985037269806,1.07078304760546
TCGA-BH-A0HA-01A,0,0.0548738294287257,0.30456287113294,0.0306146419993787,0.448986501458512,0.155605040706458,0.00535711527398633,0,0.523828286470729,0.887773314791187
TCGA-A2-A3XS-01A,0.0498447571359072,0.0169022006899251,0.590411299451863,0.0097005270396319,0.247376663638992,0.0857645520436803,0,0,0.230978384076993,1.08243785057929
TCGA-A2-A0ES-01A,0.00215707227854008,0.0342660196992931,0.482675492246826,0.00965252095521031,0.366976762184647,0.102922032408531,0.0013501002269535,0,0.258695590595992,1.08346049377376
TCGA-B6-A0RN-01A,0,0.0182978864996031,0.461732619747983,0.0113498205905356,0.447264164150213,0.0599189905904766,0.00143651842118824,0,0.50452551389939,0.919614913916785
TCGA-BH-A2L8-01A,0.049446035813026,0.0899952528302737,0.247826811128417,0.050268637445968,0.338334104544651,0.211036236372106,0.0130929218655586,0,0.517168255179874,0.866330253834695
TCGA-E2-A108-01A,0.0452917686573314,0.0684986358355087,0.14352841177669,0.0271215808797789,0.375020688006116,0.324593324989224,0.0159455898553515,0,0.552808367005464,0.852740743243549
TCGA-AN-A046-01A,0.0309699459954582,0.0791498460899687,0.390430808995931,0.0121462489412606,0.267121775315361,0.218294727360276,0.00188664730174472,0,0.286520594314117,1.02167383625604
TCGA-E2-A576-01A,0,0.036269771819167,0.596861974736499,0.0361641239805661,0.233196416533609,0.0904648188150887,0.00704289411506998,0,0.261655317118156,1.05994417714333
TCGA-A2-A3XX-01A,0,0.0248463142855943,0.55495137152588,0.00269448286475556,0.222202652048386,0.187844583628436,0.00746059564694845,0,0.368588416149257,0.985348188030187
TCGA-C8-A137-01A,0,0,0.507855754159365,0.0057405953076763,0.352623766051573,0.130480522225242,0.00329936225614307,0,0.300043431842097,1.05950292363173
TCGA-A7-A4SC-01A,0,0.0477552558670359,0.421405344248132,0.00760545160076499,0.407286619135859,0.114546618127419,0.00140071102078935,0,0.314534669629125,1.04929447379343
TCGA-E2-A15M-01A,0.082799603793625,0.0685790829519833,0.235821883768977,0.00894961565610953,0.373251961085721,0.230597852743584,0,0,0.497865918384825,0.888915082616212
TCGA-A8-A08I-01A,0.0318515937983039,0.0999027968772498,0.327274698767146,0.0506199647678898,0.128195309759253,0.359110387905819,0.00304524812433886,0,0.212825543033726,1.05594061463944
TCGA-AC-A2FF-01A,0.0573759163606337,0.052928676471688,0.228211547507081,0.0291975801127819,0.473210290287472,0.159075989260343,0,0,0.53464605605177,0.878818499719695
TCGA-E2-A1L6-01A,0,0.0265661769568628,0.406437312815661,0.00994938484963865,0.36204577139393,0.193902924107634,0.00109842987627369,0,0.310980182841853,1.04085935709088
TCGA-A7-A13E-01B,0.175808425620629,0.0508266329917529,0.424266149746686,0,0.227733203510606,0.121365588130326,0,0,0.352617423407336,0.964165285595702
TCGA-AR-A24S-01A,0,0.0269199973183708,0.296470232080016,0,0.304692638354064,0.371917132247549,0,0,0.386892436666968,0.987772586539153
TCGA-E2-A155-01A,0.00182834626971861,0.0155175660300183,0.710315757568975,0.00874606193660313,0.198578895306741,0.0643806474053965,0.000632725482547621,0.01,0.0929792950106038,1.19894987324847
TCGA-C8-A12M-01A,0.0575704381607709,0.0442051631461439,0.411526052736671,0.0065737044366662,0.355511052360755,0.120900429495012,0.00371315966398123,0,0.222802013311703,1.08492026624033
TCGA-E2-A14W-01A,0,0.0177223411648249,0.670475902067198,0.00685553298257705,0.194037889531484,0.110908334253917,0,0,0.216558929558509,1.10564819663787
TCGA-B6-A0RQ-01A,0,0.0195990772381695,0.653445011904459,0.00786274978183044,0.242691777034285,0.0745852553969232,0.00181612864433341,0,0.143292491516182,1.1599676677034
