Mixture,CD4 T,CD8 T,Cancer Cells,DC,Fibroblasts,Monocytes,NK,P-value,Correlation,RMSE
TCGA-CV-5442-01A,0.0420167137757827,0,0.880026739421538,0.0123949633684222,0.00975043865172008,0.055811144782537,0,0.01,0.0659292308606233,1.25561694321009
TCGA-CR-7392-01A,0.0394594520382618,0.0580665623802679,0.355952824957515,0.00980073289840824,0.369966118352297,0.165760944968767,0.000993364404483045,0,0.200425588005947,1.10080296249465
TCGA-UF-A71A-01A,0,0,0.471119936116266,0,0.364799459946354,0.16408060393738,0,0,0.214943551705446,1.1197573013078
TCGA-CN-A642-01A,0.0158970533541151,0.0500101636588604,0.459453624034493,0.0125946964838808,0.279072800124945,0.175205932241137,0.00776573010256858,0,0.107471705524411,1.14276989090579
TCGA-CV-A45U-01A,0,0.0246249196122735,0.691886384885075,0.010743842395921,0.235017567982173,0.0377272851245583,0,0.01,0.097737965786781,1.19930079794266
TCGA-CN-6012-01A,0,0.0277509287966304,0.640114094824495,0.0146866999058639,0.145166045111553,0.161866232472018,0.0104159988894397,0,0.236622485520264,1.0746776144145
TCGA-CV-A45W-01A,0.0118262482771345,0.0468624790117931,0.473956919109699,0.00970000952590382,0.212347382581721,0.242331818286386,0.0029751432073623,0,0.376887284565261,0.968592866195559
TCGA-CV-A6K0-01B,0.0830340103661132,0.0339661179749991,0.367911799486224,0.0145846485617644,0.333884198784693,0.166342298966174,0.000276925860032566,0,0.131867593319863,1.12780278864009
TCGA-QK-A6VB-01A,0,0.0107088095663168,0.726395410333844,0,0.1639355608508,0.0989602192490391,0,0,0.194081118309813,1.13271081489295
TCGA-CV-6959-01A,0,0.0350164149608988,0.479196982273353,0,0.353716178687215,0.132070424078533,0,0.01,0.0908342570244072,1.18952534814933
TCGA-HD-7832-01A,0.0308674687588295,0.0279843115311686,0.433491683552182,0,0.248523496299022,0.259133039858798,0,0,0.112618957783635,1.14094010455129
TCGA-CV-7255-01A,0.00599421701859758,0.00417311328612094,0.738475591308447,0,0.19469481002,0.0566622683668351,0,0,0.127026768130964,1.1884670990562
TCGA-CR-5243-01A,0.069444734536764,0.0309402706632459,0.477157720993427,0.0349875226714657,0.28579999965873,0.0945980690894949,0.00707168238687207,0,0.215442227262642,1.07297371267874
TCGA-P3-A6T5-01A,0.000639926452003067,0,0.63266675345706,0.000240093069374982,0.201417037765635,0.165036189255927,0,0,0.109684869495521,1.17087299137899
TCGA-CV-6952-01A,0,0.0474184533171826,0.624242023898523,0.00283819304272082,0.225679673333487,0.099531268915986,0.000290387492100049,0.01,0.0891065038397166,1.17720788557
TCGA-D6-A6ES-01A,0.0166890880703405,0.014077570258044,0.548497052571299,0.00337371232724605,0.127394098903346,0.289968477869725,0,0.01,0.0894927601904715,1.1592849244278
TCGA-CN-5366-01A,0,0.0276744469053467,0.537607639674277,0,0.318040147827228,0.113047495637852,0.00363026995529637,0,0.173951623573289,1.13487404692999
TCGA-CQ-6223-01A,0.0365444533252728,0.00709892618095175,0.740443629321926,0.000503588184151668,0.113500957613837,0.101908445373861,0,0.01,0.0762232001741629,1.20100486758872
