"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.OR.A5LO.01A",0.0109621212477212,0.0878325304586815,0.00786955874669768,1.07885848319889e-05,7.83151158348601e-10,0.0214189668096301,0.871906033369286
"TCGA.P6.A5OG.01A",2.73769537668424e-08,0.271395610339457,0.0332970913153662,0.129818603624014,0.0224525344714098,1.81531465479708e-05,0.543017979726251
"TCGA.OR.A5J6.01A",0.0261556702292048,0.242432018858461,6.24494322723986e-06,0.0503107417215201,7.56327687259546e-09,0.0804806592537101,0.6006146574306
"TCGA.OR.A5LT.01A",0.00959038135586586,0.0680748670361345,0.0151070038619722,0.00515699755665098,8.22319103616682e-09,0.0409317363768895,0.861139005589296
"TCGA.OR.A5JY.01A",0.00978866779081535,0.114244089829541,0.0141981877447518,0.0219369237868328,1.09226194920856e-08,0.0187580839542798,0.82107403597116
"TCGA.OR.A5JV.01A",3.05131937213886e-07,0.18224167414704,0.000321831761204147,0.0872142734332399,4.89542192401926e-09,0.0738232627530171,0.65639864787814
"TCGA.OR.A5JT.01A",0.0326402184094312,0.210332391085848,0.00613638288945642,0.0036416184891925,1.4665893127664e-06,0.0936940674939885,0.653553855042771
"TCGA.OR.A5KX.01A",0.0409259084338336,0.227039987874225,0.00121291252633,0.00171916437139405,8.54032930398484e-09,0.0894292350238466,0.639672783230042
"TCGA.OR.A5K3.01A",0.0151438771473678,0.0814866498764438,0.00112995282938442,0.00743793111471758,2.13849203441382e-09,0.0398996719711414,0.854901914922453
"TCGA.OR.A5JZ.01A",0.0486384682566461,0.275381391280046,0.00633069776642605,0.00564785358855158,3.54679883545923e-09,0.127052891586008,0.536948693975524
"TCGA.OR.A5LC.01A",0.0182737372948852,0.125237947907669,0.0330438013300498,0.0162201147857986,4.04457326387305e-09,0.0392695045624201,0.767954890074604
"TCGA.OR.A5LH.01A",0.0154718763144376,0.120362428272784,0.00326228751083537,0.0172252532458984,5.35899837361168e-09,0.0456179800590321,0.798060169238014
"TCGA.OR.A5LM.01A",0.0125085455296607,0.0844606252946399,0.0049078470422361,0.00975362294391669,8.27943030187619e-09,0.0339063894300787,0.854462961480038
"TCGA.OR.A5J5.01A",0.0153682654752013,0.0655823112299091,0.000570018604149453,0.0025314629401846,1.01009997686318e-09,0.027197318888093,0.888750621852363
