"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.HQ.A5NE.01A",1.11443223188935e-07,0.0249756649221443,0.11689610009459,0.0115382129549371,7.54223924776776e-08,0.00603955549197652,0.840550279670736
"TCGA.FD.A5BT.01A",7.00937613652367e-09,0.000890594932783987,0.640975728262547,0.358022396601381,0.000110672181750183,5.96253867611884e-07,4.75829390127921e-09
"TCGA.DK.A3IQ.01A",1.64114721346683e-07,0.00488944810894022,0.994796773722118,1.83076535844286e-06,8.6167964553774e-05,0.00022561131325453,4.01105377762787e-09
"TCGA.ZF.AA4X.01A",0.000895569775362676,0.00812982319035518,0.00400345380671896,0.00305771149163463,5.29496504002401e-09,0.0140941826100654,0.969819253830898
"TCGA.GD.A3OQ.01A",3.29363665534084e-07,0.0351138033394561,0.05131967829124,0.00710375974930016,3.6705442252105e-09,0.00720403128232132,0.899258394303473
"TCGA.ZF.AA51.01A",0.0225237656169093,1.8378641351097e-08,0.0844166000611948,0.0250198904162994,0.00565392779515174,0.008473938982206,0.853911858749597
"TCGA.FD.A3SS.01A",1.59849757089359e-07,0.0506265397225966,0.0463058496867616,0.00680235058594143,6.35053751159478e-09,0.019793704903626,0.87647138890078
"TCGA.DK.AA71.01A",1.22503489337393e-08,0.0299724758462805,0.0286527417120808,0.0118611556408804,4.50114656498667e-07,0.0111552238707255,0.918357940565027
"TCGA.4Z.AA83.01A",3.49740272731775e-08,0.061043567977518,0.026164254979105,0.0106024075679205,2.85138400926318e-06,0.020010625392438,0.882176257724982
"TCGA.ZF.A9R4.01A",3.1132289188639e-08,0.014784145151025,0.00098909333006647,0.0112442808740367,0.0042886242747499,0.0129278162602977,0.955766008977535
"TCGA.BT.A20P.01A",1.78731940524113e-07,0.0260832805552705,0.0283108197461748,0.00401490095958318,1.20613219787795e-07,0.00958860912449639,0.932002090269315
"TCGA.HQ.A2OE.01A",1.18993473706133e-07,0.0227418528742445,0.00581061835203492,0.00968609291537162,1.3831510935417e-08,0.0135109599209243,0.94825034311244
"TCGA.R3.A69X.01A",0.0249698230026658,0.187251252629315,0.183727136736982,0.0281380268037009,2.0405013426418e-09,0.0684837306305359,0.507430028156299
"TCGA.BT.A3PH.01A",1.26326097247671e-07,0.029857421029519,0.0349638193214937,0.0119854152802102,5.97569831876696e-05,0.00731018857881693,0.915823272480675
"TCGA.UY.A9PA.01A",5.89031330312534e-10,0.0146467961456055,3.61336850632115e-07,0.0193880286206259,0.00780050459741432,0.0152175813712815,0.942946727339191
"TCGA.BL.A13J.01B",1.49525635577256e-07,9.93426425782032e-13,0.162685333278649,0.00971093342058541,4.13006563051921e-08,6.231743471807e-07,0.827602919299133
"TCGA.CF.A3MI.01A",4.13411392057713e-07,0.0317647299677325,0.00273286902403917,0.00214649020807005,3.73438451897485e-09,0.0102229119441606,0.953132581710221
"TCGA.XF.AAMW.01A",0.000193200840895626,0.0443266912854829,0.0283518639463392,0.0294500202760246,7.97190459042741e-09,0.00345524448004192,0.894222971199311
"TCGA.H4.A2HQ.01A",0.00737135297135463,0.0222252526098967,0.0215247491462433,0.00556163444295785,1.20832162633025e-09,0.0155276802252782,0.927789329395948
"TCGA.HQ.A5ND.01A",0.00281379604620912,0.0345842526741706,0.017942867791402,0.00319125690909252,4.78071532895704e-09,0.017589831433306,0.923877990365104
"TCGA.K4.A6FZ.01A",7.75206407387042e-08,0.0399994948310623,0.0033770727305626,0.033085053401814,1.66890372896147e-07,0.0166453656400011,0.906892768985546
"TCGA.DK.A3IV.01A",0.0148826509302368,0.000874213919885049,0.0067963562748389,0.0170120742052052,2.49037652613506e-08,0.0638434677021456,0.896591212063923
"TCGA.E7.A3X6.01A",2.20992585755437e-08,0.0353161406621004,0.0449558006283091,0.0230798588664246,0.00777343662376891,0.0290524654369119,0.859822275683227
"TCGA.BT.A42F.01A",0.111049086790916,0.00562086024471793,0.000569954352480513,0.0558563838475271,0.0293065466012186,1.28323135113008e-08,0.797597155330826
"TCGA.UY.A8OB.01A",9.72671928106638e-07,0.0208245178151911,0.021245592768163,0.0231027291194066,1.52573098314499e-08,0.0291528257285127,0.905673346639489
"TCGA.DK.A1A3.01A",5.75742352353706e-08,1.04530082987321e-05,0.112157623594857,0.031662581631814,3.09063538154064e-05,3.67702410414351e-06,0.856134700812875
"TCGA.DK.AA6X.01A",1.44320736913267e-08,6.60371248142947e-05,0.0654505405009762,0.0192728225047006,6.30002229963644e-08,0.0132586494981627,0.901951872939049
"TCGA.G2.A3IE.01A",0.0157038346031062,4.00273318807291e-07,0.0263638383998499,0.00482622469236113,4.55021325822692e-08,0.0159124136242808,0.937193242904951
"TCGA.FD.A5BU.01A",0.0216629682659681,0.227701578533293,0.188691860498974,0.0895168694315933,2.51710193389655e-08,0.0423752160854881,0.430051482013663
"TCGA.C4.A0EZ.01A",0.00432061827371876,0.0774804247209148,0.0419556238406539,0.00456282180279049,6.01213611427692e-10,0.00972881899952206,0.861951691761186
"TCGA.FD.A3B3.01A",0.0789105414227687,0.108103840636291,0.157265438949824,0.0776746861462045,0.00288658200010374,0.0781598554810443,0.496999055363764
"TCGA.FD.A5BZ.01A",3.06688717207202e-05,1.00541977757491e-05,0.722348082897396,0.00201627635226647,1.49561396521814e-06,1.23775636465999e-08,0.275593409689313
"TCGA.C4.A0F7.01A",6.53598753361931e-07,9.26716544803532e-05,0.202324387600105,0.00124716843025914,2.03498443790095e-10,4.2308817564302e-09,0.796335114282022
"TCGA.XF.AAMR.01A",5.39445164599601e-09,0.435317338380086,0.564675220365152,1.96187377388131e-06,4.68992613535234e-06,6.50901787253945e-07,1.33158614343805e-07
"TCGA.XF.AAN7.01A",1.90145220740583e-08,0.208417151212832,0.00544333204550976,0.0321492670788261,1.95419326448489e-05,0.0116110157177408,0.742359672997924
"TCGA.UY.A8OD.01A",0.0294950629974833,0.27581062070761,0.216264007585628,0.00512861941807733,3.82149524390593e-09,0.0998016085239164,0.37350007694579
"TCGA.FD.A3SP.01A",1.22013038060287e-08,0.0428196076457391,0.678264019541165,0.120157840779992,2.6090737800957e-07,0.0129778842870806,0.145780374637342
"TCGA.DK.A2HX.01A",3.08737334102479e-08,0.200086274439556,0.526212844094311,0.024851468324175,8.91775435172202e-08,0.038473078815598,0.210376214275083
"TCGA.CF.A8HX.01A",0.00098063044223564,0.0101920179784376,0.00876838710392253,0.00128513500442598,1.58405791217348e-09,0.00851579117226482,0.970258036714655
"TCGA.E7.A85H.01A",0.000921035687219096,0.0115916341089177,0.0502328713939911,0.0212328692490378,1.60391076887054e-08,0.0220610212816719,0.893960552240055
"TCGA.ZF.A9RL.01A",0.00385147304571231,0.0085650554695575,0.00513644552089088,0.00101602084646938,1.30129478024528e-08,0.0123369348406897,0.969094057263732
