"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.4T.AA8H.01A",0.00391924276663265,0.0178148247344527,0.00478784292607634,0.00476244196503286,1.06292509272852e-08,0.00581407627053355,0.962901560708021
"TCGA.AA.A00Q.01A",4.18543927222708e-07,0.0377734708088448,0.0242620873651967,0.0131872377361522,1.987483782635e-08,0.0158546165485588,0.908922149122482
"TCGA.AZ.4614.01A",4.44246115933765e-09,0.0226151284562414,0.00886633490463,0.00644454006075101,7.98363333751822e-08,0.01955389335174,0.942520018947843
"TCGA.A6.2675.01A",1.44231207854593e-07,2.5174825319235e-06,0.182259540839825,0.0286103019844433,2.0335093129357e-09,0.000123204924701447,0.789004288503781
"TCGA.AA.A00U.01A",0.00220356948722999,0.0325663411639133,0.0144419014247232,0.0062832072708072,3.91609705208454e-10,0.0187931812518798,0.925711799009837
"TCGA.A6.6781.01A",3.05963104656454e-08,0.000244772384613503,0.416720150068368,0.0382327944462332,1.024561713589e-07,1.35069329660111e-06,0.544800799355007
"TCGA.CM.6169.01A",0.0131787923557805,0.0521230672350935,0.194446658547098,0.0296852870129631,2.80429735609911e-08,0.0181699699822251,0.692396196823866
"TCGA.AA.3516.01A",4.40189340188456e-08,0.0144718451093183,0.0182768194883105,0.0170827273914303,0.0165289085435793,1.41279773831637e-07,0.933639514168654
"TCGA.AA.3552.01A",0.0470071536232228,0.0353922009416496,0.0197777889104035,0.0321125538136672,0.00122966544095858,0.0224293965214622,0.842051240748636
"TCGA.D5.6931.01A",0.0399719288069132,0.0329824229743262,0.0625815706700504,0.030483708629973,9.12116555594239e-08,0.0145145841986837,0.819465693508398
"TCGA.SS.A7HO.01A",4.72014160954477e-08,0.0497364897272401,0.000136846587134291,0.0105537856168775,5.27023253833952e-08,0.00317577674732028,0.936397001417686
"TCGA.AZ.6605.01A",0.0371159412035438,0.000270105866100505,0.270484422289364,0.0214248268468353,2.59203391028145e-08,7.41648406219067e-08,0.670704603708977
"TCGA.CA.6717.01A",0.0536004220287535,0.145477348158597,0.189724051411063,0.0348261269288162,6.77568945874259e-08,0.0415326447412044,0.534839338974671
"TCGA.NH.A8F7.01A",1.5208880689459e-07,0.0387643193568338,0.0159360803542024,0.00610671024280047,6.66921911892732e-09,0.00883719803173387,0.930355533256404
"TCGA.AD.6965.01A",7.20912110953503e-07,0.0311618245575351,0.0558360368909184,0.00965400474763805,2.54061940104218e-08,0.00764775050217425,0.895699636983429
"TCGA.AA.A02H.01A",0.00104271148509328,0.0289350883253559,0.0336837067329566,0.0143498004506159,1.83393777646461e-09,0.00755804980492689,0.914430641367114
"TCGA.AA.A022.01A",0.00841468884388246,0.0219988972841055,0.0202905772911642,0.0382802925420543,0.060939802828847,2.95801966067476e-08,0.85007571162975
"TCGA.AA.3680.01A",0.0236747097573294,0.0205121453750715,0.0248278257727622,0.0170540623171182,3.3759005996824e-09,0.0214744220345388,0.892456831367279
"TCGA.A6.6650.01A",0.0155580744454721,0.0260043111191003,0.0236738417399565,0.00670000697252403,2.64793899068726e-06,0.00683902350114218,0.921222094282814
"TCGA.G4.6311.01A",0.016164985377861,4.13398612151213e-08,0.137077962649031,0.0153856002843627,4.91053264913333e-08,2.76726126956352e-08,0.831371333570945
"TCGA.A6.2677.01B",2.59075388744752e-08,1.32704381151243e-08,0.130264640989506,0.00353069670836568,1.18349527377894e-08,6.75757325643818e-05,0.866137035556634
