"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.BC.A10Z.01A",4.79890568757074e-06,0.0229514213018585,0.000170415015266758,0.0141850001646377,2.16247916467497e-08,5.02068154819644e-07,0.962687840919603
"TCGA.DD.AAEK.01A",8.58903125980225e-08,0.0370815762501571,0.00412565613860337,0.0318312803501335,1.24948463478475e-08,0.0345153322066691,0.892446056669278
"TCGA.G3.A3CK.01A",1.97428139904144e-09,0.0219462419515883,9.74354784666169e-08,0.0322187218859115,0.0103472047473734,0.00117551186559179,0.934312220139775
"TCGA.DD.A1EJ.01A",1.87563639170651e-08,0.00432886964045302,9.56293381469959e-09,0.0384977977708889,8.89764581350929e-09,1.99039954601731e-05,0.957153391376254
"TCGA.DD.AACU.01A",7.64946101743323e-07,0.0209075616121701,0.0117722032346313,0.0149135794369937,6.5070748670987e-08,0.00923682531390066,0.943169000385454
"TCGA.ZS.A9CE.01A",7.42195794709813e-08,0.0112872456620036,0.00132048154115246,0.00280211934049184,3.55109843688162e-09,0.00168742357830402,0.98290265210737
"TCGA.2Y.A9H2.01A",6.78984900526673e-09,0.0229641588748234,0.00309652251328561,0.0160871833230913,0.000101604865170367,0.00950018981955543,0.948250333814225
"TCGA.CC.5261.01A",0.0193407392036872,0.0400200172625216,0.0665367117422007,0.0170011150124618,5.22000307197829e-09,0.04421377989964,0.812887631659485
"TCGA.DD.AADP.01A",1.71037587376125e-07,0.0388910154310161,0.00537822364597516,0.00904997373143274,1.16415213476265e-08,0.0132980410520566,0.933382563460411
"TCGA.2Y.A9H4.01A",2.79236875634867e-08,0.0292819594504084,2.07564679441678e-09,0.0125381368980203,0.00519795072356554,1.72113228128088e-08,0.952981905717349
"TCGA.DD.A1EA.01A",9.90863490951937e-08,0.0225690575515158,3.92979972064184e-11,0.0292259945025678,0.00806684072272709,1.50373389057361e-05,0.940122970758636
"TCGA.CC.A3MC.01A",4.29557974227118e-08,0.0382197167779289,0.00972068751957521,0.0105837691169165,0.000376832365671396,0.009745690606205,0.931353260657906
"TCGA.FV.A2QR.01A",0.00468834282710834,0.0438257072567767,0.0107916746853312,0.00792260671415456,5.76082432497944e-09,0.00993180271606659,0.922839860039738
"TCGA.EP.A26S.01A",2.88914188841472e-06,0.0308202078955299,0.000537356568894216,0.00717887751655692,0.00204992159609232,5.15619034915918e-08,0.959410695719135
"TCGA.K7.AAU7.01A",3.32438382191819e-09,0.0222065193778504,0.0367572112714862,0.0149376327643759,1.97024148054648e-07,0.0116496139714604,0.914448822266295
"TCGA.G3.A25T.01A",9.56768418833961e-08,0.0541342695696087,0.0325863321919591,0.0283679192272471,2.64530389223094e-07,0.00988211368743813,0.875029005116516
"TCGA.DD.AADB.01A",0.00726888479023451,0.0163657445373113,8.59769366975864e-11,0.0311543934792597,0.0300104390019197,0.00178082857951976,0.913419709525778
