"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.OR.A5LO.01A",0.00546204057083318,0.00885627461836383,0.0604760456573132,0.00743261478621397,0.00148586462072555,2.36270068926843e-05,0.00134784350232946,0.914915689237328
"TCGA.P6.A5OG.01A",5.11181952996054e-06,0.152224010203701,0.348506367113719,0.0414845345126116,0.102430859945858,2.48578866678608e-05,0.0176621578575083,0.337662100660405
"TCGA.OR.A5J6.01A",0.0107793564916471,1.7587573158e-07,0.0895585837898885,0.016494356206815,0.0456278387593676,8.16638753951113e-08,3.57754066761968e-07,0.837539249458608
"TCGA.OR.A5LT.01A",0.00203426477707268,0.0390141010410327,0.0291103446132874,0.0129287954355744,0.00615529307474536,1.67951672164844e-05,3.49451250323681e-08,0.910740370945946
"TCGA.OR.A5JY.01A",0.00773936944686352,0.0403956936636462,0.103292562349527,0.0181547718902721,0.0201700919242305,3.86314381995186e-06,6.07808475806672e-09,0.810243641503557
"TCGA.OR.A5JV.01A",0.00322106092000849,0.0897267189544181,0.0985621421637872,0.0159239070444464,0.0757954297086105,1.66786909657838e-06,8.8220050731325e-09,0.716769064517628
"TCGA.OR.A5JT.01A",0.00386986744446057,0.113040694914008,0.0940997391931505,0.016313215895235,0.00724403551725093,2.30649587477615e-05,0.000341611968571016,0.765067770108577
"TCGA.OR.A5KX.01A",0.0117684061336172,0.0100621897047185,0.097165737386526,0.0157342083536947,0.00696890993516411,9.85971407093541e-05,6.47684848793424e-07,0.858201303660721
"TCGA.OR.A5K3.01A",0.00584115321552914,6.65356308675249e-07,0.025938713987066,0.00638859292993478,0.00842411084925155,2.63057516686797e-07,2.01823794911679e-07,0.953406298780598
"TCGA.OR.A5JZ.01A",0.010126974889744,0.0956733140007261,0.0971708942045541,0.0212213860921008,0.0114651325075001,2.63954859874759e-05,4.77673520399338e-07,0.764315425145867
"TCGA.OR.A5LC.01A",0.0112034684367387,0.01095274160664,0.0710962166407262,0.0230524001198941,0.0165857459203448,2.40336577090869e-05,6.86170341835131e-08,0.867085325000913
"TCGA.OR.A5LH.01A",0.0067117031769259,0.00402842214994683,0.0591484316311468,0.01152762802421,0.0167380088240703,6.02036212951307e-07,0.00194544106977682,0.89989976308771
"TCGA.OR.A5LM.01A",0.00452603701067754,0.00163406965086657,0.0450145523044136,0.00701470250141825,0.0104684516613518,7.11748205394112e-06,8.83653466937586e-09,0.931335060552684
"TCGA.OR.A5J5.01A",0.00369144027307259,0.0155391129868443,0.038519346156603,0.00476312738534104,0.00375552695848743,6.69664958775846e-05,0.000407046023148163,0.933257433720626
"TCGA.P6.A5OF.01A",0.00206295203988322,0.0617225096007675,0.0733749036227303,0.0211859851121388,0.0120008057885654,1.80852283723575e-05,2.07043764230516e-09,0.829634756537105
"TCGA.OR.A5LD.01A",0.0265619603226247,0.00392334364172748,0.0397283646958873,0.0100777357530489,0.000950140399975321,1.52502011221296e-05,1.10831886018526e-06,0.918742096666754
