"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.HQ.A5NE.01A",1.15692186687211e-07,0.125216414338296,0.0890943858307258,0.0630282900184163,0.0105193498442051,0.000303947247745743,0.00454500973350539,0.707292487294919
"TCGA.FD.A5BT.01A",0.0320284169472761,3.07044423122655e-07,0.214560909688212,0.293681591187705,0.3025814538547,0.0012669760661575,0.0771139185724159,0.07876642663911
"TCGA.DK.A3IQ.01A",0.00708179027298467,0.135369920830846,0.252576019970618,0.458111744725038,0.0189692149512631,0.00157054633024329,2.9225418106637e-06,0.126317840377197
"TCGA.ZF.AA4X.01A",8.40312807878619e-08,0.0588531176974786,0.0219758239967509,0.00343690941258528,0.00238621780407914,0.000153745509528751,0.00483060863987291,0.908363492908424
"TCGA.GD.A3OQ.01A",1.25492413518634e-08,0.10595784841847,0.0584763815458488,0.0296487724919178,0.00604095287630772,0.000137445748160095,0.00152954281694078,0.798209043553113
"TCGA.ZF.AA51.01A",0.0108540864430686,0.0221904330906505,0.047134339148855,0.0515409377553478,0.0224678321310814,0.000249072958576047,0.0177334088023719,0.827829889670049
"TCGA.FD.A3SS.01A",4.27939195258698e-09,0.118229838534495,0.0395159490188748,0.0223891750539072,0.00599144093147658,7.86710274723595e-05,0.001093030921653,0.81270189023273
"TCGA.DK.AA71.01A",7.43483423418427e-08,0.0752978806164873,0.0510503624638796,0.0175167858150536,0.00998793379229862,3.14788751421347e-06,0.00398030104002803,0.842163514036396
"TCGA.4Z.AA83.01A",2.4817044971896e-08,0.0470770884744637,0.0770664650171803,0.0184702983584244,0.00973037552601152,0.000135464442362357,0.00613841150966446,0.841381871854848
"TCGA.ZF.A9R4.01A",7.47372781668964e-09,0.0474171847430293,0.0320549507992757,0.00360286138132643,0.00964091137966525,2.85357538972742e-06,0.0101399649010711,0.897141265746515
"TCGA.BT.A20P.01A",4.1598130727207e-08,0.0508308851092261,0.0418549826619178,0.0161924438896766,0.00354986347582323,2.23242781644214e-05,0.00217678925512177,0.885372669731939
"TCGA.HQ.A2OE.01A",1.33094307420839e-08,0.148366341370909,0.0440338635213521,0.00610013488567942,0.00732763193189445,7.11442977176622e-05,0.00216925770327544,0.791931612979741
"TCGA.R3.A69X.01A",0.0158534940908587,0.161381712933305,0.141456926971149,0.0911701192574472,0.0290953950126938,0.00154092395967106,0.0126311540438938,0.546870273730981
"TCGA.BT.A3PH.01A",6.97136446615277e-07,0.18041541711356,0.0780123134165053,0.0220625716240209,0.00919050121397084,0.000120756760771263,8.3129476272459e-09,0.710197734421778
"TCGA.UY.A9PA.01A",1.63510822763974e-09,0.0750475369329985,0.0456247410525142,0.00364980265217232,0.0164097296060616,0.000186070623835473,0.0149206360741136,0.844161481423196
"TCGA.BL.A13J.01B",5.79642011513089e-08,0.100795950518694,0.0531482586296761,0.0939976429814662,0.00968403959581086,5.46666820907016e-05,0.00473949652556434,0.737579887102496
"TCGA.CF.A3MI.01A",4.68204409377500e-09,0.0228774331278485,0.0417294526257572,0.00365242289325425,0.00212213708142013,0.000250776393779378,0.0035806955428302,0.925787077653066
"TCGA.XF.AAMW.01A",1.82953412745675e-08,0.119685402242817,0.0944730961969012,0.0224262708989366,0.0247425439627292,0.000155389568446875,0.000111830669875266,0.738405448164952
"TCGA.H4.A2HQ.01A",9.08513660925101e-08,0.0509244594037212,0.0369981012199898,0.0143174824707181,0.00526962125402381,9.0922715726607e-05,0.00379749123241094,0.888601830852043
"TCGA.HQ.A5ND.01A",4.63687288681082e-08,0.030301579500619,0.0225418947570972,0.00905085672566463,0.00324465189211757,5.99495521791588e-05,0.00536980497610662,0.929431216227487
"TCGA.K4.A6FZ.01A",1.24375623114801e-08,0.17558403522399,0.0828626407452701,0.00947718337462562,0.0266936585528157,0.000694171746006124,0.00482102737253745,0.699867270547193
"TCGA.DK.A3IV.01A",0.0216265118798676,0.0572847623030449,0.0315989859979717,0.0105528934094615,0.0157764508326417,0.000329975297176767,0.0321876104646643,0.830642809815172
"TCGA.E7.A3X6.01A",0.000329609640417478,0.051504135192966,0.0647992783962243,0.0294212606497492,0.020555700334903,0.000183215885171388,0.0248084451404184,0.80839835476015
"TCGA.BT.A42F.01A",0.0247946505944773,0.0950731167620916,0.0442343164736155,0.0127408978104707,0.0478087927306628,0.000666708672756855,0.0278502846834427,0.746831232272483
"TCGA.UY.A8OB.01A",1.99104587460172e-08,0.190172114713489,0.0346072227714298,0.0135356546728195,0.0183943356078415,9.29941003293866e-05,0.00890095646339298,0.73429670176024
"TCGA.DK.A1A3.01A",0.000832304411226692,0.081205767110378,0.0872684706259207,0.0650234955363143,0.0270711735994812,0.00102761814596237,0.00436723839842783,0.733203932172289
"TCGA.DK.AA6X.01A",2.44049806872115e-09,0.198521968078774,0.064101389416629,0.0391310544884531,0.0153521907418381,0.000489790128805587,0.00679112370441927,0.675612481000583
"TCGA.G2.A3IE.01A",9.82177741836867e-05,0.0480018686677916,0.0266497110843329,0.0152556859594382,0.00464476292582453,0.00016577469559744,0.00417124427168351,0.901012734621148
"TCGA.FD.A5BU.01A",0.0158784046308343,0.232709462439677,0.13908897579112,0.0888153834025817,0.0771690253162774,0.000754595467920003,3.04374428109723e-07,0.445583848577161
"TCGA.C4.A0EZ.01A",0.00125788787848914,0.0146142619957827,0.0714051739754579,0.0199020201955144,0.00532746493089152,3.67407837254496e-05,0.00128813918736618,0.886168311052773
"TCGA.FD.A3B3.01A",0.0176132792243463,0.205644811086585,0.124266783298477,0.0812480632451885,0.0684274781844166,0.00110946065775288,0.0416981809999038,0.459991943303329
"TCGA.FD.A5BZ.01A",0.00775319247156586,0.0844908496783873,0.154599098567127,0.370459888073194,0.0117619216641794,0.00122450933638088,6.07992083922168e-06,0.369704460288326
"TCGA.C4.A0F7.01A",5.57744824066202e-08,0.043495252041559,0.0578548183821252,0.133452645907639,0.00390147936506989,0.000282456345420186,0.00023081418297231,0.760782478000732
"TCGA.XF.AAMR.01A",0.0367312687595029,0.0855280952991532,0.219376429995701,0.210673757224751,0.0194826497825455,0.00153081200874674,0.00665296238427805,0.420024024545322
"TCGA.XF.AAN7.01A",1.99748841752362e-08,0.0903159283428276,0.237748285943776,0.0196081508203515,0.0287476379641592,0.000180833066708222,8.27949938429782e-07,0.623398315937355
"TCGA.UY.A8OD.01A",0.0146943778261645,0.0642427275935302,0.0938412410293128,0.0889375708040204,0.0122041491547839,0.000785051807044343,0.0172045741351503,0.708090307649994
"TCGA.FD.A3SP.01A",0.00125193886667502,0.207415018870675,0.246244175631911,0.322649150455858,0.106630844127728,0.00156963500620306,0.0243441291835695,0.0898951078573805
"TCGA.DK.A2HX.01A",0.00115575786689536,0.211161045660367,0.165254547903334,0.211964850788613,0.0277676432730761,0.000835342018489335,0.00243488557657353,0.379425926912652
