"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.C8.A278.01A",0.0412778942200864,0.169575407272419,0.0870036580945219,0.183497148603323,0.0536920805732162,0.00121760851660471,0.0155850504941384,0.44815115222569
"TCGA.A7.A425.01A",0.00656581402184902,0.0163455404339118,0.182529585645409,0.0857397356282071,0.0469738158029238,0.00164433531538528,0.001940360090929,0.658260813061385
"TCGA.E2.A15H.01A",4.10225722657109e-08,0.152155866530839,0.0760430977601206,0.0791932855621088,0.0108966697470569,0.000391759616509425,0.00140201720365646,0.679917262557136
"TCGA.A8.A06N.01A",5.05513163844702e-09,0.0490796379623672,0.0400500132739511,0.00283347471895223,0.0111708627607486,0.000135606055150885,0.00168247007390932,0.895047930099789
"TCGA.E2.A570.01A",0.000210164491788666,0.0420567786584132,0.0816804576133774,0.256071208830688,0.008576561144636,0.00186451946702645,0.00296118005891424,0.606579129735156
"TCGA.BH.A1FL.01A",0.00870293541762945,0.0519064330544317,0.0956555444594186,0.077363799090908,0.0112794388600563,0.00316885365305737,0.00894134020899544,0.742981655255503
"TCGA.E2.A56Z.01A",1.40298673156994e-06,0.0577757307109788,0.0570823013025634,0.0432627380302326,0.0101813010687238,0.000235404212321148,0.00797606289046085,0.823485058797988
"TCGA.E9.A1RI.01A",2.38259764400296e-06,0.093362875356881,0.0888013785242133,0.348065543062718,0.0184018313152777,0.00105732181622706,0.00231750212333553,0.447991165203704
"TCGA.BH.A0DP.01A",0.00441337509946936,0.0905937026071846,0.120483407579191,0.166933737219597,0.0232312355558466,0.00172713398898198,0.01563886297306,0.57697854497667
"TCGA.AR.A0U3.01A",7.2601844550023e-09,0.107158349357926,0.0645723004742506,0.0298823562412443,0.0125381421642424,0.000242808694153363,0.00595626082438862,0.779649774983611
"TCGA.BH.A18L.01A",5.58546090374296e-07,0.0291515697592433,0.0673074474577808,0.00986620063106498,0.0137215250490145,0.000420329546011976,0.00113874520031606,0.878393623810478
"TCGA.A7.A3J1.01A",0.0391766299927891,0.0433502599784383,0.162103815271603,0.10148662589827,0.0437807685229033,0.00240990166834149,0.0405965103253408,0.567095488342314
"TCGA.AC.A6IW.01A",0.0041488361630896,4.06283956555566e-08,0.0216231999233403,0.00992402201407495,0.564440348665487,3.25815261446841e-07,0.00649884605039789,0.393364380739953
"TCGA.AC.A3YI.01A",0.00358709107814528,0.105680126917992,0.180213143820381,0.157482758712304,0.0181756439294578,0.00244259504085654,0.00892400756872379,0.52349463293214
"TCGA.D8.A1XG.01A",0.000374507358867018,0.0796441093336466,0.071043796983152,0.0666435625894583,0.0197790724080532,0.00023249366973688,3.44406297297812e-06,0.762279013594113
"TCGA.A8.A082.01A",4.68452714589656e-08,0.143119455735016,0.0737558687216116,0.05777641767428,0.0273800391790551,0.000117813965510651,4.73544205818631e-07,0.697849884335049
"TCGA.OL.A5RU.01A",0.0923479608690201,0.086050568677202,0.107505459108884,0.068847351481882,0.0307100623202771,0.00149871079060219,0.0474129885424815,0.565626898209651
"TCGA.BH.A0HA.01A",0.00406591906440079,0.0768128234246187,0.146971759436296,0.247506837372915,0.0253550402914115,0.00170371080493055,0.0219512208457129,0.475632688759715
"TCGA.A2.A3XS.01A",0.0145410806049096,0.0759330870061869,0.0929189893092733,0.0512139479062163,0.0197831327082956,0.000146903943533877,0.0141070891938751,0.731355769327709
"TCGA.A2.A0ES.01A",0.00135102657209337,0.064292585558201,0.131019333533931,0.110167860413055,0.0255159164885578,0.000945823339128163,0.013199430528203,0.65350802356683
"TCGA.B6.A0RN.01A",0.00718908330370015,0.0700223160660046,0.0657559048226755,0.204038359569188,0.00689832514772723,0.00153194070212475,0.00427976288917341,0.640284307499406
"TCGA.BH.A2L8.01A",0.0268266053982661,0.0892583731686372,0.113321620400093,0.163679778717281,0.0649540528949142,0.00294575000001245,0.081945003371751,0.457068816049045
"TCGA.E2.A108.01A",0.0298114678006238,0.114543640859574,0.293783394254968,0.265842987142156,0.113539205049194,0.00523239461356479,0.117965744560304,0.0592811657196157
"TCGA.AN.A046.01A",3.68391177531464e-07,0.0787190315728534,0.0725750785303569,0.0855663631546075,0.0343925791722049,8.86545089889998e-05,0.0306980858207452,0.697959838849066
"TCGA.E2.A576.01A",0.00496872631730592,0.0586842852882819,0.0623195906141106,0.0390836223982656,0.013291778856573,0.00637758442693862,0.0210573135346952,0.794217098563829
"TCGA.A2.A3XX.01A",0.0337834316370278,0.107362459438947,0.0974398655767907,0.0734117084754933,0.025105698592496,0.000157602885841775,0.00937014769495965,0.653369085698444
"TCGA.C8.A137.01A",2.96202879153288e-07,0.125586862492127,0.0554339065587233,0.0766305284340885,0.00567160444441486,0.000209395866790364,2.4699982081097e-08,0.736467381300994
"TCGA.A7.A4SC.01A",0.00402840243045413,0.0593236138596624,0.177558874219413,0.0836147870828244,0.0156289407180239,0.00102833465311161,0.0131584113271227,0.645658635709388
"TCGA.E2.A15M.01A",0.0136150352235748,0.0732721581665988,0.174069222673865,0.237819840398297,0.0448631502658384,0.0004456226512276,0.0581609638638195,0.397754006756779
"TCGA.A8.A08I.01A",0.00845772809008332,0.263541558325918,0.0596254336755922,0.0288527909858482,0.148178861407584,0.000685484064866049,0.0756613754462324,0.414996768003876
"TCGA.AC.A2FF.01A",0.0349888225744106,0.0772417976052441,0.192557911731211,0.256871988732397,0.0269219615820541,0.0017546281586786,0.0280537739844886,0.381609115631515
"TCGA.E2.A1L6.01A",0.0035190757541097,0.0952446130834483,0.0983389043029244,0.0847313193655054,0.0129893445728778,0.000375898614872056,0.00629248936861813,0.698508354937644
"TCGA.A7.A13E.01B",0.0192306889813551,0.0987648785015086,0.0151776822011342,0.115215240565985,0.00550472330233519,1.34966995892533e-05,0.015759501803003,0.73033378794509
"TCGA.AR.A24S.01A",3.8227069002748e-07,0.308439136483136,0.124792915161411,0.175103976721895,0.0547874624890878,0.000484376535017216,5.16715855339394e-08,0.336391698667177
"TCGA.E2.A155.01A",4.46044095704061e-09,0.135724274770093,0.052230475858529,0.0219361130316496,0.00805870160893424,0.000493209063002745,0.000497450327970745,0.78105977087938
"TCGA.C8.A12M.01A",0.00475538455745804,0.0449004259537989,0.0927073625595447,0.0205417549211507,0.0092288872484861,0.00119995401663245,0.0131617119699763,0.813504518772953
"TCGA.E2.A14W.01A",3.1239371380574e-08,0.0567380973624102,0.0266963027413201,0.0494495171679417,0.00513232599176402,0.000158152105539603,0.00157757990946268,0.86024799348219
"TCGA.B6.A0RQ.01A",0.00173895316739845,0.0791787176153384,0.107909436136139,0.0537782007279082,0.0113064049248978,0.000770753037256009,0.00414485542325119,0.741172678967811
"TCGA.EW.A1IW.01A",0.00570094929621314,0.110507318235025,0.110487803838808,0.118892392229391,0.0197790008434732,0.000530889674081353,0.0128617788670286,0.621239867015979
"TCGA.A1.A0SM.01A",1.53139865109543e-07,0.149590036614567,0.0943414729478525,0.195190149172647,0.0191307622926702,0.000590132794634283,2.26787496687019e-07,0.541157066250267
"TCGA.E9.A1R6.01A",1.14377240079321e-07,0.21164557058956,0.096447089555601,0.0804104571212776,0.0202255103083787,0.000895980115428963,3.06999673313199e-07,0.59037497093284
"TCGA.A2.A0CQ.01A",3.07690438881691e-08,0.0389037081493472,0.0559219632321038,0.028638793163,0.0220809335896028,0.000437406749973953,0.00399685813252054,0.850020306214408
"TCGA.OL.A5D7.01A",0.0371928158072711,0.0443925235853899,0.0415373589863926,0.0132212771891629,0.0465728152951474,3.94082131901469e-05,0.0575046882859527,0.759539112637493
"TCGA.D8.A143.01A",0.0206117537107938,0.11905030497942,0.0843265130079913,0.032614911523443,0.0162049853138699,0.000151094609695343,0.0125934920525507,0.714446944802236
"TCGA.C8.A138.01A",0.0162027221755874,0.0474064664800094,0.105002025000511,0.11759743352506,0.0255298874028916,0.0017398970852314,0.0466743829219789,0.639847185408731
"TCGA.E2.A14Q.01A",0.0017789526922926,0.0803572801333476,0.0949139206133546,0.0779565134152622,0.00901707800977641,0.000649890229912923,0.0147207395007871,0.720605625405267
"TCGA.A2.A0YL.01A",0.00142617884355921,0.0919354074703559,0.140537320032802,0.123124450543231,0.0175977083839067,0.00115926814611948,0.0192964670926635,0.604923199487363
"TCGA.PL.A8LY.01A",0.0101497469212561,0.0502931533729708,0.105039140555346,0.0748113961163058,0.0235733776109239,1.30237351905189e-05,0.0187324165155866,0.717387745172421
"TCGA.GM.A2DK.01A",0.00193571777335207,0.0834506609989369,0.188503178845331,0.050331997615567,0.0299008046161354,0.00063907523408875,0.00805909863633754,0.637179466280251
"TCGA.B6.A0RO.01A",7.80674808595517e-08,0.105886304675581,0.0414375590512834,0.0384058855529902,0.007835062494098,9.23257641960257e-05,0.00473445952231006,0.801608324872061
"TCGA.D8.A142.01A",0.0211865499994563,0.285139312896442,0.200656276583673,0.201768955368574,0.0336681224360934,0.00109397168958077,0.00163509222697011,0.25485171879921
"TCGA.C8.A8HP.01A",0.0618277409184915,0.0962543147444847,0.0735109239620374,0.0587551259675184,0.0556968915461848,0.000533230223973388,0.0335177618330813,0.619904010804228
"TCGA.E9.A24A.01A",1.6375092253385e-07,0.147531501363937,0.095443604462912,0.197643344264858,0.038718863769606,0.000123717603341121,2.17009774861695e-06,0.520536634686675
"TCGA.AO.A0JE.01A",0.00773226377585433,0.104729581464845,0.135167350710515,0.248331279963105,0.0335886903586524,0.000567678676296429,0.0345326579731396,0.435350497077592
"TCGA.AR.A1AU.01A",7.54836992298531e-08,0.184706947176058,0.124035722202353,0.0843121909450334,0.0178885530955265,0.00112398779800645,1.64521175152321e-07,0.587932358778148
"TCGA.E9.A1QZ.01A",0.0511226243452516,0.116788387737478,0.120153880066894,0.0840049899017706,0.0245602636937238,0.001862621982273,0.0565355905353143,0.544971641737295
"TCGA.AR.A1AQ.01A",0.0740130900709581,0.254491761662086,0.0964566234710093,0.0731672084293938,0.0636116365017999,5.92588569400101e-05,0.0454229448396524,0.39277747616816
"TCGA.A2.A25A.01A",0.00433749021398329,0.085185066158516,0.272540248884176,0.173759573532728,0.0216482975024028,0.0027195467753406,0.0203431736068124,0.41946660332604
"TCGA.E2.A10E.01A",2.47238174526931e-07,0.0954618651018972,0.0810360799914818,0.0734108249578391,0.0105710470095313,0.00015800834220661,0.00854337289600586,0.730818554462863
"TCGA.C8.A3M7.01A",0.0142884072081241,0.043183232228552,0.272877186892986,0.100365950891964,0.010008495725308,0.00119539786654628,0.0116423712115574,0.546438957974962
"TCGA.AQ.A1H3.01A",0.00303301310957557,0.107610481691596,0.130770914934085,0.140126366581524,0.0114486960413992,0.000560313841181771,0.0176193159565806,0.588830897844058
"TCGA.E9.A247.01A",5.02130133871277e-09,0.104507075367591,0.0610232264739251,0.0440781816314775,0.00948012914590454,0.000591250790031931,0.00126112380489015,0.779059007764878
"TCGA.AN.A0FF.01A",0.00378531662646269,0.119881637272118,0.109849498440225,0.0693190236780303,0.0320756832620331,0.00114952213575389,0.00815267745176392,0.655786641133613
"TCGA.A2.A0YH.01A",0.0143924791031083,0.0573926905575544,0.062592818457358,0.194092296611959,0.0780309866364645,0.00157956004506125,0.0113975798202989,0.580521588768196
"TCGA.E9.A1RH.01A",4.15314323926163e-08,0.0966414031125479,0.0452675107158144,0.0727351684135553,0.00715325560914815,0.000175751600365762,7.5749691309215e-07,0.778026111520223
"TCGA.AR.A2LE.01A",4.61199178842071e-07,0.0413554743797807,0.0926480547179727,0.0325062699709175,0.0070125416804922,0.000156915531333689,0.0114266565340337,0.814893625986291
"TCGA.E9.A1N3.01A",6.99184155300641e-09,0.144962733724633,0.0585287598049112,0.0264027637942234,0.00967410765699814,0.000319967513870571,8.03313413298252e-10,0.760111659710209
"TCGA.MS.A51U.01A",0.00695502408187125,0.123677489673205,0.147637381608519,0.134220805015666,0.0149840465539261,0.000210413249011639,0.0217760478360605,0.55053879198174
"TCGA.A8.A07F.01A",9.08819299760928e-09,0.172208458129087,0.106239618727789,0.0983066478689528,0.0188289824630274,0.00119821194436893,0.00880821936868439,0.594409852409897
"TCGA.A8.A08A.01A",5.7000862820122e-08,0.0639464441558765,0.0761050184005897,0.0814368926556825,0.0408945571618603,0.000967424142797802,0.00466985794851963,0.731979748533811
"TCGA.D8.A1JE.01A",4.20433242299065e-07,0.0266681592895559,0.06838035660867,0.421258837807115,0.0308654906087418,0.000301872598220867,2.2665828602702e-07,0.452524635996168
