"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.4T.AA8H.01A",3.12537654352678e-09,0.0913772169782791,0.0254238254335145,0.00334704267309428,0.00361175205925643,3.16902104117194e-05,7.10505846198889e-05,0.876137418935447
"TCGA.AA.A00Q.01A",1.16532813029922e-08,0.139944570073002,0.059563162275676,0.0161533879288618,0.0106849636986721,0.000318347893437915,0.00533487179803261,0.768000684679036
"TCGA.AZ.4614.01A",9.1806330401822e-09,0.08657998293349,0.039502707443171,0.00697284312391793,0.00523267340339032,1.79388745425529e-05,0.00794298257510989,0.853750862465745
"TCGA.A6.2675.01A",0.00325377741757822,0.177082910726009,0.0872429054219055,0.0936251319633337,0.0257242720503099,0.00082497001371571,0.000373594606414436,0.611872437800734
"TCGA.AA.A00U.01A",6.73337409391819e-09,0.0888691908104572,0.0448377325493967,0.0101361228217843,0.00538018374147396,4.33127958105278e-05,0.00647367108540953,0.844259779462294
"TCGA.A6.6781.01A",1.02797888697931e-06,0.20687461835034,0.118397390384726,0.224684906160575,0.0356353444569868,0.000215091502282977,0.00937582997180874,0.404815791194394
"TCGA.CM.6169.01A",0.00570841135062556,0.198694660457946,0.171361554627393,0.109342091698363,0.0267357143580541,0.000997088131710767,0.0158383257679122,0.471322153607994
"TCGA.AA.3516.01A",9.54116452665625e-09,0.119572738628635,0.0499486575848778,0.0128717948311612,0.0141668341487944,0.000268833948475468,0.0150388889168499,0.788132242400042
"TCGA.AA.3552.01A",0.0174368782975246,0.0744581104865237,0.0639801714452451,0.0205712007895683,0.0295905875818635,0.00075013250940417,0.0131861828424996,0.780026736047371
"TCGA.D5.6931.01A",0.0135437806446046,0.168920662733391,0.0871959343278898,0.038130014467144,0.0275661715310263,0.00127092287956555,0.0081727725756628,0.655199740840716
"TCGA.SS.A7HO.01A",6.03773350952714e-09,0.0873710012507779,0.073665290944427,0.00455638278548116,0.00865713949023209,4.44664772179401e-06,9.68239268161441e-06,0.825736050450945
"TCGA.AZ.6605.01A",0.0202047870977685,0.107310215585492,0.161028673281304,0.15556578508659,0.0224317828522334,0.00122990886090811,0.0150053770910325,0.517223470144672
"TCGA.CA.6717.01A",0.0411521920487433,0.166989573728647,0.155929671341881,0.09564765219078,0.0354827288356651,0.00166833727701809,0.0202750983863904,0.482854746190875
"TCGA.NH.A8F7.01A",5.59086954943289e-08,0.121692428590839,0.0342053296772727,0.00855408531563062,0.00471695469698686,6.76501598352646e-09,9.17287566266667e-09,0.830831129872684
"TCGA.AD.6965.01A",0.000961261289906791,0.119712861714876,0.062890231059286,0.0310786942602781,0.00843478531759536,0.000256561915207014,0.00329115211800533,0.773374452324846
"TCGA.AA.A02H.01A",1.64640516281348e-08,0.105848548880673,0.0499496642157811,0.0204150828546276,0.0119969413562543,4.97098674325471e-05,0.000902221936813164,0.810837814424367
"TCGA.AA.A022.01A",0.0030098827317045,0.123158210348954,0.0515441545312398,0.0155355225702787,0.0326857714688245,0.000320068998091131,0.0522480170862195,0.721498372264688
"TCGA.AA.3680.01A",0.0114197007352843,0.094351543170767,0.0398166276322725,0.0170566221726049,0.0153707526350048,0.000361274555312188,0.00888378304426599,0.812739696054488
"TCGA.A6.6650.01A",0.00171506500769852,0.0653398791841285,0.0341985143940045,0.0151790588595102,0.00625480836212227,7.36183112533188e-05,0.00169666765094262,0.87554238823034
"TCGA.G4.6311.01A",0.0217250822952578,0.126280834328059,0.0662420506497776,0.0761001289529722,0.0143541664363943,0.00068503474180084,9.21474453603042e-08,0.694612610448293
"TCGA.A6.2677.01B",0.00170608252491475,0.0884655264521097,0.0254428392456857,0.0741746017287238,0.0042913373561325,0.00013790204539982,0.00273231195378545,0.803049398693248
"TCGA.AA.3815.01A",0.00245001733370051,0.222968938282354,0.0552962862466545,0.0228071374757864,0.0424467711428831,0.000513093260556773,0.0411246189167654,0.612393137341299
"TCGA.CK.4951.01A",3.44940178051190e-09,0.170439475667422,0.0873262869108969,0.0628237250481261,0.0332842331966236,0.000478328573353274,0.0131926510624583,0.632455296091718
"TCGA.CK.6748.01A",3.28515969867616e-09,0.355266262879915,0.151160873146255,0.0767231261208145,0.0239297637938277,0.000158568362135283,5.86462442413754e-08,0.392761343765648
"TCGA.CA.5255.01A",4.59652363836878e-09,0.0927871562640179,0.0197505139702532,0.00742556014172028,0.00428070520747166,0.000198836313653001,0.000577929684949695,0.874979293821411
"TCGA.CK.4952.01A",2.97324460790299e-09,0.108721734976764,0.0480015840712742,0.01194696680305,0.0101818207899751,9.56188602522997e-05,5.01820254930179e-09,0.821052266507238
"TCGA.AZ.4315.01A",0.00198535468143796,0.105979176189541,0.042251044557151,0.0337919078625448,0.028924992597293,0.000149226887839669,0.00481127069652162,0.782107026527671
"TCGA.AA.3869.01A",2.442316176294e-08,0.098956422539152,0.0484801838121647,0.0332504338295537,0.0202463871674317,0.00025336526577715,0.0117094120222402,0.787103770940519
"TCGA.G4.6626.01A",4.69325249009139e-08,0.093465457521899,0.0420452325847872,0.00849991249059733,0.00435971015116614,0.000412760613085757,0.00170480252768484,0.849512077178255
"TCGA.DM.A1D7.01A",0.000380352441602865,0.100213485503401,0.0540653595767342,0.0124499644606871,0.00729255131859298,9.87476876019675e-05,0.00337834883366721,0.822121190177712
"TCGA.AA.3531.01A",1.03688815156858e-08,0.0808334266042727,0.0643443334066998,0.00760017024233421,0.0082396147419336,6.49574487364152e-05,0.00151280555640052,0.837404681630741
"TCGA.A6.5662.01A",3.24891535231194e-07,0.110258222659933,0.0656427348440588,0.0459184427773053,0.00946760841904761,0.00012272852147436,2.30324530968334e-09,0.7685899355834
"TCGA.CM.4744.01A",7.34175649697404e-09,0.147449991032659,0.0263745933486018,0.0073541861262051,0.0118250575939248,9.66745256988413e-05,0.0242676325651376,0.782631857466016
"TCGA.D5.5540.01A",5.79437345194815e-09,0.0810665247616337,0.0201560526785046,0.0350548046550231,0.00680305186337913,5.4460534940436e-05,0.00547502992866111,0.851390069783484
"TCGA.AZ.6608.01A",1.52509160325848e-09,0.0336009736797133,0.0179946278922284,0.00234600843058866,0.00227683322868411,1.14355420006026e-05,0.00124772476866848,0.942522394933025
"TCGA.AA.3518.01A",0.000823115139963081,0.158306121556005,0.047476641077305,0.0141909598127826,0.0199926144336942,9.95689452683697e-05,0.0120066862986065,0.747104292736375
