"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.32.2616.01A",4.35124621348414e-07,0.0401168689160094,0.0641528293592469,0.00486112401352589,0.0592980414071903,3.88599639364258e-06,1.01870756359637e-09,0.831566814164305
"TCGA.32.1980.01A",6.41071430761189e-06,0.0470673618465529,0.101389430607932,0.0102094029346437,0.111339393549167,2.35747991504909e-05,1.22097890137298e-08,0.729964413338458
"TCGA.28.2514.01A",6.71796178799748e-05,0.0206695904531488,0.0894857961993864,0.00863346621232342,0.0310952527892519,3.76305970912469e-08,6.46982622996799e-08,0.85004861239915
"TCGA.06.0644.01A",8.9686709158104e-08,0.577819107138264,0.164779580805753,0.0941742998501608,0.149742185900778,0.000122194266146445,3.5080935052677e-07,0.0133621915428382
"TCGA.06.1804.01A",0.000207627564657443,0.0180118292545315,0.037041756558981,0.00281517612524505,0.0313733653322907,1.62894877579689e-05,7.05016746967535e-12,0.910533955669486
"TCGA.41.2571.01A",8.24826315324542e-05,0.088543896599848,0.0923485973945188,0.0181644848303389,0.0419640319440463,1.96044895168317e-07,6.22500339452444e-08,0.758896248304786
"TCGA.19.2619.01A",8.84778654259905e-08,0.10461156249363,0.114741965666583,0.00845719420071617,0.0207258552081982,2.76111078711146e-06,6.67029663820611e-08,0.751460506139254
"TCGA.27.1837.01A",3.14450282211429e-07,0.02606410289143,0.0557681258783849,0.00608420301070982,0.0539265814452265,1.49956709709205e-05,2.97457080896678e-09,0.858141673678425
"TCGA.27.1832.01A",1.78790620690408e-06,0.027801035421243,0.0556802977649922,0.0110691580043964,0.140326760627264,1.53253337793716e-05,7.99986001196854e-07,0.765104834956117
"TCGA.06.0686.01A",0.000272237906939011,3.09996210863959e-07,0.124686965636031,0.00878615974654031,0.0846615499121045,2.70256068588002e-05,1.01950113123178e-06,0.781564731694184
