"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.BC.A10Z.01A",1.99851326827931e-06,0.246565515793109,0.0501124664640727,0.00269604004948233,0.00974231404237574,7.69752370123971e-10,2.84070117151553e-08,0.690881635960927
"TCGA.DD.AAEK.01A",0.00136510356695865,0.192298714309982,0.0694429448225128,0.00825356118283212,0.0261682009139055,2.59096773215891e-05,0.0130127507015034,0.689432814824984
"TCGA.G3.A3CK.01A",4.00319031698866e-09,0.0747933370497414,0.0429532578165324,0.00274421054323788,0.0265873489266804,2.814120292258e-06,0.00843081830690521,0.84448820923342
"TCGA.DD.A1EJ.01A",2.47501516322036e-07,0.0931034748962239,0.0270121450105419,0.00215853219415657,0.0316777833093397,3.65759552297535e-09,9.23087500356138e-09,0.846047804199751
"TCGA.DD.AACU.01A",5.84781512826392e-09,0.147616505701527,0.0499693866185249,0.00942570907363376,0.0117993782100554,2.81320529433007e-05,0.00216592851384942,0.778994953981651
"TCGA.ZS.A9CE.01A",3.94870375483368e-09,0.0436438419740555,0.0163936179359833,0.00136956818190686,0.00209662856884949,3.41500435428798e-06,2.56902479970622e-05,0.93646723413815
"TCGA.2Y.A9H2.01A",0.000718662316711394,0.0407483705883412,0.0365092041692861,0.00489619072024298,0.013825011856514,7.56855653418253e-05,0.00363377025002566,0.899593104533537
"TCGA.CC.5261.01A",0.0248712266299033,0.142786614563003,0.121019509213544,0.0443279320579318,0.015572135386193,0.000363633179238411,0.0186345676988606,0.632424381271326
"TCGA.DD.AADP.01A",2.30355824417736e-08,0.105505868789249,0.055736477378523,0.00580300177132618,0.00754898280410822,2.37823382619596e-05,0.00378388738209066,0.821597976500859
"TCGA.2Y.A9H4.01A",0.000139821306496948,0.0244645285901848,0.0585112258738312,0.00173904446433933,0.0105290993567474,1.48581103349378e-05,0.00404634071855038,0.900555081579515
"TCGA.DD.A1EA.01A",1.37631387445904e-07,0.155686217579849,0.067078152401764,0.0015945231500643,0.0239233645150121,4.7845156632399e-06,0.00414332322818937,0.747569496978071
"TCGA.CC.A3MC.01A",7.64779911234849e-10,0.0620112569792583,0.0416209619395461,0.00773219781170716,0.00898857288804205,1.65597978378282e-05,0.00385506828300664,0.875775381535822
"TCGA.FV.A2QR.01A",2.59188001679935e-09,0.0803643406892221,0.0665941570394613,0.0080567899007259,0.00689393951124718,7.35243060558032e-06,0.00243782009596352,0.835645597740894
"TCGA.EP.A26S.01A",9.35054985340028e-10,0.0359325802756899,0.0481560101311772,0.00347555879957129,0.00606955192763577,5.74817489878055e-05,0.00144548538652464,0.904863330795358
"TCGA.K7.AAU7.01A",1.26477621107223e-08,0.0938863439489159,0.0462981637467096,0.021082859338488,0.0127939433886016,8.14081698305684e-05,0.00475063432830423,0.821106634431388
"TCGA.G3.A25T.01A",2.99501957287978e-07,0.150557244692415,0.0676861242685368,0.020036278413417,0.0231741979264567,4.63422642807588e-06,1.77209917262026e-06,0.738539448871616
"TCGA.DD.AADB.01A",0.0107112670568589,0.0707809978194216,0.0568100524060395,0.00224731931557338,0.026485725106267,2.05963478453127e-09,0.028573631827627,0.804391004408578
"TCGA.UB.A7MA.01A",2.79285442840929e-08,0.072889482167085,0.0458074889364623,0.00977255080173439,0.00838845487849413,6.9563279328986e-07,0.00525643627986555,0.857884863375021
"TCGA.DD.AAD0.01A",7.22504976685943e-09,0.0674366519122591,0.0205096719262876,0.000882896027943993,0.00452004822535565,6.75709989479532e-06,0.00170012361200623,0.904943843971203
"TCGA.BC.4072.01B",1.77046282194478e-07,0.0570845533187869,0.0441094437921187,0.0120226979643965,0.0419196919966268,1.85396770565814e-09,0.0244623358196249,0.820401098208196
"TCGA.DD.AACD.01A",0.000110795064247207,2.73406995064681e-09,0.0417517444522436,0.00201535815999044,0.0300589293312228,1.07632752475806e-05,0.000525068554632667,0.925527338428346
"TCGA.DD.A3A5.01A",2.33621609140561e-09,0.0753750029949585,0.048579731242983,0.00568335163101827,0.00617707436281668,3.2420675618164e-05,0.00385885451437614,0.860293562242013
"TCGA.ZP.A9D1.01A",1.10754813159284e-08,0.0735028324025931,0.0695168813997678,0.0115163585419361,0.0087766358062129,6.79661638460779e-05,0.00677183580972721,0.829847478800436
"TCGA.ZP.A9D0.01A",2.20595176560893e-08,0.0800665198559713,0.0411555470637238,0.00493994443165936,0.00742397174113982,1.88267578033853e-05,1.56503555388702e-09,0.866395166525149
"TCGA.CC.A7IK.01A",1.66843466763664e-08,0.0680119878793779,0.0436787730943682,0.00147720514507217,0.00799621874410738,9.64688229682021e-05,0.000312654596518106,0.878426675033241
"TCGA.WQ.AB4B.01A",7.29752769946833e-09,0.0411007482528695,0.0298424011622766,0.00507359218664505,0.0069082909169206,3.57873867620315e-05,0.0015902029227453,0.915448969874253
"TCGA.FV.A4ZQ.01A",0.0174427575630387,0.0343631555949168,0.0201341322517349,0.00165964038072674,0.0756432287764877,2.62032598704257e-06,0.0712309490576975,0.779523516049411
"TCGA.G3.A25S.01A",9.97737387118149e-05,0.00586006414825158,0.0246304445034127,0.000961075391767163,0.0264605329214002,0.00011105155614726,0.00292408235607716,0.938952975384232
"TCGA.NI.A4U2.01A",2.30323055945701e-08,0.0542023438537981,0.0812413082692234,0.00188261438775678,0.00363574931098006,8.19828604369708e-06,4.14123113840182e-09,0.859029758718661
"TCGA.RC.A7SK.01A",8.72060449691776e-09,0.112400591939063,0.0362572906751382,0.00370061579918798,0.00533545951810595,1.10758186848093e-05,9.63942276175872e-08,0.842294861134988
