"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.24.1104.01A",0.00650195447554309,0.0117043300125915,0.0220632947620337,0.011196369967858,0.0298613818123531,0.000120582992942452,0.00932085563827459,0.909231230338404
"TCGA.25.1320.01A",0.00115605452987688,0.0547928475758912,0.0755235786712103,0.128436709866238,0.0292246070501686,0.000320716004538836,2.31983443237125e-05,0.710522287957752
"TCGA.24.1850.01A",0.00955207340367147,0.0933312683910591,0.0448882731148677,0.0574622168251345,0.072233283112282,7.37872663770276e-06,1.42241494568304e-08,0.722525492202198
"TCGA.61.2101.01A",0.00178871455590946,0.0282917889198911,0.0445106559727719,0.0557914608456857,0.014419660820785,0.000210218687965005,4.2029337896993e-08,0.854987458167654
"TCGA.23.1111.01A",7.16393820833965e-07,0.101069075813975,0.0584932098020664,0.0148802867509264,0.00832810170453627,1.50588738112215e-05,3.22923145480501e-08,0.81721351836855
"TCGA.25.2396.01A",0.0082654588553355,0.010528016576747,0.0495354667497583,0.0314109827359702,0.044060264613635,3.10375495164339e-06,0.0101299577387813,0.846066748974821
"TCGA.30.1714.01A",1.71907148674872e-08,0.183270136538417,0.032885480028752,0.00909152831665083,0.0100731843699809,2.23911117731487e-05,1.17859663943271e-08,0.764657250657745
"TCGA.04.1347.01A",0.00311347518267273,0.0627424365826172,0.0327553131165478,0.0141590172253287,0.00661201798379908,4.65998415306757e-05,1.22544512251057e-08,0.880571127813053
"TCGA.59.2351.01A",0.0666121015865858,0.0497227176576737,0.0457127527886773,0.0247063607562466,0.0606143875644189,1.07738004196323e-08,0.00178370548284781,0.750847963389749
"TCGA.09.1659.01B",0.00235839748063382,0.0333957228690065,0.0299109444249387,0.0181373293507894,0.0299808879873515,9.98825864819503e-06,0.00405497090202645,0.882151758726605
"TCGA.24.1431.01A",0.000824671090203835,0.0128982423709941,0.0166793857703954,0.0158389948161375,0.018430539124318,3.82209285268413e-05,0.000270639086092447,0.935019306813332
"TCGA.31.1951.01A",3.33073544957518e-08,0.124132365451875,0.0876250616594146,0.0711428187134104,0.0559641500117607,7.90676457431806e-05,0.00889732631442672,0.652159176896015
"TCGA.29.1769.01A",1.70243986393937e-08,0.0733287796484188,0.0299846365571965,0.0436735461577646,0.0389264604378419,1.00803369255977e-05,0.000438836741589448,0.813637643095864
"TCGA.13.0916.01A",0.0157198558565777,0.0242445764327221,0.0683100070810415,0.0129558156399604,0.0470152830330334,2.45144860958205e-05,0.0123504297814744,0.819379517689095
"TCGA.61.1721.01A",0.00912149941709816,4.53565664675871e-08,0.121166439441522,0.101018227580567,0.0427273436999628,0.00144080453698986,0.000618425510127581,0.723907214457165
"TCGA.20.1687.01A",1.8266570037843e-05,0.0987111558458726,0.0394400383445204,0.0298033778754975,0.0226534657694647,6.56116092467438e-05,2.7413039322603e-07,0.809307809854967
"TCGA.29.2414.01A",0.00502331380673393,0.0263014473084301,0.049984285911246,0.0756563470201587,0.0087976753816024,4.78047522894056e-05,7.6052254314535e-08,0.834189049767285
"TCGA.13.1411.01A",0.00132173965438075,3.93345222337923e-08,0.0754432807903672,0.106393152500298,0.161212898252195,9.14247459703549e-05,0.0537866580176986,0.601750806704568
"TCGA.24.1928.01A",0.00292647418949493,8.41218729591802e-09,0.0468044229301898,0.0699660587400423,0.0508111560189181,0.000121038069957541,9.10239986909058e-08,0.829370750615211
"TCGA.31.1959.01A",0.00663688735425203,0.0500524855753245,0.0969747339813753,0.129936703836389,0.105976898154514,0.000139850124161773,0.00277505971723518,0.607507381256748
"TCGA.57.1586.01A",0.00477924729193498,0.0411720450743976,0.0180489472072279,0.0038473662897157,0.0171836303123678,9.8265650467878e-09,0.000583722762878343,0.914385031234913
