"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.AG.3896.01A",0.00674222350665452,0.0779439530503908,0.0829388588400932,0.0306325738786581,0.0180801587930974,0.000115853805824327,0.00371936224073649,0.779827015884545
"TCGA.DC.4745.01A",0.00191339410067849,0.10092746834267,0.0572412009856457,0.0264546137322635,0.0093465829241376,0.000226953704857166,0.00260357079566625,0.801286215414081
"TCGA.AH.6903.01A",1.54079634183483e-08,0.0938591307858705,0.034429238497378,0.0122492667435288,0.00441566698672846,0.000103577287518835,0.000972351684651562,0.85397075260636
"TCGA.AG.3599.01A",0.000723372216244111,0.132352026306899,0.0300661824660808,0.0150660279330285,0.0211262745856807,0.000314588520378199,0.00963101408358994,0.790720513888099
"TCGA.AG.3581.01A",0.000261619251517664,0.207723983070403,0.080426191014681,0.0219589354052407,0.0168954905947511,0.00042207775773401,0.00331809320220194,0.668993609703471
"TCGA.AG.3881.01A",0.00742831145951443,0.0891294614544311,0.246849561700857,0.0515942031212966,0.0489832983228418,0.000835450461870728,0.00113471241772285,0.554045001061465
"TCGA.CL.5917.01A",1.19244611765335e-07,0.100373747773279,0.0468837894506003,0.0382716828350049,0.0047336828705944,6.1933008618106e-05,1.10304744152907e-08,0.809675033786817
"TCGA.AG.3902.01A",0.00834235130709327,0.112296465952771,0.0504731260445741,0.0150441806529035,0.0400025735387982,0.000543823445218146,0.0252348103961979,0.748062668662444
"TCGA.CI.6624.01C",0.0115196096118709,0.0661890599017073,0.0938127587775225,0.0371674659525464,0.014567605212749,0.000474935011569075,0.0110979905609161,0.765170574971119
"TCGA.AF.2692.01A",6.85923160557804e-08,0.0633534227556862,0.0527523019488693,0.0273464618248486,0.00737821093034532,0.000203959034406291,0.00433119726903133,0.844634377644497
"TCGA.DC.6683.01A",0.000981380557335417,0.0919971671481033,0.0418511391909786,0.040885530048215,0.00911084957384824,0.000190430292063882,0.00056320998021645,0.814420293209239
"TCGA.DC.6682.01A",0.00168190422776785,0.0399726609452694,0.0312059905116118,0.0102833585174297,0.00496882709760126,5.35267798404255e-05,0.00473078527722675,0.907102946643253
"TCGA.F5.6702.01A",0.00301862451645655,0.119441243753858,0.144665098451046,0.282592526805254,0.02619598606554,0.000541866263791179,0.00102208814956127,0.422522565994494
"TCGA.AF.4110.01A",0.0600244464194643,0.209424105035197,0.110386942650597,0.0523374812227582,0.0241123763514617,0.000570188077261356,0.00932302155276508,0.533821438690496
"TCGA.F5.6861.01A",1.7292384322426e-07,0.139970946641505,0.0494825136875342,0.0259092352241563,0.00782332588711209,3.61800271327451e-05,0.000330614148851267,0.776447011459865
"TCGA.G5.6235.01A",6.34303783380822e-08,0.100628118287828,0.028011724758213,0.00470499010682082,0.00325543201063653,2.15500953303293e-05,0.00133482038777667,0.862043300923016
