"","cellFractions.B.Cells","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.A5.A0R8.01A",1.74935853185136e-06,0.209972210926625,0.0849361737653119,0.0209466741371212,0.0209197844576751,0.00015477169126378,0.0168734132696131,0.646195222393858
"TCGA.A5.A0G3.01A",0.00507291040446845,0.0612114009938929,0.0659159422624652,0.0152396413984595,0.00962920593238985,1.80620652782108e-05,3.47926884734588e-08,0.842912802150357
"TCGA.AP.A054.01A",4.63315056932767e-08,0.0605278658062902,0.0532683180258119,0.0111131040819058,0.00621680273780182,6.71731532521226e-07,0.0132948812686569,0.855578310016495
"TCGA.A5.A0GX.01A",1.20362651217092e-07,0.141739276757274,0.494543597839208,0.0371645682340722,0.0252701247155028,0.000614273337439915,0.0123571281037644,0.288310910650087
"TCGA.DI.A2QY.01A",9.91530196186708e-05,0.0517276910763097,0.0440556861603722,0.0133968974016181,0.0037458994735729,8.54401848171328e-05,0.00271519713310397,0.884174035550587
"TCGA.EY.A1GC.01A",0.0548279286714856,0.202543478731001,0.0525282606225036,0.009966140219762,0.080377729151516,4.32973237291639e-06,0.0290088259343292,0.57074330693703
"TCGA.A5.A0GI.01A",8.25431615349771e-08,0.113981625348827,0.101843554038822,0.018105731361815,0.0124932788939456,2.99326250751032e-05,0.011415641081098,0.742130154107256
"TCGA.D1.A17S.01A",7.10422761587291e-07,0.056441952758726,0.031081761519844,0.011223587798001,0.00575603347349205,0.000104876779314059,0.000228955471180058,0.895162121776681
"TCGA.EY.A5W2.01A",8.50002020015943e-06,0.110910705324325,0.0575991213260377,0.0329032107319228,0.0209747746208161,0.000139842048264952,0.0216147024210056,0.755849143507428
"TCGA.D1.A1NU.01A",5.84109245230009e-08,0.240752151033529,0.0672341424725239,0.0110039758013419,0.0229616772631828,7.70928059061389e-05,0.00522599727937639,0.652744904933215
"TCGA.BG.A18A.01A",7.07744700122913e-05,0.224751059756713,0.224836352230083,0.0411482318907097,0.0225797365778103,0.000192165732510456,0.00685412436974054,0.479567554972421
"TCGA.AX.A06B.01A",0.00425655336950866,0.179364476297191,0.113897864170866,0.0628226748019711,0.0189330710510053,7.46148410927593e-05,0.012985973758904,0.607664771709462
"TCGA.E6.A2P9.01A",0.00385096544118343,0.0620199824535836,0.0442744652433367,0.0202473788680939,0.014367811947101,0.000167417956995303,0.0272838776042835,0.827788100485423
"TCGA.PG.A917.01A",0.00137237660469957,0.152297302816655,0.0601252435854689,0.0306776153622962,0.0395233130997296,2.25901878421636e-05,0.0460599364953282,0.66992162184798
"TCGA.AX.A3FS.01A",0.00329459486264317,0.0374651193433648,0.0648080839171484,0.0546200324481715,0.0109486498707357,1.98861516564915e-05,0.0100179981462287,0.818825635260051
"TCGA.A5.A2K4.01A",6.71280496965158e-07,0.339322120495675,0.0964287655539845,0.0484395528753718,0.0216550833274318,0.000199172908793248,0.0061519732857221,0.487802660272524
"TCGA.D1.A1O0.01A",5.65343388879715e-07,0.0351464300346707,0.0329127443193587,0.0147791505449395,0.0115671523837168,1.91321883445886e-05,0.0036652272940919,0.901909597891489
"TCGA.B5.A0JS.01A",1.82893757663642e-07,0.260046202743098,0.0962666991576898,0.039309830113107,0.0207427729385269,0.000163468667985271,0.058921655807141,0.524549187678695
"TCGA.AX.A1CE.01A",1.69192331876674e-09,0.0800890724963972,0.036088775190012,0.010569946139657,0.00952693117122758,0.000148781922595421,0.00645393141004435,0.857122559978143
"TCGA.D1.A17F.01A",9.92612973668863e-08,0.100239802591596,0.0349381484503347,0.00690449754750943,0.0198715403371621,7.6591224487148e-06,0.0138221354668302,0.824216117222821
"TCGA.EO.A3AV.01A",0.0117816895132782,0.196135455063235,0.076549767782272,0.026056806352105,0.028535016513622,4.33165757633241e-05,0.0711835400991403,0.589714408100584
"TCGA.D1.A17B.01A",0.0164223071822044,0.357090537802438,0.282708559062919,0.0372040039054275,0.0651785387819891,0.000193553247619537,0.022220792156207,0.218981707861196
"TCGA.E6.A8L9.01A",3.89825962109516e-07,0.102333153463406,0.109714159225393,0.113634355300415,0.0374729627380392,8.20371750317288e-05,0.0423024258794615,0.594460516392292
"TCGA.EY.A547.01A",5.44172755166795e-07,0.0623391449856447,0.0288580590031638,0.00700302501300554,0.0118090671192704,7.03359509411537e-05,0.0218628067778825,0.868057016977337
"TCGA.AJ.A3OJ.01A",3.82374533937224e-08,0.385847626478979,0.103369117495489,0.0556335695891618,0.0401960528438007,0.000288407409822817,0.00898294245002939,0.405682245495264
"TCGA.BS.A0TJ.01A",0.025297384543281,0.0696760833595412,0.104113931168205,0.0427217999340952,0.0121302064533065,8.83807307265445e-05,0.0179526851822999,0.728019528628544
"TCGA.BG.A0VV.01A",5.07121106553326e-09,0.170384288839951,0.0576108232619891,0.0124241379501222,0.0154043504616007,2.56540491320259e-05,0.00895627962210484,0.735194460743889
"TCGA.D1.A16V.01A",0.00757718922565842,0.0797667804163861,0.0512198651350953,0.0130883750386671,0.0184347941244811,1.87538052340898e-05,0.0133762049868689,0.816518037267609
"TCGA.EO.A22R.01A",1.63961422756219e-09,0.230848509694024,0.10704542349322,0.0343610161988877,0.0369724953998152,5.73088456120227e-05,0.0075227423412544,0.583192502387572
"TCGA.BG.A0MH.01A",0.0252442597139033,0.174870609568644,0.129429528016283,0.0569925371193754,0.0339223690255342,0.000872519763146643,0.021384538077651,0.557283638715462
"TCGA.EO.A3KX.01A",6.30112212276021e-08,0.0838770240996827,0.0403098487418326,0.017828839329379,0.00727559889903044,9.29848409001838e-05,0.0101803617593993,0.840435279318554
"TCGA.AX.A0IS.01A",2.71323227133316e-08,0.371766264186721,0.108707964940363,0.0329081144430081,0.0175359711689574,4.26764834315427e-05,1.82916505456297e-08,0.469038963353545
"TCGA.EY.A1G8.01A",4.01972469832833e-08,0.267106023586838,0.0829021204845404,0.0146648401287402,0.011937439146303,3.7586475718977e-05,1.1575263242277e-08,0.623351938405349
"TCGA.EY.A1GW.01A",1.79144941156492e-08,0.114820636681351,0.0450239088358758,0.00763173526770132,0.00158075709714429,1.20279786681112e-05,1.58732662232301e-07,0.830930757492103
"TCGA.BG.A0RY.01A",2.21480446227579e-07,0.195136344805466,0.0574764980895668,0.0121264944038655,0.0205067711124528,0.000227827100718956,2.87302537385528e-08,0.71452581427723
"TCGA.D1.A1NY.01A",4.20802992157834e-08,0.39405550712957,0.150919376094681,0.0400438832879931,0.0203337485397619,0.000377770981471765,0.00314113151585228,0.391128540370371
"TCGA.B5.A3S1.01A",1.51368646744453e-08,0.140421134143842,0.0481312044349874,0.0247423389049932,0.0194828727566803,1.94587587925522e-05,0.00390249268619077,0.76330048317765
"TCGA.A5.A2K5.01A",8.00101920809256e-07,0.0769264198516368,0.063177467264676,0.0231939515116269,0.0374754705873034,4.98751395693058e-06,0.0131104104700115,0.786110492698868
"TCGA.AX.A062.01A",1.80825546285201e-08,0.218718635267838,0.072435902592336,0.0299017460707082,0.00924509028660004,0.000140035757416375,0.00334490253181246,0.666213669410734
