"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.C8.A278.01A",0.261516668938225,0.0221900549632767,0.00655476250616329,1.43386860707574e-05,0.00014800238027225,0.0616344319982485,0.0196190415801501,0.00382887864428337,0.0497191455417216,0.00466242598131436,0.570110566824536,1.68195573793046e-06
"TCGA.A7.A425.01A",0.133749307540901,0.0140708292198679,3.40767177890684e-08,0.23426582930539,0.00748159698684057,0.112904169988632,0.0347351939454634,0.0068931348724996,0.0803999891380074,0.00531046025355468,7.60668341596639e-07,0.370188694003784
"TCGA.E2.A15H.01A",0.131919232488722,0.00828588080381052,6.9744375101266e-05,0.165467719751645,0.000375303154026484,0.0578050327366576,5.36244296642792e-08,0.00139046206667633,0.133879993604577,0.000860871243395443,0.49994271872915,2.98742180902615e-06
"TCGA.A8.A06N.01A",0.0520896273606212,0.00472325231609724,9.03508295667109e-08,0.329640334617424,0.000375685978673605,0.00720233492445906,0.00681507002858739,0.000697382085886208,0.0825322147130964,0.000944216770900051,6.55869925715365e-07,0.5149791349835
"TCGA.E2.A570.01A",0.0740845400070956,0.00917599163104423,7.99373378818543e-05,0.518662056405386,0.00121160183134504,0.178150232231017,0.00264841283483387,0.00561427085722034,0.0719127046495926,0.000371568022842001,0.138088334218932,3.49972810530149e-07
"TCGA.BH.A1FL.01A",0.127071284864536,0.0168603020086635,0.000460974711311886,0.472707012128771,0.000821963271906589,0.062682372792826,0.00700238328590048,0.0125552956711696,0.114072713400133,0.00374660464058042,1.39714413199656e-06,0.18201769608007
"TCGA.E2.A56Z.01A",0.184170268453313,0.0137157072684391,6.45022766856872e-08,0.370009290486511,0.00100970405427431,0.0359477440303653,0.00603944265360738,0.00100491219320196,0.0784461049083063,0.00271209893529435,0.00295007533535063,0.30399458717906
"TCGA.E9.A1RI.01A",0.0620586492510969,0.00381604128468236,0.00703725894239545,0.192373097155111,0.000378361920980416,0.174030012311276,0.00564147625582053,0.00354642687346081,0.0964231951454868,0.00134840509421465,0.453297899541783,4.91762236928804e-05
"TCGA.BH.A0DP.01A",0.0933453800758032,0.0134675401910641,0.0100801222573526,0.367757200437463,0.0017379894976918,0.116171317329377,0.0122610780810694,0.00756454594268353,0.111070750771531,0.00518204450748664,0.261325306289263,3.6724619214152e-05
"TCGA.AR.A0U3.01A",0.113463264396477,0.020240854878985,3.89529159674253e-08,0.515016000711242,0.00048697190375178,0.0273613353756798,0.00596741304967101,0.00132730965104967,0.160811292909882,0.00142374259455596,0.140753203381326,0.0131485721944639
"TCGA.BH.A18L.01A",0.0216399772360141,0.00609189953414373,0.000304801495797651,0.175865698100776,0.000730363274892164,0.0108992987929674,0.00928125348426949,0.00164384389367396,0.0662728242136193,0.00123794447277642,5.53186924403961e-08,0.706032040182377
"TCGA.A7.A3J1.01A",0.269038760719238,0.0657214930650346,0.0109178417682956,0.456578719187132,0.00266117635739287,0.0775335653628705,0.0310167035594018,0.00895291687092466,0.0654669186910431,0.0120689074443919,4.02792743676242e-06,3.89690468383054e-05
"TCGA.AC.A6IW.01A",0.0821995461994841,0.0704698218057802,0.0152773581275169,8.75510532379175e-06,0.000273887498008512,0.0147529246089039,0.270371934776602,1.32793916381501e-05,2.38863436790406e-08,0.0429620196002736,1.13800322913527e-05,0.503659068967834
"TCGA.AC.A3YI.01A",0.10199283647039,0.0131704911235867,2.16379023208648e-06,0.169324094500175,0.00122271018680252,0.1699833704055,0.00826820527154275,0.00893118344921502,0.160882164374679,0.00389120985724017,0.362294872367627,3.66982030083362e-05
"TCGA.D8.A1XG.01A",0.0931674786587573,0.00465557405288363,0.000455304163521666,0.484799813590258,0.000510309848943209,0.128453838127763,0.0162222754614348,0.00379353569324821,0.208849644842387,8.72630211194622e-08,7.53864313550344e-05,0.0590167518664276
