"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.4T.AA8H.01A",0.0918088843640509,0.0034956040556871,0.000691902524013808,0.00587996976960986,0.000258746867436083,0.00578632084051632,7.46112612898065e-10,6.09730535930758e-09,0.187673893398573,0.000446861805892317,0.136476350381747,0.567481459149056
"TCGA.AA.A00Q.01A",0.0581720357928541,0.00953486636529262,1.52304695353006e-05,0.411884293154638,0.000587997257234328,0.0138155813888771,2.66022160608407e-07,0.000879348515597025,0.0889564809559406,0.00331290025832866,0.412812397624197,2.86021953439977e-05
"TCGA.AZ.4614.01A",0.0461609250296088,0.00995856414928212,3.15788923574514e-09,0.333935829949368,0.000228479022611877,0.00718387358575373,3.54229455632458e-06,4.51508351087522e-05,0.0941122427311965,0.00341349528272446,0.171207838545846,0.333750055416054
"TCGA.A6.2675.01A",0.0726625988601006,0.0154308914052294,2.77517980883902e-05,0.246483996356497,0.000655359783142482,0.0742641371524414,0.0147066541465764,0.00416834066901759,0.20378904035878,0.00314432467652469,0.364661217461592,5.68733200990058e-06
"TCGA.AA.A00U.01A",0.0571522295876621,0.0140090670974431,1.64557171100783e-07,0.848586749873948,0.000664220298374802,0.0111574008119396,0.000566075776782563,0.000184649720284725,0.052725183609024,0.0021169501846792,0.012827342458209,9.96602448134885e-06
"TCGA.A6.6781.01A",0.0184573465731962,0.0201815145260117,1.95758911613129e-06,0.0660761712536615,0.000585670093378279,0.0865235953493827,0.00800001189273857,0.000740220821810254,0.0739684283912305,0.00499871661535718,0.720465914012639,4.52881478425993e-07
"TCGA.CM.6169.01A",0.102334487427659,0.0265682964486858,2.09980935501801e-07,0.0908613025109315,0.000812481810960499,0.0602807305164035,0.00662468150498065,0.00316011542747394,0.0893032274165239,0.00537689950443696,0.614677515974943,5.14760656485228e-08
"TCGA.AA.3516.01A",0.1465758928575,0.019527460769305,0.00218621124373084,0.402859123178093,0.000751248889986262,0.0123141402441606,0.00779210869773045,0.00141121369478621,0.216830330076559,0.0151017327153171,0.174650506103321,3.15295096351657e-08
"TCGA.AA.3552.01A",0.288651408519252,0.0251968468314916,3.24182938841385e-06,0.629552527613556,0.00107926472126642,0.0191329676680821,0.0175945980879594,0.00271968341207212,0.00165689582171473,0.00678563247681864,2.9392106450079e-09,0.00762693007918888
"TCGA.D5.6931.01A",0.309002961848964,0.0261002266995708,4.13353568910799e-06,7.33310016378541e-06,0.000623741591839145,0.0355318595850617,0.0171403481923055,0.00617914245776563,0.225653300810817,0.00481301605685946,0.374943099633358,8.36487605219671e-07
"TCGA.SS.A7HO.01A",0.0854143072451467,0.00111909628534328,0.000623365169203206,0.273069666623848,0.00046423588188371,0.00665467405664306,0.00260763318789937,6.4128843370104e-08,0.122609644520967,0.000843596871487082,0.183461610638549,0.323132105390186
