"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.C5.A7UI.01A",0.0150645544152355,0.0819959311277614,6.09898885327993e-07,2.28603778523314e-08,0.0287508770030825,0.0102817200192992,0.0287761523235477,0.000492427432661667,1.29546803556391e-09,0.00718559243781751,2.67805081770973e-05,0.827425330677686
"TCGA.C5.A902.01A",2.29225294285974e-06,0.043511247253816,0.0255583281948497,0.29375294781119,0.00370816066415865,0.00249740232384239,0.00511673117041859,0.000128041207479561,9.24986780047859e-09,0.00655996582701104,0.61916415097087,7.23073553614848e-07
"TCGA.DS.A1OB.01A",0.00108435857475027,0.00532212364857418,0.000164164794304261,0.240325233503953,0.0130738697801203,0.00508440626765851,0.0118364819315725,4.98241097185814e-05,6.78221452666238e-09,0.0002613695034782,0.657686922077182,0.065111239026473
"TCGA.Q1.A6DW.01A",5.14368171134644e-09,1.12891213599411e-07,4.0541744986293e-07,0.303218070075244,0.0144545074836156,0.00807619932142566,0.00745429203170286,4.32622172385895e-05,4.32317668101725e-08,0.00068765685079373,0.666065324452635,1.2088323313057e-07
"TCGA.EK.A2R7.01A",0.00501125031378789,0.012959106403524,3.41058118629248e-08,0.306462834343779,0.00275830436225724,0.0112115597776263,0.00870014918925095,0.000192201978939766,6.92040374435121e-09,0.00192421051420161,0.650780331134466,1.09559512441562e-08
"TCGA.C5.A7X8.01A",0.045677282221804,0.00971271605387661,0.0115050372885055,0.239148779921461,0.141935947764996,0.043303604512968,0.00561351414949864,0.000841674354672391,1.30782222367347e-08,0.00042005954562006,0.501824231082922,1.71400254536421e-05
"TCGA.Q1.A5R3.01A",2.24184881636413e-07,0.00424771251933885,2.80573194237055e-07,0.262437917152799,0.0568793850080099,0.000560468662102479,0.0131415430535617,0.000917499742889445,1.04596707501253e-08,0.00210753603218546,0.659707380608831,4.20025361949287e-08
"TCGA.C5.A7X5.01A",2.40385844098218e-05,0.000342360570027426,3.50067900555836e-07,0.195708434907615,0.00268950663157927,0.0049839278007317,0.00154202432577196,1.96179978227251e-06,3.75074832445901e-09,1.09083447515202e-05,0.794695559992004,9.23224678675779e-07
"TCGA.ZJ.A8QR.01A",0.00572348274571414,5.9763235676415e-07,8.52054844673883e-07,0.508688764230665,0.0104540453315161,0.00272413251349328,0.00242898737803045,0.000188555818581468,0.000799906674426401,0.000375162715566717,0.468615492139919,2.07648853609183e-08
"TCGA.HM.A3JK.01A",7.75577603230998e-06,4.30469053689814e-06,7.97860388348535e-08,9.07015146680846e-05,0.888394416614464,0.0668917711817378,0.0425945738139046,0.00070434834726419,7.57990710499511e-06,0.00127789030166375,2.61103699355132e-05,4.67696648651777e-07
"TCGA.EA.A556.01A",5.99188256022495e-08,0.000745850755152984,0.000135801862014543,0.193217130552996,0.0180625811155305,0.0528795503165106,0.00431885842784124,0.000111330773811001,1.99988658512596e-08,0.000438070606224636,0.730088878445095,1.86722713227799e-06
"TCGA.VS.A9V4.01A",0.000762600521802246,0.00568755127522838,5.85304109018125e-09,0.138877584967543,0.0229034357529617,0.00136381514290706,0.00016037039014208,4.69690693171857e-05,9.50841482725665e-09,1.88585703295013e-05,0.427252394512478,0.402926404435835
"TCGA.IR.A3L7.01A",2.98635768944222e-07,8.04186074004801e-07,1.00740590248313e-08,0.281903124934463,0.0308426989476644,0.00798761411336647,0.00390605653220022,4.15703351953664e-05,2.18664413469922e-06,3.68436828712142e-06,0.675311950476178,7.52609196780524e-10
"TCGA.EK.A2RL.01A",6.17990474340818e-08,0.00150990052063532,2.59529816389703e-07,0.397633786216459,0.0180227852386731,0.00951366860540408,0.000526802473639357,6.36296464376819e-06,2.77236061324978e-07,0.000434561700947713,0.572350364356686,1.16935798691158e-06
"TCGA.VS.A94X.01A",1.43159006580229e-06,1.9315048879736e-07,8.90324613907226e-06,0.271923174415217,1.78090640904592e-05,0.000699986446830536,0.0255870905453411,3.27625196620218e-07,9.28755811056349e-08,9.54623772983125e-06,0.701751404154474,4.06488458983386e-08
"TCGA.VS.A9V3.01A",3.83452108738583e-06,0.00846032675949002,2.52094179334879e-06,0.220091836642176,3.59235945376963e-05,0.00727915711759167,0.017180522441326,0.000271755599828551,2.6155704569568e-08,0.000914775965124964,0.745759256726536,6.3534803801237e-08
"TCGA.EK.A2RO.01A",0.000157125450017436,0.00396338328514596,7.91977333927203e-06,0.171806196659564,0.0858342367027036,0.0377759732430611,0.00415429161519863,2.89815535585104e-05,5.93505598806301e-09,0.00109821331753173,0.481944414862548,0.213229257602275
"TCGA.JW.A5VJ.01A",5.82408551523879e-05,1.67008558150573e-08,3.39458725410692e-08,0.21527550219047,0.00744352078583204,0.00282960588581889,0.00555092101888922,6.1551021358926e-05,1.09277280730612e-08,0.000214285699524563,0.768566203303006,1.07665491092772e-07
"TCGA.MA.AA42.01A",0.050685242893263,0.117252096621167,0.434878070985736,5.34434413645077e-06,7.8548836469689e-05,0.0109667803499749,0.197214481521551,1.11810149775159e-05,5.89037437465111e-07,0.0256715655869969,2.17857201911806e-05,0.163214313088099
"TCGA.C5.A1MK.01A",0.000636881590291457,0.00579149467029702,0.00517433914816518,0.24239881086023,0.020629929677965,0.0363581432846101,0.00574325144861478,3.88159636355543e-05,4.08570725861919e-09,0.000320058054638178,0.680730629848151,0.00217764136769493
"TCGA.UC.A7PG.01A",1.87291692460421e-07,3.64436767304018e-05,3.43288853581289e-08,0.51869962416995,0.0206222833200546,0.00749744955926915,0.00512988259079522,0.000329606087124584,1.1706372202249e-06,0.000530122261988233,0.447152635093993,5.60982297035869e-07
"TCGA.VS.A9UH.01A",0.0201404383225461,0.134693553251282,2.38645177792641e-06,0.227833864847229,0.116197164686005,0.0266041355528024,0.216515435119342,0.000411122350248956,2.80428584781062e-06,0.0188120247122437,0.238752797519864,3.42729008113005e-05
"TCGA.4J.AA1J.01A",1.3793161148801e-06,2.15897200845645e-08,2.55718739857405e-07,0.222828733579398,0.152960960987718,0.0195072982040543,0.00387709471424856,0.000284608931973071,6.72425030243774e-07,0.000303626563388976,0.600234869526845,4.78442768625601e-07
"TCGA.C5.A1ME.01A",0.00148845186299649,0.0077982316323492,0.0131796110114077,0.368059927827271,0.00969788615691066,0.00506251783385313,0.00475007869353604,0.000809026968245647,4.16831206303756e-09,0.00116513981280854,0.58798875702248,3.67009830094846e-07
"TCGA.C5.A8YR.01A",0.000467496990444145,0.032166421509192,0.010355420096836,0.329891711666544,0.0041839316704073,0.0106922557885712,0.0475700492562121,0.000145429691574064,7.52586885185989e-07,0.00706378529700415,0.259393465705675,0.298069279740655
"TCGA.EA.A5FO.01A",2.93933405211076e-08,3.02278806206268e-07,3.88629116223751e-07,0.257013319046733,0.000743960203778046,0.00145915119844798,0.000987791547267818,2.03381011294275e-07,3.93227464678628e-09,7.38631276948359e-05,0.739720635870915,3.51390614667269e-07
"TCGA.MA.AA3Z.01A",2.55928418065426e-06,0.00774520421732417,0.0264078758783527,0.205823004422411,0.00151862803404896,0.0024204297669669,0.00895955622507568,3.40592374684684e-05,4.0117564952639e-07,0.00187426623535141,0.745214015485625,3.75460985698932e-11
"TCGA.C5.A8XJ.01A",0.00338414114553458,0.000244113079247761,0.0110676247540891,0.323207215250274,0.138355081596736,0.0185685716911349,0.0108491229137375,7.20652688723041e-05,1.36220252104133e-07,0.00201423743058912,0.49223766848549,2.21640430193826e-08
"TCGA.R2.A69V.01A",0.0407580675624902,0.226084835882824,0.162435591169132,1.17793815436181e-06,0.0521711183784999,0.0271982629000488,0.354614844660828,0.00184088743400758,5.87358799283399e-07,0.0348990497935912,1.2318926955828e-05,0.0999832579946689
"TCGA.C5.A1BM.01A",0.00043135823346974,0.00752132943284476,0.000321531592660174,0.232968659154274,0.0113262773068126,0.00329358032011283,0.0375953033949374,3.43500688974396e-05,3.97539018549781e-06,0.00117405055308838,0.705329303171621,2.81381096889953e-07
