"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.CV.5442.01A",0.000374368246048942,3.89691387622065e-06,1.12679889764816e-06,0.297168089917731,1.87328484066219e-05,9.13223117261598e-05,0.00365671071207368,1.37683132102526e-05,1.95585684950601e-05,9.95635674424654e-06,0.698641780393544,6.88619246327466e-07
"TCGA.CR.7392.01A",0.0152237868708244,0.00798509046614091,5.09005096113001e-06,0.241322795490177,7.37732659960161e-05,0.0582644894250999,0.0185364021214944,0.00124331801409442,1.06152567505087e-06,0.00134848840039875,0.655995663640173,4.07289651959175e-08
"TCGA.UF.A71A.01A",2.5882580255228e-07,2.87786909713246e-05,6.71926761868342e-07,0.250825075470945,0.107164173630391,0.0133218814280472,0.0047525659454259,0.0001113965579219,2.12812589318532e-08,8.48995507033353e-06,0.623786003899776,6.82387628472929e-07
"TCGA.CN.A642.01A",4.63586611026887e-08,0.00611316790212088,2.06114356461895e-05,0.417861377607734,0.0207733475681286,0.0101178075294822,0.0303746298989057,0.000593624849908249,8.2733630714019e-06,0.00281873683527694,0.511318348413845,2.82372197472482e-08
"TCGA.CV.A45U.01A",7.20500226728308e-08,0.00253372398235455,1.20592176733634e-06,0.256069929250754,0.00100319904034126,0.00872324955700786,0.00798331732927156,0.000232936254493169,1.351970401125e-08,0.000848503650990216,0.722603468445484,3.80997809201457e-07
"TCGA.CN.6012.01A",0.0201802453244685,0.0110253475923206,3.75601030941371e-08,0.194339426198661,0.00937010574133187,0.0149873493988452,0.0156409430996035,0.000132909624267946,6.21567332839806e-09,0.00167627860907929,0.732646219221237,1.13141440856981e-06
"TCGA.CV.A45W.01A",0.134766556372695,0.0168107332176095,0.00256024466889392,0.273539581660653,0.0309834626196358,0.0175859111429793,0.0259297658479986,0.000517250543368999,2.45781570043965e-07,0.00289389309455212,0.49441013388449,2.22116555419874e-06
"TCGA.CV.A6K0.01B",0.00208245211841383,0.000626400233696404,0.0456737304176662,0.293870741738572,0.0357952067001116,0.0218128716440338,0.0100916733457249,0.000175189699165438,1.86721333433741e-08,1.73488624269058e-08,0.589869056033509,2.64204811182924e-06
"TCGA.QK.A6VB.01A",0.000247879227341059,1.70182666744695e-06,5.97121939619402e-08,0.367866067692917,0.0181160724356967,0.0119616446863348,0.000358153260881201,3.60158506630392e-06,1.27750751756393e-07,5.56205279385591e-06,0.601438780866648,3.48902707877319e-07
"TCGA.CV.6959.01A",0.00100523613372613,0.00184298571360605,2.66080806359132e-06,0.27508521693816,0.0228606076053477,0.00739711771072675,0.0088280381162802,0.000165760465082484,2.09157088840874e-08,0.000306292699576235,0.682504110439292,1.95245443001087e-06
"TCGA.HD.7832.01A",5.35118411505991e-09,0.00417509593603765,7.77084422402755e-05,0.249929693330929,0.00792256208318129,0.00638231448601703,0.0159703674350533,8.93158399398229e-06,6.13609920785249e-10,0.000876679347260372,0.71465648357593,1.57814563003976e-07
"TCGA.CV.7255.01A",8.14740867280937e-07,7.88927064172418e-08,3.13627295310452e-07,0.318281130921679,0.0227405728244859,0.00199757903752269,0.00219014866327277,7.09595639326388e-05,7.30963789985004e-05,1.89228601505278e-08,0.654645253429133,3.29972471836661e-08
"TCGA.CR.5243.01A",0.0263675605804682,0.0276628211956545,0.0133506567779411,0.271244324243542,0.0436017551928108,0.0231652640359779,0.00356860717577177,0.000684758725781342,3.65399856743722e-08,0.00122105615808816,0.589132993380138,1.65993840739452e-07
"TCGA.P3.A6T5.01A",7.61682620092309e-07,0.000854546777092279,0.000140658394411068,0.142738643888708,0.0149402338386876,0.00959421714428518,0.00277107284393264,8.47894223510325e-05,2.49770332236908e-08,6.6844941183561e-05,0.828808174963792,3.11259034243317e-08
"TCGA.CV.6952.01A",0.00147026491693572,0.00781597475798875,0.00211681170839432,0.271898388916389,0.00616615573593789,0.00451657769449011,0.00518558766097108,0.000160797844894495,9.62036661023644e-10,0.000458614628876129,0.636619225198794,0.0635915999742917
"TCGA.D6.A6ES.01A",1.10719980830262e-05,0.00443366047131012,6.87081309924269e-06,0.127433628994401,0.00837457030434346,0.00141639059386385,0.00216040544821704,8.01785900720584e-05,6.16771428862489e-09,0.000204056419110008,0.598038581536607,0.257840578663179
"TCGA.CN.5366.01A",2.60119750373991e-07,0.00356698201523581,2.80435658485476e-06,0.37948970547483,0.0323863625802499,0.0206977571103528,0.0149928010633925,0.000116512064521486,1.88474482043467e-06,0.00147416225477816,0.547270445536594,3.22678889467726e-07
"TCGA.CQ.6223.01A",2.01840509426641e-06,1.9804391439432e-05,9.67716195198485e-07,0.320312830559866,0.000202693873298828,0.00557219717839482,0.00965279830089555,0.000418829031213002,0.00513949162377887,1.40792017364422e-06,0.658676953031834,7.96781644111892e-09
"TCGA.F7.7848.01A",0.0208993804257761,0.00267958397866066,0.0266539397928823,0.33113076314633,0.00473865991041937,0.0196414681039317,0.00909590485376429,0.000201892927521469,9.38727554040796e-09,4.36947973384619e-05,0.570819591829267,0.0140951108468324
"TCGA.CV.A6JM.01A",7.47381080596275e-09,2.37861474497699e-06,4.0471170502474e-09,0.307451248275642,0.0259989654505136,0.00207549865805876,0.00752833440105139,0.000107113289328659,2.04856217856574e-08,8.92272850985605e-05,0.656747136703589,6.53154234548849e-08
"TCGA.CN.5359.01A",1.64207461204744e-06,0.00128628064391201,0.00138220475999681,0.428910949664587,0.0345376509659144,0.0687928001874493,0.0474432408209308,0.000312359051682648,1.25522999534567e-05,0.00122821691074554,0.416091633534904,4.6908531186874e-07
"TCGA.P3.A5QA.01A",5.13187656754844e-08,9.54659978662526e-07,3.7701556346238e-08,0.172505539397874,0.429211473086861,0.0143870652643361,0.0136614882265125,3.71756181379741e-06,9.82539330978417e-08,3.0347637106974e-06,0.370225962510797,5.77253861782096e-07
"TCGA.CN.4734.01A",1.22524602201533e-07,3.49908670395345e-08,4.0384803530199e-08,0.146990935510375,0.00264507165627314,0.00947225648954033,0.010908366353648,0.000109596143528959,5.08502383205247e-07,0.00118934747908903,0.828682640670832,1.07929405718398e-06
"TCGA.CV.6441.01A",1.99422408204196e-06,0.000642073857472956,3.18561851220297e-06,0.197864929611782,2.00399408004689e-08,0.0285924804380372,0.00228345070402934,4.14124176128629e-05,3.56073687242072e-08,3.49261315459105e-05,0.770534567862739,9.23486876961249e-07
"TCGA.CV.A6JY.01A",0.00125371236905817,3.51855378274691e-09,1.53255595960775e-08,0.27389470947452,1.92457159467415e-09,0.00464772437648974,0.000270516902997809,0.000295830553114237,4.48351551404634e-10,4.01337898680985e-07,0.719637010297102,7.34717831736994e-08
"TCGA.D6.6825.01A",0.0026542596905978,0.0349878355964724,0.0190443268450493,0.383070718905028,1.67746129393251e-05,0.0219066351829792,0.0210725547177712,0.00049905955677646,1.43017781969882e-05,0.0017592276416667,0.514966388713511,7.9167590119465e-06
"TCGA.CR.5247.01A",0.000944035434606071,0.000143618927770054,6.17195442884965e-05,0.131114610453822,0.0920376435499195,0.0480946080137417,0.00284533143642331,0.000221579775612622,4.23785956389136e-05,3.90575759142925e-06,0.724468553523016,2.20149875702031e-05
"TCGA.CV.7410.01A",0.168889361313521,0.0987823724578359,3.8471282419741e-06,0.60809097191277,0.0591522939221914,0.0263023482907009,0.0329815201817002,0.000381940411432373,5.09029584865846e-06,0.00277155486480407,0.00263630731981723,2.39190113593221e-06
"TCGA.CV.7091.01A",2.68508812595186e-08,2.52363712421707e-06,3.21611995997902e-07,0.22137952316905,0.0257235223680271,0.0147484461167887,0.00544443983040561,0.000107727638983872,3.94024280836093e-10,0.000244224257777236,0.732349120161536,1.23963406114801e-07
"TCGA.BA.5153.01A",0.0388748072537576,0.0171437234218747,0.125431786425693,0.342955490095211,0.013214057781303,0.0169049752903253,0.0144749793176258,0.000253275015451173,1.19811166608191e-06,0.000306491064963005,0.251315109811785,0.179124106410345
"TCGA.CV.7428.01A",5.71768208512334e-07,0.0125584393524564,4.25404226974425e-05,0.469591476187404,0.0337854417332389,0.00648076536141024,0.0140769181217753,0.000164675367460383,3.39662800540087e-08,0.00188947309511636,0.461409557527405,1.07096547382858e-07
"TCGA.CX.7086.01A",1.06453285111737e-06,5.25899361914279e-05,1.64606662360921e-08,0.237355245458678,2.90077759528541e-07,0.0114843836729129,0.00346321665213855,1.63109357578782e-05,1.81025871642737e-08,0.000109042521433652,0.747517515772547,3.05876477131363e-07
"TCGA.CN.5364.01A",4.75371552538799e-06,0.00145826893677093,0.00479618928265235,0.36616031459789,0.0122524796880546,0.00808834348581147,0.0107707788353481,0.000125589306822261,1.5047746809518e-07,0.000233283084676864,0.59610976171624,8.68727406948379e-08
"TCGA.BA.A6DB.01A",0.00216278672544491,0.0107848871615151,0.0435818151248481,0.326070783083247,0.00543363138745518,0.0232590817410852,0.0123225931823705,0.00123790270362152,6.88516954598075e-08,0.001486574219436,0.573659874035335,1.78394585929038e-09
"TCGA.CQ.5325.01A",0.111026930870296,0.0355024248267951,0.1158245008587,1.76472635439362e-07,0.00155287268357258,0.0616802465238376,0.0784006512816223,0.00134412685725336,1.04904503340139e-06,0.00154090938655172,0.000323487687495058,0.592802623506207
"TCGA.CN.4731.01A",3.67302552282825e-07,1.49069249062237e-06,2.05669077540836e-06,0.373213502891769,0.000971439857191236,0.0592063636259098,0.00691236797684513,8.05843938018511e-05,6.1443154113951e-08,4.24812939812601e-06,0.559607493654966,2.33411464724033e-08
"TCGA.CV.7427.01A",0.000898563803159949,0.029542780698749,0.0049348303717981,0.544950149797226,0.0133325544101247,0.00435156595340769,0.0227336497722012,9.4034271592427e-05,1.30706628634074e-07,0.0032249681750145,0.316514030371112,0.0594227416689854
"TCGA.CR.6467.01A",0.0581839867649833,0.00936354850775464,0.0913079594811487,0.23813302764961,0.0166393046320145,0.00835497425844235,0.0154346241476462,0.000305666260830942,1.14152151129201e-06,0.00239962893855061,0.559875912734086,2.25103421947873e-07
"TCGA.CV.7183.01A",0.000338269063718837,0.000123197703315298,0.000582796082988359,0.168342518909296,0.0038364527910966,0.00768498863190656,2.35031141024669e-08,3.2059090799031e-06,2.30677891549868e-08,0.000122631346474402,0.692785715695153,0.126180177296067
"TCGA.CV.A6JN.01A",0.000722214953695921,0.0161659008039065,1.01762568226605e-05,0.116557612603915,0.00566082316585376,0.00249417441356615,0.00850977372741471,0.00011884464427322,3.72201289596542e-08,0.000640447622033939,0.404951217882798,0.444168776705591
"TCGA.D6.A6EN.01A",0.00146116285532641,0.0048471442689705,0.175316595718829,0.0278260756964635,0.0171179593740675,0.00190030628676068,0.0848364154775345,0.000325164696294501,4.0545035943458e-08,0.0110853969083789,0.525889550927344,0.149394187244995
"TCGA.CQ.A4C7.01A",2.66886984754743e-07,5.47368800029565e-09,4.03405426237101e-06,0.287916641947602,0.0303943996751798,0.0260457442320046,0.0152968917595111,4.36859382055625e-06,1.41002766210041e-07,0.000313314108501596,0.640022643060094,1.54920558528361e-06
"TCGA.CV.5435.01A",6.52530983782823e-07,4.06123394803495e-07,1.39632306169757e-07,0.216756421654981,0.0357871795177704,0.00851224671097475,0.0149308184465515,0.000165816154788931,0.000861299361457908,1.47579398764885e-06,0.722983518444693,2.56281093878558e-08
"TCGA.CR.7370.01A",4.51154096624829e-07,1.0595053387052e-07,4.28822261099991e-07,0.249653792951259,0.00996377484480718,0.0220593467331314,0.00948818507780036,0.0002435990404491,1.6337409532706e-06,0.000692370963320666,0.707895382380684,9.28340703778982e-07
"TCGA.CN.4722.01A",0.00818594530415379,0.0032031269536455,0.000211159107311268,0.234117708737159,0.0203921733862354,0.0175544504869005,0.000709672160718323,9.82516308899361e-05,1.90785652104063e-09,0.000211366102556561,0.715316096097496,4.81250767921771e-08
"TCGA.F7.8489.01A",2.49325539287378e-06,0.000256569298719794,1.20780203124668e-06,0.778404751960769,2.37902690950941e-08,0.0133834597254362,0.0346983847895381,0.000200218977426332,0.00546827272548869,0.0016254426880155,0.165958512017098,6.62969815405826e-07
"TCGA.CV.A6K2.01A",2.40355817598722e-08,2.21746477184628e-07,6.36656084936536e-05,0.233704093016178,8.4444031436139e-09,0.0256196129181161,0.0099998729816148,6.24432782885485e-05,7.68899159297193e-09,0.0006316470973254,0.729918348843748,5.43407820116437e-08
"TCGA.HD.8634.01A",7.03075377240978e-07,0.000259917540346036,1.51879305630578e-06,0.262536584532068,0.00202572414953577,0.00189489930539091,0.00161479068094468,5.87605314981652e-05,4.27655207342679e-09,5.20155904632271e-05,0.731554951227595,1.30297172628043e-07
