"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.55.8508.01A",0.188930582100101,0.000238092240854644,1.2320363426195e-05,0.201504460334928,0.0868100479172336,0.0227030459304991,0.00801353746250251,0.000168252224744752,1.95549604771911e-07,0.00123915341975336,0.490380158514694,1.5394165777113e-07
"TCGA.67.3771.01A",0.080154472326365,0.000206787243242355,6.78127459917256e-08,0.607173257251571,0.095519543818036,0.0718339966108675,0.100343221967473,0.000206949617516842,1.16557887802052e-07,0.00445628690356165,0.0401048507537121,4.49137020437164e-07
"TCGA.55.A4DG.01A",0.0408893982514461,0.0119506129606812,0.017203306436967,0.334428249188397,0.0232990578407239,0.0271794027813731,0.00934761395575627,0.000461224968124342,7.25835042495395e-08,7.18353339861184e-09,0.389840597723999,0.145400456125495
"TCGA.91.7771.01A",0.0122508244771038,0.0198233807234529,2.6181647473739e-06,0.344793350639165,0.0195859573369944,0.0596811596398735,0.0342477756426062,0.000103298105565572,1.44934483927655e-09,0.00147986742548262,0.508030609072183,1.15732348042531e-06
"TCGA.91.6849.01A",0.0358020140185438,0.00450978847829828,6.57582602817192e-06,0.157180853579269,0.0080938031435193,0.0166214148036443,0.00911783865167959,9.09106209638417e-05,5.76295218772456e-07,0.00087805358539177,0.767695873352456,2.29764498774569e-06
"TCGA.64.5781.01A",0.0402554986822445,0.0682720255860861,0.010890966452994,0.267310010333654,0.174681534154382,0.0613957370373849,0.0167748571038176,0.000308493491631946,1.16400290661664e-07,0.00658749736693248,0.35352265527379,6.08116792754225e-07
"TCGA.44.6146.01B",0.000680119499927069,0.0106026721500449,4.78981292899647e-05,0.253725407063039,0.00562577782085838,0.0379765810099355,4.42704485241811e-10,5.00100087372248e-05,2.72483963157229e-08,0.000153612604885529,0.666045806161947,0.0250920878602348
"TCGA.97.7552.01A",0.123167354925192,0.015107115213251,0.144995102178542,0.50904632520789,0.0763489569070683,0.0477825483004877,0.0465933957250788,0.00167810372995844,0.00021857641135457,0.00363631188537455,0.0314142667172498,1.19427985526949e-05
"TCGA.80.5608.01A",0.00630669645585833,0.014358479927275,1.07480778090331e-07,0.251044082926688,0.0215028446212674,0.00604680709518021,0.00730619081032656,0.000111663716211449,3.31187997963784e-08,0.000889621720063528,0.686470314899222,0.00596315722833019
"TCGA.91.6829.01A",0.00520525369877591,0.000562069353891697,7.81653691268995e-05,0.299667976463077,0.174389525084584,0.191733251846225,0.0364931370696181,0.00227264306155062,0.000159130555366231,8.40629879008017e-05,0.289337002314591,1.7782195293228e-05
"TCGA.49.AARE.01A",0.0116431205743106,0.0109412815401485,0.0020250758769459,0.275912671318794,0.062165499721295,0.0155177748586135,0.0070804652246505,0.000239321732966066,1.8751743352465e-06,0.000666819419984124,0.613805849582531,2.44975425664332e-07
"TCGA.97.A4M1.01A",0.00223007111116701,0.0223749713615035,0.000994916835737769,5.30515115195669e-07,0.152193101948462,0.0245731393527684,0.0484935229767189,0.00245238102514045,2.41406368026599e-06,0.00187116286530502,2.43731739172797e-07,0.744813544212662
"TCGA.83.5908.01A",0.0014710350001412,0.0842756310327798,1.47986812244868e-06,0.241181154391509,0.0555212005138586,0.0345787065765643,0.0735205354238198,0.000323830669260496,1.01404175374033e-07,0.0133153875669935,0.49581009589758,8.416551958176e-07
"TCGA.97.8179.01A",0.00159013301336767,0.0153453829180636,0.000193175626924507,0.102950936632454,0.181602703198022,0.0210646382144745,0.0360899254723898,0.000323043969255856,1.0376178224534e-07,0.000502043305637381,4.73375011765606e-06,0.640333180137511
"TCGA.64.1680.01A",6.77309174673975e-08,8.79302998201436e-06,1.51739204837838e-08,0.224235456122638,0.00939252234114564,0.0130148355707938,0.00614594476723054,0.000739950213324847,4.45449801794204e-09,5.36524067764953e-05,0.746408730597359,2.75914135752958e-08
"TCGA.73.4670.01A",0.00095420903032038,6.45582446399377e-06,1.07508644850747e-07,0.186522687358436,0.110436853109372,0.0216945943629281,0.0130638686041834,1.2483370921621e-05,5.29039112639937e-10,0.000313639152658186,0.666994988037519,1.13111513319642e-07
"TCGA.44.3396.01A",0.0757316105948787,0.0128553564778884,1.0479288291915e-07,0.559429222327744,0.112747632698738,0.156053335064316,0.0769535031437249,0.00171838372031902,1.05174611184833e-06,0.00438013750907019,0.000128839181206251,8.227431202749e-07
"TCGA.80.5611.01A",0.000102666726994388,0.0211678464909644,1.22435971468097e-06,0.204370387909517,2.81468179381162e-05,0.0144314485025221,0.0625948738216435,0.000532095115128506,0.025446412524204,0.00171289481235277,0.669611916667874,8.62511462221783e-08
"TCGA.53.7624.01A",0.0077433034146579,0.0198302344857832,2.64380667045006e-07,0.243023210587496,0.0310167951185522,0.0146347627720299,0.0246628219017398,1.44821506370413e-05,5.49320671357572e-07,0.00188152717664593,0.29649751416415,0.36069453452697
"TCGA.91.6835.01A",0.0864675305893102,0.107765955352879,0.0530372713889413,0.445602604145661,0.0349498744891231,0.0837525017746593,0.102604408227632,0.000850134353312737,4.00219109047307e-08,0.00386549101163438,0.0811038424774504,3.4616748580248e-07
