"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.AG.3896.01A",0.00678626623554539,0.00399819307748197,0.00555840351993863,0.30379252300769,0.0661967337002326,0.0109849394699013,0.00812250560895907,6.8018816775799e-05,1.33760202010375e-07,0.00012715450828035,0.484186127687684,0.110179000607308
"TCGA.DC.4745.01A",0.0021320380817999,0.00709600356599126,0.000789145819986116,0.250892609051727,0.0865792609006911,0.00688368594162626,0.00329658339829235,0.000129491002089131,7.34766521046933e-08,0.000116353078667694,0.505501510911429,0.136583244771049
"TCGA.AH.6903.01A",0.00137820349122635,0.0018025048185369,0.000400828287130004,0.215756494386047,0.0186588086494676,0.0032721813928874,1.01133523081546e-10,8.85760215906512e-05,8.97790635191018e-07,0.000380526014918935,0.743028232341748,0.0152327467046789
"TCGA.AG.3599.01A",0.00291379592194039,0.00469033148481489,0.00921539711873401,0.445505140576812,0.025894665789641,0.00578037595135487,0.00905598650845177,0.000167007830876216,9.43757471364273e-10,0.000879504633589795,0.495897721987533,7.12524945307728e-08
"TCGA.AG.3581.01A",1.04720292879581e-07,2.37425046949319e-05,5.24073299800574e-08,0.109705323188484,0.0337280003348478,0.00442056150084078,0.00563441156443334,0.000120502498396342,3.47430337540325e-07,0.000219067943335505,0.846147045957607,8.39949400429597e-07
"TCGA.AG.3881.01A",0.0027609162867454,7.13483447579557e-06,6.90706785833055e-05,0.375538441363455,0.55486354280229,1.55079014639756e-08,0.0377587902832564,0.000662150034586198,3.45056900855885e-05,0.00173975935364393,0.0265656612355326,1.19294444404222e-08
"TCGA.CL.5917.01A",5.50401967563575e-06,3.62177760138413e-06,2.43318582042358e-05,0.18557028299633,0.0301264540585245,0.0124821742183426,5.29351527042875e-09,1.93377549484156e-05,6.86906104697348e-09,7.40269372294087e-09,0.771767102447213,1.17130388962718e-06
"TCGA.AG.3902.01A",0.0121104008139125,0.037123868256508,0.0134538377822623,0.472414766322233,0.0436787759525221,0.00937896412292555,0.0325155897936578,0.000463273666895831,8.37516794026623e-07,0.00319565771193655,3.83925073054149e-05,0.375625635553047
"TCGA.CI.6624.01C",0.0101283645438364,0.014121791104855,0.00494814841331578,0.257682533354612,0.0776465370021109,0.0152737028838534,0.00709668215615219,0.000258833586890641,7.36163495023213e-09,0.000303033876762108,0.448246839255368,0.164293526460609
"TCGA.AF.2692.01A",0.00138087333458994,0.00278869112223234,0.00368193945993918,0.263364191010181,0.0431579573527133,0.0105712143697131,0.00154020380767957,0.000107975229387658,2.79308525152937e-07,4.79806582839556e-05,0.544393883513416,0.128964810833339
"TCGA.DC.6683.01A",0.00178040718049846,0.00245358282503718,0.00152591445686163,0.251246106052664,0.0304132147081352,0.0156746286876148,0.00196597387566169,8.38369155698009e-05,1.87536043593711e-08,8.22831164028598e-09,0.682790627846534,0.0120656804695067
"TCGA.DC.6682.01A",0.00212139494089357,0.00801724023408275,0.000445481104621783,0.133777653798542,0.0322696983960107,0.00409627660631816,0.00265327581121277,3.65204470310403e-05,6.1911779422358e-08,0.00037370369868193,0.249703151995918,0.566505541054908
"TCGA.F5.6702.01A",0.000361514162322333,2.06727242655266e-05,0.00237814839568896,0.230758732313091,0.306828742303991,0.160015744014963,0.0194248893278293,0.000374687782629044,0.000255613702611152,2.45650969818767e-05,0.279544272952029,1.24172235989785e-05
"TCGA.AF.4110.01A",0.0392288661393038,0.00617762117886771,2.06873649788566e-08,0.157806520855258,0.0885264843996964,0.0161678942964796,0.010897201746061,0.000268095626605321,2.50946186308026e-07,0.000684237509689591,0.680242422279627,3.84334859493544e-07
