"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.HQ.A5NE.01A",1.41926914853891e-07,0.0206142488030237,2.52294126377991e-07,0.767980892011696,0.110588731374654,0.0743704785438098,0.00685362314802343,0.000710237391180407,0.0182365432483823,0.000529344077984845,4.8459773998865e-05,6.70474062056123e-05
"TCGA.FD.A5BT.01A",7.98845145091909e-06,0.00555400990328258,5.15401704696019e-05,6.98216016455035e-06,0.000219632660128638,0.693256849845893,0.280498866379933,0.00199476707471542,1.70275528463855e-05,0.0179848906748166,0.000406462685646534,9.82440652953563e-07
"TCGA.DK.A3IQ.01A",0.000148874176064621,0.000797456781362375,3.69236120296693e-06,0.0134094344625268,0.116524667512167,0.822420539676083,0.0337423974742141,0.0037073111424036,0.00255122550135375,3.74517918860096e-06,0.00669041587169656,2.39861736823415e-07
"TCGA.ZF.AA4X.01A",3.27824977269319e-05,0.0188870841513395,7.12544815306227e-07,0.380955027069492,0.0270614327144005,0.00486233462210093,5.63142792776333e-06,0.00029098322089712,0.0037345389400325,7.00043216071917e-05,6.59678784664979e-05,0.564033500611193
"TCGA.GD.A3OQ.01A",4.46723494767658e-06,0.0126246804493983,2.32635065093769e-06,0.776336324124865,0.0547287113645099,0.0374420273820155,0.000728991716131814,0.000297926325818504,0.00642699198219735,6.52614516890861e-05,0.000490799021616056,0.11085149259616
"TCGA.ZF.AA51.01A",0.0252741873642804,0.0555047227814482,5.09210293086465e-05,3.36679746436938e-07,0.0735604437210387,0.0327354208800582,0.0241356926731783,0.000651615848934458,1.48464513712357e-06,0.00233344248765963,8.43354383811425e-07,0.785750888534826
"TCGA.FD.A3SS.01A",1.22351963341563e-06,0.00989479224712578,8.53977277075985e-08,0.769969155625824,0.0263047108124961,0.0560515651769194,2.93359413024627e-06,0.000127586708457509,0.00477109007223248,2.01478084744805e-05,0.121405806944214,0.0114509020927648
"TCGA.DK.AA71.01A",0.000198465158318776,0.0149355691690541,2.09138674494063e-07,0.362303071149796,0.0547317277315561,0.024162926606882,0.00674060177652033,5.63744580612633e-05,9.12081029859479e-08,0.000553814045112261,0.201148727465178,0.335168422092743
"TCGA.4Z.AA83.01A",0.000201278509998873,0.0223397637797994,4.38028496549871e-08,0.160920689172597,0.0957076993008954,0.0349868689821393,0.00802857536612906,0.000300789628746672,6.56835072916245e-08,0.000261924298886825,0.218870971064812,0.458381330409639
"TCGA.ZF.A9R4.01A",0.00150262173244683,0.0240936143442473,1.65365164447142e-07,0.181327280148941,0.0453747990049023,0.00596168244898902,0.00966991884175231,1.35316505859354e-05,0.000843656178360967,0.00205645125596713,8.16954956797327e-05,0.729074583532963
"TCGA.BT.A20P.01A",0.000554580309976175,0.00726638201670652,5.49849712831356e-08,0.294449142231448,0.0504242389413936,0.0240801792760128,0.000959453894026935,2.31947322071791e-05,5.41849792300925e-05,0.000163155565022206,0.188306614203048,0.433718818865957
"TCGA.HQ.A2OE.01A",1.38750335748791e-08,0.00790707235796482,4.62577535284615e-09,0.927912347267483,0.0394287416696042,0.0103474828070432,0.00158822151120084,0.000128747152881986,0.0125742979461248,0.000112986876033724,3.55547398147326e-08,4.83561147228941e-08
"TCGA.R3.A69X.01A",0.013775304039092,0.0374675682121073,3.52554533682901e-05,0.478291984523009,0.146598735129414,0.269205241687374,0.0326042705958413,0.00338242782212333,0.0170159548609888,0.00161776313376549,1.30080921193977e-07,5.36446199434955e-06
"TCGA.BT.A3PH.01A",3.26807488585244e-06,0.00191047763359181,1.19386122192359e-07,0.852400043113377,0.0758154014269125,0.0207184732370618,0.00764374005980442,0.000129414904625806,0.0408146469089571,1.00922237521628e-05,0.000553663237093459,6.5979381571662e-07
"TCGA.UY.A9PA.01A",0.000547521171640858,0.0393027050454956,2.20793070893162e-07,0.286312915430459,0.064852460346673,0.0051476279779858,0.0165496336036999,0.000324961052344585,0.000950094886400878,0.00256802143368217,5.23573086753147e-06,0.58343860252768
"TCGA.BL.A13J.01B",0.00493575351363506,0.0272685194757551,3.16683778583195e-07,0.530927647373949,0.0581154006428216,0.0434669734552099,0.00730455366067299,0.000232268966611752,0.00670719258569689,0.000265282011400946,4.09900132737396e-05,0.320735101617194
"TCGA.CF.A3MI.01A",7.84445336894953e-05,0.010801996408061,4.43612146543885e-09,0.127443265669529,0.0666743017096165,0.0141393808202237,0.00123547808782616,0.000542660324587609,2.57094385732183e-07,0.000402963531432327,0.0845375599751206,0.694143687409407
"TCGA.XF.AAMW.01A",0.00448339911851695,0.0190415665540111,4.34041669694666e-06,0.468194936751636,0.103369864514445,0.0196113065319204,0.0252170028729167,0.000367459875804971,0.00320802935616734,0.000423247172518025,7.75532061392696e-05,0.356001293629228
"TCGA.H4.A2HQ.01A",0.0017714652951064,0.013808590800325,9.29731973745734e-07,0.278361765234606,0.0514407064469568,0.024912582308672,0.00390814440739535,0.00021833514094174,0.00202505550623281,0.00023765866168237,8.88291972417478e-06,0.623305883546384
"TCGA.HQ.A5ND.01A",9.22583219129433e-05,0.0106031245494121,1.20432112758205e-07,0.138127940241987,0.0200254616887431,0.0296771849623144,0.00182106749727858,0.000128658880895132,6.1984982722161e-09,0.000763481969743978,0.201217716228727,0.597542979028374
"TCGA.K4.A6FZ.01A",5.20012787499884e-07,0.0265923804577591,3.70310628107684e-06,0.825607138392491,0.101676961729669,0.0139582609774842,0.0246372049106811,0.00153988613327724,0.00466869960479487,0.00127902812897843,3.33619233225961e-05,2.85462247336055e-06
"TCGA.DK.A3IV.01A",0.0542188578747587,0.0940019771078525,2.72331609266057e-07,0.0765134175727743,0.0457079190670581,0.00892207259309952,0.0176813746225372,0.000681422016033303,0.000148634843443572,0.00224848074732288,6.13224134477378e-06,0.699869438982166
"TCGA.E7.A3X6.01A",0.00661964127649149,0.0580773008328134,4.59670270452207e-08,0.0103105424016481,0.0915559099441972,0.0471905797695002,0.0240310308012632,0.000413604898222239,2.53701031552302e-07,0.00424413032861303,1.83656546470874e-05,0.757538594424546
"TCGA.BT.A42F.01A",0.0627588830564902,0.066881771050337,1.94822862712809e-07,2.05532212998351e-07,0.0647419314537023,0.0148355038362483,0.0511194741726917,0.00161904556605569,3.8937497948282e-07,0.00826169891505831,4.89039875446936e-06,0.729776011820607
"TCGA.UY.A8OB.01A",7.23817883940549e-07,0.00661737428602267,1.05625987673695e-05,0.922309401595008,0.001475218034645,0.0336073929118947,0.0162870437091252,0.000106213062428094,0.0166557486606069,0.00277096239118953,0.000159321173386088,3.7759042736384e-08
"TCGA.DK.A1A3.01A",0.0127369859980657,0.0330441276251815,7.1721294211877e-08,0.144254136527001,0.122982523384429,0.0540138201017751,0.0307335229997693,0.00252107439371617,6.61561827103905e-05,0.000990745144123311,0.000700138818734856,0.597956697103199
"TCGA.DK.AA6X.01A",7.89954912051832e-07,0.00267864145172932,1.21848830561256e-05,0.917387400911977,0.0386171822142033,0.0236074142845453,0.0130391406688371,0.000968976267005929,0.00350058313164929,0.000187183840209574,3.720254002256e-08,4.65189335041522e-07
"TCGA.G2.A3IE.01A",0.00549337417070254,0.0145738956757899,3.3702939990278e-06,0.22429628287893,0.0323860085325436,0.00725331658067741,0.00266905487234885,0.000174029558734145,0.000119923383868263,0.000275006200850075,0.190427680801142,0.522328057050414
"TCGA.FD.A5BU.01A",0.0437099852269649,0.0301196513989432,3.20804321602095e-06,0.310055627148748,0.108647251063479,0.269643612655906,0.0794908657810319,0.00148494821670912,1.13546491424557e-06,0.00250521682179189,0.154312637046925,2.58611313704112e-05
"TCGA.C4.A0EZ.01A",0.00181202522865738,0.00520797329597507,1.91031835721269e-06,1.60549156297481e-05,0.111436783616517,0.0703695124682539,0.00582329267550255,0.000100426586738609,2.81011120298484e-08,0.000353700160121462,0.0840520296905695,0.720826262942565
"TCGA.FD.A3B3.01A",0.0420695206952988,0.0870222599089413,4.15219039371279e-06,3.54788437983983e-07,0.0867175218459847,0.126247425154264,0.0562192810316199,0.00166209240462171,2.24221749030127e-07,0.00653278735741037,0.438295411033867,0.155228969367412
"TCGA.FD.A5BZ.01A",0.00213417688478408,0.00143392893844751,0.000785887053906513,0.44344882859157,0.113923017794217,0.363841244106388,0.01654792112111,0.00313002711953911,0.0545322174015274,8.64158393249072e-05,0.000133427469195382,2.90767998904092e-06
"TCGA.C4.A0F7.01A",2.51306591218718e-05,0.00353493746799861,3.19065449535566e-06,0.384182388989983,0.08640827400202,0.0463326336002013,0.00119045809956776,0.000588463962776439,0.000121825725496191,6.33888536326895e-05,0.169918092532939,0.307631215451768
"TCGA.XF.AAMR.01A",1.4686411674885e-06,1.81282481155297e-05,1.92072412497517e-05,4.08357467269195e-07,4.7759123452735e-05,0.998106021722678,0.000245233113703872,3.51742715548436e-05,5.34515716688256e-07,0.000117998277477003,0.00140805078775973,1.56996571529628e-08
"TCGA.XF.AAN7.01A",0.000251636880742747,0.0107291538746601,2.35527700477693e-06,0.236571609859801,0.419389184354313,0.0809179403805064,0.0319144943017102,0.000404912269533652,0.000919821909425134,0.000929650053907769,0.000193331973518579,0.217775908864877
"TCGA.UY.A8OD.01A",0.012794111954452,0.0310549901008584,8.38965555565996e-07,0.155770690382004,0.0534702562933296,0.237722062447626,0.00757005018510588,0.00120473706339016,7.07350757266068e-07,0.000765767508792932,0.499560638481116,8.514926701278e-05
"TCGA.FD.A3SP.01A",0.0215415752110883,0.103079061991226,6.31255783890296e-06,4.60185463926753e-06,0.251899663177815,0.445334607902114,0.126816808198343,0.00377653325654317,2.4417797857283e-06,0.00940816368047999,4.69800355018443e-05,0.0380832503546251
"TCGA.DK.A2HX.01A",5.38469632377204e-05,0.00554095616863742,0.000110616457874359,0.366726731904616,0.0743306998811978,0.511660482766345,0.0381660790504057,0.00170123812243095,0.00128517379556741,0.000173925258393514,0.000250238962876789,1.06684171824008e-08
"TCGA.CF.A8HX.01A",9.46708051680782e-05,0.00947837572963131,7.72911319135541e-08,0.102859947176743,0.0160607076743335,0.00967171756485502,0.000424030335750956,7.95388245035333e-07,6.30734169368318e-05,5.17597764846518e-05,0.0942043535657812,0.767090491274938
"TCGA.E7.A85H.01A",0.00659940257100857,0.0343201379803605,1.002819750646e-07,9.63421361841557e-06,0.0557492055968179,0.0384045260686451,0.0204644382724147,5.155344332361e-05,7.1734794401551e-06,0.00198650546030731,0.0670871829380495,0.775320139694039
"TCGA.ZF.A9RL.01A",0.000210503036434278,0.0119053813187279,4.11068999623555e-06,0.168047422219955,0.0228597915287097,0.00525219404407653,3.67902930979447e-09,0.000153792443465828,0.00209196621780798,5.56640235690504e-05,2.7112594923921e-07,0.789418899672279
"TCGA.UY.A9PB.01A",0.0844432005169473,0.154154528762105,3.01682924034512e-06,5.37901068824597e-06,0.114100285924068,0.211398618911438,0.148933435581013,0.00260033920204433,4.0263783702705e-07,0.0147055695365055,2.23385925656477e-06,0.269652989228858
"TCGA.GV.A3JV.01A",0.0207856444787187,0.0616657170319413,4.49228012564637e-07,0.282887088259162,0.118564506244999,0.0349425273555961,0.0184816468303073,0.000825683928564032,0.00113512613414174,0.00235286172073377,0.000156123827418853,0.458202624960405
"TCGA.GD.A6C6.01A",0.000557951485156761,0.00573928589819237,1.2789476518735e-05,0.141156791001291,0.0245363240976796,0.0109067208838064,0.00496610415982698,7.21759564954884e-05,9.26820887967125e-09,0.000409925140342939,0.745764355168505,0.0658775674639757
"TCGA.XF.A9SW.01A",2.21463122632843e-05,6.29513704978214e-08,0.027189899419639,2.72809086325667e-07,1.89676326306784e-06,0.972717546292018,7.19648472091955e-08,6.60870353408561e-05,9.6031482361559e-08,2.31369726927464e-07,1.39830804875515e-06,2.90742914151238e-07
"TCGA.GV.A3QI.01A",0.000131232489791947,7.9841493642695e-06,0.00207696861867603,0.417334020914466,0.17271426034406,0.0131116789555306,0.000174544791094677,8.23398550187775e-05,0.0037875336369578,8.5940751240969e-05,0.000496325448352533,0.389997170045447
"TCGA.UY.A9PE.01A",0.0127066004036247,0.00901808540779454,7.42027508380683e-08,0.186786536859223,0.0402788650257094,0.0866964901934861,0.00289005018689422,0.00040548884343035,1.02658419267742e-06,0.000236554436639436,0.238043640828305,0.42293658702795
"TCGA.E7.A97P.01A",0.00126947187534009,0.130856250644609,9.69477218622048e-06,0.53263642898952,0.0940696587587374,0.133336123186525,0.0384019074736414,0.000457070771727097,0.0228882550085784,0.0182347103470219,0.0278391151780688,1.31299404375948e-06
"TCGA.G2.AA3D.01A",0.0107655665873254,0.0133507702526377,5.10537814380829e-08,0.389985701961654,0.0238507678454456,0.0061099817339731,0.000412739111708599,0.000482854745905284,0.00262780272094537,9.33550736088386e-05,0.0179939626900182,0.534326446222997
"TCGA.BL.A3JM.01A",0.000485311419001327,0.0110382869539292,6.18137764829654e-06,0.787831636109063,0.0960670242545778,0.0251529980362689,0.0178637380241891,0.000773325757451009,0.00659110650783357,0.0019773178019576,1.279416276382e-05,0.052200279595316
"TCGA.GV.A3JZ.01A",0.00285642292177324,0.00961967052459449,0.000440527553472635,0.630818747706155,0.106559491900087,0.0497456221550646,0.0152821684948104,0.000230468808717268,0.00520712471047299,0.00042480277959269,1.51318781444319e-05,0.178799820567115
"TCGA.ZF.A9R5.01A",0.00492140794029349,0.0207500342073215,1.39520682406051e-06,0.168593143942953,0.038026703561365,0.00717276342275874,0.00298829046598569,1.26343442084952e-05,0.00187295812126594,0.000765693297729497,0.0365420086169833,0.718352966872312
"TCGA.UY.A9PH.01A",0.0426355638551305,0.0790849334188184,2.22645687077317e-05,5.00914442498958e-05,0.155582323791919,0.0404500592684832,0.0839768723207669,0.000809856017252165,4.46294659063239e-08,0.00514589708916745,6.63121405979996e-06,0.592235462381979
"TCGA.E7.A7XN.01A",0.00331150470493251,0.117174056986844,2.74798268785005e-07,2.39287819267472e-07,0.0376049991929007,0.0103362104871042,0.0536216756046303,0.000370557432384705,2.83901944731307e-07,0.0235045576900996,5.02009090142405e-06,0.75407061982217
