"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.KL.8325.01A",2.76375584927299e-05,7.30889605610215e-05,6.55079479989023e-08,0.644623845634552,0.102341559858071,0.00780794377306638,0.00169532941771945,4.91297814762797e-05,0.00481090740297704,0.000122998916916545,7.5387724645103e-06,0.238439954415755
"TCGA.KO.8411.01A",9.92944240953896e-05,0.000414844016995086,5.70234838710515e-05,0.115836011616469,0.243768397624271,0.00534621016360468,0.00432260482193482,5.43009534594692e-05,0.0011328671063044,0.000278098485024251,7.23585649471514e-05,0.628617988739023
"TCGA.KL.8331.01A",8.69543451183722e-06,0.00013201570532544,0.000189328011639665,0.356550558043861,0.0754493274995076,0.0099001286026655,0.00128766965837699,0.00021320957641166,0.00291295014905786,0.000272829923479937,4.70498175688606e-06,0.553078582413405
"TCGA.KO.8409.01A",0.000428694471188801,0.000287608304811716,0.000580182368172986,6.96008297508999e-08,0.0966259818215784,0.00657555895993904,0.00427503275032733,1.18749481693812e-05,2.59972430903129e-07,0.000756970320752857,1.02054005908568e-06,0.89045674594174
"TCGA.KM.8439.01A",0.000479085290386178,0.00300171098581322,1.61010447299689e-06,0.0371201306668474,0.0976610130109568,0.00527564765282872,0.0101129558673593,0.000243242389086683,0.00259175577458786,0.000774453008792964,3.23922873916794e-06,0.842735156020129
"TCGA.KN.8423.01A",0.00274679216134303,0.00612184662708074,3.95678490770695e-06,0.240639485940025,0.204016716513587,0.0124825001806651,0.00634625321980839,2.18925175420729e-05,0.00260295247944385,0.000683430533083777,9.8232999297955e-06,0.524324349742583
"TCGA.KL.8339.01A",3.30989410995835e-06,0.000447342147295788,0.000139758788500575,0.695390979875671,0.201912394304871,0.0113127690578603,0.0029445955137622,0.00018470319640844,0.00592858497304409,0.000517279762723253,2.85897085474218e-05,0.081189692777206
"TCGA.KN.8434.01A",0.000805978719604573,0.00222379735249401,0.000676483392599434,0.298591923829083,0.249793277157783,0.018242125074976,0.0149366187581275,0.000512806105957278,0.00238608737273128,0.000910428279717135,2.67097738755483e-06,0.41091780297954
"TCGA.KL.8342.01A",0.000414862709757784,0.00640571627417358,2.57485232672496e-07,0.192970463386716,0.193744246424384,0.0138901563818527,0.0107843872504856,6.43304910469303e-05,0.00170621931750515,0.00177083705639963,1.02699716558733e-06,0.57824749622528
"TCGA.KN.8428.01A",3.50283404305073e-07,9.12625064624303e-07,1.48341424202735e-06,0.89864832051835,0.032836189081058,0.0391783787229692,0.0111458613299443,2.28117659618805e-05,0.0176396449868224,0.000524211826615011,1.83156416258002e-06,3.88140603466555e-09
"TCGA.KO.8416.01A",0.000316851298154343,0.00165414957939448,0.000160177815876493,0.0689801675066986,0.119504476650807,0.00924376311827094,0.00580347051843537,9.45580337933777e-05,0.00059773671753635,0.000365309943862726,2.16910782355925e-06,0.793277169709347
"TCGA.KL.8344.01A",0.000654132605199981,0.000107300160119684,0.00142213824963308,0.101171541801586,0.507074143299385,0.0416691206328368,0.00835417746584906,0.000139456246182324,0.00556221368634823,0.000228714914030296,0.33360559493656,1.14660022692913e-05
"TCGA.KM.8441.01A",0.00150163161258712,0.00463868543423488,5.61798712329533e-05,2.1409266848038e-05,0.124698240583879,0.021486632322212,0.0194924127042676,0.000215580426555931,5.59639851810194e-07,0.000634087792224746,2.95592841891338e-06,0.827251624417687
"TCGA.KM.8442.01A",0.000395951386507829,0.000841286631100013,0.00066974682669351,0.33564113144855,0.0973986779417641,0.0286821005337564,0.00680305907543419,1.23750509784402e-05,0.00209489153025491,0.000359507573598028,5.57889579703265e-08,0.527101216212405
"TCGA.KL.8346.01A",0.000754990449882992,0.00109256358299154,0.00143448757734226,0.384928296320803,0.0883735980765523,0.00854579518667019,4.20342832052033e-10,0.000565067763153292,0.00422222183538316,9.43791606548057e-05,3.40206243613975e-06,0.509985197563787
"TCGA.KL.8341.01A",0.000337106030762716,0.000339432127072257,0.000250814068985595,0.416470131732867,0.0895659875565386,0.00484417117189334,3.93999383027127e-09,9.20212423023645e-05,0.00506479453987009,0.0001316329086979,9.17361582570938e-07,0.482902987319434
"TCGA.KL.8330.01A",1.07450734427369e-06,0.000114558114697528,8.37271570471774e-06,0.221118609409462,0.0690599608342833,0.00976616101585938,0.00114043957300609,1.53715785237976e-05,0.00176660476333381,0.00019418389926684,5.36464737254304e-05,0.696761017114793
"TCGA.KN.8431.01A",4.79619234676027e-07,0.000979847138804937,0.000138031772459737,0.165030660223806,0.209925622571282,0.00545732736683314,0.00171361897532831,3.57961482578433e-05,0.00151421014970857,0.000619804549223408,2.14325985702759e-05,0.61456316888649
"TCGA.KO.8403.01A",0.000724949335846178,0.00367437240637505,8.74795775651308e-06,5.29994794848669e-07,0.136263717900339,0.010925665473243,0.0153992048162433,0.000221008330090671,1.23481209382623e-07,0.000616097090012798,2.7451819615728e-07,0.832165308695893
"TCGA.KO.8405.01A",0.000330508341437697,0.0186585479678146,1.23168346529233e-06,0.720153096456924,0.130979600856479,0.0438336628334545,0.0279702002732407,4.9737973403849e-05,0.00853502922140104,0.00141467711133051,2.01221898075182e-06,0.0480716950620677
"TCGA.KN.8435.01A",0.000103994538279596,1.90855467489275e-05,0.00122342059356948,0.302892010468232,0.117989327479112,0.0114874704355512,0.00127330340263367,5.58827254108611e-05,0.00263316662060873,2.30672621066152e-05,2.57959168644739e-05,0.562273475010883
"TCGA.KN.8419.01A",0.000213421658016465,0.0148757508354106,2.06041857566411e-08,0.26419283402295,0.194037989051056,0.00643251739187337,0.0043207372175623,1.38137418308098e-05,0.000599819656077384,0.000173478819003524,0.0819118763746105,0.433227740627423
"TCGA.KL.8337.01A",0.000261842038470466,2.71602984130105e-05,0.000169905352626302,0.132419971670337,0.107311684120859,0.00505811668845286,0.00105195317066384,1.792351178684e-05,0.0016907058347125,0.000200650676824094,2.68345037092198e-05,0.751763252133144
"TCGA.KL.8332.01A",0.00487040568562866,0.00118355154349772,0.000888212791969814,0.290302090317034,0.39806592436592,0.0126924426772393,0.00595735014018144,4.20860637234499e-05,0.0025186348523598,0.000345504911285911,6.64749511901752e-06,0.283127149156041
"TCGA.KO.8413.01A",0.0023872609383514,0.0107741035671906,1.77846729854452e-06,0.0615379912883948,0.272933507267397,0.0232470005467172,0.0229960016136764,0.000533494957073163,0.00388352513367682,0.0018478286316848,2.04813798209429e-05,0.599837026208718
"TCGA.KM.8443.01A",5.15133922018176e-06,2.06506421554934e-06,8.08474235525507e-05,0.29033592736123,0.0667044329426007,0.00163392814191189,3.17079765126726e-08,6.96954473303408e-05,0.00277554084643706,0.000131635901933453,3.43026830406057e-06,0.638257313555288
"TCGA.KL.8333.01A",0.0474813650218713,0.0213458204977596,4.75308631788457e-07,0.0837918638425049,0.518542013051384,0.0396188961824769,0.0169893688853593,9.13599563145189e-05,0.00369808135696797,0.00138097953761448,0.000975892221359157,0.266083884137756
"TCGA.KL.8334.01A",0.00228539284109452,0.00258013363361189,0.00029834419026271,0.2531465845824,0.124559848679365,0.0248984588602882,0.0135277327153245,0.000198167599627891,0.00248587866181244,0.000701517254024492,1.21479514406399e-05,0.575305793030748
"TCGA.KN.8427.01A",4.13925692497929e-06,1.61535502854408e-07,1.37898459232215e-06,0.594807316161431,4.33658892032144e-05,0.152959063039434,0.119683907584864,3.58062899614866e-07,0.132183539826657,0.000288589286014157,2.50953804776131e-05,3.08499199936634e-06
"TCGA.KL.8338.01A",1.46424529309576e-05,0.000882092124460777,0.00171097465538923,0.33001055271835,0.0831106346051488,0.0137184713836024,0.002252956334853,0.000154395988424519,4.80220369638989e-08,0.000593306103017164,0.160780988440588,0.406770937171199
