"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.BP.4766.01A",2.41474609901661e-06,1.97050886115129e-05,3.22949631637712e-06,7.36613081183864e-05,0.88383610924379,0.0752404830849574,0.0368926695742465,0.000815498595441472,0.000343978207149513,0.0027705486426553,1.55686960690273e-06,1.45143007351162e-07
"TCGA.A3.3352.01A",2.1968395964008e-07,1.54068732216651e-06,1.28729284370335e-05,1.41616748968769e-05,0.917039230912187,0.0308775822345931,0.0482552235374931,9.49671424403796e-06,5.22594020813203e-06,0.00377005566275798,1.38163230039747e-05,5.73700896630249e-07
"TCGA.G6.A8L7.01A",0.00135274471087994,0.0162957444497452,1.12590086761924e-07,0.00112099385241038,0.16716182079468,0.0210033930150291,0.00808825187423541,1.06101964800358e-05,1.42111715488957e-08,0.00407544568971139,0.78080084012925,9.00284863201473e-05
"TCGA.A3.A6NN.01A",1.5991983768119e-06,8.0905462593502e-06,2.1221936780466e-07,2.7285505208677e-05,0.910011203729656,0.031980754603113,0.05349425089611,0.00014362130367471,8.02217028976211e-08,0.00433150581995198,6.93690017177033e-08,1.32658757649807e-06
"TCGA.T7.A92I.01A",2.7294089633633e-09,3.95923958443325e-06,7.52521543523128e-08,0.90221273280035,0.000284204447319404,0.0542789742304664,0.0347204316381984,6.90031569247641e-06,0.00782679865688119,0.000606579109878747,5.93225257022363e-05,1.90543635413862e-08
"TCGA.B0.5713.01A",5.32861215253845e-06,3.00656381753762e-06,2.89385153602018e-08,2.50096069985902e-06,0.937870742090341,0.0385689327213317,0.022811520187617,2.03845385947718e-07,3.46948828264334e-07,0.000708631740106074,2.87571000795983e-05,2.91124913344903e-10
"TCGA.CZ.4860.01A",9.35134110523895e-06,9.78345241867038e-06,1.24517022570829e-07,0.614511568368905,0.0187348407549827,0.118385191344959,0.154291373668866,9.9836730548002e-06,0.091580021627941,0.00246761145059454,1.48207338449639e-07,1.59281261318604e-09
"TCGA.A3.3351.01A",4.07804292518792e-07,1.1933036340059e-07,3.81884122619791e-06,4.67800010825936e-08,0.836591754499401,0.066791306656133,0.0812561451308958,0.00121726465115129,5.78398450771431e-08,0.0141114773029426,2.56317282590792e-05,1.969435488877e-06
"TCGA.B8.4148.01A",4.55734165264902e-08,0.000214693290189313,0.000110217021799534,4.55186740801746e-07,0.862935758838537,0.0385657031241404,0.0734601743665791,0.000469311589615753,1.78414555600854e-07,0.0242398531121814,2.76965985084815e-06,8.39822393708998e-07
"TCGA.BP.4345.01A",2.91470830680586e-06,2.83787288034481e-07,4.35663357540922e-06,5.04718830356446e-06,0.620109617164195,0.322152432888582,0.0554843769431984,0.00122790345920687,7.51625953445283e-07,0.00100754854658182,1.54721416038196e-06,3.21984064768957e-06
"TCGA.BP.5010.01A",0.00351404929376893,0.0278491907822587,0.00445288525204408,1.45026602355187e-07,0.615979981317485,0.201302563180636,0.0139450789262887,0.000199965208763089,1.84286950982598e-05,0.00281571905480382,0.038778941971227,0.0911430512910235
"TCGA.BP.4325.01A",0.00585549938684113,0.0761202320090948,0.0104697392317338,3.66710410094149e-07,0.335637310588317,0.0396299475104779,0.0471459993143848,0.000216339130689524,1.04600598008429e-08,0.012836275886463,4.09464541768314e-07,0.472087870306986
"TCGA.B0.5102.01A",0.00188120117229419,0.0306312710634367,0.000804102155453863,1.32159485384594e-07,0.410969907976455,0.0327275361859653,0.0335314300782692,8.04036724868842e-05,1.22951678499054e-08,0.00555958497426481,1.04338989871698e-06,0.483813374876822
"TCGA.BP.5185.01A",0.000911756094240697,0.0142610119982403,0.000255071465788563,0.0172619602827591,0.186333880404586,0.0320326431456355,0.00665569121981992,0.000370977371968595,1.24216906642492e-07,0.00303810834949443,0.316289096256089,0.422589679194471
"TCGA.CZ.5986.01A",2.94864200010998e-06,6.2887571223056e-06,2.7118195426791e-05,1.36464281108278e-05,0.895638754276609,0.0699045319471581,0.0308720933961306,0.0012714640706436,7.32947503646808e-06,0.00224762168847958,6.14096326811832e-06,2.06216001463698e-06
"TCGA.CW.5590.01A",3.00469997810636e-08,9.98076822816914e-08,2.01413641408752e-07,5.50510690384852e-08,0.893782135909384,0.0532955609300616,0.0504155840319512,0.000287546523401079,1.91739441440807e-07,0.00221828816414499,5.98674769432404e-08,2.46514745804352e-07
"TCGA.CJ.4904.01A",2.38801393941687e-07,5.45866224394406e-07,9.37833484424729e-08,6.37100005707606e-08,0.92381947351825,0.0422331945638259,0.0332377937275774,0.000166760100619233,8.0137563320959e-08,0.000538896615374768,2.46181639769716e-06,3.9735942482645e-07
"TCGA.BP.4987.01A",6.39281182641443e-07,1.46795692629479e-06,1.39891665358099e-05,8.31863800813004e-08,0.913724241269156,0.0393625652257246,0.0408366502206117,0.00061786339649401,3.08819864724508e-08,0.00544112601289457,1.02833888595555e-06,3.15063221760131e-07
"TCGA.B0.4849.01A",8.83323219344178e-07,7.48322857772624e-09,6.83931801169703e-07,5.60218200834871e-09,0.881240315469011,0.080864769960564,0.0330787569849825,0.00138372504916228,8.20057942281736e-08,0.00343033028494725,1.18043645743937e-07,3.21861462160104e-07
"TCGA.BP.4329.01A",0.00459785420626004,0.0370964441149641,3.66148791299491e-05,2.50103768068604e-07,0.708726817171288,0.100259770291702,0.0362771630917857,0.00109905616369901,3.43679432117694e-06,0.00481471159657016,3.07750763023028e-05,0.10705710651021
"TCGA.A3.3328.01A",2.24117274052419e-06,5.40569537584973e-07,3.12595357153182e-08,0.765190020078202,0.132407975528374,0.00861694400789248,0.00699830372904974,2.28566693510833e-08,0.0867194605535285,6.41606960615638e-05,2.99296692629812e-07,2.51715181571334e-10
"TCGA.CJ.5672.01A",0.000559351153141222,0.00384699109984689,0.0380690147836747,5.75756944319018e-08,0.702603549214096,0.104247315302489,0.112465242645398,0.001095825976427,2.83269669901047e-07,0.0331712309943106,0.00394106771866114,7.02665903218028e-08
"TCGA.B0.5104.01A",2.07071193065711e-06,1.04656294172888e-07,1.95058638681178e-05,0.271688714074639,0.661046272175369,0.0316875754772186,0.01197835167878,0.000212647159003258,0.0220286642247405,0.00133303985732101,1.64893847155309e-06,1.40518236406269e-06
"TCGA.CW.6097.01A",7.11396518855728e-06,0.0136179251265515,2.35628303715731e-05,3.44905932011156e-06,0.607762894670219,0.248937526704584,0.11834289474689,0.00122659930456183,1.3097414513727e-06,0.0100663053455506,9.35307652670485e-06,1.06542878451047e-06
"TCGA.B0.4700.01A",9.60057193759846e-05,0.0271457586700078,1.71391832322477e-05,1.47110692675451e-07,0.61338691178822,0.173094102598255,0.133955947995422,4.51321856110438e-05,1.78979788674212e-08,0.0522562410782198,1.21844617305307e-06,1.37732681182581e-06
"TCGA.B0.5095.01A",5.71897623495967e-07,2.66270731603551e-06,1.08121061746038e-05,5.64954933864124e-08,0.658409286488227,0.297081068736638,0.0391020895900407,1.51410046716443e-05,2.50198601258831e-07,0.00537454052364615,1.34897150183318e-06,2.17128006569841e-06
"TCGA.B0.4810.01A",4.42103582571841e-07,4.70079516580413e-06,2.40530337653428e-06,9.61363421894312e-07,0.666490026294316,0.184401595310619,0.118265816811288,0.00170515030307884,6.31171269456715e-08,0.0291286632849789,1.13084622980616e-07,6.22284232081152e-08
"TCGA.CJ.4901.01A",0.045055197265182,0.167026269698264,0.00152156654153531,3.48369733840955e-07,0.474393370829208,0.05922544075743,0.087716167765756,4.12938873338816e-05,1.33352571350403e-05,0.0275975780861984,4.5128694956296e-05,0.137364302847267
"TCGA.CJ.4643.01A",1.07144236470259e-08,7.39226452744104e-07,3.81103138648707e-08,1.70468618685568e-06,0.845802903160246,0.113061129669259,0.0397304936269901,8.41877323224293e-06,6.37616393810389e-07,0.00139382763801245,3.70258230486635e-08,5.97526663153018e-08
"TCGA.B8.A54H.01A",1.80662905393467e-08,4.16727397858736e-10,2.3861966470366e-08,5.25822926293926e-06,0.929118172596431,0.0502968138333134,0.0198525618300054,0.000150249312443222,0.000211850162096354,0.000194704140451166,0.00017027485429856,7.2696713594196e-08
"TCGA.AK.3429.01A",0.000318699061616704,0.131090497796122,0.05259092554057,2.79128513130722e-06,0.671825227252027,0.0536999572176542,0.0580053897391697,0.00116483653151709,2.54165308440263e-07,0.0312770804286941,2.38166426661133e-05,5.24339523342551e-07
"TCGA.B0.4834.01A",6.77186591159758e-06,1.60940419259388e-05,0.000643593690392721,0.1962869467188,0.227849454625947,0.0191050741952473,0.00144563827279832,2.67772851933191e-05,2.40123623358065e-07,0.000322187546176852,0.157686164186114,0.396611057447869
"TCGA.B0.4843.01A",0.00314992100130908,0.0171651186297105,0.000453394278206392,1.6398475793227e-05,0.527172778319729,0.158154973651929,0.0113158453220352,0.00104519439370825,4.19753086288384e-05,0.00214465062805605,0.250192981947081,0.029146768043814
"TCGA.A3.3382.01A",6.80863911928558e-08,0.0604644151142231,6.49789038418134e-07,1.34216651220729e-06,0.77548081495692,0.0853070731215059,0.0707854093776403,4.19854938332678e-05,6.30850777093545e-08,0.00791626640337381,1.51739602595259e-06,3.95009457902234e-07
"TCGA.BP.4338.01A",0.00904528594170368,0.0211396283557274,1.24783041983454e-06,0.597492954570978,0.152982176616405,0.0225552881814076,0.0702651317912845,0.000123769606231775,0.00123477673517763,0.00172434052218674,2.34880747399769e-05,0.123411911773738
"TCGA.B4.5832.01A",0.00475370800588755,0.0264595524334285,2.55500313065941e-07,0.0703351475937261,0.095019682103161,0.0196223934230965,0.00739537544399249,0.00011706968442632,0.000215533094001815,0.000462470542520223,1.24872141288726e-05,0.775606324961318
"TCGA.CW.6088.01A",1.19291626153281e-06,3.274427043627e-06,1.17933467055936e-06,1.7503992304836e-06,0.830644824862902,0.0568247482512105,0.0148945920696834,0.000341591456877313,6.87781532539888e-08,6.81962395850233e-05,0.0972182336826508,3.47581731240562e-07
"TCGA.A3.A6NJ.01A",1.5463715059063e-08,1.73040757881379e-09,3.13028642989915e-06,1.08045926202609e-08,0.857930512489261,0.019064056524249,0.0939018783116368,4.13767700753727e-06,7.61601775576535e-07,0.0290893135619368,6.16362908132462e-06,1.79199064687041e-08
"TCGA.B0.5088.01A",5.72427836013536e-08,3.75071410416236e-06,3.9861331870252e-08,2.2515516496341e-08,0.837180588553746,0.0933313232780024,0.0640868799409836,0.00179883364675162,8.88097428959366e-08,0.0035972076582485,1.17695119140836e-06,3.08275974839313e-08
"TCGA.A3.3308.01A",1.56794986237955e-07,1.3324807253257e-06,6.95553086570681e-08,1.33322877451526e-07,0.83188455026809,0.117593198784547,0.0493569781982511,1.13513694574169e-05,2.89985958081871e-09,0.00115015183214351,1.43913807259701e-06,6.35355681301892e-07
"TCGA.CW.5589.01A",1.16605334895036e-06,2.27987709958366e-06,3.3943729759231e-07,4.26091834409144e-08,0.867156590766049,0.0706959805586558,0.061851042264702,1.72797768123518e-05,4.94767856613925e-07,0.000273763723056455,3.1354616349336e-09,1.0170304767084e-06
"TCGA.B0.5702.01A",4.05450458523522e-06,4.41894837096739e-06,1.66148992706047e-06,1.56580063081637e-06,0.691440167299282,0.127041721505617,0.152242320115369,0.0126264468712225,4.81785022758195e-07,0.0166179758258137,1.85595871348132e-05,6.26267023841743e-07
"TCGA.BP.4169.01A",3.46366628551964e-08,1.69004054639895e-07,5.14481872089895e-07,1.44762936891845e-08,0.715238922600249,0.212513695128077,0.0705992117151069,0.00135782240301942,1.30841299258345e-08,0.000273425381038371,1.55348622310991e-05,6.42227264772584e-07
"TCGA.CZ.5468.01A",0.00387849920306263,0.0302116035569915,3.43254783512169e-05,2.29179717553751e-05,0.51083448478567,0.111095496616988,0.0937255949994607,4.23768113855437e-05,8.84676894660736e-08,0.00592387972100601,5.77227388813762e-05,0.244173009648758
"TCGA.A3.3313.01A",6.52939336240966e-07,6.02414835411437e-08,9.41398338547734e-09,0.814914254983076,0.117682503636411,0.0232137748087218,0.0150220400968916,3.41112398279485e-05,0.028933296726076,0.000198881847172168,1.78927359036249e-07,2.35139661546876e-07
"TCGA.BP.4782.01A",2.59017378905304e-08,1.38275962351676e-08,1.38330171534779e-07,3.83260857653277e-06,0.833260219493682,0.065024745870392,0.0921339041539599,0.000106077892728302,2.7185814546841e-09,0.00946739646890701,2.86162397713731e-06,7.8110969016071e-07
"TCGA.3Z.A93Z.01A",1.4137882109288e-07,2.54415301907195e-08,1.60524481455708e-07,8.05925512183189e-09,0.881680216089363,0.0843176352078474,0.0327123785801992,0.000165172894626957,1.46457609970586e-06,0.00112233962246316,3.32684405561322e-07,1.24940907030492e-07
"TCGA.CZ.5454.01A",1.39871480682574e-05,2.31869723587588e-06,7.96930952685881e-06,1.68124769634775e-05,0.702344056412993,0.0504273813787404,0.242220712247359,8.57899556289641e-06,5.73791153253515e-07,0.00493156803383355,2.57780513714544e-05,2.6345719112043e-07
"TCGA.A3.3358.01A",0.0307695089984503,0.0929225636324337,4.36294240351819e-06,1.55418981524325e-07,0.625305514385838,0.0315606700038312,0.0766390769561421,0.00148147547990067,7.92924586755009e-07,0.00749321830008188,2.52347429430936e-06,0.133820137483056
"TCGA.CJ.6031.01A",1.96943924837435e-06,3.6117774832174e-05,9.41510694412888e-06,1.00976232646219e-07,0.599085173760581,0.262188017301272,0.124446792570608,0.00232400648872944,4.87051334221574e-09,0.0118955802277985,1.16434145818633e-05,1.17806865947253e-06
"TCGA.BP.4790.01A",5.09372778647508e-07,3.40382382355983e-05,1.50337398472413e-06,5.30367491188279e-08,0.786982404220383,0.134057068801202,0.0680354270491621,0.00159681078913913,2.58420965481274e-09,0.00929159836146889,1.94476715775379e-07,3.89695971139741e-07
"TCGA.B0.5699.01A",1.23846169380718e-07,1.91057591893142e-05,1.03960336930584e-06,0.0030147182228101,0.906143394432246,0.0280256286127751,0.0461838968578578,0.000398906112163091,0.00934916203641896,0.00680687811224412,5.68465564047128e-05,2.99848352421562e-07
"TCGA.CJ.4635.01A",2.03169460668011e-05,0.104324678153674,0.000310277469718819,0.0275928807708711,0.7038311584607,0.0568176986496707,0.0746483996793852,0.000510399427250573,0.0185380422377589,0.0134049237532053,9.59609175921286e-07,2.64842522673197e-07
"TCGA.A3.A8CQ.01A",5.01770666092584e-05,7.08803488305809e-06,1.51998102300226e-10,5.70287132543311e-06,0.910163057198009,0.0684868717097614,0.0202012123052904,0.000477436457853557,6.71033778943425e-06,0.000421679995118308,0.000179758605072793,3.0526628930826e-07
"TCGA.AK.3447.01A",4.56051892603137e-05,5.61215426742151e-07,0.00241964967589438,0.184698185153775,0.0418496620627726,0.00394900652787913,0.00133557356105842,1.24908347351503e-07,1.20563929963134e-09,0.00100652015835248,0.106682075299456,0.658013035042138
"TCGA.BP.4159.01A",0.00345583212060669,0.0106750379113332,0.0021209948898611,1.39258908258918e-05,0.468573042313266,0.119769621969393,0.0140905674844542,0.000436960824847317,7.56418570428834e-08,0.00522783742558301,0.260208069805567,0.115428033722405
"TCGA.B0.5698.01A",8.44484953723173e-07,0.0276287030670646,2.23228857335781e-07,2.49461923068645e-07,0.888590309356135,0.0261943662779484,0.0517335864024689,0.000490479010359285,2.2016916374202e-07,0.00535810092323237,2.90176903140512e-06,1.58488623294747e-08
"TCGA.A3.A8OU.01A",6.71837289170483e-10,1.4956631014473e-06,5.88862215930391e-08,1.82288653282991e-07,0.901927864071953,0.0556498183149681,0.0388961023097195,0.000298702854692156,1.45386384109565e-08,0.00322552233234272,9.07286949361728e-08,1.47339177796119e-07
"TCGA.A3.3380.01A",6.12110687931051e-06,6.14613828171765e-06,7.43973828786072e-06,2.23082497440332e-05,0.891113810135672,0.0729281828919584,0.0336136970736927,0.000615103597202561,3.08862777515616e-05,0.000100756719021274,0.00155398669536058,1.56137614813188e-06
"TCGA.BP.4998.01A",8.08855540287982e-08,5.99653186372273e-07,1.79444054873165e-06,5.47362387121636e-08,0.746047801810644,0.177190177993722,0.0694670526315897,0.00152171500345508,4.68124481942186e-08,0.00576840866568034,8.75089333234659e-07,1.39227759956325e-06
"TCGA.A3.3383.01A",4.09681719801322e-07,3.02320110302482e-07,8.01253475185812e-08,2.6019245472152e-07,0.820061642992624,0.0472451799157958,0.117434868253721,0.00279087924413185,2.16017273622193e-07,0.0124654385623952,6.24454775263055e-07,9.82396511727959e-08
"TCGA.BP.4353.01A",6.17164217829314e-06,7.06087670179704e-07,1.48709307790889e-06,9.90135632078439e-06,0.791226436541749,0.120201815176942,0.0875076102104409,4.15822839430172e-05,4.88217057040312e-07,0.00100102362006062,2.33685549175764e-06,4.40915068413202e-07
"TCGA.CJ.5686.01A",0.000439117776192188,0.0468284814930207,0.000814772030947267,1.20939665584829e-05,0.803939592760165,0.0648761713679894,0.0726301097124981,0.000544723811818674,1.68496631969529e-06,0.00910820267317519,0.000802408608384126,2.6408329308321e-06
"TCGA.EU.5907.01A",1.02413319573277e-08,3.76595945934978e-07,1.61377867806945e-06,0.497198777168017,0.37665263099202,0.0513284302557529,0.0666832599787185,6.6734112590569e-05,0.00739609916421013,0.000668287039801207,2.76746465857642e-06,1.01320827433687e-06
"TCGA.B0.4703.01A",0.000144909411717175,0.000199861315134927,1.06687479340155e-05,3.74850680738557e-06,0.613763292516439,0.30262937975428,0.0730192519985685,0.000414432717008848,1.47639541692957e-06,0.00975660335541272,5.50270522827338e-05,1.34822899720542e-06
"TCGA.B0.5119.01A",3.02052857336717e-08,3.63330555833575e-07,1.14139788024773e-08,4.34008328182199e-08,0.902261428228959,0.0528889604895941,0.0401035225419126,0.000122036741438017,3.9019968339516e-08,0.00459814711800399,2.49181831272423e-05,4.99326342929468e-07
"TCGA.B0.4822.01A",2.22635013395538e-06,0.0173974758215686,1.42235626273602e-05,6.48774693302807e-07,0.809622286064341,0.10408743508757,0.0595962589404584,0.00171739772353503,2.95361502385797e-08,0.00756074785191074,1.70307457240294e-07,1.09997955392627e-06
"TCGA.B4.5835.01A",2.15864258812989e-06,2.54353851553616e-06,3.750596468225e-06,0.749831966947712,2.99560818705698e-06,0.0136540938103671,0.116300873987392,5.38641534565504e-06,0.120139198017707,2.99643616479966e-05,2.60779447451614e-05,9.90129323070568e-07
"TCGA.CZ.5460.01A",0.00911804545427226,0.075115689029937,0.0111448319036107,2.0180804367494e-07,0.814882783451689,0.0358853490929159,0.0443435172525547,0.000904647314883807,7.97116667556289e-08,0.00818356127009594,0.000413898612430095,7.39509790056091e-06
"TCGA.B2.3924.01A",1.16837331974597e-06,0.0845738987133723,5.27647914851988e-05,8.68189610136145e-08,0.542381722807412,0.033528463313185,0.275720407765742,0.0007151350127325,8.77909128601033e-09,0.0630245113549018,7.5753206077708e-07,1.07473773593113e-06
"TCGA.CJ.4870.01A",2.12522267185978e-07,9.08345688113239e-08,1.54660852337609e-06,1.08029753354613e-07,0.968359866386695,0.0175953804469768,0.011428269169399,0.00259164698598687,3.20701356784595e-07,2.22693839324765e-05,1.31924826603734e-07,1.57005713415316e-07
"TCGA.B8.4619.01A",0.00136900264048377,0.00462201627408882,3.78725944918897e-07,0.104135713595085,0.178841739690822,0.0204292289372916,0.00539026421159006,8.55131655303887e-05,5.83881144570958e-08,0.000366570901180469,0.201630372130556,0.483129141339312
"TCGA.BP.5201.01A",0.00402295228499827,0.0954796892430747,0.0659358629803821,1.40846354087014e-07,0.539990675491588,0.0486097785302317,0.0435305915639791,0.000664040167893704,3.03555889412717e-07,0.0198394224202838,1.63905177728792e-05,0.181910152397552
"TCGA.B8.A54J.01A",7.11820522791001e-07,1.15025015989986e-06,2.58522729188966e-07,6.36338628056724e-07,0.951287271524471,0.0226193171206246,0.025385965091874,3.40181347119449e-06,5.73396297263392e-07,0.000700304745782333,1.83619982114877e-08,3.91013441391885e-07
"TCGA.CZ.5456.01A",0.0543753513029981,0.0910405623565147,1.25127898271872e-07,1.02907217414157e-05,0.420303844133578,0.0592223495182865,0.106013483557352,9.38968498172269e-05,4.88600274466759e-06,0.00471530021037119,2.03446830375705e-06,0.264217875750394
"TCGA.B0.4688.01A",0.00578316807526859,0.0267797040151007,1.06965757174573e-05,9.98082747511581e-05,0.0946878435944283,0.0507555762709745,0.0921517884191688,0.00094371362348451,8.18160934150198e-08,0.00416438754565138,1.40756334924707e-06,0.724621824226012
"TCGA.A3.3317.01A",0.017258971591179,0.0526621298934113,3.48270074472741e-06,8.07107887783539e-07,0.482351906473835,0.196777479046706,0.0428507910517471,0.000707442782194162,1.82911695007712e-06,0.0071235893747426,1.08972467931463e-05,0.200250673613809
"TCGA.B0.5400.01A",7.41540779869319e-07,6.04338704395619e-07,1.75075742278286e-06,0.440939500686157,1.44723028718818e-07,0.297691686956006,0.204107186306334,2.39976331171602e-07,0.0510211350344711,0.00621496289843091,2.08731542853012e-05,1.17362804976066e-06
"TCGA.G6.A5PC.01A",0.00131419136653361,0.0359620162733336,0.0410270155594849,2.33109572685457e-06,0.225530480942312,0.0378823024112827,0.0310543495028669,0.000139659645340884,1.56552950838116e-08,0.00870225927974883,9.40996346309068e-06,0.618375968304611
"TCGA.B0.5100.01A",6.97639869484635e-07,6.07221458182715e-08,2.86332293746941e-06,6.21807521551673e-06,0.00054985682046873,0.994190809916426,0.00359017034414398,0.00161066549767684,1.21137162521893e-06,2.25391629510386e-05,1.92307404995367e-05,5.67638604028451e-06
"TCGA.CW.5585.01A",9.53630782349999e-08,7.15367119713594e-06,4.74860564765522e-06,6.08096483172074e-08,0.949372243164946,0.0310556895491208,0.0186164911525684,5.5117858649697e-06,4.36765641691989e-06,0.000931704415519981,1.66595092312222e-08,1.91716648228852e-06
"TCGA.BP.4343.01A",0.0299749578787599,0.0973283376623821,0.00130533250384273,1.39926495867613e-06,0.428647608166593,0.14513469135531,0.0797805521671447,0.00103342803314743,2.54666498551151e-07,0.00930315413651375,2.79635749706317e-06,0.207487487807352
"TCGA.B2.5636.01A",1.79636806235693e-06,1.66479113121159e-07,2.04276315519184e-06,2.95271690370635e-07,0.918661167307376,0.0488842820360532,0.0323229387567094,0.000123609655514654,6.06196932505571e-08,3.53704303463382e-08,2.05631425953714e-06,1.54905794275071e-06
"TCGA.B0.5081.01A",0.0191739136757018,0.151660751186093,0.0290461611539895,3.49464985425062e-07,0.609163093856559,0.0989855439563907,0.0747228681817475,0.00126863712757306,1.06706027078189e-08,0.0145848660381815,0.00139109741401685,2.70727415929768e-06
