"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"TCGA.BQ.7044.01A",0.00493687045101955,0.00442477696713472,0.00186944924593939,0.591382437584516,0.0169857381609806,0.00514434006243599,0.00725661555226205,8.58156343982043e-05,0.00590858527522219,0.000776603847656131,1.00762387422123e-06,0.361227759594561
"TCGA.SX.A7SR.01A",2.94750882479765e-08,0.0101444499039337,0.00030885016110561,0.917176185697114,0.0241584267947105,0.0112493086700382,0.0126458498947356,0.00805140311951019,0.0153920099555416,0.000844496498153573,2.63578039541117e-05,2.63202611434331e-06
"TCGA.MH.A854.01A",9.12944561414253e-06,0.0205724896676313,6.45939782496879e-05,0.71859852089452,0.0325860828547052,0.0814721109605466,0.0050645355982622,0.00132500158118609,0.00852400117052797,0.000776825365053151,0.062368924747906,0.0686377837357982
"TCGA.B3.8121.01A",1.11850464841747e-08,8.57317880664677e-05,2.60506408105412e-05,0.621852871915034,0.0570469824186732,0.0713062551758578,0.143826886855574,0.00298175336129076,0.0933252181441054,0.00953302351285259,1.40799056540558e-05,1.13509703415002e-06
"TCGA.2Z.A9JJ.01A",2.56628528469886e-07,4.98235985533822e-06,5.44756732038573e-05,0.421077459290276,0.0433484457616856,0.0619363697009651,0.0507047298476371,0.00131958528758713,0.0937015695004093,5.32092291976652e-07,0.32784314139326,8.45246430071956e-06
"TCGA.B1.7332.01A",1.21671441119096e-06,0.00951753541173947,0.000306680187480872,0.792542148454209,0.0459421881357025,0.0421529508338629,0.0210996876491635,0.00140826778608529,0.00586382260582633,0.000710876505932993,1.32946145563911e-05,0.0804413311010297
"TCGA.WN.A9G9.01A",7.53189775254669e-07,0.403694542003904,0.165116754050382,4.18379418154438e-07,0.0595244512583619,0.00556457241222932,0.198918769315601,2.5886095115906e-06,1.87572884847036e-07,0.167175053307388,1.68797817253401e-06,2.21922371426666e-07
"TCGA.A4.8310.01A",1.2286648587793e-07,1.76264085825084e-06,1.01306119531393e-06,0.925009240130034,1.65962251330992e-05,0.031951805958675,0.0332762369090256,1.58608998757381e-07,0.00973752976791185,2.88857652819784e-06,1.50412331073857e-06,1.14113184353711e-06
"TCGA.2Z.A9JT.01A",0.000990779527677952,0.035121744312331,0.00245229308795742,1.98569447273471e-07,0.0372586317720327,0.0192963216798002,0.0516189466279447,0.00170210708721236,2.69637050724375e-08,0.00307506737823208,4.17548706438535e-07,0.848483465444953
"TCGA.5P.A9K2.01A",0.000138934491006893,3.51492210059227e-05,0.00178208784979038,0.138458529068815,0.00522606167380149,0.00711374953836003,0.00238008266134288,0.000741577492509581,3.02503931943323e-07,7.82053240169655e-05,0.367822011562686,0.476223308612733
"TCGA.4A.A93W.01A",0.00209816888400693,0.0109857131072132,0.00239224256957638,0.816007277206348,0.0335598353700803,0.0261268048471028,0.00925797952240734,0.000824715229026835,0.00780772894790461,0.00088274993448422,2.21229363787465e-05,0.0900346614454707
"TCGA.DW.7837.01A",0.00263950909300685,0.0320227755736941,1.59157518680537e-08,0.466311048436546,0.0469009607517017,0.0239429917018207,0.0238950786244577,0.00502693850975811,0.00424322296085503,0.00108988497323936,1.73782917853173e-06,0.39392583562999
"TCGA.A4.A5DU.01A",0.000853840389769268,0.00734966364637097,0.00374120308120724,0.565741469804405,0.013607224888356,0.0136802241519213,0.0106273020834657,7.28807379910279e-05,0.0059412970619948,0.000598608722514164,5.18907698433266e-07,0.377785766524306
"TCGA.2Z.A9JI.01A",0.0859760604036636,0.0432179705622087,1.3163961916863e-05,5.53178520248035e-05,0.0417284315689525,0.0900508724060854,0.0621117426702246,0.000416710725358897,6.81639769185284e-08,0.00520264890419597,4.9645432011457e-06,0.67122204823819
"TCGA.BQ.7050.01A",2.48955842448517e-07,9.35829377184105e-09,2.11976123376395e-07,0.792519751051803,0.0165314476836742,0.107265496234152,0.0205759451116026,3.42485913744674e-06,0.0619865541579785,0.000966972482352942,0.000149853673526883,8.44555133671584e-08
"TCGA.BQ.5894.01A",0.0233912856853243,0.063382817542734,4.30723545693825e-07,4.70157110076399e-09,0.296881671449793,0.166943412439395,0.0923944107255472,0.00480825722022523,3.07528307318654e-07,0.0119176237317486,2.5040145719663e-05,0.340254738106089
"TCGA.BQ.5879.01A",4.32094314942996e-08,2.16562462625841e-06,3.18010895471623e-08,0.646263188841044,0.259015765294325,0.0473133096734171,0.0373990711108843,0.00989133760009323,0.000101858853759097,1.22802990076809e-05,7.71172767529645e-07,1.76519554780786e-07
"TCGA.AL.3472.01A",0.00169084399308253,0.0097078302339622,0.000151546326452003,0.496235512224351,0.022066778760226,0.0239922246278449,0.00302227713455078,0.00177943249323253,0.00874133256543295,0.000484696616477472,3.35627877037181e-06,0.432124168745617
