"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.OR.A5LO.01A",0.0383878575320851,3.89467304978925e-08,4.34357013909057e-09,0.0596000040485919,0.00186992987965983,0.00221923065457137,0.897922934594791
"TCGA.P6.A5OG.01A",3.32354109677207e-08,0.0203335609896666,5.28188337432217e-08,0.181769719454963,0.178568077101978,0.0581751783122576,0.56115337808689
"TCGA.OR.A5J6.01A",7.72588292566623e-07,8.6719221913904e-07,1.21215228434915e-06,0.00985363103291444,0.0524435508264282,1.07718227234394e-07,0.937699858489634
"TCGA.OR.A5LT.01A",0.0128584095997514,5.7618650996303e-07,4.11080753482658e-06,0.100755575034381,0.0116741541701799,1.46242263092204e-08,0.874707159577417
"TCGA.OR.A5JY.01A",2.28686266376234e-06,0.000679641050750752,1.17989159545062e-05,0.092156837208874,0.0332032828350929,3.22328080400162e-07,0.873945830798584
"TCGA.OR.A5JV.01A",0.00234230626418384,0.00179987938956849,3.94706306117495e-08,1.92652125962635e-07,0.112214267089511,5.80679729293831e-06,0.883637508336687
"TCGA.OR.A5JT.01A",0.0169148829086417,0.00132917486373217,1.18741446848698e-07,0.113050549160533,0.0330228326667911,0.00293239053178466,0.832750051127071
"TCGA.OR.A5KX.01A",0.00510041638477884,8.64902429307237e-05,1.44913341089591e-07,0.0818642135847961,0.00881879732109623,4.37189353678905e-06,0.90412556565952
"TCGA.OR.A5K3.01A",0.00909473967970028,3.39059282693093e-05,6.03441550891947e-06,0.0207374259643394,0.00798802830382398,4.17027145194832e-08,0.962139824005644
"TCGA.OR.A5JZ.01A",0.000373894651012599,0.00164099279476666,4.67899117784343e-08,0.124529575406074,0.0336876684256183,1.05993561439355e-05,0.839757222576472
"TCGA.OR.A5LC.01A",0.0166979453094666,4.0760001061788e-05,2.36082709924478e-08,0.15280494939571,0.0173886586433047,0.00366813942966958,0.809399523612516
"TCGA.OR.A5LH.01A",9.69456448717859e-08,0.00111255061588036,7.69454048114168e-09,0.0437538965925577,0.0204267441528914,0.00679646581208289,0.927910238186402
"TCGA.OR.A5LM.01A",2.92913410396905e-07,8.49180306437049e-05,1.61622765136398e-08,0.0216181291811327,0.0123506964425886,0.0011871291040873,0.964758818165861
"TCGA.OR.A5J5.01A",0.00668765058439527,2.80553744388677e-05,8.29657316448962e-09,0.0245505830613918,0.00756096473366894,0.00534280527455564,0.955829932674976
