"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.C5.A7UI.01A",0.015339669444185,0.00891086336892565,5.05914795357532e-09,0.0382506118748498,0.03497120674337,0.0507090395077332,0.851818604001789
"TCGA.C5.A902.01A",1.86458192918766e-07,0.0323156248926583,9.03600014603581e-09,0.0318739485523354,0.0412429109875739,0.105436154751272,0.789131165321967
"TCGA.DS.A1OB.01A",2.94729281389336e-07,0.00135123328800676,3.72728568660629e-08,0.0599655045478997,0.0517819791989753,0.00202471479605471,0.884876236166925
"TCGA.Q1.A6DW.01A",4.77589136464002e-09,0.00933848839721544,8.83550544814246e-09,0.192066860582078,0.0843299851959316,0.0103091667318821,0.703955485481496
"TCGA.EK.A2R7.01A",1.64265341897935e-08,0.0169869166784426,3.05097819149238e-08,0.174308060868275,0.0674476754222193,0.0260858550929228,0.715171445001824
"TCGA.C5.A7X8.01A",0.0553796049413906,3.31393120856785e-07,0.0175453608908918,0.608415205823122,0.00178892739270812,0.00602246057060451,0.310848108988162
"TCGA.Q1.A5R3.01A",9.68397337125871e-08,0.00976271928097919,1.07411568315717e-08,0.124147067199597,0.121948763439296,0.0362437306382217,0.707897611861016
"TCGA.C5.A7X5.01A",1.54552392398541e-08,3.1411374466679e-05,1.27571142573494e-09,0.0898135582429167,0.0280077782981134,0.000764580093167642,0.881382655260385
"TCGA.ZJ.A8QR.01A",4.01280199121908e-09,0.00290119424746889,3.79765578227376e-06,0.0717044242603233,0.0484220585899116,0.00698393014934535,0.869984591084367
"TCGA.HM.A3JK.01A",7.76591732178091e-08,7.14912254189432e-06,3.6767277904794e-08,0.928155762816743,0.0718322923003796,4.62702297953894e-06,5.43109052729721e-08
"TCGA.EA.A556.01A",7.19798719700947e-08,0.0014106607365295,4.39816556729963e-05,0.772382769453474,0.0111121022930033,1.01658517864434e-07,0.215050312222931
"TCGA.VS.A9V4.01A",0.0132429301598863,0.00351322498189222,0.00956412043678474,0.0434182706884623,0.00827811012067786,0.000289942162792234,0.921693401449504
"TCGA.IR.A3L7.01A",2.76427847478824e-09,0.00378218191120186,6.31380491728417e-09,0.220572164492645,0.0660970748187202,1.74040308084835e-05,0.709531165668541
"TCGA.EK.A2RL.01A",4.33674492277131e-09,0.0105785328695106,0.000487825802140694,0.164049592273519,0.0315477987163262,0.00196915295252571,0.791367093049233
"TCGA.VS.A94X.01A",1.1181326439639e-06,0.0170326238619393,9.49680313284959e-06,0.375221616571623,0.51468560613705,3.64050243506034e-07,0.0930491744433673
"TCGA.VS.A9V3.01A",2.98967734893922e-08,0.0144613855709871,1.72058235303426e-08,0.0924990931741226,0.103158542445419,0.014405128799606,0.775475802907268
"TCGA.EK.A2RO.01A",0.00438772003611275,0.000302773108192309,3.53163267465873e-08,0.46895481210884,0.00109017685042116,0.00325278228386552,0.522011700296242
"TCGA.JW.A5VJ.01A",2.13129016688064e-09,0.00420284311961799,2.076742031682e-08,0.0671160420270115,0.0513096597358836,0.000698137566489726,0.876673294652287
"TCGA.MA.AA42.01A",6.5923087989737e-07,0.118789698709632,2.68229238809471e-07,4.13787608995806e-08,0.218251704960672,0.284572942081041,0.378384685409776
"TCGA.C5.A1MK.01A",0.00213814461149839,0.00162111532245892,9.50970116002319e-09,0.5027608509639,0.0153366686825097,0.000458534652637436,0.477684676257295
"TCGA.UC.A7PG.01A",6.66039737059788e-09,0.00687922184545439,5.7942145099448e-09,0.143256165355101,0.0571370957989985,0.000574213734126837,0.792153290811708
"TCGA.VS.A9UH.01A",1.72328375083882e-07,0.0651749781287212,1.01055213832468e-08,1.67802092382764e-07,0.5379433555649,0.134156449175832,0.262724866894557
"TCGA.4J.AA1J.01A",0.0445154064346874,1.64179342419804e-05,1.03757268354166e-08,0.471443237764271,0.0294789465238434,0.00820813898913627,0.446337841978093
"TCGA.C5.A1ME.01A",1.06079640023965e-07,0.0169904026469647,1.55613418153041e-07,0.0883420053019136,0.0453331756483282,0.0192838282768151,0.83005032643292
"TCGA.C5.A8YR.01A",9.84099117022698e-08,0.00550737431565217,7.5928551991341e-09,3.9701539636651e-07,0.100945138636972,0.0584651458609496,0.835081838168263
"TCGA.EA.A5FO.01A",1.86646344293643e-09,0.00917538476916887,2.27504426584567e-10,0.0641134943715862,0.0501734192417478,5.26588355475496e-06,0.876532433639974
"TCGA.MA.AA3Z.01A",0.000262642551229116,0.0332680317949181,9.61571818547691e-09,0.0492834245999731,0.0786589316321665,0.0508633570143433,0.787663602791652
"TCGA.C5.A8XJ.01A",0.0233842447557307,0.0139059735669118,2.10264708303048e-08,0.378415733477254,0.0432323213185197,0.0260476380180578,0.515014067837055
"TCGA.R2.A69V.01A",7.52117861739305e-07,0.114500653747233,1.02451227318168e-08,1.01208626138594e-05,0.513777406496705,0.249323501233152,0.122387555297311
"TCGA.C5.A1BM.01A",8.26747023925217e-07,0.00402916630208062,2.70949983702229e-08,0.000316687525420241,0.161703621543648,0.00704512154541665,0.826904549241412
"TCGA.ZJ.AAXD.01A",6.802414351994e-06,0.0115511678772673,2.05646779578047e-09,0.355977637101745,0.0624764872113635,0.00619971111659766,0.563788192222207
"TCGA.HM.A4S6.01A",1.24450445562708e-08,0.0228524423050739,6.87473479396766e-07,0.139315403556687,0.14309340568399,0.0493479489337414,0.645390099601984
"TCGA.EA.A5ZF.01A",5.96624896972035e-08,0.00108726693927542,1.99761471835107e-08,0.610505563227771,0.0660495545731085,2.62633213539134e-07,0.322357272987994
"TCGA.C5.A1M6.01A",2.76659380774461e-08,0.00668473387276951,1.11851018035558e-08,0.242701972016479,0.0855870843559744,4.52646390727106e-08,0.665026125639099
"TCGA.DG.A2KK.01A",1.14149383969362e-08,0.0295033096469373,4.86995766685024e-09,0.165127753162607,0.176378560536739,0.000513452189711188,0.628476908179109
"TCGA.HG.A2PA.01A",8.85741186824506e-07,0.026424045295231,9.78271118485577e-09,0.380726962796983,0.111342636202962,0.0148318754127775,0.466673584768149
"TCGA.VS.A8EH.01A",4.39081415808023e-09,0.00516840288840395,1.22643686688811e-09,0.237839343194104,0.309989558008535,0.00102092826661849,0.445981762025088
"TCGA.FU.A5XV.01A",6.0623940324324e-09,0.00401985443162133,7.94486936123603e-06,0.340413911425091,0.0991873796345503,5.27143335668511e-07,0.556370376433646
"TCGA.C5.A1MF.01A",1.28339372634368e-07,0.00328093501431237,3.37204894166813e-08,0.0746089719499308,0.041551785628324,0.0242908575870759,0.856267287760495
"TCGA.EX.A449.01A",4.52577595964069e-07,1.33112344537891e-06,0.0600618949425679,0.172263936255983,0.0346184575037257,0.0362176744806161,0.696836253116066
"TCGA.C5.A2LX.01A",0.119208797379228,0.0441814775175907,1.89335079958544e-08,0.028365011522349,0.0620392230804906,0.0722026492679451,0.674002822298889
"TCGA.HM.A3JJ.01A",1.94732464760165e-06,0.0116878402129544,3.40191019793078e-06,0.566070360039161,0.10001428651313,0.00880944157339834,0.31341272242651
"TCGA.LP.A4AW.01A",0.121663384214082,0.000377656320759789,5.13442726076609e-06,0.868925930258386,0.00887423848273276,0.000151855099755501,1.80119702256323e-06
"TCGA.C5.A8XH.01A",3.09226408039397e-08,0.00777980085263243,1.75510430455358e-08,0.0467721366412384,0.0713332905740667,0.0212362162461101,0.852878507212268
"TCGA.EK.A2RE.01A",5.59748369258338e-09,0.00127193785858353,3.14763334079681e-09,0.124820638508239,0.0474296306572624,2.64573944538913e-06,0.826475138491352
"TCGA.EK.A2RC.01A",4.57370611956658e-09,0.0229518883417159,3.71238481532165e-08,0.305989665541036,0.0815078582782359,0.0124611594791991,0.577089386662259
"TCGA.EA.A3HU.01A",4.63016139207626e-09,0.0255175243256674,5.3819250997195e-05,4.17813347484454e-05,0.12942283591299,0.266811081622702,0.578152952922734
"TCGA.EK.A2PI.01A",2.01231316787337e-08,1.1109768417929e-07,5.67822762442041e-06,0.251932770894753,0.0368870910270962,0.00123312521038787,0.709941203419322
"TCGA.EX.A8YF.01A",0.0116612573567149,0.0357416977952095,0.0125726771633298,0.0564168432740772,0.0499229883799167,0.0440080876208121,0.78967644840994
"TCGA.C5.A7UC.01A",7.94106155944251e-08,0.00292412464700112,4.23199137509125e-08,0.202947904959933,0.0828461093200492,4.08142163180998e-08,0.711281698528271
"TCGA.EA.A3QE.01A",0.0328767019002076,0.0372649497622191,2.93379222197435e-09,0.0700167042403355,0.0751145363672776,0.0590501107752386,0.725676994020929
"TCGA.EA.A4BA.01A",6.2321635086497e-06,0.00327204402581088,2.43348535927709e-08,0.290194318252641,0.0297560285823239,8.63888207913791e-09,0.676771344001979
"TCGA.EA.A411.01A",0.0527888893556037,7.02979804654416e-07,5.78060439156578e-07,0.600727864799075,0.0157277129332142,1.92504217811093e-06,0.330752326829686
"TCGA.IR.A3LL.01A",2.23238714873786e-08,0.0454587319677888,2.33426001663918e-05,1.31172054392476e-08,0.106535087775147,0.0657879962427174,0.782194805973103
"TCGA.IR.A3LF.01A",0.0302537230071812,0.0113169859383096,0.00120422650671866,0.179538186317764,0.0224598620101737,0.00580127522730936,0.749425740992544
"TCGA.EK.A3GJ.01A",1.48831301496559e-05,0.0196386957446278,1.83222714402704e-06,8.72141917739009e-09,0.0962034143861168,0.0420794255611081,0.842061740229434
"TCGA.ZJ.AAXI.01A",1.92179123318686e-09,0.00238499237536036,1.76092036483275e-09,0.0436911267272253,0.0497191681769015,0.0042878685948773,0.899916840442924
"TCGA.C5.A1BI.01B",4.51361771182412e-08,0.0172670538661731,6.65655366405792e-09,0.184550043826769,0.07606612262251,0.0249185609024617,0.697198166989355
"TCGA.EK.A3GK.01A",4.60599477541638e-08,0.0245126179351669,3.93694904676282e-09,0.0525177707892532,0.0514110940546914,0.0127495521440049,0.858808915079987
"TCGA.EA.A3HT.01A",2.10414442331696e-07,0.00772891835555442,1.02553522851931e-05,0.741995626817088,0.127968234698909,3.29563361584218e-08,0.122296721405384
"TCGA.C5.A2M1.01A",1.0766945117458e-07,0.0434802738692112,4.84497175817806e-08,0.0554423237794434,0.153829379341232,0.0252591898621448,0.7219886770288
"TCGA.VS.AA62.01A",5.19675064909836e-09,0.0558553188544043,3.18127279676147e-08,0.18346612110642,0.206140179930617,0.0463683551979533,0.508169987901127
"TCGA.JW.A5VL.01A",5.78288913634016e-08,0.0115354920432598,5.43183440901046e-08,1.65585527199318e-05,0.104297496077445,0.0541159047871408,0.830034436392199
"TCGA.EK.A2IR.01A",0.00492470132698643,1.10749587440916e-08,2.19772130236675e-08,0.0493801372200683,0.010979270111159,0.00794493661864051,0.926770921670974
"TCGA.VS.A9UD.01A",3.78099669288812e-08,0.0758147472842807,3.0721381354007e-05,1.0939168767917e-07,0.195659334602018,0.149866687038545,0.578628362492147
"TCGA.VS.A9UR.01A",3.22627454415627e-09,0.00810430231311036,9.96896132100653e-06,0.130728205098385,0.074763219303011,0.00373887319800731,0.782655427899891
"TCGA.FU.A3EO.01A",2.39626876391363e-08,0.00434350620751426,6.81766314250309e-09,0.113532611062378,0.086583367802923,4.55832126341625e-05,0.7954949009342
"TCGA.JX.A3Q0.01A",2.24848584060137e-06,0.0154988090267319,2.62582108893722e-09,0.00917133135034079,0.0736106263128729,0.0265873185540728,0.87512966364432
"TCGA.VS.A8QH.01A",1.06267334869575e-08,0.00140797088129261,0.00337940431903402,0.0570727471401554,0.0117131018960792,0.00193314059691801,0.924493624539787
"TCGA.EK.A2RM.01A",4.01661237250826e-07,0.00327881601519799,1.21597537774136e-08,0.521519438603967,0.041261057597027,7.28719729940026e-07,0.433939545243087
"TCGA.ZJ.AAX8.01A",2.50637433804871e-08,0.0352239360332371,5.36546217798448e-08,0.635700586811227,0.118646982555064,0.00269645383152979,0.207731962050577
"TCGA.DR.A0ZL.01A",1.08163874159786e-07,0.00238739930237404,3.06762741865577e-09,0.0902518029790619,0.0236736295230284,0.00474131413541583,0.878945742828618
"TCGA.2W.A8YY.01A",7.14040332630234e-08,0.00643789156569113,1.31123907927963e-08,0.120191505879945,0.0874534829486713,0.00719238392170041,0.778724651167568
"TCGA.BI.A0VR.01A",8.71797333766178e-08,0.0277331186942005,4.10182259269213e-09,0.209084078689745,0.0861727206820391,0.0435029080020695,0.63350708265039
"TCGA.FU.A23L.01A",2.55885747343878e-08,0.0317234151900494,1.55806140488541e-07,0.242935500797644,0.0632615574734086,0.0234546946843883,0.638624650459795
"TCGA.VS.A8EJ.01A",1.07105792705412e-08,0.00399925021925474,5.12620905587998e-05,0.101029729664623,0.0353988539489602,0.00914162063711079,0.850379272728913
"TCGA.DS.A0VK.01A",1.16748426934163e-08,0.00374903257076191,1.78888435934195e-09,0.273962918959103,0.0438721814432384,0.00140849300156096,0.677007360561609
"TCGA.LP.A4AX.01A",1.38916545340414e-07,0.0687003363862298,4.72790593526907e-08,0.0423552842526767,0.222398196599254,0.21828225679342,0.448263739772815
"TCGA.EK.A2RJ.01A",1.10344835312941e-07,0.0203534613562967,3.34683932571707e-09,4.29118300701267e-07,0.0517523278176381,0.0584578930379402,0.86943577497815
"TCGA.JW.A852.01A",6.34292923079536e-09,1.32483776875749e-07,3.6144709930414e-09,0.039360273988217,0.0715504456559646,0.0319601159547287,0.857129021959913
"TCGA.Q1.A73S.01A",4.88378618927718e-05,0.000750332739957665,1.98600545440843e-09,0.0872390590833237,0.0236797619324198,3.55412073698221e-05,0.888246465189031
"TCGA.ZJ.AAXU.01A",0.00332917410933433,0.0228710358684568,0.00425412070128566,0.108727793126867,0.0563964025433718,0.0412604327632507,0.763161040887434
"TCGA.C5.A1MI.01A",0.0580277384101471,0.0227574322012709,9.24969323512785e-09,0.209430207684405,0.029077214956531,0.00564257945949743,0.675064818038456
"TCGA.VS.A8QA.01A",1.90900670366327e-08,0.0213874764420115,2.49831461646349e-08,0.0374784426555745,0.0465122131142263,0.00650594746635007,0.888115876248624
"TCGA.EA.A5ZD.01A",6.08200907952337e-08,0.0091676176077814,1.50597660688915e-08,0.126949997279085,0.142939097576421,0.0100237307170715,0.710919480939784
"TCGA.XS.A8TJ.01A",1.65845494563358e-08,0.00939668838348942,8.73737067716532e-09,0.140150820670264,0.0844268217311386,0.0120333456714393,0.753992298221748
"TCGA.C5.A7CO.01A",6.08462471572431e-09,0.00958901102192429,1.88138555283898e-07,0.0321831242625177,0.0330964155760449,0.00514762884816124,0.919983626068172
"TCGA.MY.A5BF.01A",5.00052468887186e-09,0.0337624782831312,1.73255037714815e-08,0.0369570937109914,0.0675497767171018,0.0364948459245042,0.825235783038243
"TCGA.C5.A1BL.01A",1.63571166701484e-09,0.0205611851629832,2.32186722510762e-07,0.031396514123066,0.0712794585621034,0.0254047408063471,0.851357867523066
"TCGA.C5.A1M5.01A",0.033036576381233,0.0177659530702014,2.33071524433466e-09,0.170831247886764,0.0652852405346023,0.0177335779447194,0.695347401851764
"TCGA.DS.A5RQ.01A",4.00358287376898e-10,0.0142738216934053,3.89609748007459e-06,0.116854691354826,0.10712644199508,6.40996334722517e-08,0.761741084359217
"TCGA.JW.A5VG.01A",3.0867823407327e-08,0.0158268924148307,3.52192224193521e-09,0.0729663832796339,0.192550931530882,0.0700849692987266,0.648570789086181
"TCGA.WL.A834.01A",8.31583274149585e-08,0.00647616339138549,3.17590690108681e-09,0.2541432255294,0.159180867992682,5.23799059259079e-09,0.580199651514308
"TCGA.DS.A1OD.01A",0.209677749047154,0.0961798789318895,1.8902691833208e-08,0.134052783303005,0.0683862784028213,0.0683279296010162,0.423375361811422
"TCGA.Q1.A5R1.01A",1.26667328718743e-08,0.00770506589216803,1.8017476578044e-08,0.146270344146267,0.0920271556356381,7.1282870231652e-08,0.753997332358847
"TCGA.ZJ.AAXF.01A",0.013896822098837,0.0183416007975779,1.52608975018744e-08,0.214940465096989,0.0684430160578331,0.0225871581743158,0.66179092251355
"TCGA.LP.A5U2.01A",2.79977491331667e-08,0.0130240004459218,7.41943761027554e-09,0.0641977396825545,0.0188634621570441,0.0249612608382105,0.878953501459082
"TCGA.C5.A7CK.01A",0.0368324410627146,8.56499485605514e-05,6.33713890920054e-05,0.412235221694089,0.0174103297481926,4.94382453974912e-07,0.533372491774897
"TCGA.ZJ.AB0H.01A",0.00148638589980193,0.0229107502385714,2.1114456501815e-08,0.168642354261628,0.0957657595012993,0.0393279195571119,0.671866809427131
"TCGA.EK.A2R9.01A",5.40344828632243e-07,0.0410851059218359,3.41178125959456e-07,0.456718725221656,0.093191275462044,0.0548854680270598,0.35411854384445
"TCGA.VS.A954.01A",2.43275399895907e-09,0.00699539731816571,2.20960308204719e-08,0.144056992552885,0.0424496295962322,0.018552150096256,0.787945805907676
"TCGA.Q1.A73O.01A",4.43888685127377e-08,0.0270406869247982,8.47094779791673e-09,0.332589744599003,0.254465863254677,0.0191584285272248,0.366745223834481
"TCGA.VS.A9U6.01A",1.45385431861214e-08,0.0135806834957671,4.49340013862441e-08,0.258317999753447,0.106178283908324,0.0213584636951146,0.600564509674803
"TCGA.EK.A3GM.01A",1.02445648033008e-08,0.00300931205613037,0.000697368263431843,0.0609463515449976,0.0152260389269017,0.00285007602669206,0.917270842937282
"TCGA.C5.A7CJ.01A",0.061869249690233,0.00850046212060099,1.04799889171753e-09,0.467365580460644,0.0549577106162278,0.00997567202571779,0.397331324038577
"TCGA.FU.A3WB.01A",5.98829036600802e-08,0.00576199082410363,0.00201876482656623,0.227301207576969,0.0183912237948776,0.00404126692391626,0.742485486170664
"TCGA.VS.A9V1.01A",3.98068048710965e-08,0.000745594597623034,0.0102881140709671,0.107458011970665,0.0386113081556377,0.0193636493529085,0.823533282045394
