"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.4T.AA8H.01A",1.1595224201162e-10,0.00253264332473673,8.83461988098194e-10,0.0366610209345722,0.025574987480659,0.000503704037143502,0.934727643223474
"TCGA.AA.A00Q.01A",5.67816587690637e-08,0.00585419200362415,3.4475567292429e-08,0.123609828555079,0.0408925453002673,0.00495142739970648,0.824691915484097
"TCGA.AZ.4614.01A",1.91990583663614e-08,0.00650481189490553,7.79555098628423e-09,0.0534504206067098,0.0234192089950548,0.00430177732160104,0.912323754187119
"TCGA.A6.2675.01A",0.0093826312875235,0.000229164857279506,0.0139497799478206,0.600136839704047,0.0377900757612912,6.6033913427001e-08,0.338511442408124
"TCGA.AA.A00U.01A",0.013570145460215,0.00299981047517496,0.0136331511166909,0.0728938002891859,0.0158673164124098,0.00341165605313164,0.877624120193192
"TCGA.A6.6781.01A",0.000411124820632181,1.41119259502103e-10,0.00216554372508628,0.973766210264465,0.0236505551015948,1.32007893349913e-06,5.24586816902123e-06
"TCGA.CM.6169.01A",0.0909802192861728,0.00081932775177748,0.00243985983490345,0.722142968073991,0.0443134651817673,4.27205539156069e-07,0.139303732665849
"TCGA.AA.3516.01A",4.25569761014042e-08,0.00770700476862503,3.39016362863791e-07,0.0853382071563313,0.041121248307451,0.0206964914534027,0.845136666740851
"TCGA.AA.3552.01A",0.0216030262431603,0.00401092254204674,0.0161911088407711,0.0915075520455645,0.031890087438499,0.0108110080446423,0.823986294845316
"TCGA.D5.6931.01A",0.0124133774368685,0.00794042665277987,8.52876731076267e-08,0.24931860288116,0.0578171776948744,0.00492023105623161,0.667590098990412
"TCGA.SS.A7HO.01A",2.74371077275281e-08,0.00575743221424729,6.90924801047593e-09,0.0398267376465356,0.0306649697876943,8.23688743302615e-07,0.923750002316424
"TCGA.AZ.6605.01A",0.0532994730041621,4.06750116564974e-07,0.00219618648555504,0.938083987131151,0.00641887163140346,2.94137164303177e-07,7.80860447936691e-07
"TCGA.CA.6717.01A",0.125299922366011,3.7568410376819e-07,2.20854433752559e-07,0.624235847594267,0.0513272433407496,0.0265610472449418,0.172575342915494
"TCGA.NH.A8F7.01A",2.72204555019212e-10,0.00119209734762958,3.41320993607286e-07,0.0776927551237848,0.0336744890101079,0.000732004944691403,0.886708311980588
"TCGA.AD.6965.01A",0.00571124070575824,0.00583083151971153,0.0151882464965676,0.215434792246072,0.0208487902094766,1.04210443884163e-06,0.736985056717975
"TCGA.AA.A02H.01A",2.25336629995172e-08,0.00351417473818934,7.59248074786360e-09,0.139915057955385,0.0322940046423798,0.0011157691960611,0.823160963341841
"TCGA.AA.A022.01A",9.76842319314462e-09,0.0279367445270927,1.03237983699616e-06,0.064407593182407,0.0559761057411559,0.0692187150087469,0.782459799392337
"TCGA.AA.3680.01A",0.0279769763728652,0.00450152119285007,0.0119534953726647,0.0991450824934343,0.0258161671250359,0.00425897932175284,0.826347778121397
"TCGA.A6.6650.01A",0.0280517867273893,9.64129110209432e-08,0.0071048959272429,0.0999334704903971,0.0113648317457985,4.31735012011353e-08,0.85354487552276
"TCGA.G4.6311.01A",2.36496477943979e-06,1.5328710960327e-08,0.000174364594481237,0.486359282786671,0.0276797706901761,9.91255167503856e-09,0.485784191722629
"TCGA.A6.2677.01B",0.0624488338237093,2.87158867224661e-08,0.0110890363062141,0.45853671852901,3.89770714168938e-10,3.42371734763805e-07,0.467925039863674
"TCGA.AA.3815.01A",7.20248127816741e-08,0.0215674131459506,0.00325572664741071,0.114080745539488,0.0896797100482987,0.0519189388836694,0.719497393710369
"TCGA.CK.4951.01A",7.27889991669939e-06,0.00962923692925925,2.96462031368765e-09,0.395521596647481,0.0594622743300674,0.0014749920628438,0.533904618165812
"TCGA.CK.6748.01A",6.06645551187635e-06,0.00675674388047893,3.27017093065859e-09,0.670992323772966,0.115410246093593,0.000324201864534644,0.206510414662744
"TCGA.CA.5255.01A",5.64632545366777e-10,0.00254536101880547,0.00416185693287484,0.0584585270160369,0.0220410452126659,0.00128045049897217,0.911512758756012
"TCGA.CK.4952.01A",0.000595589954014496,0.00233755596374041,0.00752022897010872,0.081985740048804,0.0282095236750895,0.000845276869360478,0.878506084518882
"TCGA.AZ.4315.01A",2.35352291259568e-08,0.00414019030212398,3.30985784671098e-09,0.187497818392572,0.0460274893270311,0.00245223015063312,0.759882244982553
"TCGA.AA.3869.01A",0.0103856795428449,0.00556288964851125,1.02164542473961e-08,0.20470012848971,0.0343852952245442,0.00428328199715656,0.740682714880779
"TCGA.G4.6626.01A",3.16634919919869e-10,0.00343373079902299,0.0172045211051055,0.0634965056031677,0.0152003265422282,0.0022903111478287,0.898374604486012
"TCGA.DM.A1D7.01A",0.00888489079816858,0.00370915281108191,0.00796584754314473,0.0885944318782843,0.0226389107723161,0.00174384336025328,0.866462922836751
"TCGA.AA.3531.01A",1.77419142787035e-07,0.00368237484887546,0.00104745870428962,0.0596840003417522,0.0242773796254266,0.00400705127097057,0.907301557789543
"TCGA.A6.5662.01A",0.0250815479808364,0.00197686322367872,3.37659804231537e-08,0.3195726928159,0.02603146113399,0.000318561435389404,0.627018839644225
"TCGA.CM.4744.01A",2.82371777952321e-10,0.0122662912471295,0.0119957611734434,0.0477153661746734,0.0380723187789964,0.03098703974494,0.858963222598445
"TCGA.D5.5540.01A",7.12614648710892e-09,0.00462183139469183,8.4265922075343e-08,0.221598080828491,0.0175871492790686,0.00119857898819209,0.754994268117488
"TCGA.AZ.6608.01A",0.00281393569981447,0.00104123981841443,0.00373664765002516,0.0184835957356297,0.007321499073562,0.0012932487759404,0.965309833246614
"TCGA.AA.3518.01A",1.36076402995745e-08,0.00761471786580524,0.00344853451590052,0.0880731588613775,0.0514277434292223,0.0158327935007256,0.833603038219328
"TCGA.CM.5863.01A",0.00368658452396101,0.00321679856482635,4.97210467397198e-08,0.408175497389082,0.0414975233119524,9.02149506672079e-06,0.543414524994065
"TCGA.A6.5666.01A",1.98381268765488e-09,0.00223549885950563,3.84186018011291e-09,0.104619130505045,0.0260366630713474,0.00049082128796847,0.866617880450461
"TCGA.DM.A280.01A",8.82340570076942e-08,0.00269968636220899,8.42787153562675e-09,0.149350587132459,0.0277727203211664,4.29186376303273e-05,0.820133990884607
"TCGA.AA.3973.01A",2.9297141408276e-05,0.00583382314933635,1.30762995289173e-08,0.202324002618722,0.0367938679217782,0.00209500740163873,0.752923988690817
"TCGA.CM.4748.01A",0.0302933851863228,0.00149107014457481,1.2354192494444e-07,0.228749272645815,0.0316431011515951,0.0034633746587326,0.704359672671035
"TCGA.D5.6530.01A",8.47572752901564e-08,0.00790121198730477,2.89830948919231e-08,0.0946823864822039,0.0623051482949885,0.0142220486775412,0.820889090817592
"TCGA.A6.6137.01A",0.0421307656692739,3.69985980310605e-05,0.0140410191850115,0.0714743910055197,0.0228594587164163,0.000250837259285787,0.849206529566462
"TCGA.DM.A1D6.01A",0.00187577136068209,0.000929897175312507,0.00194052625837733,0.056153906860887,0.00723725953392904,0.00135296612845197,0.93050967268236
"TCGA.D5.6923.01A",0.0164485120814634,1.67602918830234e-07,0.0147190562509361,0.697729085637426,0.00258041593311953,2.94572107248261e-08,0.268522733036925
"TCGA.A6.2681.01A",0.0396459146562205,0.00283235936390727,1.87712480985385e-08,0.318961836055412,0.0482524365681389,0.0083209558266888,0.581986478758385
"TCGA.F4.6463.01A",0.0614464775985842,3.28934993964229e-08,0.0080927578109053,0.39003090335271,0.00281838772191754,0.00807294837730989,0.529538492245073
"TCGA.AZ.6599.01A",3.15828068945914e-09,0.00474342164732702,4.16771687750526e-09,0.0385163544429181,0.0296342411167097,0.00210737531571952,0.924998600151328
"TCGA.D5.6532.01A",3.9105120912325e-10,0.00268990072490756,0.0121949677219326,0.12697673474257,0.0209677933815087,2.4759821694368e-07,0.837170355439813
