"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.BC.A10Z.01A",3.04747094398349e-09,0.000345958868087855,3.3931908622281e-09,0.0649630640491637,0.0821202450041913,0.00042488394254122,0.852145841695354
"TCGA.DD.AAEK.01A",8.15650979170107e-09,0.0155542577549437,1.11925890956474e-08,0.0623703301917127,0.0809283509129489,0.00768210555720908,0.833464936234087
"TCGA.G3.A3CK.01A",6.1117738844429e-09,0.00694407826309378,1.817539613841e-08,1.68816031806511e-05,0.0508299871850459,0.0141030162526027,0.928106012408907
"TCGA.DD.A1EJ.01A",3.37132059203924e-09,0.000150164983272837,1.15642495577245e-09,2.35771066921761e-07,0.0630119932233345,0.00096177368566636,0.935875827808914
"TCGA.DD.AACU.01A",8.00510790554192e-09,0.00552532903205556,6.7428650699458e-09,0.0909606398734649,0.0504507299040064,5.47634293745952e-08,0.853063231679071
"TCGA.ZS.A9CE.01A",1.6906091634492e-06,0.000859401125490523,8.40154397809237e-10,0.0185090310015491,0.0121764425690983,0.000252408629996711,0.968201025224548
"TCGA.2Y.A9H2.01A",0.000864200446458329,0.00273382893574754,3.38090351999554e-08,0.0199262772812202,0.0238418068583536,0.00479087591524987,0.947842976753935
"TCGA.CC.5261.01A",0.0749887101533858,0.00374018625557692,6.2894206369584e-09,0.342393768792987,0.039079898224383,3.65205454026123e-07,0.539797065078792
"TCGA.DD.AADP.01A",0.0431473271750911,2.80756776214844e-08,0.0144358545730343,0.053012711241395,0.0299835591067806,0.000826200720589043,0.858594319107432
"TCGA.2Y.A9H4.01A",0.0096762096874034,0.00087745766540564,9.64935278904902e-05,0.00136309977679921,0.0162395853743251,0.00868459854710088,0.963062555421075
"TCGA.DD.A1EA.01A",9.79803637167916e-08,0.00808300481419987,4.30632028034666e-10,0.0172164217980337,0.0683870346759724,0.00734806842534155,0.898965371875457
"TCGA.CC.A3MC.01A",1.71340984203779e-07,0.00194691314073342,1.05001104806662e-09,0.0600471536921485,0.0232092716959254,0.0103510072652001,0.904445481814997
"TCGA.FV.A2QR.01A",7.15417606728296e-09,0.0040594793519885,0.0048282176037516,0.0720639299463164,0.023268295258624,0.00642151455273005,0.889358556132413
"TCGA.EP.A26S.01A",0.00134048028009952,0.00116901861539307,6.7379497958628e-08,0.0339209654270971,0.0144838442000276,0.0054735914847461,0.943612032613139
"TCGA.K7.AAU7.01A",0.0145576465162409,0.00269524095706876,2.45432515251205e-09,0.156581610725853,0.031043201787118,6.62118373168973e-05,0.795056085722077
"TCGA.G3.A25T.01A",2.52031884208234e-06,0.00453817228996682,1.90694461173005e-09,0.137072164638098,0.0635991215090476,0.000979212489620936,0.79380880684748
"TCGA.DD.AADB.01A",1.26087270917169e-07,0.0157925410645088,3.23762966550632e-09,3.05638522444587e-06,0.0487050341773482,0.0332247740459886,0.902274465002029
"TCGA.UB.A7MA.01A",0.00955318514837939,0.00317066061078565,8.45387412625314e-09,0.0774453195457587,0.0245433448466771,0.00544709661302604,0.879840384781499
"TCGA.DD.AAD0.01A",3.1624620791102e-09,0.00204596885783869,5.35416779520304e-10,0.0156150282020597,0.0223616084759728,1.25413147082867e-05,0.959964849451542
"TCGA.BC.4072.01B",0.00175642541202885,0.0161973514031088,7.03282957032788e-10,0.0351192666936799,0.0610493116075354,0.0252286841319101,0.860648960048454
"TCGA.DD.AACD.01A",8.3768758106802e-06,5.01688565326879e-08,1.02160272197673e-06,7.95672930914468e-09,0.0325927372174626,0.0074951259617613,0.959902680216658
"TCGA.DD.A3A5.01A",0.0243485635674467,0.000338764043350059,0.00578175859760355,0.0466407354085114,0.0223957257093177,0.00707959210193589,0.893414860571835
"TCGA.ZP.A9D1.01A",0.0315745872803691,0.00185554513692396,6.52353872689683e-10,0.0889489635853653,0.0241978274342969,0.00602673069204092,0.84739634521865
"TCGA.ZP.A9D0.01A",5.34621597763848e-08,0.00110492084920713,0.00258549064361689,0.0454327761786179,0.0259425745295155,0.000320123588960858,0.924614060747922
"TCGA.CC.A7IK.01A",1.04476039611462e-08,0.00114017111759375,4.56517995940183e-09,0.0183179090858276,0.0265508445454705,0.00410725985694865,0.949883800381376
"TCGA.WQ.AB4B.01A",0.00140345991716332,0.00206763141534853,3.15597723122117e-10,0.0366937008687116,0.0170401406300084,0.00201731553212431,0.940777751321046
"TCGA.FV.A4ZQ.01A",9.78863228140672e-08,0.0345880424617241,6.885209740432e-07,6.59652468431711e-08,0.0843566220192615,0.0993636813439408,0.78169080180253
"TCGA.G3.A25S.01A",9.75980347153197e-08,1.02272197611337e-05,1.30131667186386e-08,1.12117067313336e-08,0.0319955475342794,0.00879622582646002,0.959197877596591
"TCGA.NI.A4U2.01A",3.69258386859063e-05,0.00294232152611212,7.79275167223553e-10,0.0269857239999173,0.0172279083676564,2.81887567525509e-05,0.952778930731601
"TCGA.RC.A7SK.01A",6.16519767002177e-10,0.00260639864603231,4.40968418884184e-10,0.0457011680821339,0.0340986617479967,1.03043509727875e-08,0.917593760161998
"TCGA.DD.AADS.01A",3.53484838196957e-10,0.00285085463495447,1.24036676187287e-08,5.00968508470846e-09,0.0469574437763186,0.0258416267704618,0.924350057051427
"TCGA.DD.A73F.01A",1.03651514720128e-07,0.0163321922992335,7.65672542957744e-09,7.80011137433127e-08,0.0478923506076708,0.03225396662528,0.903521301158462
"TCGA.DD.A11C.01A",0.0363484206490518,5.92630100483283e-07,0.000580368900211342,0.0588919216646752,0.0261053404374138,0.00518764019612421,0.872885715522423
"TCGA.FV.A23B.01A",8.65248433127165e-08,0.00496445171448313,6.5641341922818e-07,0.0217455684677183,0.0382919885662938,0.00467928333601272,0.93031796497723
"TCGA.DD.AADD.01A",2.808828841277e-09,0.00383325754818721,3.64631655990287e-09,9.0756278138713e-05,0.0366836198255475,0.0042331902558967,0.955159169637085
