"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.55.8508.01A",0.031413272304066,6.91757869057322e-08,0.0578986451284863,0.403161117752808,0.0325006872982658,0.0349902718426589,0.440035936497928
"TCGA.67.3771.01A",1.33696808637314e-06,0.018544081123267,1.64258913925628e-08,0.630645806895121,0.220724587527214,0.0205927109539926,0.109491460106427
"TCGA.55.A4DG.01A",0.0735318854735645,0.00332472283113169,0.00864532714867786,0.26880579997264,0.0222879407410738,0.00469485496868802,0.618709468864224
"TCGA.91.7771.01A",0.14616024292837,0.0102294968331467,1.4337617091622e-06,0.712109316586019,0.11279113271245,7.79451257361583e-08,0.0187082992331792
"TCGA.91.6849.01A",0.0326962630683643,0.00596869895105152,0.0160405223417359,0.281097222166098,0.0543833291408408,0.0159207274417522,0.593893236890157
"TCGA.64.5781.01A",0.0808183505806105,0.0246852017663418,2.37241930054095e-07,0.701404423998326,0.0177317452508291,0.046184838070383,0.129175203091579
"TCGA.44.6146.01B",0.124497782217723,1.09192783810445e-08,3.27917106590316e-09,0.563211280486932,1.57272267301567e-05,2.7705869695297e-06,0.312272425283196
"TCGA.97.7552.01A",0.143150004890207,0.0491207840945632,0.0119344193873984,0.366117119007606,0.0838399577927682,0.0682187561696535,0.277618958657804
"TCGA.80.5608.01A",0.00777086212576134,0.00962989558768369,2.12995818331588e-09,0.102688886961652,0.0402195222064905,0.0086680385309697,0.831022792457485
"TCGA.91.6829.01A",7.50335833433405e-05,2.67190355118303e-06,2.00690547406781e-05,0.943444215480516,0.0564555565882878,1.46048158383139e-06,9.92907976992667e-07
"TCGA.49.AARE.01A",0.0388984366011681,0.00246163100585698,3.951657725934e-08,0.280516654220632,0.035288918792262,0.00733890291520283,0.635495416948301
"TCGA.97.A4M1.01A",0.0628500556485758,2.79949660982861e-07,4.0792936384357e-07,0.186835542679647,0.0520200342642712,0.00789613082521134,0.69039754870327
"TCGA.83.5908.01A",5.30913819702653e-06,0.0792162974792057,5.38812516120769e-05,0.336460758700856,0.203540001509226,0.118158515628073,0.262565236292831
"TCGA.97.8179.01A",0.0322622753724802,0.000754661072415085,7.20176682487564e-09,0.236372010359759,0.0425248757725809,0.00273018895580233,0.685355981265196
"TCGA.64.1680.01A",7.46265811413698e-09,0.00325056239594844,6.16996025245042e-11,0.220022556761468,0.0526550919742657,1.92378982982025e-06,0.72406985755413
"TCGA.73.4670.01A",0.00277402334084991,0.00405308078558258,4.74233611234042e-08,0.483940279611317,0.0628463704734826,1.75956447151578e-07,0.446386022408959
"TCGA.44.3396.01A",0.000432099241066747,7.08017749002704e-07,0.000370391567309139,0.885946025370975,0.113250187243979,3.42827266761516e-07,2.45731654172407e-07
"TCGA.80.5611.01A",1.02509017302573e-07,0.0079970381903951,1.27659177193085e-08,0.0675545882987884,0.273236387143894,0.00414034571234626,0.647071525379642
"TCGA.53.7624.01A",2.33682003109188e-08,0.00760262794514605,2.65313698793421e-08,0.121258778233437,0.0506507551196748,0.0110324234197719,0.8094553653824
"TCGA.91.6835.01A",0.200079614162363,0.0613663478182084,6.75962252723912e-08,0.544880934797335,0.185293515969316,0.00837890718287091,6.12473681176892e-07
"TCGA.L9.A50W.01A",0.0245177669187569,0.00421391597743478,1.70400032483681e-08,0.176406643941111,0.0446124405568443,3.33684780052472e-05,0.750215847087845
"TCGA.86.7713.01A",0.0142988027461357,0.0022078407801345,4.66564330091151e-08,0.15238963370706,0.0279584864686052,0.0022668992730166,0.800878290368615
"TCGA.50.5044.01A",2.27759141367891e-07,0.00936070013731945,5.62754875396972e-05,0.152126886494932,0.0711745669373522,0.0283359727721335,0.738945370411582
"TCGA.97.7941.01A",0.0331713148513759,0.00438892399814121,1.7433333968022e-07,0.388517899813186,0.0547191578657928,0.00256336647184866,0.516639162666316
"TCGA.86.7714.01A",0.0465365554823626,2.83868156291091e-07,1.00718487964437e-08,0.527818987342149,0.0405137292186769,1.24655782512107e-07,0.385130309361024
"TCGA.62.8402.01A",2.97560926762626e-08,0.038969727716848,2.03564295779892e-09,0.0137627852988812,0.140862934884235,0.028757311246959,0.777647209061342
"TCGA.78.7162.01A",0.108984686405839,0.00206369154017523,1.68679682172406e-07,0.352025004272076,0.0370600616964371,0.0296882543088019,0.470178133096988
"TCGA.49.AAR0.01A",0.00916676492485695,0.01035596611942,1.64684796554238e-08,0.0944481869030218,0.0989374981489609,0.0319398663914004,0.75515170104386
"TCGA.35.4122.01A",1.101862194786e-06,0.0253773035512014,3.21041869662934e-07,0.576695007794506,0.241649063787701,0.0311099977391406,0.125167204223386
"TCGA.55.7726.01A",0.00143737175888748,0.0359749164813679,0.0297238501690326,0.910497325212117,0.02236389336436,2.63962234659362e-06,3.39188820905587e-09
"TCGA.62.A46Y.01A",3.85808091851473e-07,0.015861049582103,1.00481958175313e-08,0.0405883900173795,0.09225398138217,0.0186445869820222,0.832651596180038
"TCGA.55.6980.01A",0.158355522200836,2.55423293965095e-07,1.70006044383591e-05,0.811952493277598,0.0296273320286839,1.97471759709361e-05,2.76492891791391e-05
"TCGA.05.4430.01A",3.95055503277176e-07,9.42663626543828e-06,4.38172872214706e-08,0.894983603961327,0.104949232230733,5.72854265079037e-05,1.28723763247923e-08
"TCGA.67.3772.01A",6.53484784374522e-08,1.82143834457348e-05,2.16163061096112e-08,0.991924719330942,0.00805618994021948,7.72315329849626e-07,1.70652781497568e-08
"TCGA.MP.A4SY.01A",7.7352966303131e-07,3.98758995567562e-08,8.13374952359585e-07,0.85203698464529,0.147929819743135,3.77159308060689e-08,3.15311151293886e-05
