"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.94.7943.01A",2.01140297121775e-08,0.00589481504634801,1.79098483950293e-09,0.179372936549131,0.0609237354227411,0.00227813458251788,0.751530356494247
"TCGA.68.8251.01A",0.137245637308731,9.38998740188091e-07,7.45313524125815e-08,0.709104138112685,0.0373357560884823,0.000267455244787551,0.116045999715222
"TCGA.33.A5GW.01A",2.48584297177807e-09,0.000945200934931452,3.78415872876519e-08,0.169008215214224,0.160295705869837,6.06307844375617e-09,0.669750831590499
"TCGA.85.8070.01A",3.97353488796837e-08,0.0033946872071695,3.32597603031809e-09,0.0904997487408073,0.0443477059915351,0.00193882127108987,0.859818993728073
"TCGA.85.8479.01A",1.40478689958716e-07,0.00206328438457423,1.33362521619546e-08,0.207304539807227,0.118136155503696,8.72277292005031e-08,0.672495779261832
"TCGA.22.5482.01A",1.26854290645604e-08,7.81635386814543e-09,1.34779758196208e-05,0.499700264252577,0.498213892877541,0.00207233804806611,6.34421316814639e-09
"TCGA.21.1077.01A",0.0247093105518914,0.00326437234166386,8.38058770395577e-08,0.629840276644573,0.132484524739792,0.00326219542720889,0.206439236488993
"TCGA.43.6773.01A",2.49229076475704e-07,0.00733916115606315,0.00198846086618174,0.838682591720291,0.151964896786423,2.44417525269748e-05,1.98489438043371e-07
"TCGA.34.8455.01A",0.00111785645249879,0.00996876337729931,1.2094143199788e-08,0.546214733239188,0.0734268253882738,5.86632287447466e-05,0.369213146219852
"TCGA.85.7950.01A",0.0181279783023364,0.00547680199092065,2.5615508489037e-08,0.976376609909637,1.78565451952396e-07,1.2680164084493e-05,5.72545206111091e-06
"TCGA.60.2715.01A",4.50145833655788e-07,1.73038670200949e-05,5.44293039810897e-08,0.911153038329453,0.0888290677462745,1.43234186225736e-08,7.11586960616572e-08
"TCGA.85.A5B5.01A",0.0120959653297316,0.00100990228751714,5.88506134395539e-09,0.234432394016176,0.0405862861979571,0.0119196375934449,0.699955808690112
"TCGA.33.4583.01A",2.65262280135211e-09,0.0184156781076294,3.89274865978503e-09,0.200844294973946,0.111339430487095,0.00516431109158772,0.66423627879437
"TCGA.60.2725.01A",7.53682882058787e-08,0.0138440023725919,1.28380049832891e-07,0.835230397650104,0.150925298624902,6.12144420181375e-08,3.63896215009139e-08
"TCGA.85.8072.01A",6.83959289757506e-08,0.0172379377980619,7.61402229134913e-05,0.443290340933201,0.263137995166901,1.6291386939706e-09,0.276257515853854
"TCGA.22.4601.01A",1.45300139250159e-08,0.00683242796734195,2.96114672428665e-07,0.165419784560477,0.0750166379668207,0.000708096117568032,0.752022742743106
