"","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Fibroblasts","cellFractions.Monocytes","cellFractions.NK","cellFractions.otherCells"
"TCGA.V1.A9OF.01A",0.0339056202851996,0.000195646737135841,2.68545732271713e-09,0.0888578727286602,0.0187632996571168,0.00675063591877667,0.851526921987654
"TCGA.ZG.A8QX.01A",0.224932383445807,1.61729516027798e-05,4.03460950628038e-08,0.449497281192022,1.07868950009135e-06,0.0156718141728517,0.309881229202121
"TCGA.YL.A8SC.01A",0.0812818646994806,0.000504790384692687,1.1341348414235e-07,0.170535591370138,0.026875179737902,0.0187370184186282,0.702065441975675
"TCGA.HC.7817.01B",0.253635462005098,2.31001589913228e-05,0.000205057362503973,0.712390542089167,0.0176725817324075,0.0160731593672466,9.72845856983246e-08
"TCGA.KC.A7F6.01A",0.15021584027359,1.85560158974284e-07,4.85264456283418e-09,0.304055168420251,0.00616464022465546,0.0211276491731183,0.518436511495582
"TCGA.KK.A7B4.01A",0.0889914720943239,2.04583320669143e-07,6.83415075431315e-09,0.212919101068492,0.00787674318627249,0.0115373100699208,0.678675162163519
"TCGA.G9.6366.01A",0.0941125852835607,1.52330081733809e-07,1.50185489180303e-08,0.166047384925636,0.00508442496220472,0.0148107553213571,0.71994468215861
"TCGA.KK.A59X.01A",0.089261779293358,2.18202515202955e-08,6.45058677823613e-09,0.294908002180287,0.00707548336179348,0.00407425319769651,0.604680453696026
"TCGA.HC.A6AN.01A",0.0970688927069687,3.08463146934748e-07,2.8546868835706e-08,0.241035468484992,0.00750098877082935,0.00926572042320192,0.645128592603992
"TCGA.G9.6498.01A",0.15107561732767,1.36064185931251e-06,3.08078431819661e-08,0.402815316422499,2.41980201329538e-08,0.00670053017448283,0.439407120427625
"TCGA.J4.AATZ.01A",0.0541585095284334,4.48954709077714e-09,1.45515781003365e-05,0.109028238155134,0.0105885778461841,0.010372724186948,0.815837394215653
"TCGA.EJ.7317.01A",0.121858250925687,1.27609605862047e-08,1.42480289444374e-07,0.260508451332603,0.00413411077521266,0.0125649883758331,0.600934043349414
"TCGA.SU.A7E7.01A",0.114101452009201,3.5760919334023e-08,5.04909870704994e-08,0.264413745794704,0.016093722516421,0.0184978525217005,0.586893140906068
"TCGA.XJ.A83F.01A",0.121124867384121,3.26382769820705e-08,1.34658868486825e-07,0.29013454692575,1.30113745223056e-06,0.00994805666778333,0.578791060587747
"TCGA.2A.AAYO.01A",0.232385594243756,3.1086845824266e-08,5.0743585099863e-06,0.464091850820325,8.79273097002043e-08,0.0173266305768364,0.286190730986417
"TCGA.EJ.A46B.01A",0.297114241125535,4.54586718438377e-08,1.34496788137208e-07,0.531825070596967,0.0017393707726824,0.0364976239839885,0.132823513565368
"TCGA.QU.A6IN.01A",0.0971400003449291,7.23952846093177e-05,6.95447999788538e-07,0.187027653404675,4.32908131051575e-09,0.00696137435184398,0.708797876836862
"TCGA.KK.A59Z.01A",0.190428444685113,1.5507856304973e-05,1.47053443600892e-08,0.388962395649688,0.00316140307771953,0.0236988226375004,0.39373341138833
"TCGA.XK.AAJT.01A",0.308121539767298,2.82428218307941e-07,3.74012676828079e-08,0.6021577126593,0.000468477445312085,0.0402339825605889,0.0490179677380153
"TCGA.EJ.7125.01A",0.142969237668286,1.4227474648316e-07,1.50653698443824e-08,0.401981341079748,0.0124945554217919,0.014193780818525,0.428360927671533
"TCGA.J9.A52C.01A",0.151577423950265,1.94699391652991e-05,0.0351050626835454,0.799522013310298,0.0134726794997961,0.000303173006613729,1.77610317070267e-07
"TCGA.YL.A8HL.01A",0.0421300761255257,1.25733732781459e-08,1.32766903896935e-08,0.114298712210549,0.0124545277404729,0.0098637517443351,0.821252906329054
"TCGA.ZG.A9LZ.01A",0.0866109320524266,5.52298523540687e-09,0.000165002872607724,0.208086683706705,0.0126816872937981,0.0145355825243277,0.677920106027149
"TCGA.J9.A8CP.01A",0.10171642716866,1.63342815718001e-07,2.5698262602458e-08,0.312738511790732,0.00736934121435355,0.0129908390563095,0.565184691728866
"TCGA.FC.A6HD.01A",0.0352314415812065,1.51246176203368e-07,5.38734530082188e-08,0.089852007278935,0.00697914591067147,0.00570694313191823,0.86223025697764
"TCGA.G9.6351.01A",0.229175047318177,1.24537646065027e-06,5.85983803836077e-08,0.436272837098105,0.00458917489392842,0.0283029786534065,0.301658658061542
"TCGA.EJ.5532.01A",0.146843467044496,2.40829478088584e-07,1.36023677121299e-08,0.488861323001377,1.70934563054956e-08,0.0123601835617556,0.351934754867069
"TCGA.EJ.5525.01A",0.104025463106491,2.779092073e-07,1.73705329306806e-07,0.555588479223869,0.00290174983304157,0.000394909521212002,0.33708894670085
